timestamp,fov_mean,fov_std
0,22.000,0.000
1,22.000,0.000
2,22.000,0.000
3,22.000,0.000
4,22.000,0.000
5,22.000,0.000
6,22.000,0.000
7,22.000,0.000
8,22.000,0.000
9,22.000,0.000
10,22.000,0.000
11,22.000,0.000
12,22.000,0.000
13,22.000,0.000
14,22.000,0.000
15,22.000,0.000
16,22.000,0.000
17,22.000,0.000
18,22.000,0.000
19,22.000,0.000
20,22.000,0.000
21,22.000,0.000
22,22.000,0.000
23,22.000,0.000
24,22.000,0.000
25,22.000,0.000
26,22.000,0.000
27,22.000,0.000
28,22.000,0.000
29,22.000,0.000
30,22.000,0.000
31,22.000,0.000
32,22.000,0.000
33,22.000,0.000
34,22.000,0.000
35,22.000,0.000
36,22.000,0.000
37,22.000,0.000
38,22.000,0.000
39,22.000,0.000
40,22.000,0.000
41,22.000,0.000
42,22.000,0.000
43,22.000,0.000
44,22.000,0.000
45,22.000,0.000
46,22.000,0.000
47,22.000,0.000
48,22.000,0.000
49,22.000,0.000
50,22.000,0.000
51,22.000,0.000
52,22.000,0.000
53,21.200,2.530
54,22.000,0.000
55,22.000,0.000
56,22.000,0.000
57,21.300,2.214
58,21.300,2.214
59,20.500,3.171
60,22.000,0.000
61,21.300,2.214
62,22.000,0.000
63,20.600,2.951
64,19.700,3.713
65,17.600,3.806
66,21.200,2.530
67,18.200,4.022
68,18.200,4.022
69,20.500,3.171
70,18.400,3.806
71,18.300,3.917
72,21.300,2.214
73,18.800,4.131
74,18.300,3.917
75,18.200,4.022
76,19.100,3.755
77,19.700,3.713
78,19.500,4.035
79,19.800,3.553
80,21.300,2.214
81,18.300,3.917
82,17.400,3.978
83,18.100,4.122
84,18.300,3.917
85,19.700,3.713
86,18.800,4.131
87,18.100,4.122
88,19.700,3.713
89,19.600,3.864
90,19.100,3.755
91,20.500,3.171
92,19.700,3.713
93,21.200,2.530
94,19.600,3.864
95,20.500,3.171
96,19.000,3.887
97,19.000,3.887
98,17.300,4.057
99,19.000,3.887
100,18.100,4.122
101,18.200,4.022
102,18.900,4.040
103,19.600,3.893
104,18.800,4.158
105,19.100,3.755
106,20.500,3.171
107,18.800,4.158
108,18.800,4.131
109,18.800,4.158
110,18.700,4.270
111,18.700,4.270
112,16.500,3.837
113,18.700,4.270
114,18.900,4.040
115,21.200,2.530
116,22.000,0.000
117,19.500,4.035
118,19.400,4.195
119,20.400,3.406
120,17.900,4.332
121,18.500,4.528
122,18.000,4.243
123,16.100,3.143
124,17.900,4.383
125,18.700,4.270
126,20.400,3.373
127,19.500,4.035
128,18.000,4.243
129,18.600,4.402
130,18.800,4.131
131,16.700,3.713
132,19.700,3.713
133,21.300,2.214
134,18.100,4.122
135,16.900,4.408
136,18.100,4.149
137,19.500,4.035
138,19.500,4.062
139,19.400,4.195
140,20.500,3.171
141,17.400,3.978
142,16.300,4.001
143,18.500,4.528
144,18.700,4.296
145,19.400,4.195
146,18.800,4.158
147,20.400,3.373
148,22.000,0.000
149,21.200,2.530
150,20.500,3.171
151,21.100,2.846
152,21.200,2.530
153,21.200,2.530
154,21.100,2.846
155,22.000,0.000
156,22.000,0.000
157,22.000,0.000
158,21.200,2.530
159,20.400,3.406
160,17.100,4.254
161,20.500,3.171
162,17.800,4.467
163,18.800,4.131
164,17.900,4.358
165,16.700,4.572
166,18.700,4.270
167,18.000,4.243
168,16.400,3.893
169,18.600,4.402
170,16.800,4.492
171,16.600,4.648
172,19.500,4.035
173,15.300,3.561
174,18.600,4.402
175,17.800,4.442
176,17.300,4.084
177,18.900,4.012
178,14.700,2.627
179,19.400,4.195
180,16.900,4.433
