timestamp,fov_mean,fov_std
0,22.000,0.000
1,22.000,0.000
2,22.000,0.000
3,22.000,0.000
4,22.000,0.000
5,22.000,0.000
6,22.000,0.000
7,22.000,0.000
8,22.000,0.000
9,22.000,0.000
10,22.000,0.000
11,22.000,0.000
12,22.000,0.000
13,22.000,0.000
14,22.000,0.000
15,22.000,0.000
16,22.000,0.000
17,22.000,0.000
18,22.000,0.000
19,22.000,0.000
20,22.000,0.000
21,22.000,0.000
22,22.000,0.000
23,22.000,0.000
24,22.000,0.000
25,22.000,0.000
26,22.000,0.000
27,22.000,0.000
28,22.000,0.000
29,22.000,0.000
30,22.000,0.000
31,22.000,0.000
32,22.000,0.000
33,22.000,0.000
34,22.000,0.000
35,22.000,0.000
36,22.000,0.000
37,22.000,0.000
38,22.000,0.000
39,22.000,0.000
40,22.000,0.000
41,22.000,0.000
42,22.000,0.000
43,22.000,0.000
44,22.000,0.000
45,22.000,0.000
46,22.000,0.000
47,22.000,0.000
48,22.000,0.000
49,22.000,0.000
50,22.000,0.000
51,22.000,0.000
52,22.000,0.000
53,22.000,0.000
54,22.000,0.000
55,22.000,0.000
56,22.000,0.000
57,22.000,0.000
58,22.000,0.000
59,22.000,0.000
60,22.000,0.000
61,22.000,0.000
62,22.000,0.000
63,22.000,0.000
64,22.000,0.000
65,22.000,0.000
66,22.000,0.000
67,22.000,0.000
68,22.000,0.000
69,22.000,0.000
70,22.000,0.000
71,22.000,0.000
72,22.000,0.000
73,22.000,0.000
74,22.000,0.000
75,22.000,0.000
76,22.000,0.000
77,22.000,0.000
78,22.000,0.000
79,22.000,0.000
80,22.000,0.000
81,22.000,0.000
82,22.000,0.000
83,22.000,0.000
84,22.000,0.000
85,22.000,0.000
86,22.000,0.000
87,22.000,0.000
88,22.000,0.000
89,22.000,0.000
90,22.000,0.000
91,22.000,0.000
92,22.000,0.000
93,22.000,0.000
94,22.000,0.000
95,22.000,0.000
96,22.000,0.000
97,22.000,0.000
98,22.000,0.000
99,22.000,0.000
100,22.000,0.000
101,22.000,0.000
102,22.000,0.000
103,22.000,0.000
104,22.000,0.000
105,22.000,0.000
106,22.000,0.000
107,22.000,0.000
108,22.000,0.000
109,22.000,0.000
110,22.000,0.000
111,22.000,0.000
112,22.000,0.000
113,22.000,0.000
114,22.000,0.000
115,22.000,0.000
116,22.000,0.000
117,22.000,0.000
118,22.000,0.000
119,22.000,0.000
120,22.000,0.000
121,22.000,0.000
122,22.000,0.000
123,22.000,0.000
124,22.000,0.000
125,22.000,0.000
126,22.000,0.000
127,22.000,0.000
128,22.000,0.000
129,22.000,0.000
130,22.000,0.000
131,22.000,0.000
132,22.000,0.000
133,22.000,0.000
134,22.000,0.000
135,22.000,0.000
136,22.000,0.000
137,16.100,3.143
138,22.000,0.000
139,22.000,0.000
140,22.000,0.000
141,22.000,0.000
142,22.000,0.000
143,22.000,0.000
144,20.500,3.171
145,20.500,3.171
146,19.200,3.615
147,20.500,3.171
148,19.900,3.381
149,20.500,3.171
150,21.200,2.530
151,18.100,4.122
152,19.000,3.887
153,22.000,0.000
154,21.200,2.530
155,20.500,3.171
156,18.200,4.022
157,22.000,0.000
158,20.600,2.951
159,20.500,3.171
160,18.300,3.917
161,18.400,3.806
162,22.000,0.000
163,19.100,3.755
164,17.400,3.978
165,21.200,2.530
166,16.900,3.542
167,20.500,3.171
168,17.500,3.894
169,17.700,3.713
170,20.500,3.171
171,19.800,3.553
172,22.000,0.000
173,19.700,3.713
174,19.100,3.755
175,19.600,3.864
176,19.700,3.713
177,22.000,0.000
178,18.400,3.806
179,19.800,3.553
180,19.000,3.887
