#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.008360,3,1,0,795
0.002613,4,1,0,1122
0.216359,5,1,0,1311
0.533236,6,1,0,1663
0.434859,7,1,0,1895
0.661318,8,1,0,1937
0.852319,9,1,0,2218
0.635984,10,1,0,2640
1.141611,0,0,0,0
40.838173,0,0,0,0
0.842657,0,0,0,0
1.352982,0,0,0,0
1.179281,0,0,0,0
1.357561,0,0,0,0
1.483639,0,0,0,0
1.510429,0,0,0,0
1.981920,0,0,0,0
1.862489,0,0,0,0
2.078092,0,0,0,0
2.273701,0,0,0,0
2.502236,0,0,0,0
3.586865,0,0,0,0
3.250921,0,0,0,0
3.203690,0,0,0,0
3.749334,0,0,0,0
3.790317,0,0,0,0
3.307114,0,0,0,0
3.946631,0,0,0,0
3.470692,0,0,0,0
3.842112,0,0,0,0
3.191535,0,0,0,0
3.894745,0,0,0,0
5.095126,0,0,0,0
3.237652,0,0,0,0
3.738899,0,0,0,0
4.147125,3,1,0,1105
3.089116,4,1,0,1392
0.003203,5,1,0,1666
0.002525,6,1,0,1955
0.389846,7,1,0,2356
1.024776,8,1,0,2762
0.733103,9,1,0,3041
0.828177,10,1,0,3189
2.697827,0,0,0,0
1.425016,0,0,0,0
1.067037,0,0,0,0
51.040388,0,0,0,0
1.034343,0,0,0,0
1.241761,0,0,0,0
1.787122,0,0,0,0
1.356863,0,0,0,0
1.532886,0,0,0,0
1.771028,0,0,0,0
2.624613,0,0,0,0
2.916592,0,0,0,0
2.580855,0,0,0,0
2.465639,0,0,0,0
3.143656,0,0,0,0
4.608734,0,0,0,0
4.180070,0,0,0,0
4.036006,0,0,0,0
3.245132,0,0,0,0
2.801577,0,0,0,0
3.669417,0,0,0,0
5.536195,0,0,0,0
3.457253,0,0,0,0
3.019227,0,0,0,0
4.244995,0,0,0,0
3.028596,0,0,0,0
5.382153,0,0,0,0
4.150302,0,0,0,0
4.512091,0,0,0,0
3.650703,0,0,0,0
2.292249,0,0,0,0
