#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
6.530653,0.039867,0.376834,0.007420,0.007420,6.967824
7.405879,0.072092,0.940774,0.002530,0.002530,8.423535
7.915712,0.093325,1.323587,0.345583,0.345583,18.402137
8.046327,0.091668,1.720762,0.416817,0.416817,20.518737
8.070917,0.036476,2.314213,0.741935,0.741935,25.867222
9.022710,0.028017,2.573781,1.258952,1.258952,33.443607
6.015991,0.016845,1.477212,1.539032,1.539032,25.914651
10.045353,0.025866,4.014400,1.763582,1.763582,32.856875
9.299635,0.029636,4.567255,2.311214,2.311214,41.479703
11.256722,0.026498,5.021218,74.225042,74.225042,111.394742
7.102792,0.023370,4.184254,1.878406,1.878406,37.044342
5.643799,0.006904,3.020473,1.320817,1.320817,36.006150
5.421158,0.009682,3.361847,1.660594,1.660594,29.425111
6.149255,0.007263,5.685410,2.383142,2.383142,58.483618
5.533221,0.006897,3.963039,1.854617,1.854617,35.023239
5.474378,0.006765,4.341032,2.035815,2.035815,36.532690
5.873893,0.005190,4.520914,2.332802,2.332802,44.504523
10.393620,0.036069,16.071446,2.265795,2.265795,75.429317
11.142761,0.123375,38.184644,2.886289,2.886289,98.001974
11.153497,0.278295,39.542709,2.431516,2.431516,104.470334
6.632543,0.169383,20.405205,2.321455,2.321455,77.114692
6.264725,0.175624,15.980863,2.945404,2.945404,78.481740
6.145134,0.134455,11.314903,2.985288,2.985288,67.424650
9.285341,0.157510,15.867169,4.345178,4.345178,80.500442
5.246470,0.080408,8.835463,3.222099,3.222099,64.408739
5.306602,0.059959,9.636539,3.030710,3.030710,69.282684
7.440013,0.090236,16.278094,3.031830,3.031830,73.352160
11.333670,0.170497,26.981175,2.973546,2.973546,94.783550
12.049906,0.337883,22.275353,3.036734,3.036734,103.324160
11.754222,0.298951,33.765626,3.195231,3.195231,106.148458
6.205196,0.186035,12.084969,3.549380,3.549380,72.233105
7.039032,0.146725,13.637753,3.446061,3.446061,69.040093
8.537878,0.131552,15.675071,3.116734,3.116734,74.336017
8.059626,0.133553,13.527165,2.835196,2.835196,71.834241
10.721606,0.168390,27.558692,3.079068,3.079068,90.378488
8.006665,0.196988,17.600144,4.194582,4.194582,80.160428
12.671464,0.338823,28.094533,3.016172,3.016172,90.609913
12.811618,0.306850,25.008644,3.001954,3.001954,89.425831
7.022539,0.143369,12.560310,2.710220,2.710220,69.074209
5.875196,0.102081,12.744336,2.661083,2.661083,67.564855
6.457320,0.098640,14.278036,2.964032,2.964032,84.143890
7.478239,0.093488,15.916680,3.149843,3.149843,74.299936
10.655011,0.143327,26.892804,2.798320,2.798320,96.462472
7.882871,0.120386,13.997670,2.734480,2.734480,79.340887
12.725726,0.266269,38.869795,2.901663,2.901663,103.273539
12.451075,0.290818,25.481315,4.005419,4.005419,242.714282
7.261599,0.138754,20.388087,3.016422,3.016422,80.874719
6.649379,0.061536,14.808706,2.734012,2.734012,71.680630
6.130608,0.062565,14.750794,2.471216,2.471216,80.091664
11.492027,0.076175,29.521285,2.737034,2.737034,95.314800
9.185777,0.056179,22.863344,3.059199,3.059199,93.544327
6.683527,0.045272,0.458678,0.002777,0.002777,7.192510
7.410399,0.126584,1.065308,0.002934,0.002934,8.606945
8.620615,0.170003,1.699893,0.576346,0.576346,23.164804
8.686867,0.129124,2.137347,0.326030,0.326030,20.306294
