#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.008736,3,1,0,422
0.001261,4,1,0,965
0.079628,5,1,0,1373
0.232500,6,1,0,1783
0.286668,7,1,0,2289
0.627470,8,1,0,2443
0.989625,9,1,0,2600
0.866416,10,1,0,3121
0.933561,0,0,0,0
43.163435,0,0,0,0
0.752391,0,0,0,0
0.633924,0,0,0,0
0.856339,0,0,0,0
1.115815,0,0,0,0
1.032562,0,0,0,0
1.267325,0,0,0,0
1.170106,0,0,0,0
1.173105,0,0,0,0
1.474915,0,0,0,0
1.482220,0,0,0,0
1.628201,0,0,0,0
2.017956,0,0,0,0
2.484504,0,0,0,0
2.338940,0,0,0,0
2.156738,0,0,0,0
2.427688,0,0,0,0
2.164551,0,0,0,0
2.154363,0,0,0,0
2.037912,0,0,0,0
2.089418,0,0,0,0
2.032901,0,0,0,0
2.154731,0,0,0,0
2.165852,0,0,0,0
1.530675,0,0,0,0
2.356052,0,0,0,0
1.860611,0,0,0,0
2.029900,0,0,0,0
2.791861,0,0,0,0
3.675575,0,0,0,0
2.056276,0,0,0,0
2.752083,0,0,0,0
3.116082,0,0,0,0
1.781046,0,0,0,0
2.780064,0,0,0,0
1.840904,0,0,0,0
2.850222,3,1,0,464
3.594732,4,1,0,580
0.002831,5,1,0,717
0.009576,6,1,0,861
0.221205,7,1,0,1019
0.384525,8,1,0,1164
0.511763,9,1,0,1308
0.724095,10,1,0,1455
0.320052,0,0,0,0
0.793998,0,0,0,0
0.855699,3,1,0,466
50.592598,4,1,0,653
0.706389,5,1,0,1115
1.223184,6,1,0,1469
0.003450,7,1,0,2178
0.002810,8,1,0,2850
0.350249,9,1,0,3305
0.469798,10,1,0,3850
0.680496,0,0,0,0
0.915103,0,0,0,0
0.939667,0,0,0,0
0.915722,0,0,0,0
0.992037,0,0,0,0
51.112633,0,0,0,0
0.699385,0,0,0,0
1.182636,0,0,0,0
1.024652,0,0,0,0
1.541414,0,0,0,0
1.230963,0,0,0,0
2.431412,0,0,0,0
1.434559,0,0,0,0
1.473780,0,0,0,0
1.431622,0,0,0,0
1.843684,0,0,0,0
2.286679,0,0,0,0
3.093304,0,0,0,0
3.224165,0,0,0,0
4.079667,0,0,0,0
3.047712,0,0,0,0
2.806049,0,0,0,0
3.070025,0,0,0,0
3.261482,0,0,0,0
3.163086,0,0,0,0
3.375531,0,0,0,0
3.126868,0,0,0,0
1.862201,0,0,0,0
1.477692,0,0,0,0
2.944743,0,0,0,0
2.165561,0,0,0,0
3.249471,0,0,0,0
2.254678,0,0,0,0
3.156764,0,0,0,0
1.962900,0,0,0,0
2.748205,0,0,0,0
2.172064,0,0,0,0
3.120342,0,0,0,0
3.019018,0,0,0,0
4.080769,0,0,0,0
3.259399,0,0,0,0
2.467290,0,0,0,0
2.496047,0,0,0,0
5.674000,0,0,0,0
2.855534,0,0,0,0
3.557230,0,0,0,0
2.508702,0,0,0,0
2.792337,0,0,0,0
3.162394,0,0,0,0
3.646402,0,0,0,0
3.310135,0,0,0,0
4.447809,0,0,0,0
4.460789,0,0,0,0
3.433996,0,0,0,0
5.261171,0,0,0,0
4.173830,0,0,0,0
4.735023,0,0,0,0
6.078650,0,0,0,0
3.735506,0,0,0,0
5.783514,0,0,0,0
2.774642,0,0,0,0
4.221694,0,0,0,0
3.471408,0,0,0,0
3.856056,0,0,0,0
3.182216,0,0,0,0
5.332486,0,0,0,0
4.956546,0,0,0,0
5.743004,0,0,0,0
4.985118,0,0,0,0
3.405233,0,0,0,0
4.450376,0,0,0,0
5.419867,0,0,0,0
3.257662,0,0,0,0
4.280274,0,0,0,0
3.723147,0,0,0,0
7.996298,0,0,0,0
5.346151,0,0,0,0
7.418453,0,0,0,0
4.181777,0,0,0,0
4.908574,0,0,0,0
3.856027,0,0,0,0
5.102429,0,0,0,0
7.654553,0,0,0,0
5.940984,0,0,0,0
6.734146,0,0,0,0
7.267430,0,0,0,0
6.624803,0,0,0,0
4.341348,0,0,0,0
8.868046,0,0,0,0
4.528621,0,0,0,0
7.989376,0,0,0,0
7.725454,0,0,0,0
5.456904,0,0,0,0
5.638209,0,0,0,0
10.167922,0,0,0,0
8.184763,0,0,0,0
9.123992,0,0,0,0
8.030282,0,0,0,0
5.013916,0,0,0,0
10.755565,0,0,0,0
8.938422,0,0,0,0
7.767990,0,0,0,0
10.264602,0,0,0,0
7.690427,0,0,0,0
12.698556,0,0,0,0
5.391210,0,0,0,0
11.071940,0,0,0,0
8.694668,0,0,0,0
10.107387,0,0,0,0
7.316085,0,0,0,0
5.162564,0,0,0,0
5.433844,0,0,0,0
7.896904,0,0,0,0
5.169208,0,0,0,0
7.895656,0,0,0,0
7.019332,0,0,0,0
5.070615,0,0,0,0
5.905899,0,0,0,0
4.642819,0,0,0,0
4.409689,0,0,0,0
6.464734,0,0,0,0
3.969578,0,0,0,0
3.339516,0,0,0,0
2.910962,0,0,0,0
4.922933,0,0,0,0
5.622013,0,0,0,0
4.499225,0,0,0,0
4.758986,0,0,0,0
5.697678,0,0,0,0
3.676176,0,0,0,0
4.941905,0,0,0,0
4.096856,0,0,0,0
5.529509,0,0,0,0
3.695172,0,0,0,0
5.518346,0,0,0,0
7.869044,0,0,0,0
7.134180,0,0,0,0
6.473048,0,0,0,0
6.383456,0,0,0,0
5.426757,0,0,0,0
5.179079,0,0,0,0
6.847640,0,0,0,0
