#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.004885,3,1,0,797
0.001427,4,1,0,1130
0.321516,5,1,0,1328
0.380988,6,1,0,1685
0.346248,7,1,0,1909
0.495764,8,1,0,1932
0.616646,9,1,0,2222
1.410213,10,1,0,2624
0.863248,0,0,0,0
49.378413,0,0,0,0
0.846590,0,0,0,0
1.260377,0,0,0,0
1.190159,0,0,0,0
1.275946,0,0,0,0
1.419422,0,0,0,0
1.336174,0,0,0,0
1.673705,0,0,0,0
1.708527,0,0,0,0
1.988815,0,0,0,0
2.949307,0,0,0,0
3.326891,0,0,0,0
3.243013,0,0,0,0
2.949910,0,0,0,0
3.430312,0,0,0,0
4.410966,0,0,0,0
3.201457,0,0,0,0
3.799118,0,0,0,0
3.454621,0,0,0,0
4.730715,0,0,0,0
3.142563,0,0,0,0
3.764975,0,0,0,0
3.207127,0,0,0,0
5.204333,0,0,0,0
4.768083,0,0,0,0
6.831635,0,0,0,0
4.192070,0,0,0,0
4.713927,0,0,0,0
5.602419,3,1,0,1087
4.608994,4,1,0,1391
0.002641,5,1,0,1671
0.003063,6,1,0,1975
0.545301,7,1,0,2396
0.450754,8,1,0,2794
1.184673,9,1,0,3077
0.722535,10,1,0,3142
2.592328,0,0,0,0
1.848302,0,0,0,0
0.990020,0,0,0,0
76.546124,0,0,0,0
1.812306,0,0,0,0
1.346625,0,0,0,0
2.905935,0,0,0,0
1.573206,0,0,0,0
1.447550,0,0,0,0
2.790763,0,0,0,0
2.699349,0,0,0,0
2.036889,0,0,0,0
2.454239,0,0,0,0
2.359677,0,0,0,0
3.741558,0,0,0,0
3.449983,0,0,0,0
4.523612,0,0,0,0
3.896064,0,0,0,0
3.623210,0,0,0,0
4.712981,0,0,0,0
3.666103,0,0,0,0
3.863183,0,0,0,0
3.822909,0,0,0,0
4.347351,0,0,0,0
3.969641,0,0,0,0
3.482629,0,0,0,0
3.435987,0,0,0,0
3.765035,0,0,0,0
3.748903,0,0,0,0
3.705538,0,0,0,0
3.338242,0,0,0,0
3.889779,0,0,0,0
3.684308,0,0,0,0
4.215991,0,0,0,0
3.366258,0,0,0,0
2.901318,0,0,0,0
3.334711,0,0,0,0
4.307148,0,0,0,0
2.521290,0,0,0,0
3.388597,0,0,0,0
4.157531,0,0,0,0
3.930048,0,0,0,0
3.801360,0,0,0,0
3.793541,0,0,0,0
3.000300,0,0,0,0
4.253247,0,0,0,0
4.366653,0,0,0,0
4.280392,0,0,0,0
2.938206,0,0,0,0
3.222394,0,0,0,0
3.616726,0,0,0,0
2.202076,0,0,0,0
2.977577,0,0,0,0
2.464739,0,0,0,0
3.593051,0,0,0,0
2.171161,0,0,0,0
3.615146,0,0,0,0
1.917393,0,0,0,0
3.028975,0,0,0,0
1.814311,0,0,0,0
5.560504,0,0,0,0
2.576337,0,0,0,0
3.292722,0,0,0,0
3.567625,0,0,0,0
2.985336,0,0,0,0
3.659353,0,0,0,0
2.534329,0,0,0,0
3.279431,0,0,0,0
2.855824,0,0,0,0
4.195424,0,0,0,0
4.585741,0,0,0,0
4.992228,0,0,0,0
3.428165,0,0,0,0
2.582955,0,0,0,0
4.534157,0,0,0,0
2.870526,0,0,0,0
3.760900,0,0,0,0
5.175967,0,0,0,0
3.744824,0,0,0,0
3.004223,0,0,0,0
4.783051,0,0,0,0
3.694630,0,0,0,0
3.389446,0,0,0,0
3.403593,0,0,0,0
3.291007,0,0,0,0
2.843756,0,0,0,0
3.261872,0,0,0,0
4.796712,0,0,0,0
2.676436,0,0,0,0
2.868094,0,0,0,0
3.730627,0,0,0,0
4.969293,0,0,0,0
4.400631,0,0,0,0
4.278817,0,0,0,0
7.985596,0,0,0,0
3.190615,0,0,0,0
4.161784,0,0,0,0
2.973965,0,0,0,0
2.786704,0,0,0,0
3.937807,0,0,0,0
3.018165,0,0,0,0
2.839212,0,0,0,0
3.659079,0,0,0,0
3.180358,0,0,0,0
7.401187,0,0,0,0
4.900911,0,0,0,0
6.150978,0,0,0,0
5.243135,0,0,0,0
3.875015,0,0,0,0
3.433249,0,0,0,0
4.643395,0,0,0,0
4.535344,0,0,0,0
5.214083,0,0,0,0
6.075353,0,0,0,0
5.950698,0,0,0,0
6.838914,0,0,0,0
6.532298,0,0,0,0
8.031774,0,0,0,0
7.536414,0,0,0,0
6.346164,0,0,0,0
8.117284,0,0,0,0
8.390637,0,0,0,0
8.926854,0,0,0,0
7.743074,0,0,0,0
6.948168,0,0,0,0
6.726413,0,0,0,0
5.626413,0,0,0,0
8.485821,0,0,0,0
5.694303,0,0,0,0
7.704938,0,0,0,0
6.333506,0,0,0,0
8.099575,0,0,0,0
6.178440,0,0,0,0
7.410462,0,0,0,0
8.679545,0,0,0,0
6.480802,0,0,0,0
6.599222,0,0,0,0
6.027965,0,0,0,0
7.409388,0,0,0,0
7.128050,0,0,0,0
7.433209,0,0,0,0
7.146085,0,0,0,0
5.005249,0,0,0,0
5.788185,0,0,0,0
6.500744,0,0,0,0
7.389725,0,0,0,0
6.330394,0,0,0,0
6.327271,0,0,0,0
4.760482,0,0,0,0
7.023522,0,0,0,0
6.004999,0,0,0,0
6.910981,0,0,0,0
7.249300,0,0,0,0
7.284489,0,0,0,0
8.166544,0,0,0,0
7.192249,0,0,0,0
5.943610,0,0,0,0
7.685243,0,0,0,0
5.470100,0,0,0,0
6.899683,0,0,0,0
6.433871,0,0,0,0
6.881040,0,0,0,0
6.495961,0,0,0,0
6.958009,0,0,0,0
6.189244,0,0,0,0
8.907447,0,0,0,0
8.494510,0,0,0,0
6.997949,0,0,0,0
8.292154,0,0,0,0
7.055450,0,0,0,0
6.308992,0,0,0,0
7.830170,0,0,0,0
8.252516,0,0,0,0
10.078731,0,0,0,0
9.060224,0,0,0,0
8.592682,0,0,0,0
9.035617,0,0,0,0
9.101690,0,0,0,0
11.033495,0,0,0,0
8.778406,0,0,0,0
9.522583,0,0,0,0
8.814860,0,0,0,0
11.973672,0,0,0,0
7.191455,0,0,0,0
10.128463,0,0,0,0
9.422256,0,0,0,0
9.655548,0,0,0,0
11.064408,0,0,0,0
8.193233,0,0,0,0
10.528373,0,0,0,0
7.804791,0,0,0,0
8.960872,0,0,0,0
10.170253,0,0,0,0
10.413091,0,0,0,0
8.279026,0,0,0,0
9.894673,0,0,0,0
10.690191,0,0,0,0
9.531578,0,0,0,0
15.032505,0,0,0,0
14.905893,0,0,0,0
9.221264,0,0,0,0
7.110522,0,0,0,0
8.988779,0,0,0,0
14.638833,0,0,0,0
11.736044,0,0,0,0
9.560333,0,0,0,0
12.108421,0,0,0,0
8.296970,0,0,0,0
9.992867,0,0,0,0
9.991674,0,0,0,0
8.451123,0,0,0,0
7.614124,0,0,0,0
10.118994,0,0,0,0
7.132278,0,0,0,0
9.700235,0,0,0,0
9.621186,0,0,0,0
8.214821,0,0,0,0
12.711719,0,0,0,0
10.512827,0,0,0,0
8.321806,0,0,0,0
11.619127,0,0,0,0
9.057356,0,0,0,0
9.348608,0,0,0,0
8.155734,0,0,0,0
15.055122,0,0,0,0
8.002127,0,0,0,0
9.612993,0,0,0,0
10.400991,0,0,0,0
9.782578,0,0,0,0
11.208425,0,0,0,0
9.068560,0,0,0,0
9.651189,0,0,0,0
9.278221,0,0,0,0
9.017953,0,0,0,0
7.747418,0,0,0,0
7.637191,0,0,0,0
7.129133,0,0,0,0
6.376454,0,0,0,0
8.854602,0,0,0,0
9.257066,0,0,0,0
6.050720,0,0,0,0
6.299629,0,0,0,0
8.687157,0,0,0,0
8.511144,0,0,0,0
7.363582,0,0,0,0
6.395560,0,0,0,0
5.259821,0,0,0,0
7.784741,0,0,0,0
6.941425,0,0,0,0
7.538080,0,0,0,0
6.092324,0,0,0,0
7.786625,0,0,0,0
5.100231,0,0,0,0
4.908784,0,0,0,0
6.008569,0,0,0,0
7.763620,0,0,0,0
6.361599,0,0,0,0
6.290214,0,0,0,0
7.943353,0,0,0,0
9.619265,0,0,0,0
6.763970,0,0,0,0
8.125843,0,0,0,0
9.164841,0,0,0,0
9.127170,0,0,0,0
9.259664,0,0,0,0
9.726745,0,0,0,0
7.875587,0,0,0,0
11.978164,0,0,0,0
6.900097,0,0,0,0
12.939042,0,0,0,0
11.457490,0,0,0,0
8.170725,0,0,0,0
11.808038,0,0,0,0
10.498757,0,0,0,0
9.368862,0,0,0,0
9.524969,0,0,0,0
10.598059,0,0,0,0
12.678522,0,0,0,0
10.717083,0,0,0,0
11.005131,0,0,0,0
15.462328,0,0,0,0
12.734688,0,0,0,0
10.422609,0,0,0,0
7.762561,0,0,0,0
14.910486,0,0,0,0
10.442320,0,0,0,0
9.487164,0,0,0,0
11.605291,0,0,0,0
9.851174,0,0,0,0
10.483988,0,0,0,0
9.038623,0,0,0,0
8.008699,0,0,0,0
12.775969,0,0,0,0
15.085093,0,0,0,0
11.538969,0,0,0,0
16.410551,0,0,0,0
9.658202,0,0,0,0
14.352950,0,0,0,0
13.441310,0,0,0,0
11.289489,0,0,0,0
10.684827,0,0,0,0
11.417838,0,0,0,0
16.267786,0,0,0,0
9.533759,0,0,0,0
8.278986,0,0,0,0
8.916918,0,0,0,0
9.902275,0,0,0,0
8.379543,0,0,0,0
8.364028,0,0,0,0
14.045244,0,0,0,0
11.789090,0,0,0,0
13.910946,0,0,0,0
12.834075,0,0,0,0
14.407148,0,0,0,0
10.088967,0,0,0,0
12.266453,0,0,0,0
10.392033,0,0,0,0
6.973916,0,0,0,0
11.494379,0,0,0,0
9.712569,0,0,0,0
7.817398,0,0,0,0
8.182296,0,0,0,0
