#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403638518077829376.000000,0.000000,0.000000,15.335648,2.473243,0.002270,4.789321,0.861457,0.001267,20.179763
1403638518127829504.000000,0.000000,0.000000,14.279223,2.406893,0.049598,0.815350,0.816076,0.000410,20.217876
1403638518177829376.000000,0.000000,0.000000,14.431118,3.789265,0.067596,0.763223,0.705848,0.000356,21.834415
1403638518227829504.000000,0.000000,0.000000,15.173214,6.733035,0.083429,0.609693,0.616707,0.000396,24.933982
1403638518277829376.000000,0.000000,0.000000,15.393635,7.809120,0.096345,0.578872,0.644937,0.223909,27.018118
1403638518327829504.000000,0.000000,0.000000,14.785019,7.514407,0.097564,0.869362,1.033773,0.000387,25.352071
1403638518377829376.000000,0.000000,0.000000,15.282358,6.565979,0.101085,0.655916,1.029683,0.000368,25.936644
1403638518427829504.000000,0.000000,0.000000,14.704181,5.093501,0.046509,0.506202,1.195622,0.000327,23.289084
1403638518477829376.000000,0.000000,0.000000,13.094755,2.176585,0.052034,1.305510,2.593216,0.000686,18.033207
1403638518527829504.000000,0.000000,0.000000,15.265254,2.516315,0.055244,1.106832,2.391828,0.000720,21.181903
1403638518577829376.000000,0.000000,0.000000,14.905757,5.795571,0.100218,0.490559,1.165972,0.295519,24.719822
1403638518627829504.000000,0.000000,0.000000,15.940595,6.073594,0.094674,1.454255,1.420000,0.000474,25.349331
1403638518677829376.000000,0.000000,0.000000,14.704225,5.544413,0.080575,1.103144,1.407455,0.000442,23.626868
1403638518727829504.000000,0.000000,0.000000,15.874798,3.937119,0.055569,1.097971,1.431190,0.000449,22.525627
1403638518777829376.000000,0.000000,0.000000,14.451130,2.174160,0.056121,1.144169,1.427412,0.000541,19.925603
1403638518827829504.000000,0.000000,0.000000,14.894233,5.904921,0.098841,1.005558,1.332048,0.000476,24.092855
1403638518877829376.000000,0.000000,0.000000,15.530948,2.360913,0.043835,0.887222,1.241118,0.342922,21.210436
1403638518927829504.000000,0.000000,0.000000,14.910461,2.280425,0.055433,2.210974,3.308928,0.000574,20.285212
1403638518977829376.000000,0.000000,0.000000,14.260228,2.598022,0.057321,2.519255,3.042105,0.000428,20.244936
1403638519027829504.000000,0.000000,0.000000,14.146017,2.351541,0.052862,2.569354,2.813708,0.000479,19.659897
1403638519077829376.000000,0.000000,0.000000,14.828517,5.579174,0.093336,2.495406,2.919573,0.000584,24.250154
1403638519127829504.000000,0.000000,0.000000,14.508821,5.396230,0.090878,1.986490,2.796886,0.000544,23.482953
1403638519177829376.000000,0.000000,0.000000,14.479880,2.665263,0.052988,2.135215,2.698565,0.276560,20.015209
1403638519227829504.000000,0.000000,0.000000,15.540150,2.559753,0.046373,2.916399,2.833769,0.000496,21.723307
1403638519277829376.000000,0.000000,0.000000,13.581083,2.211269,0.053242,2.725848,3.132232,0.000527,18.243644
1403638519327829504.000000,0.000000,0.000000,14.381045,5.716532,0.097855,2.543420,3.287124,0.000532,22.933087
1403638519377829376.000000,0.000000,0.000000,14.504426,3.342462,0.093068,2.472044,3.089560,0.000633,20.998717
1403638519427829504.000000,0.000000,0.000000,14.700414,2.620052,0.053961,4.156704,4.977552,0.354472,20.856460
1403638519477829376.000000,0.000000,0.000000,14.977151,6.712099,0.100934,4.372470,4.893770,0.000520,24.863339
1403638519527829504.000000,0.000000,0.000000,15.857334,2.896843,0.046337,2.494604,3.353784,0.000830,22.201743
1403638519577829376.000000,0.000000,0.000000,15.888936,2.372412,0.043311,2.752608,5.744027,0.000828,21.806110
1403638519627829504.000000,0.000000,0.000000,14.877073,6.322948,0.085532,2.078295,3.698668,0.000448,25.209805
1403638519677829376.000000,0.000000,0.000000,15.091533,2.690170,0.045715,3.374530,5.303140,0.379611,21.318328
1403638519727829504.000000,0.000000,0.000000,16.832311,2.403669,0.049855,5.140568,6.884170,0.000860,22.023703
1403638519777829376.000000,0.000000,0.000000,15.270415,2.513566,0.055363,2.408171,3.469180,0.000458,21.499985
1403638519827829504.000000,0.000000,0.000000,13.618581,2.693987,0.054980,3.455837,5.924989,0.000644,19.512751
1403638519877829376.000000,0.000000,0.000000,14.746834,5.696640,0.083041,1.663527,3.550998,0.000428,24.019671
1403638519927829504.000000,0.000000,0.000000,14.609498,3.212070,0.044147,2.649807,5.972361,0.301099,20.700380
1403638519977829376.000000,0.000000,0.000000,15.129069,2.896124,0.055663,2.960516,6.351593,0.000647,21.741584
1403638520027829504.000000,0.000000,0.000000,17.028410,7.550550,0.083355,2.847246,6.479746,0.000745,27.952954
1403638520077829376.000000,0.000000,0.000000,14.654193,5.628624,0.081251,2.068567,6.037036,0.000596,24.204979
1403638520127829504.000000,0.000000,0.000000,15.964001,3.205983,0.042839,1.131744,3.369796,0.000383,22.701693
1403638520177829376.000000,0.000000,0.000000,15.907089,5.909068,0.087028,2.828759,6.467887,0.359899,25.879285
1403638520227829504.000000,0.000000,0.000000,14.444084,6.051318,0.092967,4.147453,7.481372,0.000808,24.281313
1403638520277829376.000000,0.000000,0.000000,16.114492,5.625098,0.082891,3.379816,5.292539,0.000680,25.646534
1403638520327829504.000000,0.000000,0.000000,14.949605,5.636331,0.082991,3.916805,5.694159,0.000598,24.352298
1403638520377829376.000000,0.000000,0.000000,15.229672,5.570986,0.081404,2.047805,5.613606,0.000878,24.122131
1403638520427829504.000000,0.000000,0.000000,14.829215,6.017392,0.079968,1.997803,3.749682,0.265942,24.516598
1403638520477829376.000000,0.000000,0.000000,15.692715,5.719172,0.080525,2.784859,4.736474,0.000512,25.210185
1403638520527829504.000000,0.000000,0.000000,15.086632,5.572142,0.083478,0.044557,8.167543,0.336669,24.530264
1403638520577829376.000000,0.000000,0.000000,16.624680,5.744592,0.080708,0.053496,8.979402,0.062827,25.698297
1403638520627829504.000000,0.000000,0.000000,16.480453,6.244984,0.086168,0.059288,10.207265,0.466673,26.788927
1403638520677829376.000000,0.000000,0.000000,15.680829,6.745134,0.098841,0.052343,10.181779,0.076005,26.396437
1403638520727829504.000000,0.000000,0.000000,14.697476,2.397981,0.065114,0.048926,5.915020,0.318522,20.569782
1403638520777829376.000000,0.000000,0.000000,15.675379,5.598951,0.052590,0.057887,7.020492,0.293446,24.850110
1403638520827829504.000000,0.000000,0.000000,13.580048,2.643745,0.056848,0.053189,7.586180,0.066533,19.331824
1403638520877829376.000000,0.000000,0.000000,15.983300,2.351616,0.057258,0.051979,7.209119,0.053408,21.625663
1403638520927829504.000000,0.000000,0.000000,15.279195,2.477002,0.042083,0.047525,7.911825,0.303430,20.514591
1403638520977829376.000000,0.000000,0.000000,15.775414,2.302508,0.049256,0.036596,10.742723,0.079233,21.345647
1403638521027829504.000000,0.000000,0.000000,15.254491,6.192884,0.087205,0.037350,6.867480,0.272402,25.526604
1403638521077829376.000000,0.000000,0.000000,14.556798,4.846366,0.074376,0.073758,11.668125,0.077881,22.921996
1403638521127829504.000000,0.000000,0.000000,15.628299,5.815717,0.096957,0.085948,12.254247,0.393583,24.552834
1403638521177829376.000000,0.000000,0.000000,15.743893,5.777808,0.096111,0.039575,8.334313,0.060844,25.315265
1403638521227829504.000000,0.000000,0.000000,15.643852,6.320605,0.102291,0.032659,7.420765,0.281062,25.953014
1403638521277829376.000000,0.000000,0.000000,15.910591,2.361155,0.036367,0.077684,12.934222,0.081931,21.680488
1403638521327829504.000000,0.000000,0.000000,15.346663,5.784638,0.086608,0.054554,7.334773,0.267353,25.030716
1403638521377829376.000000,0.000000,0.000000,14.160531,5.790777,0.095598,0.061276,8.134560,0.063213,23.323579
1403638521427829504.000000,0.000000,0.000000,14.642833,5.540670,0.097131,0.030112,6.902671,0.315279,23.973567
1403638521477829376.000000,0.000000,0.000000,15.000587,5.262841,0.064568,0.066433,10.405975,0.072941,23.591807
1403638521527829504.000000,0.000000,0.000000,15.183357,2.468755,0.045770,0.030920,6.561259,0.046354,20.553369
1403638521577829376.000000,0.000000,0.000000,14.623523,3.563788,0.040037,0.045933,7.740486,0.253553,21.973062
