#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
7.950603,0.039326,0.405207,0.008890,0.008890,8.411193
8.171919,0.112024,1.334730,0.003057,0.003057,9.624019
8.392961,0.184352,4.612263,0.114009,0.114009,25.397759
8.720807,0.252787,9.566927,0.582390,0.582390,41.118369
9.678974,0.347156,11.102732,0.532986,0.532986,41.594791
9.566627,0.260441,11.952206,0.525020,0.525020,50.571413
9.249190,0.317180,12.007133,1.362818,1.362818,48.836779
8.276376,0.255074,10.992958,1.580384,1.580384,53.537023
8.720600,0.186979,13.788305,1.030915,1.030915,66.072275
10.108688,0.252691,21.837813,72.326970,72.326970,141.171605
6.757825,0.123912,12.485652,0.799983,0.799983,45.860519
11.044087,0.322536,21.741055,1.245867,1.245867,77.039916
10.753657,0.219308,19.825341,1.156693,1.156693,79.084721
8.948095,0.198062,15.039756,1.194388,1.194388,68.212445
9.398712,0.152568,15.976349,1.539453,1.539453,67.598209
8.442457,0.113245,14.134348,1.325591,1.325591,73.310195
7.069415,0.105707,11.471150,1.689910,1.689910,63.830406
6.044618,0.109445,16.477525,1.743877,1.743877,79.779071
13.111444,0.261240,23.965515,2.103272,2.103272,84.744065
12.468108,0.343939,29.622967,2.434264,2.434264,104.150759
6.742942,0.068583,10.144442,2.002595,2.002595,71.948513
9.485526,0.153979,32.515846,4.273102,4.273102,208.163947
13.711123,0.200915,29.061634,3.687727,3.687727,105.148745
13.884740,0.170426,31.127908,3.270167,3.270167,108.851537
7.218113,0.097495,14.265639,3.106566,3.106566,75.172087
7.128389,0.083572,12.491700,2.892079,2.892079,71.899536
6.702700,0.079925,12.611533,3.058657,3.058657,75.120396
14.153627,0.204465,35.943528,3.338048,3.338048,118.224750
13.220241,0.198566,39.765732,3.251271,3.251271,121.990713
14.617537,0.294030,33.961372,2.592040,2.592040,119.548643
14.574424,0.413337,32.034896,2.975373,2.975373,124.355223
13.425727,0.217342,27.086947,3.763980,3.763980,132.131876
12.744826,0.171439,25.583972,3.895692,3.895692,115.005611
5.533631,0.074417,8.954804,3.467892,3.467892,75.677570
5.765346,0.110927,11.330690,4.298273,4.298273,78.611300
6.033564,0.108061,11.879118,2.973636,2.973636,79.672255
6.687944,0.162633,13.027589,2.149461,2.149461,77.493323
8.154839,0.062372,0.655392,0.002984,0.002984,8.877499
8.020009,0.210499,2.005218,0.002739,0.002739,10.240956
9.021600,0.293876,2.989039,0.519341,0.519341,31.482579
9.355469,0.293336,4.162980,1.293684,1.293684,30.179125
9.536694,0.234428,4.891883,0.793301,0.793301,35.967277
9.809789,0.170976,5.930929,2.126022,2.126022,38.598902
9.749597,0.192902,7.723909,2.221051,2.221051,44.367852
9.668645,0.243461,12.395140,1.650082,1.650082,43.119169
9.175173,0.395671,21.486041,1.131383,1.131383,74.812999
9.232768,0.445810,21.779241,78.108747,78.108747,151.745670
6.064694,0.203092,11.478324,1.375614,1.375614,44.244866
9.664966,0.405968,23.531264,1.322530,1.322530,75.980848
9.562327,0.306450,23.685962,1.401154,1.401154,78.553862
5.825716,0.144922,10.352549,2.048649,2.048649,48.097198
6.499529,0.110703,12.596264,2.085136,2.085136,65.161128
8.607036,0.185904,16.908475,1.869385,1.869385,74.296735
9.339085,0.191507,20.392737,2.094347,2.094347,72.742959
8.595662,0.183582,20.042137,2.269636,2.269636,74.431291
8.887946,0.147432,15.380710,1.751889,1.751889,72.970187
9.675328,0.164876,17.963550,2.309430,2.309430,79.023510
6.741625,0.118515,10.389392,2.192833,2.192833,68.046101
7.691516,0.114916,12.561509,2.710384,2.710384,75.128221
5.977333,0.081253,11.654207,2.978818,2.978818,72.209317
10.431675,0.167209,27.068120,3.376955,3.376955,100.880293
13.175266,0.269610,34.622635,3.102039,3.102039,125.770254
12.867209,0.272537,32.077479,3.110314,3.110314,300.960434
7.879947,0.171146,15.334046,2.854483,2.854483,77.272991
12.462082,0.261800,31.004464,3.092075,3.092075,116.259888
11.851479,0.294580,32.914115,2.979384,2.979384,96.745073
7.248538,0.116371,19.703604,2.742877,2.742877,77.779697
7.459683,0.137361,17.270130,2.825589,2.825589,77.217181
12.186555,0.233398,29.229745,3.168489,3.168489,100.904994
6.954815,0.111718,12.018326,2.753115,2.753115,72.786579
6.271136,0.109487,12.512528,2.556188,2.556188,72.388750
12.361988,0.256807,32.437240,2.937030,2.937030,105.882205
7.331437,0.097390,16.171314,2.774641,2.774641,74.774331
8.432998,0.140302,16.227722,3.354758,3.354758,76.509333
7.822651,0.124562,15.552511,2.726484,2.726484,75.638365
7.582369,0.124784,14.901606,2.707254,2.707254,73.748989
9.319656,0.299825,17.121993,2.471020,2.471020,78.994899
7.040933,0.165545,15.441971,1.988588,1.988588,71.769313
8.241202,0.221365,19.647545,2.720254,2.720254,81.388111
11.253273,0.354765,29.011147,2.863959,2.863959,100.877552
5.858537,0.178988,15.192404,3.198970,3.198970,78.894079
6.653595,0.200326,15.672760,3.715567,3.715567,84.746180
6.839876,0.198858,19.117223,4.185571,4.185571,79.589154
10.397853,0.294259,22.062902,3.362326,3.362326,94.822715
6.048778,0.194669,10.768751,3.690034,3.690034,71.552453
7.250710,0.196868,13.481905,1.798619,1.798619,72.515700
7.164977,0.167439,21.219924,2.655315,2.655315,82.102609
7.181475,0.156729,20.165058,2.621973,2.621973,80.097875
5.558750,0.135598,13.973925,3.086168,3.086168,67.206516
7.132232,0.225913,21.230352,2.438888,2.438888,81.401759
6.358414,0.225217,21.233094,2.737824,2.737824,85.527709
4.982584,0.175407,14.443238,3.617028,3.617028,68.535053
7.049651,0.195431,20.653711,1.986063,1.986063,75.922071
5.580306,0.165851,14.088219,1.988508,1.988508,77.872136
7.208181,0.161258,15.894755,2.868706,2.868706,79.484197
6.621107,0.124552,13.453309,2.946476,2.946476,71.111898
7.674091,0.144620,17.881064,2.836891,2.836891,77.731468
5.927823,0.118493,11.862400,2.906828,2.906828,72.708859
6.402745,0.127752,13.959062,2.801468,2.801468,71.573984
7.746595,0.162640,16.544431,3.135897,3.135897,78.878209
6.362842,0.149757,14.179602,3.122317,3.122317,77.601660
7.256524,0.168880,17.569571,3.161106,3.161106,77.898358
6.558607,0.144621,15.999820,2.247452,2.247452,74.005574
7.453347,0.173556,17.684086,2.221308,2.221308,78.439562
8.207735,0.192073,17.963576,2.889546,2.889546,83.748443
6.731642,0.160731,14.782460,3.644238,3.644238,80.452216
6.320076,0.139963,12.400264,3.193660,3.193660,72.339309
6.652824,0.172459,13.291663,1.950913,1.950913,70.576160
5.347726,0.139189,11.329675,3.184653,3.184653,73.276284
6.545509,0.163408,18.722738,2.029675,2.029675,74.208205
6.692396,0.128923,15.097156,2.709674,2.709674,74.439313
7.809955,0.179838,18.926455,2.726913,2.726913,80.482986
7.844879,0.191616,19.147645,1.758817,1.758817,81.523467
5.219203,0.136842,13.870556,2.649584,2.649584,75.082815
6.860927,0.168578,18.107599,2.581665,2.581665,80.545449
7.272676,0.159815,19.693765,2.567036,2.567036,83.738635
6.927727,0.151932,22.633942,3.680137,3.680137,85.153572
10.604460,0.245546,26.385477,3.527699,3.527699,101.921275
11.776780,0.285041,37.580794,2.971531,2.971531,126.055942
11.605478,0.274820,41.594658,3.351901,3.351901,112.604085
11.140756,0.284623,39.000397,3.105964,3.105964,121.913163
11.069427,0.219718,32.173700,2.565661,2.565661,106.977485
6.081424,0.152588,14.575557,2.408729,2.408729,76.805178
6.891888,0.179750,17.175041,2.042507,2.042507,80.846242
11.494941,0.269950,33.288669,3.082776,3.082776,112.265098
6.956857,0.132963,19.605245,3.371967,3.371967,88.619690
10.483160,0.343569,36.281410,2.731696,2.731696,130.370592
11.651184,0.273813,36.496590,2.977090,2.977090,123.545551
9.540915,0.153436,21.615341,4.080582,4.080582,89.567407
11.380617,0.243801,35.387326,3.554371,3.554371,102.879022
6.287764,0.089506,15.691307,4.021046,4.021046,79.630726
10.160488,0.262927,26.834342,3.810503,3.810503,103.537351
10.569642,0.275867,34.443047,4.192772,4.192772,103.941564
9.730749,0.175389,25.186655,4.082340,4.082340,97.613559
7.230607,0.137477,18.164657,5.151921,5.151921,88.781681
5.505874,0.079959,11.874619,2.079349,2.079349,76.571442
4.887592,0.060924,11.626642,4.233627,4.233627,76.352769
6.498018,0.066732,12.789760,2.823998,2.823998,75.642204
7.023282,0.069074,16.413890,2.662569,2.662569,80.652545
8.056698,0.067865,17.934551,4.003875,4.003875,85.511929
9.551014,0.095878,20.678916,2.168411,2.168411,90.072320
5.223593,0.048087,10.318633,3.263609,3.263609,73.468690
7.049220,0.070877,13.302112,3.089408,3.089408,75.677920
7.475341,0.069821,13.512653,3.162850,3.162850,78.074859
10.576044,0.111755,25.934125,3.737093,3.737093,113.269201
10.570845,0.064862,22.838789,3.230896,3.230896,97.453011
10.561562,0.051369,23.958530,4.053204,4.053204,115.481552
10.580078,0.050836,26.861924,2.045381,2.045381,112.682557
