#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403638127295097088.000000,0.000000,0.000000,12.818584,2.429181,0.001998,8.328318,2.096085,0.002576,17.534686
1403638127345096960.000000,0.000000,0.000000,14.388924,2.264057,0.075618,0.826623,0.961198,0.000388,19.812034
1403638127395097088.000000,0.000000,0.000000,15.323221,2.409756,0.042401,1.728415,1.892556,0.000783,20.509107
1403638127445096960.000000,0.000000,0.000000,15.123815,2.642913,0.049531,0.765680,0.772686,0.000376,21.003642
1403638127495097088.000000,0.000000,0.000000,15.426729,2.371246,0.042689,0.781924,0.884412,0.161689,20.868606
1403638127545096960.000000,0.000000,0.000000,14.349563,2.270111,0.066900,0.853538,0.824829,0.000396,19.875997
1403638127595097088.000000,0.000000,0.000000,15.412770,5.654092,0.043033,0.824612,0.889578,0.000419,23.595491
1403638127645096960.000000,0.000000,0.000000,15.392031,2.396753,0.044473,1.752952,2.532796,0.000720,20.991503
1403638127695097088.000000,0.000000,0.000000,15.076973,5.732179,0.098518,0.635383,0.996930,0.000379,24.266651
1403638127745096960.000000,0.000000,0.000000,15.264099,5.701406,0.101805,0.623079,0.943541,0.208558,24.768720
1403638127795097088.000000,0.000000,0.000000,14.734394,5.647658,0.107602,1.165858,1.074104,0.000413,24.140497
1403638127845096960.000000,0.000000,0.000000,14.616023,5.666120,0.083258,0.843049,1.036916,0.000408,23.422504
1403638127895097088.000000,0.000000,0.000000,15.378030,2.620896,0.043309,0.867354,1.179976,0.000445,21.184600
1403638127945096960.000000,0.000000,0.000000,14.483764,2.220245,0.081775,0.868369,1.043699,0.000422,20.207072
1403638127995097088.000000,0.000000,0.000000,15.728240,5.620729,0.054975,0.872484,1.111561,0.224308,24.683834
1403638128045096960.000000,0.000000,0.000000,15.373445,2.248884,0.049475,1.063990,1.070676,0.000400,20.894032
1403638128095097088.000000,0.000000,0.000000,15.865540,2.403704,0.043586,0.941112,1.248768,0.000420,21.574853
1403638128145096960.000000,0.000000,0.000000,14.406973,5.984751,0.100878,0.929578,1.248978,0.000423,23.475667
1403638128195097088.000000,0.000000,0.000000,15.630456,4.734864,0.057823,1.056551,1.158469,0.000408,23.395903
1403638128245096960.000000,0.000000,0.000000,15.596943,5.542249,0.101602,0.888811,1.250376,0.219810,24.271734
1403638128295097088.000000,0.000000,0.000000,15.297576,2.445465,0.043572,3.194906,2.821495,0.000695,20.520006
1403638128345096960.000000,0.000000,0.000000,14.532965,5.798751,0.095132,1.202125,1.438018,0.000414,23.247884
1403638128395097088.000000,0.000000,0.000000,14.674515,5.680977,0.097185,2.352176,3.111758,0.000632,23.454536
1403638128445096960.000000,0.000000,0.000000,16.029135,2.703284,0.041941,0.844483,1.387597,0.000361,21.950910
1403638128495097088.000000,0.000000,0.000000,14.705424,5.499610,0.098492,2.228818,2.582807,0.588920,24.087971
1403638128545096960.000000,0.000000,0.000000,15.469829,5.387229,0.097701,1.956339,2.464687,0.000463,24.464096
1403638128595097088.000000,0.000000,0.000000,14.964278,2.372798,0.043984,2.014813,2.431314,0.000355,20.549375
1403638128645096960.000000,0.000000,0.000000,14.910599,2.458344,0.041039,1.961055,2.135949,0.000386,20.237247
1403638128695097088.000000,0.000000,0.000000,15.246834,2.268163,0.053030,3.129787,3.989399,0.000536,20.468185
1403638128745096960.000000,0.000000,0.000000,14.884661,2.427559,0.044959,1.544675,2.242489,0.357119,20.688975
1403638128795097088.000000,0.000000,0.000000,15.146545,5.868630,0.100135,2.531339,2.785968,0.000420,24.350142
1403638128845096960.000000,0.000000,0.000000,14.696154,5.572742,0.095618,3.122792,3.535685,0.000472,23.998586
1403638128895097088.000000,0.000000,0.000000,14.604310,2.442686,0.042849,4.192389,4.647215,0.000503,20.706233
1403638128945096960.000000,0.000000,0.000000,15.025678,5.530864,0.108114,2.880870,3.172097,0.000419,34.756158
1403638128995097088.000000,0.000000,0.000000,15.706321,2.492203,0.078828,4.268145,5.297277,0.476635,22.726118
1403638129045096960.000000,0.000000,0.000000,15.505498,5.707850,0.104545,3.166850,4.424053,0.000525,28.204792
1403638129095097088.000000,0.000000,0.000000,16.085563,2.758880,0.050181,3.367469,4.062676,0.000474,23.700853
1403638129145096960.000000,0.000000,0.000000,15.346454,2.387881,0.047399,2.590234,3.806767,0.000497,22.743906
1403638129195097088.000000,0.000000,0.000000,16.742167,5.785288,0.054956,2.331511,3.337862,0.000396,27.691957
1403638129245096960.000000,0.000000,0.000000,15.924032,3.010649,0.044709,3.814770,5.382200,0.325833,23.346952
1403638129295097088.000000,0.000000,0.000000,15.046315,7.432597,0.102771,2.328676,3.399138,0.000460,30.347391
1403638129345096960.000000,0.000000,0.000000,16.344239,4.230629,0.042910,2.121215,3.396448,0.000382,25.138835
1403638129395097088.000000,0.000000,0.000000,14.894344,3.885733,0.050544,2.302340,3.043939,0.000480,23.797689
1403638129445096960.000000,0.000000,0.000000,15.189473,4.350502,0.040941,3.599829,4.959743,0.000602,25.178004
1403638129495097088.000000,0.000000,0.000000,14.778826,4.183810,0.043482,2.245194,3.491034,0.241852,23.971355
1403638129545096960.000000,0.000000,0.000000,15.434166,4.192508,0.044412,2.522916,4.402174,0.000533,24.749245
1403638129595097088.000000,0.000000,0.000000,16.324027,3.871792,0.045134,0.038739,5.313263,0.061897,25.580851
1403638129645096960.000000,0.000000,0.000000,14.628956,3.985256,0.045205,0.031104,7.689531,0.061887,24.077057
1403638129695097088.000000,0.000000,0.000000,14.675424,3.439806,0.054558,0.044433,9.483020,0.065202,23.635175
1403638129745096960.000000,0.000000,0.000000,16.307499,3.893527,0.046927,0.044473,9.956902,0.409293,25.518894
1403638129795097088.000000,0.000000,0.000000,15.366353,3.320086,0.055059,0.041270,7.248039,0.055241,23.910193
1403638129845096960.000000,0.000000,0.000000,14.667748,3.937864,0.046871,0.042044,6.640559,0.051463,23.435280
1403638129895097088.000000,0.000000,0.000000,15.419218,3.984175,0.047018,0.035746,7.330082,0.331801,24.471177
1403638129945096960.000000,0.000000,0.000000,14.585027,10.493211,0.106653,0.039862,8.149087,0.065497,34.754340
1403638129995097088.000000,0.000000,0.000000,14.793621,4.502053,0.045355,0.045039,6.551820,0.309896,24.722663
1403638130045096960.000000,0.000000,0.000000,18.497443,9.494767,0.088793,0.037919,7.884109,0.070124,36.416253
1403638130095097088.000000,0.000000,0.000000,15.301077,8.120266,0.046017,0.047217,7.149862,0.300042,29.042441
1403638130145096960.000000,0.000000,0.000000,14.497581,11.731594,0.090630,0.062743,11.476183,0.095835,35.128430
1403638130195097088.000000,0.000000,0.000000,14.563247,4.331348,0.043677,0.066801,9.880594,0.423032,26.216478
1403638130245096960.000000,0.000000,0.000000,14.589891,4.838783,0.045362,0.038371,8.158349,0.064228,27.349971
1403638130295097088.000000,0.000000,0.000000,15.362353,4.589012,0.055941,0.042163,6.418190,0.286222,26.557754
1403638130345096960.000000,0.000000,0.000000,15.981019,9.658531,0.083346,0.050095,7.758060,0.057900,35.941231
1403638130395097088.000000,0.000000,0.000000,14.258234,5.584668,0.050493,0.039153,6.434658,0.230198,26.608436
1403638130445096960.000000,0.000000,0.000000,14.346477,5.192938,0.062811,0.056952,12.568999,0.076970,27.710634
1403638130495097088.000000,0.000000,0.000000,14.704101,5.499893,0.033422,0.036168,5.958817,0.039400,29.953944
1403638130545096960.000000,0.000000,0.000000,14.384495,9.717029,0.077186,0.025889,6.724511,0.044243,36.377476
1403638130595097088.000000,0.000000,0.000000,14.708754,5.620072,0.050778,0.030065,7.793141,0.047122,29.351528
1403638130645096960.000000,0.000000,0.000000,14.920768,8.566488,0.075082,0.031286,7.595836,0.285949,36.263803
1403638130695097088.000000,0.000000,0.000000,15.796097,5.738331,0.054523,0.041202,8.804311,0.061081,31.975229
1403638130745096960.000000,0.000000,0.000000,16.034299,5.791406,0.055814,0.040691,11.227851,0.067902,32.261660
1403638130795097088.000000,0.000000,0.000000,17.283430,4.980511,0.052083,0.044802,9.197386,0.308413,31.153834
