#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
6.546087,0.010320,0.098459,0.006289,0.006289,6.665186
7.860450,0.062515,0.725255,0.002743,0.002743,8.653356
5.583650,0.067461,1.685082,0.087732,0.087732,10.789677
8.376106,0.157010,10.585434,0.305295,0.305295,36.838773
9.389191,0.239484,10.730805,0.613222,0.613222,42.281823
9.422723,0.224102,11.514384,0.608347,0.608347,48.283263
9.957021,0.253778,17.260756,0.608653,0.608653,66.849166
9.937335,0.215269,14.541005,0.836868,0.836868,62.801505
10.131364,0.171766,16.634727,1.018978,1.018978,63.817594
10.825166,0.120057,21.260392,40.389869,40.389869,110.013427
6.738246,0.058224,10.373305,0.788148,0.788148,52.726868
9.797174,0.125218,16.756623,0.633399,0.633399,68.312985
6.320926,0.092945,10.703321,0.797559,0.797559,57.696132
6.648521,0.071987,12.237467,0.739857,0.739857,60.492393
11.039279,0.124852,16.831215,1.209831,1.209831,79.614800
8.387941,0.107246,14.904270,1.088509,1.088509,72.612138
9.590387,0.097578,17.648273,1.407333,1.407333,82.006154
7.887400,0.067768,9.732340,1.080897,1.080897,74.637007
10.683797,0.047164,17.167322,1.540045,1.540045,96.168933
7.754396,0.039217,14.130244,2.037481,2.037481,90.892664
7.414430,0.061070,15.521898,2.667027,2.667027,97.797211
14.530450,0.128282,27.183336,2.074051,2.074051,121.682688
13.314325,0.148426,24.223909,2.086280,2.086280,124.169260
13.230648,0.114323,23.415881,2.227991,2.227991,121.104926
16.151414,0.138467,29.556554,2.307480,2.307480,125.477222
15.900314,0.138058,33.821931,2.163290,2.163290,126.457978
9.635987,0.082752,20.730340,2.152928,2.152928,125.560177
10.100434,0.108903,21.521351,2.260147,2.260147,106.667157
14.686709,0.238934,40.233433,2.102556,2.102556,139.271341
8.359437,0.088580,18.012921,2.610414,2.610414,96.813463
7.237920,0.082347,16.504890,2.228873,2.228873,108.852310
6.650331,0.066473,15.515979,1.807594,1.807594,89.684272
6.391304,0.085363,15.928100,2.060352,2.060352,90.944440
7.401722,0.067668,14.911914,1.967386,1.967386,96.742239
6.821449,0.065859,14.695105,2.039664,2.039664,100.118574
11.677361,0.083918,22.110023,2.008358,2.008358,250.871824
7.890336,0.081306,19.232167,1.987465,1.987465,128.225831
11.193042,0.098926,28.458664,1.989407,1.989407,120.481049
13.335744,0.149176,31.119697,1.989877,1.989877,128.350013
14.367504,0.172509,30.204204,2.211881,2.211881,126.040572
17.461963,0.275427,43.339804,2.321283,2.321283,138.304556
17.611693,0.326916,40.989480,2.169944,2.169944,147.776084
15.014223,0.148416,29.387727,1.783575,1.783575,131.656258
10.235884,0.101941,22.222838,1.944372,1.944372,117.913214
11.546977,0.115032,23.215698,3.110153,3.110153,126.241563
11.302599,0.134006,22.275601,1.762516,1.762516,124.204819
11.402411,0.144263,22.646191,3.194052,3.194052,122.817175
8.448670,0.096412,18.131497,2.444349,2.444349,107.229885
6.915236,0.080022,21.361959,1.745824,1.745824,107.893548
13.763506,0.130981,35.623639,3.071265,3.071265,138.697033
12.323251,0.084728,34.455765,1.613615,1.613615,132.226669
12.374789,0.115238,29.418030,2.508052,2.508052,129.914150
12.865015,0.104961,29.197999,2.449466,2.449466,132.023321
13.201605,0.083102,28.671310,3.126346,3.126346,128.165313
8.266088,0.031389,0.347736,0.003120,0.003120,8.650069
7.843304,0.070312,0.820802,0.002767,0.002767,8.739355
8.101255,0.125377,1.177538,0.358569,0.358569,17.772136
8.180260,0.146287,4.621596,0.509916,0.509916,24.649244
8.754268,0.136613,10.436091,0.511609,0.511609,40.121747
9.789039,0.222898,11.579000,0.858120,0.858120,51.540956
9.556297,0.242975,15.605712,0.802359,0.802359,49.929116
10.013567,0.285867,19.529112,1.049103,1.049103,67.651047
10.339760,0.304226,23.770110,1.351302,1.351302,77.726845
10.867135,0.261188,25.966906,58.160930,58.160930,139.559152
6.548838,0.120689,12.593377,0.726421,0.726421,60.150021
11.167278,0.279064,31.158799,0.942145,0.942145,91.683653
10.992009,0.194769,22.327981,1.773323,1.773323,93.114195
12.165024,0.224566,26.159494,1.827676,1.827676,90.877797
12.218141,0.282409,25.890588,1.242519,1.242519,108.526004
6.352963,0.128631,15.725402,1.514889,1.514889,86.990520
6.556157,0.121622,13.322215,1.578045,1.578045,84.516937
12.468568,0.311573,34.120559,1.246876,1.246876,118.511029
7.082214,0.138785,16.565197,2.201813,2.201813,90.651624
12.931180,0.324476,36.552954,1.804282,1.804282,138.577423
12.610695,0.260651,36.454809,2.019516,2.019516,135.171769
7.381086,0.137722,16.321680,2.979541,2.979541,104.588101
13.154299,0.293054,35.826501,2.960503,2.960503,161.261800
12.339031,0.255777,29.938594,2.634024,2.634024,122.394434
8.226412,0.139639,17.879603,2.430906,2.430906,108.631523
6.027326,0.140116,13.962271,2.778677,2.778677,98.077492
5.849572,0.102544,12.778008,2.820134,2.820134,302.568859
6.299354,0.148406,13.109796,2.590553,2.590553,109.481988
9.891851,0.161829,24.470772,2.497357,2.497357,120.837995
5.234842,0.151026,11.510479,2.692555,2.692555,98.380567
6.153466,0.125078,11.592126,2.701717,2.701717,94.007794
10.294246,0.222188,21.982609,2.574113,2.574113,111.810079
11.517211,0.302927,31.797693,3.352059,3.352059,132.383693
6.520260,0.139117,12.802866,2.522266,2.522266,96.099632
11.385341,0.267654,31.855529,2.031912,2.031912,135.021711
11.694971,0.284994,26.682573,2.821410,2.821410,138.715460
7.132285,0.148078,15.622239,1.733521,1.733521,122.193090
10.717298,0.288687,30.821007,3.016251,3.016251,139.538643
6.342246,0.125331,12.645502,1.836793,1.836793,106.656978
11.329289,0.271520,30.329532,1.977629,1.977629,139.964871
7.179202,0.127685,15.777202,3.215424,3.215424,125.470621
7.451045,0.157116,15.291239,1.775865,1.775865,139.006614
7.214856,0.149110,19.673095,2.344115,2.344115,124.796639
7.625015,0.151948,20.199440,1.739910,1.739910,133.563664
9.649766,0.157731,20.614350,2.935874,2.935874,135.639905
6.651117,0.128411,14.138067,1.908073,1.908073,130.400079
8.492223,0.138004,19.017812,4.206377,4.206377,133.130967
7.066658,0.114945,15.561789,2.670818,2.670818,130.470852
7.888541,0.132504,17.357353,1.969672,1.969672,127.854887
7.301761,0.130255,16.185074,3.093927,3.093927,134.736579
12.595290,0.240133,27.287169,2.202762,2.202762,162.361087
6.675086,0.090648,16.932837,4.507122,4.507122,130.465031
7.385230,0.134359,20.206375,3.440068,3.440068,141.682671
7.267051,0.131818,16.917526,4.317598,4.317598,133.299846
