#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
8.122643,0.014650,0.141430,0.008826,0.008826,8.294263
5.224758,0.023387,0.209409,0.002139,0.002139,5.461034
5.567081,0.038665,0.451313,0.055331,0.055331,7.978832
8.349618,0.120744,6.976630,0.262184,0.262184,24.052848
8.745573,0.236932,8.987400,0.445451,0.445451,32.966699
9.382188,0.375636,10.107809,0.472872,0.472872,47.199709
9.880183,0.486624,18.168863,0.580146,0.580146,58.684834
6.161810,0.261386,8.350788,0.936154,0.936154,40.183744
6.122387,0.256368,9.623420,0.632553,0.632553,40.897137
10.565715,0.505503,27.388980,42.778106,42.778106,118.105501
5.642084,0.164838,10.246089,0.987635,0.987635,48.222171
6.275500,0.232734,11.269955,1.058513,1.058513,61.051254
11.040613,0.482957,31.757159,1.348988,1.348988,81.338227
6.996082,0.186765,15.548256,1.704443,1.704443,66.296111
8.504724,0.270888,18.106221,1.993805,1.993805,75.847776
11.564305,0.510138,25.744003,3.135981,3.135981,88.949117
7.259804,0.218875,22.363691,3.244391,3.244391,89.223405
5.725931,0.147652,14.529212,2.605662,2.605662,78.125382
7.005740,0.165253,17.561894,2.735934,2.735934,91.459332
6.380105,0.126583,15.923845,4.371093,4.371093,93.943288
6.085955,0.125077,16.463497,3.507180,3.507180,97.523226
6.490563,0.119571,16.603284,4.330007,4.330007,102.944404
8.946536,0.210050,20.974245,4.444302,4.444302,112.094610
6.694512,0.140478,17.155154,4.258888,4.258888,103.263215
8.614067,0.191188,17.906129,4.019902,4.019902,107.494977
8.288871,0.211410,19.044419,4.039829,4.039829,110.098113
5.791117,0.114133,12.307561,4.650567,4.650567,95.630192
6.422219,0.158990,14.277094,4.452954,4.452954,92.624607
5.834240,0.122880,14.704936,5.071498,5.071498,96.553573
6.040317,0.171337,18.261771,3.965930,3.965930,97.253892
6.459932,0.140877,19.115433,3.930219,3.930219,97.714192
6.284560,0.133985,18.673215,3.614137,3.614137,94.359606
6.351118,0.184828,19.496242,3.707522,3.707522,98.834597
6.635110,0.144773,21.856284,3.550498,3.550498,98.772670
6.740399,0.161612,20.617044,3.775450,3.775450,195.734273
6.640850,0.218232,19.687082,3.844064,3.844064,98.078368
6.796251,0.146770,20.804093,3.619607,3.619607,98.677813
6.825405,0.192308,20.097924,3.738568,3.738568,98.834184
6.214577,0.194041,19.398653,3.952781,3.952781,94.805742
6.491925,0.195164,19.109479,3.719578,3.719578,97.703338
6.282687,0.174956,23.991755,3.833358,3.833358,104.189197
5.976977,0.184786,18.088467,5.242081,5.242081,97.705207
5.652576,0.183854,16.102947,4.243582,4.243582,88.777369
6.239041,0.194028,18.180201,4.619015,4.619015,95.552866
6.064419,0.195763,17.838233,3.284107,3.284107,98.665328
6.290791,0.220909,15.204773,4.134836,4.134836,104.487314
8.041649,0.350645,17.265808,4.245392,4.245392,122.400274
6.491584,0.345866,11.238185,4.615442,4.615442,100.005695
7.348064,0.353004,13.641172,2.034643,2.034643,118.635605
10.226027,0.655816,18.897909,2.379162,2.379162,120.859406
5.650841,0.314247,10.807064,2.067039,2.067039,97.543648
10.230346,0.521463,27.382572,1.837983,1.837983,127.502906
6.491997,0.244031,13.087083,2.039222,2.039222,107.589605
5.811720,0.232374,11.271961,2.843469,2.843469,109.977828
5.975419,0.236959,11.886496,2.575741,2.575741,109.297894
5.451081,0.230292,11.887247,3.212245,3.212245,120.122794
5.528273,0.207013,11.850530,2.543753,2.543753,108.351369
7.276478,0.317977,16.734413,3.669086,3.669086,131.312544
4.520754,0.208106,11.736624,2.771600,2.771600,109.170419
5.127909,0.195844,11.920238,2.525607,2.525607,123.274056
5.273877,0.251833,13.797854,4.128907,4.128907,117.675940
7.017215,0.295762,17.585242,3.554977,3.554977,127.455158
5.912615,0.246119,13.665938,3.192089,3.192089,115.950042
6.738557,0.318753,16.520473,3.146222,3.146222,126.920855
6.719624,0.292449,17.209126,4.607866,4.607866,127.866658
6.822232,0.212121,14.165716,3.900680,3.900680,123.088249
8.785386,0.375496,19.687080,3.576417,3.576417,124.607282
6.463789,0.276291,14.738479,3.667235,3.667235,124.014417
11.690868,0.229777,16.295956,3.113854,3.113854,127.925445
9.291488,0.253739,23.891505,4.726709,4.726709,139.880906
8.358391,0.287974,19.711566,3.039555,3.039555,127.429573
