#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.008006,3,1,0,2443
0.001436,4,1,0,3070
0.515953,5,1,0,3738
0.841630,6,1,0,4385
0.791623,7,1,0,4930
1.140125,8,1,0,5516
1.433499,9,1,0,6027
1.822823,10,1,0,6421
1.986261,0,0,0,0
87.055647,0,0,0,0
2.533252,0,0,0,0
3.415216,0,0,0,0
3.422213,0,0,0,0
3.406959,0,0,0,0
5.507842,0,0,0,0
4.416968,0,0,0,0
6.666475,0,0,0,0
6.123980,0,0,0,0
7.705686,0,0,0,0
6.569695,0,0,0,0
7.677497,0,0,0,0
7.690200,0,0,0,0
8.426659,0,0,0,0
8.192064,0,0,0,0
7.768563,0,0,0,0
9.888699,0,0,0,0
7.282534,0,0,0,0
8.389213,0,0,0,0
7.117910,0,0,0,0
10.936127,0,0,0,0
6.388427,0,0,0,0
8.694593,0,0,0,0
7.236970,0,0,0,0
10.478958,0,0,0,0
5.963717,0,0,0,0
8.386442,0,0,0,0
6.947285,0,0,0,0
10.059655,0,0,0,0
9.501142,0,0,0,0
6.410236,0,0,0,0
7.399205,0,0,0,0
7.353758,0,0,0,0
7.755891,0,0,0,0
9.737681,0,0,0,0
6.508027,0,0,0,0
6.958350,0,0,0,0
7.543302,0,0,0,0
6.938189,0,0,0,0
6.060538,0,0,0,0
7.241973,0,0,0,0
6.176250,0,0,0,0
7.405586,0,0,0,0
8.433700,0,0,0,0
5.089765,0,0,0,0
6.968209,0,0,0,0
4.611237,0,0,0,0
5.617958,0,0,0,0
6.150237,0,0,0,0
4.736138,0,0,0,0
6.203841,0,0,0,0
5.619842,0,0,0,0
5.080470,0,0,0,0
6.718037,0,0,0,0
5.640089,0,0,0,0
5.961251,0,0,0,0
5.605477,0,0,0,0
6.878171,0,0,0,0
3.962322,0,0,0,0
6.035524,0,0,0,0
6.191994,0,0,0,0
4.651883,0,0,0,0
6.333848,0,0,0,0
5.270211,0,0,0,0
5.950043,0,0,0,0
5.741012,0,0,0,0
5.772990,0,0,0,0
4.286295,0,0,0,0
3.522968,0,0,0,0
3.458828,0,0,0,0
3.561456,0,0,0,0
4.828665,0,0,0,0
4.468980,0,0,0,0
5.413043,0,0,0,0
4.201352,0,0,0,0
4.437346,0,0,0,0
2.315797,0,0,0,0
4.123397,0,0,0,0
4.312667,0,0,0,0
3.714099,0,0,0,0
2.615085,0,0,0,0
5.182218,0,0,0,0
5.784415,0,0,0,0
3.863245,0,0,0,0
3.711017,0,0,0,0
5.686974,0,0,0,0
6.772417,0,0,0,0
5.755638,0,0,0,0
7.621340,0,0,0,0
6.523848,0,0,0,0
8.267190,0,0,0,0
7.204457,0,0,0,0
8.475254,0,0,0,0
9.706976,0,0,0,0
8.800502,0,0,0,0
10.019132,0,0,0,0
9.503186,0,0,0,0
10.025494,0,0,0,0
9.573991,0,0,0,0
7.513403,0,0,0,0
9.252203,0,0,0,0
12.303002,0,0,0,0
12.882106,0,0,0,0
10.494019,0,0,0,0
13.094782,0,0,0,0
9.204996,0,0,0,0
12.675699,0,0,0,0
10.984174,0,0,0,0
11.988096,0,0,0,0
11.198722,0,0,0,0
8.272399,0,0,0,0
11.779854,0,0,0,0
8.707830,0,0,0,0
11.078426,0,0,0,0
10.524459,0,0,0,0
9.216540,0,0,0,0
6.313176,0,0,0,0
9.486662,0,0,0,0
8.309347,0,0,0,0
10.410591,0,0,0,0
9.054021,0,0,0,0
7.664039,0,0,0,0
6.427578,0,0,0,0
8.328674,0,0,0,0
6.668521,0,0,0,0
8.566730,0,0,0,0
9.293520,0,0,0,0
9.457570,0,0,0,0
6.582307,0,0,0,0
4.892877,0,0,0,0
7.329765,0,0,0,0
8.934655,0,0,0,0
9.312626,0,0,0,0
7.997896,0,0,0,0
8.747589,0,0,0,0
7.097311,0,0,0,0
9.080132,0,0,0,0
8.794190,0,0,0,0
7.280914,0,0,0,0
9.595361,0,0,0,0
6.229476,0,0,0,0
7.273397,0,0,0,0
5.550965,0,0,0,0
5.291198,0,0,0,0
6.984599,0,0,0,0
7.175249,0,0,0,0
4.281009,0,0,0,0
6.850649,0,0,0,0
5.564600,0,0,0,0
5.761233,0,0,0,0
7.149691,0,0,0,0
5.435198,0,0,0,0
8.561485,0,0,0,0
7.079092,0,0,0,0
6.111825,0,0,0,0
8.461180,0,0,0,0
7.036838,0,0,0,0
6.586743,0,0,0,0
5.357845,0,0,0,0
7.360266,0,0,0,0
8.554800,0,0,0,0
8.461733,0,0,0,0
7.739333,0,0,0,0
6.025518,0,0,0,0
10.936509,0,0,0,0
8.612045,0,0,0,0
9.187326,0,0,0,0
9.547351,0,0,0,0
12.352231,0,0,0,0
9.160474,0,0,0,0
12.020227,0,0,0,0
9.536204,0,0,0,0
11.325033,0,0,0,0
7.430927,0,0,0,0
8.028912,0,0,0,0
11.344579,0,0,0,0
10.404585,0,0,0,0
11.693071,0,0,0,0
10.947389,0,0,0,0
9.093718,0,0,0,0
12.069388,0,0,0,0
9.064868,0,0,0,0
7.551545,0,0,0,0
12.112549,0,0,0,0
7.733081,0,0,0,0
10.233167,0,0,0,0
9.601710,0,0,0,0
11.891977,0,0,0,0
8.419505,0,0,0,0
11.631698,0,0,0,0
12.062635,0,0,0,0
11.163570,0,0,0,0
9.983348,0,0,0,0
8.622843,0,0,0,0
10.625470,0,0,0,0
6.461656,0,0,0,0
5.386128,0,0,0,0
