#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1413393886005760512.000000,0.000000,0.000000,14.627604,3.967001,0.002499,7.304735,3.163427,0.001430,20.647854
1413393886055760384.000000,0.000000,0.000000,14.023942,3.809138,0.071428,5.093642,4.468616,0.000644,20.523771
1413393886105760512.000000,0.000000,0.000000,13.117904,5.036012,0.048877,3.902079,4.507550,0.000748,21.389578
1413393886155760384.000000,0.000000,0.000000,14.580462,4.116711,0.049139,4.921769,4.215328,0.000503,21.870498
1413393886205760512.000000,0.000000,0.000000,14.608970,4.127123,0.041610,3.628667,2.766296,0.000498,21.136248
1413393886255760384.000000,0.000000,0.000000,14.267600,7.998189,0.047804,2.907275,2.341218,0.706963,25.560228
1413393886305760512.000000,0.000000,0.000000,13.022616,4.383244,0.035956,9.080864,5.246213,0.000484,20.352738
1413393886355760384.000000,0.000000,0.000000,15.729000,9.477978,0.037639,5.101438,4.564478,0.000401,28.374267
1413393886405760512.000000,0.000000,0.000000,14.575846,4.102544,0.036251,4.930114,5.224966,0.000415,21.454440
1413393886455760384.000000,0.000000,0.000000,14.780899,6.565275,0.035379,4.295081,5.360511,0.000329,23.969424
1413393886505760512.000000,0.000000,0.000000,15.333697,8.440482,0.045059,4.437815,4.601336,0.000405,26.970507
1413393886555760384.000000,0.000000,0.000000,13.924984,10.390866,0.080222,3.538726,4.932345,0.619665,28.070247
1413393886605760512.000000,0.000000,0.000000,14.102884,4.228648,0.035319,5.824116,5.740483,0.000435,20.720457
1413393886655760384.000000,0.000000,0.000000,14.079988,3.982415,0.045029,5.888159,7.722357,0.000502,21.190790
1413393886705760512.000000,0.000000,0.000000,14.431632,3.819434,0.046333,4.721495,6.380344,0.000449,20.874044
1413393886755760384.000000,0.000000,0.000000,14.801750,3.753352,0.049305,5.676734,8.166061,0.000511,21.108603
1413393886805760512.000000,0.000000,0.000000,13.735595,3.934482,0.040998,4.311218,6.545575,0.521184,20.927691
1413393886855760384.000000,0.000000,0.000000,14.975109,4.348216,0.035498,6.207142,6.147043,0.000444,22.700142
1413393886905760512.000000,0.000000,0.000000,14.084685,3.952357,0.061319,5.291662,5.314912,0.000433,21.293596
1413393886955760384.000000,0.000000,0.000000,15.349303,4.522002,0.035809,4.437988,5.487695,0.000484,23.060910
1413393887005760512.000000,0.000000,0.000000,14.202769,9.778162,0.035475,4.965247,5.959106,0.000435,26.730778
1413393887055760384.000000,0.000000,0.000000,14.332920,10.290353,0.074701,4.395770,5.738209,0.401134,28.257578
1413393887105760512.000000,0.000000,0.000000,15.677704,10.270762,0.078309,5.767047,9.971077,0.000568,29.475702
1413393887155760384.000000,0.000000,0.000000,14.384917,3.664627,0.045020,6.035342,7.303112,0.000624,21.291500
1413393887205760512.000000,0.000000,0.000000,13.887861,4.449566,0.034830,4.497012,6.726425,0.000460,21.381490
1413393887255760384.000000,0.000000,0.000000,15.559563,10.534851,0.095865,4.246769,6.337538,0.000421,29.779658
1413393887305760512.000000,0.000000,0.000000,14.713891,4.197594,0.046109,3.694664,5.674744,0.452885,21.821492
1413393887355760384.000000,0.000000,0.000000,14.140977,4.039684,0.048176,7.262725,8.101421,0.000570,20.861389
1413393887405760512.000000,0.000000,0.000000,14.094202,3.809685,0.051450,5.251295,7.296061,0.000563,21.199280
1413393887455760384.000000,0.000000,0.000000,12.982824,7.739253,0.091818,5.337393,7.641297,0.000495,23.941674
1413393887505760512.000000,0.000000,0.000000,14.126784,4.495809,0.043134,4.276618,6.517886,0.000423,21.214491
1413393887555760384.000000,0.000000,0.000000,14.003946,3.786441,0.048496,4.294693,6.294538,0.430013,21.026462
1413393887605760512.000000,0.000000,0.000000,14.984000,3.928545,0.047168,5.794586,7.216544,0.000424,21.444394
1413393887655760384.000000,0.000000,0.000000,15.123210,10.250896,0.092008,4.871943,6.412506,0.000430,28.350125
1413393887705760512.000000,0.000000,0.000000,13.773198,4.271082,0.041376,4.281193,5.339019,0.000396,21.236804
1413393887755760384.000000,0.000000,0.000000,14.193769,7.622550,0.047862,3.806515,6.926910,0.000445,24.854716
1413393887805760512.000000,0.000000,0.000000,17.799284,9.908145,0.094975,3.064912,5.037843,0.628919,31.599900
1413393887855760384.000000,0.000000,0.000000,13.905570,7.158577,0.041649,4.377350,5.920834,0.000528,24.057785
1413393887905760512.000000,0.000000,0.000000,13.578353,10.599457,0.093175,3.509445,6.420661,0.000488,27.682496
1413393887955760384.000000,0.000000,0.000000,16.288564,3.777237,0.048035,3.247684,5.310053,0.000417,23.300821
1413393888005760512.000000,0.000000,0.000000,13.748000,3.890284,0.050281,2.862082,5.402768,0.000333,20.575865
1413393888055760384.000000,0.000000,0.000000,14.617392,12.284814,0.092798,2.609913,6.310371,0.563072,30.195413
1413393888105760512.000000,0.000000,0.000000,14.796887,3.865967,0.048681,4.928552,5.989826,0.000417,21.877628
1413393888155760384.000000,0.000000,0.000000,13.901151,3.734182,0.049128,3.633797,6.885795,0.000426,20.603425
1413393888205760512.000000,0.000000,0.000000,15.139923,4.272861,0.041581,3.728635,6.115022,0.000347,22.593362
1413393888255760384.000000,0.000000,0.000000,14.024861,4.245398,0.048715,3.066667,5.909459,0.000348,21.519153
1413393888305760512.000000,0.000000,0.000000,15.012475,10.513921,0.096629,2.500979,5.505062,0.533927,28.799754
1413393888355760384.000000,0.000000,0.000000,14.772933,4.284542,0.039352,6.677585,7.473861,0.000426,21.660664
1413393888405760512.000000,0.000000,0.000000,15.339103,3.837076,0.048991,0.075563,10.140335,0.069310,21.955276
1413393888455760384.000000,0.000000,0.000000,15.507876,10.587527,0.097585,0.042088,9.911734,0.065256,29.472892
1413393888505760512.000000,0.000000,0.000000,13.553049,8.335805,0.049612,0.039231,9.835236,0.864966,25.163757
1413393888555760384.000000,0.000000,0.000000,14.208259,4.072977,0.050369,0.067710,11.749166,0.090794,21.192802
1413393888605760512.000000,0.000000,0.000000,14.675850,10.257565,0.098198,0.052191,11.380247,0.078209,27.949568
1413393888655760384.000000,0.000000,0.000000,13.926158,3.702045,0.043560,0.031800,7.896218,0.634183,20.623927
1413393888705760512.000000,0.000000,0.000000,14.903477,10.244143,0.051297,0.086272,12.066948,0.082303,28.034922
1413393888755760384.000000,0.000000,0.000000,14.569193,10.004837,0.087150,0.044364,8.209701,0.064311,28.164274
1413393888805760512.000000,0.000000,0.000000,15.898300,4.129636,0.040666,0.028661,8.291382,0.508478,23.089333
1413393888855760384.000000,0.000000,0.000000,14.710772,3.788556,0.048746,0.073494,10.449813,0.079413,21.584359
1413393888905760512.000000,0.000000,0.000000,14.245671,3.827362,0.048080,0.040684,8.494691,0.063047,21.317775
1413393888955760384.000000,0.000000,0.000000,13.986289,10.310353,0.088297,0.027900,8.491996,0.619188,27.201861
1413393889005760512.000000,0.000000,0.000000,15.712367,4.319132,0.040991,0.077476,13.243016,0.109565,22.551668
1413393889055760384.000000,0.000000,0.000000,14.548537,4.282719,0.038345,0.049658,11.315546,0.075540,21.513461
1413393889105760512.000000,0.000000,0.000000,15.422783,4.293403,0.040329,0.026238,7.461819,0.056183,22.288514
1413393889155760384.000000,0.000000,0.000000,14.339301,3.805276,0.049500,0.022303,8.164947,0.707817,21.106267
1413393889205760512.000000,0.000000,0.000000,14.745281,4.398239,0.032458,0.067574,11.733649,0.087467,21.959613
1413393889255760384.000000,0.000000,0.000000,14.624501,3.808907,0.048484,0.033899,7.803549,0.060826,21.084394
1413393889305760512.000000,0.000000,0.000000,13.857075,4.437949,0.042533,0.026617,7.436438,0.068492,21.173152
1413393889355760384.000000,0.000000,0.000000,13.973389,3.814450,0.050545,0.022648,6.824610,0.616312,20.331279
1413393889405760512.000000,0.000000,0.000000,14.185052,10.386830,0.090889,0.081343,13.981465,0.093789,27.666340
1413393889455760384.000000,0.000000,0.000000,15.457022,4.317719,0.041542,0.060039,11.362649,0.079640,22.928657
1413393889505760512.000000,0.000000,0.000000,13.817983,4.047499,0.040676,0.035482,12.974066,0.069769,20.530843
1413393889555760384.000000,0.000000,0.000000,14.548871,4.181375,0.039914,0.041326,8.139539,0.055125,21.352597
1413393889605760512.000000,0.000000,0.000000,14.243945,10.383077,0.093778,0.026614,9.204588,0.061211,29.994973
1413393889655760384.000000,0.000000,0.000000,14.711651,4.254130,0.042075,0.028334,8.870414,0.059115,33.055622
1413393889705760512.000000,0.000000,0.000000,14.709206,9.145063,0.121983,0.025159,8.143005,0.054438,36.548510
1413393889755760384.000000,0.000000,0.000000,14.448386,10.121320,0.052743,0.033875,10.190219,0.056316,36.110101
1413393889805760512.000000,0.000000,0.000000,14.791646,10.066052,0.064877,0.029503,11.163163,0.056819,37.544887
1413393889855760384.000000,0.000000,0.000000,15.256355,6.873781,0.043517,0.021235,7.647368,0.577319,31.758369
1413393889905760512.000000,0.000000,0.000000,13.085022,5.851852,0.048939,0.072649,13.676585,0.088677,27.492309
1413393889955760384.000000,0.000000,0.000000,16.482264,7.455147,0.063026,0.040208,7.599661,0.055919,41.761786
1413393890005760512.000000,0.000000,0.000000,13.218581,5.805798,0.045011,0.024791,11.446845,0.080577,31.501988
1413393890055760384.000000,0.000000,0.000000,14.109287,6.882224,0.037569,0.025297,9.329844,0.073255,33.599668
1413393890105760512.000000,0.000000,0.000000,13.491565,8.688878,0.054064,0.022806,8.164021,0.600216,34.500607
1413393890155760384.000000,0.000000,0.000000,13.953523,8.117122,0.049619,0.082154,14.209768,0.096214,34.376614
1413393890205760512.000000,0.000000,0.000000,13.116062,8.652760,0.044359,0.043692,8.813936,0.077373,34.030635
1413393890255760384.000000,0.000000,0.000000,13.827363,5.870537,0.060375,0.027299,9.453222,0.065639,34.268199
1413393890305760512.000000,0.000000,0.000000,13.010999,8.540052,0.067736,0.026645,9.412496,0.637017,38.417255
1413393890355760384.000000,0.000000,0.000000,13.329129,6.679147,0.056611,0.062857,13.235945,0.092023,33.651305
1413393890405760512.000000,0.000000,0.000000,12.439119,8.828365,0.069024,0.037103,11.109378,0.070898,37.835317
1413393890455760384.000000,0.000000,0.000000,13.075961,6.703416,0.056543,0.040102,10.658407,0.618686,34.070435
1413393890505760512.000000,0.000000,0.000000,13.765073,6.102798,0.066013,0.057180,13.570751,0.092106,35.546853
1413393890555760384.000000,0.000000,0.000000,13.276012,6.088057,0.059579,0.054994,13.170432,0.090738,32.747173
1413393890605760512.000000,0.000000,0.000000,12.870429,5.404354,0.054585,0.045248,9.584191,0.611922,31.423432
1413393890655760384.000000,0.000000,0.000000,14.000409,5.427082,0.059646,0.053483,12.730033,0.087456,33.459925
1413393890705760512.000000,0.000000,0.000000,13.316854,5.373751,0.057141,0.058109,13.676225,0.091878,32.296657
1413393890755760384.000000,0.000000,0.000000,13.363644,6.727216,0.045192,0.047772,8.784148,0.516422,38.492588
1413393890805760512.000000,0.000000,0.000000,13.907851,8.594444,0.070583,0.059868,13.989628,0.088885,38.777570
1413393890855760384.000000,0.000000,0.000000,13.195363,6.118184,0.054279,0.063061,13.194057,0.086728,33.183976
1413393890905760512.000000,0.000000,0.000000,13.726227,5.439245,0.075307,0.071238,8.792006,0.593251,32.940143
1413393890955760384.000000,0.000000,0.000000,13.884812,8.410397,0.049642,0.045758,11.601112,0.082329,34.503479
1413393891005760512.000000,0.000000,0.000000,13.267765,8.214767,0.053939,0.052345,10.498649,0.086603,39.632932
1413393891055760384.000000,0.000000,0.000000,13.002654,7.895666,0.061413,0.041772,8.753364,0.549345,36.621919
1413393891105760512.000000,0.000000,0.000000,12.587436,9.284142,0.072434,0.068246,14.111181,0.087696,38.207393
1413393891155760384.000000,0.000000,0.000000,13.249710,5.457047,0.067472,0.033051,12.749701,0.066642,32.505082
1413393891205760512.000000,0.000000,0.000000,13.175985,5.710198,0.069914,0.059925,12.639014,0.067043,32.998543
1413393891255760384.000000,0.000000,0.000000,12.569106,8.211309,0.063753,0.049827,13.366423,0.069740,36.578811
1413393891305760512.000000,0.000000,0.000000,13.448670,5.612764,0.067337,0.045056,10.343316,0.641009,32.969319
1413393891355760384.000000,0.000000,0.000000,13.595754,5.843236,0.057055,0.055720,10.409344,0.076209,32.266994
1413393891405760512.000000,0.000000,0.000000,13.132568,7.949810,0.073492,0.057020,12.292178,0.077174,34.779628
1413393891455760384.000000,0.000000,0.000000,12.668176,8.265573,0.071141,0.038173,8.815650,0.577483,32.534738
1413393891505760512.000000,0.000000,0.000000,14.702309,5.827221,0.068472,0.071864,13.954376,0.093885,33.501472
