#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
7.030853,0.038749,0.383984,0.008473,0.008473,7.468825
7.421466,0.090321,1.034670,0.002532,0.002532,8.550922
8.700542,0.212508,4.892108,0.241477,0.241477,28.033566
7.282175,0.175311,6.489759,0.308865,0.308865,25.031931
8.738708,0.321482,7.762062,0.469705,0.469705,32.059610
5.869011,0.121897,5.039830,0.685779,0.685779,26.788469
9.210667,0.310685,14.993677,0.639386,0.639386,57.510148
7.476282,0.174697,7.064724,1.204913,1.204913,34.353322
7.928251,0.137232,8.641340,1.331655,1.331655,44.214804
10.101362,0.273183,23.254383,40.166658,40.166658,103.889170
9.878584,0.193818,23.174119,0.916245,0.916245,65.997360
7.409076,0.219770,19.499856,1.035274,1.035274,57.221289
5.386015,0.104849,8.350182,1.159131,1.159131,47.322339
6.306744,0.082035,8.668318,1.472762,1.472762,47.135658
9.011385,0.141717,15.365001,1.301367,1.301367,64.784990
5.291592,0.080251,8.718862,1.514720,1.514720,56.926185
9.838956,0.106626,20.076525,1.691579,1.691579,72.056557
10.699754,0.130527,22.347664,1.884286,1.884286,77.944110
11.851722,0.239354,35.035463,2.163314,2.163314,98.146191
11.112091,0.248806,30.011033,2.393645,2.393645,118.750671
7.211164,0.160427,12.919168,2.783777,2.783777,89.646293
6.984120,0.070784,11.237423,2.971580,2.971580,71.560706
8.916476,0.126328,23.699489,3.156636,3.156636,240.150952
12.601525,0.197325,36.337780,3.112761,3.112761,110.061215
7.276082,0.101782,24.433232,4.495365,4.495365,97.036714
12.423027,0.137537,24.508353,4.196580,4.196580,98.179578
11.273252,0.220333,30.945666,3.434868,3.434868,111.960690
7.421230,0.106825,27.077343,4.320073,4.320073,97.103085
14.403238,0.287697,25.475175,3.247197,3.247197,101.993487
7.172255,0.169043,14.392253,2.358612,2.358612,76.940608
9.472003,0.110660,18.255462,3.644455,3.644455,87.734773
7.527071,0.135143,12.996620,4.410303,4.410303,93.171980
6.986652,0.095656,11.646764,2.771023,2.771023,80.395575
6.907594,0.086919,14.709531,3.453218,3.453218,81.569814
6.960734,0.111000,12.485183,3.908833,3.908833,85.003205
11.271857,0.366262,30.950670,2.804542,2.804542,118.108572
11.329133,0.240927,27.916818,3.627523,3.627523,109.942999
8.377458,0.184787,16.460811,4.915310,4.915310,88.493125
7.693403,0.133973,13.337262,2.541947,2.541947,81.449257
7.920450,0.180840,23.022761,5.109906,5.109906,100.770516
10.722764,0.234024,29.330683,3.577613,3.577613,106.095386
6.321298,0.165367,23.123847,4.607919,4.607919,92.465953
6.907997,0.248024,15.274443,2.144225,2.144225,77.008985
9.979065,0.409027,32.811684,4.170441,4.170441,126.856037
10.029738,0.288639,28.851764,2.034557,2.034557,96.917444
9.918723,0.218580,16.042769,2.634792,2.634792,92.298751
8.683132,0.142410,15.833852,3.934369,3.934369,87.551142
6.496665,0.131030,16.425031,2.418389,2.418389,79.843415
7.114512,0.139279,18.152450,3.855018,3.855018,87.784602
6.296858,0.115101,13.233274,2.761882,2.761882,74.389848
6.957496,0.116456,17.899987,2.975285,2.975285,83.946538
6.191971,0.113594,11.717216,2.074164,2.074164,77.235044
6.302645,0.109999,11.434273,3.580603,3.580603,78.189949
4.897424,0.075704,11.662067,4.044722,4.044722,72.938258
5.191447,0.091106,13.751703,2.517853,2.517853,68.332300
10.121565,0.252268,33.825949,2.027624,2.027624,102.649345
10.907483,0.212318,29.569108,2.716392,2.716392,104.791926
11.569120,0.248404,28.091377,3.698742,3.698742,92.533190
8.007404,0.104169,16.114433,4.025474,4.025474,85.192450
7.006432,0.112094,15.422174,1.825235,1.825235,76.523007
7.043355,0.132780,17.398831,3.385942,3.385942,89.880896
6.203428,0.144250,14.983239,2.963152,2.963152,80.514860
5.880256,0.156519,11.946317,2.629972,2.629972,74.711151
6.906126,0.166129,12.934281,2.584624,2.584624,77.804077
11.538448,0.474374,15.893162,4.721105,4.721105,100.859521
10.707460,0.153698,27.561765,3.305326,3.305326,101.134694
7.477006,0.122197,17.003859,4.878332,4.878332,89.452788
6.638550,0.129122,17.714094,3.606800,3.606800,81.559208
6.585411,0.132816,16.775075,3.355955,3.355955,81.227703
6.279056,0.130919,15.825666,2.805265,2.805265,78.957198
5.242998,0.133641,13.085719,3.291576,3.291576,74.224437
6.671265,0.135704,13.677943,2.583589,2.583589,74.787283
8.183352,0.126087,19.020778,3.748692,3.748692,88.373704
6.254416,0.086949,14.346954,2.482743,2.482743,78.443723
6.054562,0.083730,14.164736,3.386651,3.386651,79.883624
6.604398,0.081569,17.092775,2.790272,2.790272,120.149086
8.767102,0.123313,21.939994,3.939285,3.939285,98.149277
6.121247,0.086839,13.126800,3.775175,3.775175,217.090936
6.977910,0.198857,21.922968,3.454188,3.454188,70.455619
5.895002,0.141809,14.802662,2.487970,2.487970,87.127095
5.720297,0.242647,14.133825,3.626603,3.626603,82.563790
10.166578,0.426693,31.761501,4.019203,4.019203,119.058780
7.695056,0.215891,19.158605,4.950952,4.950952,95.723427
5.433767,0.199893,15.732870,3.477365,3.477365,86.229054
5.721463,0.212319,17.114481,3.096426,3.096426,85.768228
9.788612,0.334941,11.949488,3.814483,3.814483,89.493502
5.685782,0.199267,10.383145,3.379628,3.379628,81.401386
6.119735,0.187148,13.225245,3.894211,3.894211,81.534511
5.952968,0.154613,17.204081,3.333639,3.333639,88.946704
6.311102,0.154740,19.363801,2.603557,2.603557,89.028236
5.412084,0.172742,17.485582,3.742268,3.742268,84.014460
4.816182,0.156039,18.824510,3.674699,3.674699,87.926368
4.684294,0.161602,15.860497,2.572989,2.572989,84.260767
5.829616,0.205137,16.734453,3.714532,3.714532,84.332296
