#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403637130538319104.000000,0.000000,0.000000,14.969531,2.581792,0.006185,9.289527,3.254246,0.002481,19.947266
1403637130588318976.000000,0.000000,0.000000,15.220769,2.458277,0.054909,1.568063,1.690699,0.000378,20.995499
1403637130638319104.000000,0.000000,0.000000,14.655614,2.493732,0.040894,1.687840,1.499940,0.000446,20.342731
1403637130688318976.000000,0.000000,0.000000,15.005593,4.428035,0.081940,1.594731,1.436301,0.000531,22.378150
1403637130738319104.000000,0.000000,0.000000,14.783917,6.370240,0.097898,2.890314,3.297798,0.000715,28.380116
1403637130788318976.000000,0.000000,0.000000,16.300370,6.163767,0.098135,1.559913,1.614324,0.536343,38.662395
1403637130838319104.000000,0.000000,0.000000,15.626577,5.013323,0.073210,3.621551,3.610403,0.000880,26.872161
1403637130888318976.000000,0.000000,0.000000,13.933220,2.500251,0.053105,3.947897,3.211230,0.000642,22.736786
1403637130938319104.000000,0.000000,0.000000,15.788239,2.414044,0.053072,1.687340,1.739073,0.000490,24.187667
1403637130988318976.000000,0.000000,0.000000,15.712509,5.751114,0.051115,1.345154,1.387652,0.000446,30.650361
1403637131038319104.000000,0.000000,0.000000,17.883808,4.002527,0.051450,1.787264,1.742260,0.000563,28.780581
1403637131088318976.000000,0.000000,0.000000,16.879133,6.195006,0.080675,1.704044,1.342521,0.369315,33.668693
1403637131138319104.000000,0.000000,0.000000,17.102675,6.127338,0.074865,1.918290,1.309628,0.000442,33.284750
1403637131188318976.000000,0.000000,0.000000,15.773052,2.406849,0.054992,1.678194,1.535670,0.000656,24.388835
1403637131238319104.000000,0.000000,0.000000,15.805617,5.476139,0.063480,3.243222,3.177156,0.000825,26.859187
1403637131288318976.000000,0.000000,0.000000,15.762977,2.529919,0.046530,1.759887,1.272340,0.000455,24.881711
1403637131338319104.000000,0.000000,0.000000,15.053477,2.545497,0.081539,1.917291,1.659384,0.453326,23.514258
1403637131388318976.000000,0.000000,0.000000,15.856737,2.372996,0.045681,5.112512,3.600282,0.000757,24.050658
1403637131438319104.000000,0.000000,0.000000,16.035219,2.657401,0.047863,1.869373,1.668309,0.000506,24.541807
