#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.004804,3,1,0,709
0.002092,4,1,0,933
0.160041,5,1,0,1151
0.340992,6,1,0,1381
0.769958,7,1,0,1593
0.843245,8,1,0,1815
0.885370,9,1,0,2037
0.851310,10,1,0,2250
1.686562,0,0,0,0
74.204107,0,0,0,0
2.209823,0,0,0,0
2.255243,0,0,0,0
1.980648,0,0,0,0
2.020376,0,0,0,0
1.600963,0,0,0,0
2.030053,0,0,0,0
1.898035,0,0,0,0
1.785385,0,0,0,0
1.610262,0,0,0,0
1.982101,0,0,0,0
1.958037,0,0,0,0
2.515326,0,0,0,0
2.712319,3,1,0,1130
2.734457,4,1,0,1368
0.002887,5,1,0,1200
0.001628,6,1,0,1352
0.207231,7,1,0,1942
0.403821,8,1,0,2259
0.394320,9,1,0,2850
1.039033,10,1,0,2919
0.958594,0,0,0,0
0.967514,0,0,0,0
1.009121,0,0,0,0
37.875304,0,0,0,0
1.224645,0,0,0,0
0.973976,0,0,0,0
0.906853,0,0,0,0
0.941641,0,0,0,0
1.118690,0,0,0,0
1.275032,0,0,0,0
1.264064,0,0,0,0
1.393156,0,0,0,0
1.515831,0,0,0,0
1.962793,0,0,0,0
2.965364,0,0,0,0
3.442028,0,0,0,0
2.734998,0,0,0,0
2.642638,3,1,0,466
2.696962,4,1,0,609
2.360944,5,1,0,760
2.597551,6,1,0,942
0.003520,7,1,0,1155
0.002670,8,1,0,1349
0.101707,9,1,0,1545
0.253206,10,1,0,1717
0.404843,0,0,0,0
0.431540,3,1,0,660
0.556602,4,1,0,861
1.448667,5,1,0,1088
1.513079,6,1,0,1289
60.180636,7,1,0,1519
1.534221,8,1,0,1711
0.002232,9,1,0,1899
0.003060,10,1,0,2116
0.191690,0,0,0,0
0.690283,0,0,0,0
0.410856,3,1,0,426
0.552583,4,1,0,704
0.898495,5,1,0,979
0.823162,6,1,0,1359
1.297126,7,1,0,1795
49.666332,8,1,0,2123
1.820163,9,1,0,2497
2.820014,10,1,0,2830
0.002990,0,0,0,0
0.002710,0,0,0,0
0.148333,0,0,0,0
0.693309,0,0,0,0
0.964500,0,0,0,0
1.040304,0,0,0,0
0.960338,0,0,0,0
0.939587,0,0,0,0
1.031934,0,0,0,0
67.747778,0,0,0,0
0.903685,0,0,0,0
1.039569,0,0,0,0
0.957443,0,0,0,0
1.395835,0,0,0,0
1.500412,0,0,0,0
1.698142,0,0,0,0
1.425361,0,0,0,0
1.350313,0,0,0,0
2.499914,0,0,0,0
