#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.008543,3,1,0,1883
0.001289,4,1,0,2361
0.470771,5,1,0,2942
0.897067,6,1,0,3508
0.863739,7,1,0,4100
1.342269,8,1,0,4770
1.168101,9,1,0,5442
1.421780,10,1,0,5885
1.653029,0,0,0,0
158.178988,0,0,0,0
1.673443,0,0,0,0
2.464038,0,0,0,0
2.691212,0,0,0,0
3.219625,0,0,0,0
2.680238,0,0,0,0
2.792262,0,0,0,0
3.344720,0,0,0,0
3.011085,0,0,0,0
3.450622,0,0,0,0
3.573330,0,0,0,0
3.844309,0,0,0,0
4.742909,0,0,0,0
4.517988,0,0,0,0
3.831520,0,0,0,0
4.384815,0,0,0,0
4.422517,0,0,0,0
5.098587,0,0,0,0
3.091976,0,0,0,0
3.202664,0,0,0,0
4.421969,0,0,0,0
4.574775,0,0,0,0
3.801379,0,0,0,0
3.804869,0,0,0,0
4.514370,0,0,0,0
4.225906,0,0,0,0
4.038564,0,0,0,0
5.315774,0,0,0,0
5.224013,0,0,0,0
5.633262,0,0,0,0
6.794259,0,0,0,0
7.020003,0,0,0,0
6.615932,0,0,0,0
6.970976,0,0,0,0
7.083979,0,0,0,0
6.462308,0,0,0,0
6.015340,0,0,0,0
8.133960,0,0,0,0
7.215779,0,0,0,0
6.516893,0,0,0,0
7.784585,0,0,0,0
9.411964,0,0,0,0
9.737252,0,0,0,0
10.934168,0,0,0,0
12.508263,0,0,0,0
9.610334,0,0,0,0
9.709400,0,0,0,0
9.958322,0,0,0,0
12.283986,0,0,0,0
7.547971,0,0,0,0
6.327372,0,0,0,0
7.040342,0,0,0,0
7.363532,0,0,0,0
6.163038,0,0,0,0
4.733243,0,0,0,0
8.615527,0,0,0,0
7.106752,0,0,0,0
6.905964,0,0,0,0
4.773665,0,0,0,0
4.912948,0,0,0,0
5.958873,0,0,0,0
7.020747,0,0,0,0
7.930674,0,0,0,0
6.823934,0,0,0,0
6.328516,0,0,0,0
7.338959,0,0,0,0
8.000809,0,0,0,0
7.647186,0,0,0,0
9.727687,0,0,0,0
5.313879,0,0,0,0
5.402710,0,0,0,0
8.460833,0,0,0,0
5.670236,0,0,0,0
5.529837,0,0,0,0
7.332214,0,0,0,0
10.925448,0,0,0,0
10.284912,0,0,0,0
10.092846,0,0,0,0
14.292405,0,0,0,0
12.747585,0,0,0,0
10.926082,0,0,0,0
