#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403715273262142976.000000,0.000000,0.000000,14.073071,4.271556,0.005547,6.936057,3.860065,0.001433,21.553597
1403715273312143104.000000,0.000000,0.000000,14.339444,4.591860,0.054959,2.789110,3.890383,0.000371,22.404808
1403715273362142976.000000,0.000000,0.000000,14.509749,4.481530,0.042917,3.067275,3.626498,0.000392,22.154368
1403715273412143104.000000,0.000000,0.000000,14.373231,4.420188,0.040829,2.840730,3.635398,0.000393,21.651273
1403715273462142976.000000,0.000000,0.000000,13.492081,3.989978,0.051296,2.229080,3.281850,3.495579,20.041621
1403715273512143104.000000,0.000000,0.000000,13.532352,4.186643,0.051225,4.698849,4.864899,0.000399,20.610869
1403715273562142976.000000,0.000000,0.000000,13.276417,4.517252,0.043133,5.250905,6.084745,0.000424,20.996465
1403715273612143104.000000,0.000000,0.000000,14.361702,4.445325,0.039827,4.949274,8.085809,0.000420,21.668242
1403715273662142976.000000,0.000000,0.000000,14.318170,4.388301,0.041436,2.506659,4.772322,0.000416,21.825888
1403715273712143104.000000,0.000000,0.000000,14.128088,11.261374,0.091581,3.007683,4.790386,3.717642,29.268940
1403715273762142976.000000,0.000000,0.000000,14.545253,4.659559,0.043010,5.262126,5.474895,0.000403,22.750754
1403715273812143104.000000,0.000000,0.000000,13.888031,4.610810,0.041995,3.984562,6.187204,0.000401,21.515709
1403715273862142976.000000,0.000000,0.000000,13.861924,11.480313,0.096155,3.053345,5.081732,0.000399,28.782610
1403715273912143104.000000,0.000000,0.000000,15.655160,7.062556,0.045532,4.317854,7.450263,0.000529,25.285324
1403715273962142976.000000,0.000000,0.000000,15.677830,10.827103,0.111425,3.178837,6.345349,2.539512,29.830138
1403715274012143104.000000,0.000000,0.000000,13.842263,4.929633,0.049005,4.106429,5.903616,0.000384,21.154365
1403715274062142976.000000,0.000000,0.000000,14.798121,4.153984,0.048742,4.186076,6.026035,0.000416,21.602307
1403715274112143104.000000,0.000000,0.000000,14.967458,4.263150,0.063788,3.728220,5.777904,0.000372,22.373593
1403715274162142976.000000,0.000000,0.000000,14.459330,4.360556,0.051093,4.029319,5.939788,0.000375,21.984094
1403715274212143104.000000,0.000000,0.000000,13.066146,4.214347,0.049465,5.191614,7.774663,3.464519,20.433725
1403715274262142976.000000,0.000000,0.000000,13.887540,4.592812,0.043117,5.118905,5.978362,0.000477,21.103124
1403715274312143104.000000,0.000000,0.000000,14.509127,6.714681,0.049739,4.459331,4.909029,0.000435,23.759298
1403715274362142976.000000,0.000000,0.000000,14.400527,4.115959,0.050746,5.941817,8.103659,0.000582,21.716626
1403715274412143104.000000,0.000000,0.000000,14.629442,4.221261,0.050630,4.361493,7.201472,0.000481,21.387815
1403715274462142976.000000,0.000000,0.000000,14.353163,4.773532,0.044704,4.599080,6.637794,2.204640,22.221522
1403715274512143104.000000,0.000000,0.000000,14.524254,4.489264,0.041883,5.343980,5.973677,0.000398,21.878618
1403715274562142976.000000,0.000000,0.000000,14.834107,4.107869,0.069313,6.302483,8.338999,0.000441,21.905672
1403715274612143104.000000,0.000000,0.000000,13.876748,4.951327,0.042878,5.987696,7.617348,0.000508,21.416084
1403715274662142976.000000,0.000000,0.000000,13.098609,4.101233,0.049945,4.359629,6.764590,0.000510,19.996766
1403715274712143104.000000,0.000000,0.000000,14.400379,9.248106,0.090515,5.356335,6.734217,2.777091,26.918292
1403715274762142976.000000,0.000000,0.000000,13.807024,4.585281,0.043723,6.710819,6.662376,0.000963,21.392910
1403715274812143104.000000,0.000000,0.000000,14.131251,4.794744,0.043317,5.739130,6.137120,0.000696,22.110180
1403715274862142976.000000,0.000000,0.000000,13.379040,4.115670,0.050472,5.362188,6.900207,0.000461,20.877395
1403715274912143104.000000,0.000000,0.000000,13.635548,4.629571,0.043128,4.447581,5.983927,0.000375,21.024405
1403715274962142976.000000,0.000000,0.000000,14.292952,10.905335,0.099912,4.516763,6.765367,2.965090,28.871122
1403715275012143104.000000,0.000000,0.000000,13.804988,4.675545,0.041302,5.939988,6.586861,0.000523,21.097207
1403715275062142976.000000,0.000000,0.000000,13.781855,4.126743,0.049229,4.604900,6.468518,0.000397,20.627851
1403715275112143104.000000,0.000000,0.000000,13.245047,4.178297,0.050991,3.954759,6.451508,0.000403,20.490748
1403715275162142976.000000,0.000000,0.000000,14.836517,9.158077,0.048473,3.609812,7.038650,0.000392,27.225093
1403715275212143104.000000,0.000000,0.000000,14.281419,9.506584,0.051812,3.858739,6.853811,2.316866,26.756392
1403715275262142976.000000,0.000000,0.000000,15.043649,4.696889,0.042746,5.638608,5.730303,0.000513,22.702905
1403715275312143104.000000,0.000000,0.000000,14.205506,4.145001,0.049861,4.267070,7.965645,0.000392,21.661965
1403715275362142976.000000,0.000000,0.000000,14.535414,4.145872,0.051041,3.994879,6.542743,0.000425,21.889608
1403715275412143104.000000,0.000000,0.000000,14.307328,9.776187,0.051140,3.484178,7.607423,0.000362,26.933642
1403715275462142976.000000,0.000000,0.000000,13.721599,4.031422,0.049954,3.306826,7.896908,3.850074,20.739182
1403715275512143104.000000,0.000000,0.000000,13.059718,9.696612,0.082655,6.509790,9.996295,0.000384,25.518487
1403715275562142976.000000,0.000000,0.000000,15.034963,4.410393,0.049377,0.048801,8.912666,0.060074,22.670859
1403715275612143104.000000,0.000000,0.000000,13.476997,4.655837,0.043216,0.040650,10.611972,0.062361,20.638279
1403715275662142976.000000,0.000000,0.000000,14.179868,9.219676,0.097341,0.045914,12.276588,0.075632,26.572058
1403715275712143104.000000,0.000000,0.000000,14.046610,3.974541,0.050877,0.035303,10.174969,5.137915,20.887161
1403715275762142976.000000,0.000000,0.000000,13.604013,11.194796,0.092327,0.057667,12.916704,0.089455,27.794983
1403715275812143104.000000,0.000000,0.000000,14.981991,8.823499,0.080861,0.041636,9.962266,0.061102,27.344863
1403715275862142976.000000,0.000000,0.000000,13.532091,9.529153,0.056136,0.029877,11.153272,0.068765,25.781575
1403715275912143104.000000,0.000000,0.000000,14.696377,4.156341,0.048555,0.034302,13.299712,0.084354,21.409043
1403715275962142976.000000,0.000000,0.000000,14.170984,5.103248,0.049049,0.031878,10.825124,0.077355,21.806898
1403715276012143104.000000,0.000000,0.000000,13.154602,6.972908,0.052377,0.027859,9.698538,0.063581,22.681906
1403715276062142976.000000,0.000000,0.000000,13.744679,4.330521,0.051245,0.027903,9.568139,0.063423,21.128070
1403715276112143104.000000,0.000000,0.000000,13.797986,11.002740,0.098154,0.029325,9.473501,0.063255,28.510482
1403715276162142976.000000,0.000000,0.000000,14.286259,11.058059,0.089798,0.027605,12.138651,0.078194,28.736201
1403715276212143104.000000,0.000000,0.000000,13.427683,9.867411,0.049333,0.027237,9.398542,4.519652,26.454048
1403715276262142976.000000,0.000000,0.000000,13.476388,4.903432,0.045436,0.061262,11.520222,0.094713,21.737837
1403715276312143104.000000,0.000000,0.000000,13.408513,9.217173,0.051092,0.061031,14.626628,0.077887,25.152256
1403715276362142976.000000,0.000000,0.000000,13.951656,4.765603,0.050534,0.043732,9.726631,0.074065,21.873568
1403715276412143104.000000,0.000000,0.000000,14.597915,4.269088,0.052371,0.032875,11.472306,0.072075,21.613209
1403715276462142976.000000,0.000000,0.000000,12.997330,4.081436,0.132685,0.032277,11.750472,0.074837,20.087351
1403715276512143104.000000,0.000000,0.000000,13.239911,4.095692,0.049831,0.029532,10.037812,0.064945,19.731760
1403715276562142976.000000,0.000000,0.000000,13.769620,10.979394,0.098451,0.026380,9.971639,3.254558,28.148867
1403715276612143104.000000,0.000000,0.000000,14.280359,11.328473,0.095888,0.047132,14.062823,0.089383,28.788250
1403715276662142976.000000,0.000000,0.000000,13.618463,4.754680,0.043348,0.054683,12.841576,0.086392,21.704539
1403715276712143104.000000,0.000000,0.000000,13.846187,9.340725,0.088634,0.051649,12.287560,0.067909,26.681824
1403715276762142976.000000,0.000000,0.000000,14.211645,4.849987,0.043851,0.033003,13.065733,0.068639,21.909262
1403715276812143104.000000,0.000000,0.000000,13.275246,4.307504,0.050420,0.034274,12.504348,0.067907,20.139299
1403715276862142976.000000,0.000000,0.000000,14.934962,10.979500,0.099274,0.037301,12.636487,0.068942,28.838304
1403715276912143104.000000,0.000000,0.000000,13.919510,11.155330,0.099318,0.033006,10.179008,0.064639,28.320762
1403715276962142976.000000,0.000000,0.000000,14.570476,11.381597,0.090023,0.028699,10.247595,0.063084,29.376454
1403715277012143104.000000,0.000000,0.000000,15.060639,7.460032,0.050956,0.028593,9.413346,4.156061,25.359925
1403715277062142976.000000,0.000000,0.000000,13.451737,6.884776,0.052244,0.053742,11.345133,0.087596,23.644727
1403715277112143104.000000,0.000000,0.000000,14.280083,4.392732,0.040955,0.059335,11.531301,0.083642,21.674513
1403715277162142976.000000,0.000000,0.000000,15.379206,6.439758,0.051411,0.050815,10.527535,0.064935,24.335190
1403715277212143104.000000,0.000000,0.000000,15.399754,4.290778,0.051728,0.029432,11.593424,0.073496,22.408203
1403715277262142976.000000,0.000000,0.000000,14.534808,4.814321,0.043576,0.027841,11.556746,0.078385,22.375651
1403715277312143104.000000,0.000000,0.000000,13.863655,4.800472,0.044643,0.029840,10.759611,0.071564,21.312101
1403715277362142976.000000,0.000000,0.000000,14.173577,11.309224,0.098395,0.025741,10.697482,0.070769,29.085587
1403715277412143104.000000,0.000000,0.000000,13.926323,4.700949,0.044148,0.031053,11.787194,4.550178,21.186913
1403715277462142976.000000,0.000000,0.000000,14.935182,10.903811,0.101491,0.058960,12.639571,0.089259,28.982542
1403715277512143104.000000,0.000000,0.000000,14.130933,4.433130,0.051451,0.064444,13.928455,0.090150,20.981250
1403715277562142976.000000,0.000000,0.000000,13.551306,4.334808,0.051816,0.047403,11.438132,0.076142,20.586556
1403715277612143104.000000,0.000000,0.000000,13.494420,4.844109,0.052478,0.027805,9.949335,0.062093,21.283456
1403715277662142976.000000,0.000000,0.000000,13.756306,4.434787,0.041428,0.029199,9.679136,0.062623,21.264436
1403715277712143104.000000,0.000000,0.000000,15.337429,4.246280,0.078760,0.050292,10.021186,0.068536,22.727642
1403715277762142976.000000,0.000000,0.000000,14.652480,4.871511,0.042532,0.028410,8.913208,3.600065,22.613957
1403715277812143104.000000,0.000000,0.000000,14.683587,4.419060,0.050536,0.057979,12.576274,0.084068,22.052742
1403715277862142976.000000,0.000000,0.000000,14.581849,6.865005,0.042547,0.033594,11.437575,0.068575,24.750858
1403715277912143104.000000,0.000000,0.000000,14.182635,11.692753,0.096331,0.049519,13.995967,0.090708,29.475589
1403715277962142976.000000,0.000000,0.000000,13.397495,6.451146,0.050857,0.029708,10.967445,0.067717,22.664718
1403715278012143104.000000,0.000000,0.000000,14.283995,8.726239,0.052525,0.035221,12.697270,0.074909,25.944504
1403715278062142976.000000,0.000000,0.000000,13.320181,4.372277,0.051560,0.032553,10.003007,3.441150,20.942940
1403715278112143104.000000,0.000000,0.000000,13.218757,4.156839,0.050896,0.039810,11.007810,0.074007,20.080328
1403715278162142976.000000,0.000000,0.000000,13.888856,8.534487,0.042819,0.057943,11.971363,0.094871,25.522356
1403715278212143104.000000,0.000000,0.000000,13.809052,11.408769,0.050361,0.046934,10.256742,0.060874,28.036815
1403715278262142976.000000,0.000000,0.000000,14.327547,8.144615,0.095208,0.033464,9.698894,0.061281,25.833153
1403715278312143104.000000,0.000000,0.000000,14.380461,13.230012,0.088436,0.032381,10.819202,0.069289,31.106682
1403715278362142976.000000,0.000000,0.000000,14.631892,9.521627,0.089220,0.054855,9.136332,0.067646,27.883262
1403715278412143104.000000,0.000000,0.000000,13.648788,9.404188,0.059897,0.027513,8.989341,3.365446,32.486578
1403715278462142976.000000,0.000000,0.000000,13.623539,8.865339,0.053380,0.054644,13.667364,0.086833,37.003160
1403715278512143104.000000,0.000000,0.000000,14.156509,4.227106,0.073068,0.037731,11.714746,0.058565,28.575154
1403715278562142976.000000,0.000000,0.000000,13.478113,5.129663,0.044858,0.056334,12.466376,0.075870,28.373799
1403715278612143104.000000,0.000000,0.000000,13.194416,5.217249,0.046495,0.051925,13.922520,0.078722,27.582857
1403715278662142976.000000,0.000000,0.000000,13.282310,4.490835,0.053717,0.058304,13.909520,0.081949,30.102340
1403715278712143104.000000,0.000000,0.000000,12.933123,4.404301,0.045482,0.040639,9.137923,0.058415,30.399897
1403715278762142976.000000,0.000000,0.000000,13.293751,7.915947,0.047500,0.034449,10.928006,0.064013,35.810993
1403715278812143104.000000,0.000000,0.000000,12.945624,8.438393,0.075513,0.032329,10.380416,0.064268,37.144536
1403715278862142976.000000,0.000000,0.000000,13.768544,7.896188,0.058963,0.029951,9.651608,0.062436,31.611842
1403715278912143104.000000,0.000000,0.000000,12.839084,4.789211,0.057440,0.030643,9.748106,2.764595,31.620147
1403715278962142976.000000,0.000000,0.000000,12.999918,5.648121,0.061270,0.050835,13.190452,0.086118,32.121952
1403715279012143104.000000,0.000000,0.000000,13.352073,5.491904,0.060706,0.052986,11.152258,0.076340,32.020887
