#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
4.085764,0.086868,0.719063,0.008377,0.008377,4.907301
3.990229,0.072559,1.143333,0.001829,0.001829,5.209521
5.685408,0.172450,2.842553,0.191542,0.191542,17.782685
6.199508,0.201839,8.092728,1.537885,1.537885,34.508641
6.881771,0.139057,8.236686,1.375687,1.375687,38.886998
7.232657,0.177579,6.782313,0.748413,0.748413,30.472468
7.468109,0.174303,10.437297,1.373216,1.373216,53.227746
7.204967,0.184943,14.937817,1.212753,1.212753,63.906912
6.067421,0.174679,11.980555,1.616668,1.616668,56.470780
3.227102,0.150183,7.078667,50.134680,50.134680,92.324464
1.644337,0.030738,3.318299,1.140561,1.140561,32.100109
1.604541,0.021158,2.970676,1.217910,1.217910,27.828076
1.996158,0.030369,3.975370,0.979266,0.979266,32.176512
2.147997,0.018099,4.502554,1.253666,1.253666,28.943891
2.277227,0.018146,4.267571,1.379918,1.379918,26.165305
3.453992,0.024910,8.042700,1.396710,1.396710,30.415560
3.778480,0.029350,9.105185,1.697474,1.697474,35.083894
4.174272,0.040603,9.906314,2.161218,2.161218,45.096539
4.920500,0.063842,11.064523,1.619056,1.619056,47.505376
11.154138,0.183079,21.576826,1.720403,1.720403,74.501196
4.016747,0.066234,8.846858,1.698448,1.698448,50.041436
3.540417,0.091944,7.795864,2.555451,2.555451,51.110229
2.794768,0.043889,5.659301,1.851879,1.851879,28.186239
2.454421,0.015284,6.119747,1.913003,1.913003,29.216822
2.468480,0.016629,7.516091,1.885451,1.885451,31.733015
2.522102,0.021001,6.347288,1.769289,1.769289,27.602134
1.899151,0.026205,4.944560,2.132563,2.132563,24.970444
2.552015,0.024951,6.307402,2.111804,2.111804,27.210831
2.238908,0.021001,5.073485,2.282230,2.282230,26.117127
2.327043,0.020323,4.629124,2.063177,2.063177,24.506089
3.006564,0.024697,5.923279,1.972302,1.972302,29.533134
2.727973,0.027101,5.493054,2.110923,2.110923,24.937500
4.921833,0.032326,9.245410,1.969693,1.969693,34.440231
3.802878,0.031037,10.278336,2.359338,2.359338,35.519682
5.166870,0.044131,13.386900,4.402210,4.402210,44.103127
5.363154,0.042731,13.777063,1.781080,1.781080,58.065872
7.111550,0.108076,18.817221,1.994579,1.994579,66.544237
9.314381,0.171083,27.505388,2.709029,2.709029,84.300516
6.000359,0.196316,17.648562,1.788610,1.788610,67.763122
3.532329,0.081640,10.059603,1.961167,1.961167,50.179488
3.666929,0.041615,9.926216,2.058817,2.058817,49.332489
3.322919,0.051982,9.004875,2.028827,2.028827,46.531863
3.770039,0.042862,11.068408,2.194320,2.194320,49.193642
3.038714,0.043079,8.450947,2.152598,2.152598,45.781427
2.637073,0.047812,6.933680,2.144051,2.144051,28.312493
2.553997,0.039417,6.170909,2.131459,2.131459,29.162566
2.501407,0.026060,6.758885,1.907502,1.907502,26.616880
3.884441,0.024149,6.791580,2.080042,2.080042,30.256924
2.450692,0.029221,6.016636,2.099333,2.099333,29.868029
1.632173,0.020057,4.037912,1.956495,1.956495,21.384499
1.433408,0.014336,3.724578,1.893577,1.893577,20.420796
1.442092,0.018953,4.376066,2.368691,2.368691,24.604982
1.230861,0.014442,3.845240,1.893254,1.893254,21.088029
2.127634,0.039425,4.838126,1.868847,1.868847,24.225845
1.563094,0.024349,4.289350,1.864674,1.864674,22.425104
2.215128,0.050519,6.967693,2.096342,2.096342,80.821235
