#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
4.948036,0.071656,0.716876,0.009840,0.009840,5.753044
4.685522,0.181670,2.562620,0.003323,0.003323,7.435765
3.884754,0.010903,0.080929,0.002119,0.002119,3.980540
3.728917,0.029753,0.314294,0.002963,0.002963,4.077647
5.227761,0.092458,0.926886,0.003463,0.003463,6.253644
5.969286,0.169007,2.581913,0.002730,0.002730,8.724632
5.553998,0.358793,4.095243,0.453574,0.453574,28.705049
4.511212,0.308887,4.196898,0.369685,0.369685,23.927143
2.901079,0.009874,0.106771,0.002040,0.002040,3.021305
4.059211,0.071551,0.944275,0.002633,0.002633,5.079764
4.301279,0.048176,0.563542,0.002950,0.002950,4.917761
4.489702,0.159123,2.950623,0.002773,0.002773,7.604428
5.431670,0.330890,4.623196,0.199940,0.199940,23.725241
6.223698,0.287611,6.139420,0.617086,0.617086,28.499965
5.417954,0.278588,6.951804,1.044790,1.044790,36.586558
4.075316,0.123076,2.271191,0.419366,0.419366,15.754306
3.457656,0.027206,0.295014,0.002917,0.002917,3.787319
4.446273,0.052332,0.557992,0.003380,0.003380,5.061767
5.387475,0.222406,2.642601,0.002670,0.002670,8.256889
6.110557,0.328563,2.218277,0.233111,0.233111,18.478097
5.923970,0.248582,6.331390,0.764916,0.764916,33.733410
5.807133,0.272518,7.402598,1.119935,1.119935,38.821334
4.202528,0.161117,4.049273,0.620021,0.620021,25.147252
4.440170,0.152090,7.387806,0.973196,0.973196,37.427472
4.298459,0.165320,6.218912,1.047462,1.047462,38.225522
3.888826,0.077396,2.660371,0.449670,0.449670,16.722801
4.631643,0.127800,6.863346,39.835749,39.835749,69.759618
4.643120,0.100600,4.285884,0.835120,0.835120,29.996017
4.738586,0.093448,7.239485,1.186101,1.186101,37.218152
2.755256,0.036128,3.023990,0.580290,0.580290,23.950284
3.783314,0.040123,4.716874,0.702615,0.702615,27.644379
4.763970,0.070075,10.088286,1.005600,1.005600,73.013891
5.644415,0.097733,9.972418,1.078881,1.078881,54.765687
3.336100,0.044599,5.743719,1.108860,1.108860,35.836636
3.066421,0.044486,5.975246,1.422343,1.422343,38.139635
2.334474,0.053541,4.453106,0.793153,0.793153,33.517970
5.204668,0.091105,5.625711,2.074995,2.074995,45.853681
3.088293,0.045697,5.591080,1.418244,1.418244,41.790584
6.110237,0.137434,12.549845,1.635240,1.635240,67.956870
4.959865,0.089862,8.813884,1.964627,1.964627,65.822355
4.858932,0.078278,11.856859,1.790390,1.790390,70.986577
3.152994,0.039130,6.550797,1.808142,1.808142,50.209079
2.849064,0.022300,5.556531,1.752467,1.752467,40.345403
2.698413,0.020373,5.770607,1.691521,1.691521,39.376327
2.833645,0.019163,5.867204,3.842452,3.842452,47.251964
3.605615,0.032551,6.450297,1.767067,1.767067,65.050657
4.329663,0.071292,7.774614,2.066616,2.066616,45.588917
4.455429,0.042038,6.068699,2.326638,2.326638,45.945687
2.576712,0.020979,4.569473,1.974459,1.974459,37.209898
2.627574,0.030618,5.169251,1.619026,1.619026,27.375599
3.197369,0.033033,7.164123,1.494762,1.494762,36.452460
3.253476,0.034833,6.269260,1.311627,1.311627,31.036555
3.813966,0.043229,5.832976,1.279540,1.279540,28.699243
2.948603,0.031166,5.251020,1.609091,1.609091,27.064928
3.646380,0.040922,7.289964,1.585094,1.585094,34.903052
3.765216,0.049934,7.488862,1.864755,1.864755,35.220611
4.321156,0.054150,7.569492,1.835310,1.835310,38.435855
