#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403636579763555584.000000,0.000000,0.000000,15.788568,4.312279,0.002172,5.727946,3.259805,0.002021,22.835775
1403636579813555456.000000,0.000000,0.000000,14.121742,4.606208,0.054955,1.751264,3.076615,0.000830,21.424255
1403636579863555584.000000,0.000000,0.000000,14.110047,4.714736,0.041278,1.845409,2.887380,0.000419,22.050722
1403636579913555456.000000,0.000000,0.000000,13.895206,4.496135,0.043195,2.437242,5.823746,0.000516,21.104274
1403636579963555584.000000,0.000000,0.000000,14.091577,6.035109,0.048577,1.392108,3.355727,2.310378,28.329567
1403636580013555456.000000,0.000000,0.000000,15.438229,4.008978,0.039658,3.957551,5.098436,0.000586,31.259432
1403636580063555584.000000,0.000000,0.000000,14.498847,3.515669,0.069391,1.839739,4.011485,0.000524,26.251539
1403636580113555456.000000,0.000000,0.000000,14.236630,3.362710,0.051776,1.554093,3.240695,0.000461,25.266886
1403636580163555584.000000,0.000000,0.000000,13.836044,6.362343,0.077144,1.169057,3.908741,0.000521,31.818974
1403636580213555456.000000,0.000000,0.000000,13.357649,4.229236,0.047025,1.070751,4.235371,1.243818,27.618549
1403636580263555584.000000,0.000000,0.000000,14.648485,6.200139,0.062297,1.176988,2.000804,0.000841,33.036651
1403636580313555456.000000,0.000000,0.000000,13.494918,3.330448,0.050174,0.962722,2.248988,0.000583,26.043766
1403636580363555584.000000,0.000000,0.000000,12.960149,2.983082,0.077211,2.272552,3.943696,0.000534,23.268531
1403636580413555456.000000,0.000000,0.000000,14.997260,2.948116,0.055405,1.869071,4.070619,0.000815,26.487740
1403636580463555584.000000,0.000000,0.000000,16.538870,2.803239,0.057188,0.977367,2.359954,1.786192,29.129679
1403636580513555456.000000,0.000000,0.000000,13.556203,2.307754,0.100075,1.998376,2.065549,0.000477,22.620409
1403636580563555584.000000,0.000000,0.000000,12.748749,2.343757,0.067627,1.410065,2.397343,0.000560,21.060032
1403636580613555456.000000,0.000000,0.000000,12.798974,4.583926,0.116478,1.295763,2.423610,0.000528,26.776001
1403636580663555584.000000,0.000000,0.000000,14.061022,5.855341,0.110904,0.952222,2.309340,0.000524,29.219201
1403636580713555456.000000,0.000000,0.000000,13.811410,2.964412,0.066389,1.139930,2.127620,3.593843,24.553391
1403636580763555584.000000,0.000000,0.000000,13.690028,3.823195,0.052083,4.326843,4.848370,0.000506,24.472336
1403636580813555456.000000,0.000000,0.000000,13.184246,3.589320,0.060192,1.858046,3.173801,0.000418,23.271445
1403636580863555584.000000,0.000000,0.000000,13.717130,4.134645,0.055817,2.604577,5.340733,0.000555,24.585771
1403636580913555456.000000,0.000000,0.000000,13.519520,7.468335,0.062782,1.413330,3.698790,0.000567,27.402006
1403636580963555584.000000,0.000000,0.000000,15.544964,3.903365,0.061324,2.122909,3.222946,3.639907,28.906059
1403636581013555456.000000,0.000000,0.000000,13.186542,7.580544,0.067267,4.687125,5.493267,0.000667,33.308832
1403636581063555584.000000,0.000000,0.000000,13.865134,3.775055,0.046455,3.003543,4.755919,0.000630,25.414676
1403636581113555456.000000,0.000000,0.000000,13.878468,8.477677,0.079747,2.655436,5.307116,0.000520,33.660872
1403636581163555584.000000,0.000000,0.000000,14.182569,9.281750,0.057167,2.582477,4.495582,0.000457,31.285383
1403636581213555456.000000,0.000000,0.000000,14.712680,9.435103,0.088852,2.447488,4.942388,2.820778,36.642114
1403636581263555584.000000,0.000000,0.000000,14.539449,7.974360,0.086960,3.517730,5.161795,0.000564,35.876264
1403636581313555456.000000,0.000000,0.000000,14.935900,7.300375,0.066559,2.893575,5.021654,0.000529,32.767234
1403636581363555584.000000,0.000000,0.000000,14.258012,5.301463,0.068890,2.648081,5.017463,0.000514,30.148886
1403636581413555456.000000,0.000000,0.000000,14.412456,4.324069,0.088550,2.505250,4.710067,0.000480,28.403436
1403636581463555584.000000,0.000000,0.000000,14.695135,5.027764,0.060649,3.263468,7.292868,2.307134,32.487593
1403636581513555456.000000,0.000000,0.000000,14.143773,4.126514,0.100820,3.701498,5.116309,0.000576,30.345859
1403636581563555584.000000,0.000000,0.000000,13.892040,4.862735,0.064981,3.489722,4.991312,0.000573,30.118901
1403636581613555456.000000,0.000000,0.000000,14.048011,4.323695,0.068696,2.174535,5.704036,0.000589,29.326742
1403636581663555584.000000,0.000000,0.000000,13.822299,7.456879,0.070756,2.753987,4.986866,0.000591,30.977303
1403636581713555456.000000,0.000000,0.000000,13.760935,6.876805,0.099716,1.910791,4.743274,2.095543,36.571518
1403636581763555584.000000,0.000000,0.000000,15.127282,6.215914,0.066924,2.146638,4.533105,0.000474,33.011871
1403636581813555456.000000,0.000000,0.000000,13.676448,6.056317,0.091373,2.059324,5.810790,0.000459,31.685615
1403636581863555584.000000,0.000000,0.000000,13.745561,4.542763,0.071201,2.114353,5.617588,0.001046,29.238858
1403636581913555456.000000,0.000000,0.000000,14.295919,5.989924,0.097774,2.822119,8.108625,0.000636,31.304358
1403636581963555584.000000,0.000000,0.000000,14.151385,3.686491,0.077620,1.295079,5.179100,1.722793,29.174916
1403636582013555456.000000,0.000000,0.000000,12.936948,3.458158,0.078801,0.039289,7.479347,0.047564,26.236075
1403636582063555584.000000,0.000000,0.000000,14.299641,3.629597,0.065783,0.027358,7.248188,0.048027,29.265440
1403636582113555456.000000,0.000000,0.000000,13.454899,3.567342,0.069091,0.016652,5.465385,0.041798,27.441187
1403636582163555584.000000,0.000000,0.000000,14.213121,5.239360,0.108854,0.017012,5.329898,0.031663,33.415682
1403636582213555456.000000,0.000000,0.000000,14.056271,3.066851,0.080464,0.018395,5.561573,0.033478,28.046192
1403636582263555584.000000,0.000000,0.000000,13.953090,5.945169,0.112172,0.021609,6.423794,0.039407,30.633961
1403636582313555456.000000,0.000000,0.000000,13.344143,4.743686,0.111877,0.032770,5.564235,0.048710,29.178334
1403636582363555584.000000,0.000000,0.000000,12.664446,3.074643,0.077122,0.021548,5.687408,0.036953,23.922820
1403636582413555456.000000,0.000000,0.000000,13.117214,2.951443,0.054245,0.022687,5.851515,0.032289,24.201250
1403636582463555584.000000,0.000000,0.000000,13.553969,3.734766,0.045539,0.025768,6.998118,2.977508,25.561461
1403636582513555456.000000,0.000000,0.000000,13.821575,3.867388,0.052040,0.035753,6.433375,0.055880,27.534744
1403636582563555584.000000,0.000000,0.000000,13.441862,3.545836,0.057545,0.051722,7.938010,3.521543,25.076510
1403636582613555456.000000,0.000000,0.000000,13.669248,3.557066,0.056274,0.040955,6.950311,0.060836,25.963965
1403636582663555584.000000,0.000000,0.000000,13.424462,3.822254,0.077807,0.032528,5.974418,2.414438,26.080157
1403636582713555456.000000,0.000000,0.000000,13.537857,5.521662,0.058010,0.053751,7.058168,0.057662,32.212875
1403636582763555584.000000,0.000000,0.000000,13.457491,4.362655,0.058654,0.042643,6.246038,2.498358,27.242348
1403636582813555456.000000,0.000000,0.000000,14.249042,6.160457,0.101350,0.059021,10.558258,0.060275,35.685142
1403636582863555584.000000,0.000000,0.000000,10.369123,4.553427,0.079635,0.035832,6.334174,2.081145,23.623285
1403636582913555456.000000,0.000000,0.000000,13.559952,4.600310,0.078824,0.062184,10.996409,0.081591,29.536151
1403636582963555584.000000,0.000000,0.000000,12.779167,4.769397,0.039329,0.044052,7.012586,0.051252,27.757215
1403636583013555456.000000,0.000000,0.000000,13.583635,8.143937,0.113692,0.045653,13.386222,0.065462,33.460813
1403636583063555584.000000,0.000000,0.000000,15.654716,7.364791,0.105592,0.047438,11.044079,0.065665,37.170661
1403636583113555456.000000,0.000000,0.000000,14.720512,4.026437,0.081798,0.049330,8.197332,0.062765,30.232359
