#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.008970,3,1,0,809
0.002696,4,1,0,1151
0.322376,5,1,0,1346
0.472410,6,1,0,1729
0.353691,7,1,0,1934
0.688393,8,1,0,2000
0.836799,9,1,0,2267
0.761638,10,1,0,2690
0.862099,0,0,0,0
57.740502,0,0,0,0
0.827591,0,0,0,0
1.048742,0,0,0,0
1.235034,0,0,0,0
1.527364,0,0,0,0
1.526967,0,0,0,0
1.729729,0,0,0,0
2.408484,0,0,0,0
1.753607,0,0,0,0
1.912241,0,0,0,0
2.023753,0,0,0,0
2.585888,0,0,0,0
2.965720,0,0,0,0
3.230408,0,0,0,0
3.554456,0,0,0,0
4.414301,0,0,0,0
3.610368,0,0,0,0
3.501569,0,0,0,0
3.054676,0,0,0,0
3.288515,0,0,0,0
3.104864,0,0,0,0
3.634681,0,0,0,0
3.796581,0,0,0,0
4.329080,0,0,0,0
3.777651,0,0,0,0
4.601937,0,0,0,0
2.261402,0,0,0,0
4.435671,0,0,0,0
2.775528,0,0,0,0
4.096991,0,0,0,0
3.905548,0,0,0,0
4.908921,0,0,0,0
2.711741,0,0,0,0
2.916974,0,0,0,0
4.513475,0,0,0,0
3.694700,0,0,0,0
3.198873,0,0,0,0
4.023284,0,0,0,0
4.801888,0,0,0,0
2.288839,0,0,0,0
4.110935,0,0,0,0
2.160514,0,0,0,0
4.185191,0,0,0,0
4.112896,0,0,0,0
3.164355,0,0,0,0
2.478431,0,0,0,0
2.995096,0,0,0,0
3.246435,0,0,0,0
3.229056,0,0,0,0
3.586379,0,0,0,0
2.537338,0,0,0,0
4.800969,0,0,0,0
3.590938,0,0,0,0
2.092049,0,0,0,0
2.722357,0,0,0,0
2.919771,0,0,0,0
3.280418,0,0,0,0
2.429790,0,0,0,0
3.021794,0,0,0,0
4.777479,0,0,0,0
3.593541,0,0,0,0
3.383743,0,0,0,0
5.107279,0,0,0,0
3.884403,0,0,0,0
3.794441,0,0,0,0
3.062203,0,0,0,0
2.642522,0,0,0,0
5.149084,0,0,0,0
2.868994,0,0,0,0
2.562149,0,0,0,0
3.861721,0,0,0,0
4.554252,0,0,0,0
3.244911,0,0,0,0
4.070487,0,0,0,0
2.702645,0,0,0,0
4.479432,0,0,0,0
4.156245,0,0,0,0
4.334307,0,0,0,0
4.012348,0,0,0,0
2.636406,0,0,0,0
3.980323,0,0,0,0
3.667564,0,0,0,0
4.050131,0,0,0,0
4.429146,0,0,0,0
5.812863,0,0,0,0
3.857195,0,0,0,0
3.881041,0,0,0,0
2.903319,0,0,0,0
2.931700,0,0,0,0
2.415580,0,0,0,0
2.694021,0,0,0,0
3.107514,0,0,0,0
3.022191,0,0,0,0
3.988061,0,0,0,0
3.323502,0,0,0,0
2.875344,0,0,0,0
3.124455,0,0,0,0
