#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
7.906820,0.134810,1.388379,0.009290,0.009290,9.446005
8.520640,0.245015,3.588660,0.002590,0.002590,12.359442
8.208563,0.405535,5.170562,0.720535,0.720535,51.299661
8.405099,0.376223,10.502619,0.982005,0.982005,56.604808
6.007303,0.130240,5.082551,0.658475,0.658475,31.594082
6.205292,0.119105,5.251342,1.257146,1.257146,31.408030
10.588451,0.215079,12.955180,1.531699,1.531699,57.658176
11.088111,0.241825,22.397308,2.160938,2.160938,74.127521
11.031423,0.243975,20.583628,2.485140,2.485140,77.733359
10.099445,0.270064,22.592685,102.788690,102.788690,186.463791
5.068895,0.104411,9.024770,1.978392,1.978392,54.391341
7.829694,0.203081,28.656672,2.623169,2.623169,104.284817
6.839442,0.221061,12.750408,2.371944,2.371944,74.407173
8.583056,0.289338,14.148397,3.895745,3.895745,84.353099
6.782061,0.305819,12.571384,2.495255,2.495255,72.296794
6.851907,0.279073,11.208517,3.093397,3.093397,84.210108
6.853978,0.325486,15.579771,3.196494,3.196494,255.286425
10.617194,0.541873,29.532965,2.807553,2.807553,122.214969
6.836793,0.248372,12.816980,3.355808,3.355808,101.494470
11.878605,0.449997,32.960546,3.599591,3.599591,127.817249
7.271394,0.168457,18.190812,3.780072,3.780072,119.663909
8.999724,0.180499,19.648137,4.412129,4.412129,119.827464
12.660916,0.350120,34.984405,6.301352,6.301352,146.214791
6.954404,0.219422,15.895920,4.594749,4.594749,115.911684
7.537543,0.246029,14.467146,3.504703,3.504703,104.369319
11.767701,0.421092,22.636198,2.377485,2.377485,124.240279
7.394819,0.282536,15.654496,2.376863,2.376863,121.828868
11.760938,0.481236,38.968084,2.978184,2.978184,162.325983
9.827595,0.377437,23.500215,4.930513,4.930513,136.132038
11.849489,0.477250,36.609820,3.184138,3.184138,174.920950
7.752329,0.279692,20.651438,4.568947,4.568947,143.110997
5.891371,0.200712,16.117602,4.325180,4.325180,137.614749
8.657691,0.244240,15.919122,5.362280,5.362280,147.028072
11.404935,0.434351,36.628769,4.586945,4.586945,184.603812
13.031212,0.399168,37.171421,4.056918,4.056918,176.096174
7.072179,0.240349,18.136975,5.896830,5.896830,143.068811
7.889645,0.177962,16.143334,6.010827,6.010827,139.830218
10.319013,0.246445,19.840061,5.030848,5.030848,159.449031
7.071482,0.197389,15.395108,6.043222,6.043222,155.119696
7.866611,0.229461,16.543289,7.426494,7.426494,152.303960
6.003604,0.186553,15.827824,7.743422,7.743422,145.374928
5.803563,0.132677,17.555375,10.879219,10.879219,149.057513
6.959729,0.161684,19.832200,7.935103,7.935103,149.807049
14.257507,0.460341,33.725953,6.840267,6.840267,186.125870
14.540554,0.523833,31.950048,9.135406,9.135406,179.514983
7.815577,0.302994,18.961549,6.962766,6.962766,542.814482
6.146388,0.238693,18.230597,9.813131,9.813131,148.835471
6.819205,0.341187,19.842826,8.887131,8.887131,154.684330
7.861616,0.409129,23.924863,7.609909,7.609909,179.737463
10.704667,0.632255,39.991734,7.044669,7.044669,182.668312
10.631684,0.519660,39.430606,6.650475,6.650475,189.266789
7.014161,0.281548,20.157066,8.423525,8.423525,162.075901
6.314502,0.262875,23.840761,7.862045,7.862045,166.963308
8.943933,0.277980,20.708398,10.330825,10.330825,170.227637
8.882248,0.281589,23.301827,8.659544,8.659544,165.001121
11.556218,0.424538,23.040549,9.071825,9.071825,165.114189
10.315773,0.186884,22.267195,6.122535,6.122535,166.317483
5.820397,0.163862,16.317952,9.311868,9.311868,151.492281
5.757431,0.189763,14.927682,4.765199,4.765199,140.144941
12.057839,0.436064,37.597743,5.402167,5.402167,187.277536
11.197245,0.472177,38.903755,4.986041,4.986041,181.905372
8.351957,0.247881,19.392283,4.371810,4.371810,161.817815
10.877118,0.228180,19.873014,6.252625,6.252625,159.856404
7.265043,0.209549,22.024698,6.176128,6.176128,162.672044
6.272292,0.200943,15.611119,6.524647,6.524647,157.338610
6.825476,0.265127,19.130105,7.539983,7.539983,170.680325
11.006273,0.589611,39.010213,8.092200,8.092200,196.107012
7.078118,0.339136,18.487185,6.415224,6.415224,166.584516
7.592029,0.267475,20.473771,7.033916,7.033916,164.251524
10.328639,0.249279,23.152770,7.758326,7.758326,190.669226
8.470406,0.196550,20.860543,6.641179,6.641179,168.473529
13.240042,0.292018,38.039751,7.053068,7.053068,185.559623
7.164982,0.207537,19.703432,6.644475,6.644475,161.409975
8.939251,0.333929,21.822708,5.906748,5.906748,164.772639
9.209372,0.373094,24.764624,6.742745,6.742745,178.192038
4.890121,0.222254,10.969236,8.148387,8.148387,158.196114
9.442478,0.506347,29.958884,3.620449,3.620449,186.294692
8.543772,0.398276,16.250013,4.046365,4.046365,165.450156
7.253611,0.308719,14.614362,7.352762,7.352762,150.731761
9.898149,0.300430,18.453244,5.375862,5.375862,165.164388
10.774746,0.418984,31.475964,4.049993,4.049993,190.707429
11.003869,0.476451,40.469577,7.429085,7.429085,206.025292
9.780060,0.267848,28.328958,10.132193,10.132193,186.263059
6.033978,0.278883,18.932693,10.636947,10.636947,156.978700
16.069383,0.578414,50.888004,12.242654,12.242654,211.657159
7.959309,0.228167,28.077170,11.344724,11.344724,166.264693
7.529183,0.182538,23.605995,12.442376,12.442376,162.318469
7.574757,0.187945,24.318463,12.355933,12.355933,159.739968
14.585646,0.502210,26.467173,12.371995,12.371995,184.301384
10.278856,0.268697,38.979947,14.706080,14.706080,190.707678
14.517258,0.447111,46.836872,12.545278,12.545278,199.775102
14.448146,0.486027,47.444350,13.857223,13.857223,208.173695
14.866927,0.420525,47.219377,10.508698,10.508698,209.273749
6.196741,0.180103,20.625171,11.803085,11.803085,155.415861
5.599129,0.145344,19.170912,11.964883,11.964883,152.003918
5.158559,0.157646,17.860831,13.241795,13.241795,157.672886
6.861926,0.264396,29.609098,9.325859,9.325859,182.740806
8.915315,0.267381,27.313558,10.237969,10.237969,184.227229
9.613155,0.270371,24.241120,8.427401,8.427401,159.685757
5.782037,0.196726,21.133715,10.801167,10.801167,158.454064
5.818406,0.195996,21.124552,7.718345,7.718345,153.105136
5.760819,0.183442,21.070014,9.993533,9.993533,156.785867
5.088868,0.168060,19.484043,9.115282,9.115282,151.822152
5.125386,0.180598,19.081766,8.470568,8.470568,154.859171
4.907833,0.192287,22.168816,7.248327,7.248327,158.402270
6.599294,0.351821,23.093984,7.118476,7.118476,160.031463
4.529741,0.146431,16.026381,8.931945,8.931945,148.818526
4.585387,0.181636,15.042834,7.030664,7.030664,149.239605
4.236207,0.191462,13.227906,8.408372,8.408372,148.869544
5.026611,0.151377,17.659107,8.422491,8.422491,153.027619
7.616448,0.293627,26.303973,7.207650,7.207650,179.050136
5.548485,0.189605,16.580345,9.173068,9.173068,154.725430
5.003505,0.148416,15.000532,10.975289,10.975289,153.800396
5.027218,0.167782,15.581680,7.889287,7.889287,149.819885
4.746431,0.162691,16.200645,8.497442,8.497442,154.623280
4.905221,0.165926,14.722784,9.055279,9.055279,151.308312
4.658237,0.152652,14.874679,9.303116,9.303116,152.896598
5.113539,0.151924,16.299564,8.949935,8.949935,152.832428
5.002672,0.192992,14.051445,8.155155,8.155155,152.023695
4.315409,0.145500,14.113532,8.590568,8.590568,145.427789
5.037415,0.128842,17.283592,7.670556,7.670556,148.502809
4.470174,0.129512,16.462916,9.195844,9.195844,146.523793
4.919645,0.159049,17.289584,8.191865,8.191865,147.825066
4.904483,0.159064,17.628727,11.402532,11.402532,145.986296
5.134046,0.179124,16.099621,8.586205,8.586205,139.977735
4.086768,0.137884,14.398999,7.888510,7.888510,139.254471
5.071559,0.161040,14.694652,7.805054,7.805054,137.080055
4.727005,0.142120,13.887125,8.371968,8.371968,139.999409
4.258148,0.145821,12.543268,8.224935,8.224935,132.527275
4.988657,0.146080,15.659527,10.185966,10.185966,136.938934
8.566249,0.384699,34.223799,8.035501,8.035501,185.154670
8.583719,0.321183,33.841249,9.782194,9.782194,163.759347
7.176289,0.276076,19.670670,9.281063,9.281063,144.352136
11.275437,0.545065,40.891047,7.246047,7.246047,182.623565
6.890494,0.388307,19.636120,9.676528,9.676528,149.287028
11.217577,0.697935,29.264485,5.139113,5.139113,162.548187
10.428308,0.650407,39.596538,6.414837,6.414837,166.862183
9.577006,0.434655,34.998369,6.382320,6.382320,174.138554
11.130601,0.549322,30.117048,4.550890,4.550890,166.838301
