#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.009403,3,1,0,1812
0.002040,4,1,0,2457
0.472633,5,1,0,3183
0.621544,6,1,0,3744
0.674558,7,1,0,3956
0.918628,8,1,0,3870
0.942092,9,1,0,3949
1.876455,10,1,0,3967
1.750971,3,1,0,1559
51.300670,4,1,0,1636
0.002448,5,1,0,1592
0.003153,6,1,0,1576
0.185273,7,1,0,1615
0.431182,6,2,0,1564
1.297976,3,6,0,379
0.701883,3,7,0,275
1.410293,3,1,0,865
0.797520,4,1,0,975
1.031367,5,1,0,1034
62.005117,6,1,0,1107
0.003116,7,1,0,1248
0.003390,8,1,0,1379
0.002936,9,1,0,1353
0.002171,10,1,0,1297
0.125261,3,1,0,512
0.548806,2,2,0,224
0.686794,3,2,0,248
0.575579,3,3,0,282
0.475819,2,3,0,240
1.172124,2,2,0,545
0.885975,3,2,0,1301
28.142886,4,2,0,1661
0.002106,0,0,0,0
0.001715,0,0,0,0
0.147445,0,0,0,0
0.167320,0,0,0,0
0.206596,0,0,0,0
0.234599,0,0,0,0
0.205939,0,0,0,0
0.228061,0,0,0,0
0.308652,0,0,0,0
29.933450,0,0,0,0
0.379203,3,1,0,697
0.473964,3,1,0,834
0.454178,5,1,0,977
0.522706,6,1,0,1047
0.668904,7,1,0,1268
0.828348,8,1,0,1477
0.948338,9,1,0,1792
1.271497,10,1,0,2040
1.409932,0,0,0,0
2.224654,0,0,0,0
0.002053,0,0,0,0
0.002860,0,0,0,0
0.147868,0,0,0,0
0.269008,0,0,0,0
0.649661,0,0,0,0
0.737949,0,0,0,0
0.652836,0,0,0,0
0.608757,0,0,0,0
1.183248,0,0,0,0
44.858472,0,0,0,0
0.881929,0,0,0,0
1.657667,0,0,0,0
2.474191,0,0,0,0
2.725758,0,0,0,0
1.278793,0,0,0,0
1.300028,0,0,0,0
2.044624,0,0,0,0
2.019631,0,0,0,0
1.898776,0,0,0,0
2.290756,0,0,0,0
1.760501,0,0,0,0
2.219721,0,0,0,0
2.820857,0,0,0,0
1.960791,0,0,0,0
2.427774,0,0,0,0
5.662745,0,0,0,0
2.126689,0,0,0,0
3.491624,0,0,0,0
2.063347,0,0,0,0
1.550907,0,0,0,0
1.593875,0,0,0,0
2.897507,0,0,0,0
1.528201,0,0,0,0
1.726798,0,0,0,0
1.738454,3,1,0,1019
2.148751,4,1,0,1199
2.012913,5,1,0,1237
2.661096,6,1,0,1282
2.706828,7,1,0,1387
3.463010,8,1,0,1677
3.197290,9,1,0,1895
1.741451,10,1,0,2126
2.160998,0,0,0,0
1.392543,0,0,0,0
1.731984,0,0,0,0
1.661361,0,0,0,0
0.003500,0,0,0,0
0.002710,0,0,0,0
0.284877,0,0,0,0
0.620426,0,0,0,0
0.962202,0,0,0,0
0.524061,0,0,0,0
0.889004,0,0,0,0
0.649461,0,0,0,0
0.600497,0,0,0,0
32.344025,0,0,0,0
0.846437,0,0,0,0
1.034574,0,0,0,0
0.865320,0,0,0,0
1.131016,0,0,0,0
2.178161,0,0,0,0
1.236853,0,0,0,0
1.112859,0,0,0,0
1.357221,0,0,0,0
0.958311,0,0,0,0
1.259998,0,0,0,0
1.108095,0,0,0,0
1.457404,0,0,0,0
0.929281,0,0,0,0
1.414738,0,0,0,0
1.047670,0,0,0,0
1.843287,0,0,0,0
1.464770,0,0,0,0
2.325616,0,0,0,0
1.698363,0,0,0,0
1.797574,0,0,0,0
2.189310,0,0,0,0
1.263522,0,0,0,0
1.658602,0,0,0,0
0.876168,0,0,0,0
0.679894,0,0,0,0
0.851642,0,0,0,0
1.096334,0,0,0,0
1.416656,0,0,0,0
0.821313,0,0,0,0
0.565123,0,0,0,0
0.991641,0,0,0,0
0.662722,0,0,0,0
0.724801,0,0,0,0
1.417850,0,0,0,0
1.792537,0,0,0,0
1.713196,0,0,0,0
1.931877,0,0,0,0
2.348347,0,0,0,0
1.798780,0,0,0,0
3.064192,0,0,0,0
2.526432,0,0,0,0
1.436505,0,0,0,0
2.807963,0,0,0,0
2.792721,0,0,0,0
2.328914,0,0,0,0
2.508667,0,0,0,0
2.462846,0,0,0,0
2.942560,0,0,0,0
2.465216,0,0,0,0
2.497114,0,0,0,0
4.084888,0,0,0,0
3.144525,0,0,0,0
2.155916,0,0,0,0
2.245661,0,0,0,0
2.116134,0,0,0,0
2.370961,0,0,0,0
3.775332,0,0,0,0
3.114509,0,0,0,0
3.854637,0,0,0,0
3.408955,0,0,0,0
2.354890,0,0,0,0
2.694619,0,0,0,0
4.551670,0,0,0,0
3.187390,0,0,0,0
2.995124,0,0,0,0
2.651156,0,0,0,0
3.328866,0,0,0,0
3.247643,0,0,0,0
3.065622,0,0,0,0
4.200604,0,0,0,0
3.432630,0,0,0,0
3.698680,0,0,0,0
3.464797,0,0,0,0
3.250833,0,0,0,0
3.277546,0,0,0,0
1.819786,0,0,0,0
2.751948,0,0,0,0
1.939077,0,0,0,0
0.563312,0,0,0,0
0.819040,0,0,0,0
1.200847,0,0,0,0
2.051548,0,0,0,0
1.273121,0,0,0,0
1.055533,0,0,0,0
2.824893,0,0,0,0
2.683223,0,0,0,0
3.123542,0,0,0,0
4.749240,3,1,0,1635
5.134817,2,2,0,759
2.655903,3,2,0,569
4.095676,4,2,0,659
3.446584,5,2,0,704
2.662411,2,6,0,976
2.298622,3,6,0,1422
2.263713,4,6,0,1211
3.584851,2,1,0,432
2.088162,2,2,0,423
1.577517,3,2,0,665
1.487071,4,2,0,750
1.363096,7,1,0,900
1.825906,4,5,0,579
0.003547,5,5,0,736
0.002345,8,2,0,1095
0.507086,0,0,0,0
0.476701,0,0,0,0
0.672330,0,0,0,0
0.754409,0,0,0,0
0.807588,0,0,0,0
1.413249,0,0,0,0
0.632705,0,0,0,0
41.185921,0,0,0,0
