#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1413393886005760512.000000,0.000000,0.000000,9.689822,2.931390,0.001990,7.904132,3.574882,0.001572,14.698743
1413393886055760384.000000,0.000000,0.000000,9.532696,3.506748,0.047803,2.267670,2.455519,0.000478,16.430349
1413393886105760512.000000,0.000000,0.000000,11.336182,4.345523,0.044037,2.569503,2.453935,0.000534,18.937337
1413393886155760384.000000,0.000000,0.000000,9.359482,3.126451,0.045183,2.604924,2.287998,0.000511,15.713896
1413393886205760512.000000,0.000000,0.000000,9.903415,2.901439,0.048622,4.572453,4.992265,0.000810,15.934258
1413393886255760384.000000,0.000000,0.000000,9.070355,3.047542,0.048652,5.366706,2.967188,1.731778,15.326485
1413393886305760512.000000,0.000000,0.000000,9.682620,2.988491,0.051140,3.431021,2.994045,0.000676,15.898553
1413393886355760384.000000,0.000000,0.000000,10.416602,7.871000,0.093248,2.944314,2.733717,0.000572,21.164486
1413393886405760512.000000,0.000000,0.000000,9.499911,7.555703,0.090728,5.334596,4.761900,0.000702,19.812564
1413393886455760384.000000,0.000000,0.000000,11.215871,3.538860,0.039915,3.943601,3.300619,0.000620,18.071795
1413393886505760512.000000,0.000000,0.000000,8.743918,3.210215,0.049319,2.740268,3.057321,0.000602,14.420080
1413393886555760384.000000,0.000000,0.000000,9.987500,7.793448,0.078762,2.691828,4.104653,3.958601,21.097091
1413393886605760512.000000,0.000000,0.000000,10.651695,5.059825,0.046373,3.243313,3.096983,0.000484,18.315697
1413393886655760384.000000,0.000000,0.000000,10.504834,3.168192,0.047251,5.445475,5.911502,0.000780,16.989748
1413393886705760512.000000,0.000000,0.000000,10.184592,8.013620,0.091245,4.648335,3.128015,0.000612,20.999576
1413393886755760384.000000,0.000000,0.000000,11.350472,8.226626,0.088908,5.059231,3.902891,0.000624,23.142969
1413393886805760512.000000,0.000000,0.000000,10.961324,3.854450,0.041227,3.103557,5.141992,3.261273,17.726099
1413393886855760384.000000,0.000000,0.000000,9.561008,3.552564,0.039934,4.460701,4.350913,0.000604,16.368431
1413393886905760512.000000,0.000000,0.000000,9.556916,7.836320,0.099672,4.786252,4.408588,0.000750,20.613414
