#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403638127295097088.000000,0.000000,0.000000,14.767444,2.527753,0.002404,5.522371,0.902829,0.001349,19.393383
1403638127345096960.000000,0.000000,0.000000,15.864967,2.360683,0.058659,0.844600,0.987448,0.000420,21.212334
1403638127395097088.000000,0.000000,0.000000,14.938098,2.136944,0.049712,0.679019,0.752308,0.000468,19.494143
1403638127445096960.000000,0.000000,0.000000,15.080471,2.087190,0.047584,0.740107,0.776598,0.000461,19.668022
1403638127495097088.000000,0.000000,0.000000,14.873254,2.193229,0.049672,1.916471,2.150010,0.352650,19.735733
1403638127545096960.000000,0.000000,0.000000,14.386386,2.217749,0.049926,0.849816,0.779036,0.000563,19.057150
1403638127595097088.000000,0.000000,0.000000,15.733581,2.311320,0.042183,1.981110,2.162606,0.000760,20.539363
1403638127645096960.000000,0.000000,0.000000,14.660186,2.388835,0.042627,1.778200,2.376445,0.000702,19.912487
1403638127695097088.000000,0.000000,0.000000,14.595435,2.217032,0.038957,0.608762,0.926767,0.000386,19.709874
1403638127745096960.000000,0.000000,0.000000,17.655934,2.375922,0.050998,0.677468,1.049600,0.210228,23.430554
1403638127795097088.000000,0.000000,0.000000,14.561588,5.745654,0.100148,1.191112,0.984909,0.000528,23.661026
1403638127845096960.000000,0.000000,0.000000,14.941005,2.250127,0.045397,0.824374,1.022821,0.000498,20.512943
1403638127895097088.000000,0.000000,0.000000,16.035308,2.262382,0.050668,0.772970,1.077952,0.000382,21.084325
1403638127945096960.000000,0.000000,0.000000,15.162999,2.195537,0.051554,0.768392,1.127765,0.000480,20.165718
1403638127995097088.000000,0.000000,0.000000,14.995333,2.630216,0.042357,0.790057,1.011542,0.196544,20.235417
1403638128045096960.000000,0.000000,0.000000,14.869340,2.277610,0.051475,1.240052,0.948526,0.000552,19.691202
1403638128095097088.000000,0.000000,0.000000,15.055545,2.711423,0.049232,0.864005,1.117610,0.000500,21.092862
1403638128145096960.000000,0.000000,0.000000,14.950795,2.737382,0.069162,0.967263,1.296659,0.000562,20.403646
1403638128195097088.000000,0.000000,0.000000,16.746593,2.293020,0.041842,0.964530,1.179480,0.000572,22.354662
1403638128245096960.000000,0.000000,0.000000,17.343564,2.312889,0.043362,0.883808,1.154751,0.233732,22.882114
1403638128295097088.000000,0.000000,0.000000,14.686140,5.085806,0.051560,1.347898,1.335819,0.000609,22.950076
1403638128345096960.000000,0.000000,0.000000,13.917070,2.328640,0.052325,1.187487,2.467115,0.000614,19.107785
1403638128395097088.000000,0.000000,0.000000,14.724928,5.644666,0.097855,1.094705,1.321785,0.000508,23.979993
1403638128445096960.000000,0.000000,0.000000,14.945710,5.741899,0.048233,1.988693,2.936268,0.000650,23.404557
1403638128495097088.000000,0.000000,0.000000,15.775800,2.757736,0.042406,2.125094,2.629120,0.595680,21.338481
1403638128545096960.000000,0.000000,0.000000,15.600235,2.275479,0.041503,3.949772,3.464707,0.000721,20.440619
1403638128595097088.000000,0.000000,0.000000,15.967963,2.260835,0.053603,1.853568,2.512469,0.000604,21.246692
1403638128645096960.000000,0.000000,0.000000,15.114009,2.520467,0.042136,1.733340,2.254661,0.000613,20.888999
1403638128695097088.000000,0.000000,0.000000,15.023853,2.388963,0.043985,2.644023,3.685435,0.000692,20.766778
1403638128745096960.000000,0.000000,0.000000,14.415131,5.292104,0.050264,1.443900,2.111566,0.326732,22.691920
1403638128795097088.000000,0.000000,0.000000,15.193226,2.312619,0.050979,4.376255,5.120064,0.000666,20.385594
1403638128845096960.000000,0.000000,0.000000,15.801571,2.221822,0.050266,2.564371,3.367270,0.000592,20.554712
1403638128895097088.000000,0.000000,0.000000,16.177034,2.432560,0.044212,2.594725,4.104215,0.000735,21.649833
1403638128945096960.000000,0.000000,0.000000,15.500806,2.369371,0.045803,2.755426,2.675960,0.000533,27.373613
1403638128995097088.000000,0.000000,0.000000,16.228426,2.353016,0.072522,3.971854,4.735260,0.454467,23.930832
1403638129045096960.000000,0.000000,0.000000,15.473340,2.249517,0.051896,3.266516,4.387630,0.000554,22.049330
1403638129095097088.000000,0.000000,0.000000,14.671441,2.385376,0.054425,3.248643,3.627809,0.000474,21.100222
1403638129145096960.000000,0.000000,0.000000,16.148629,7.579183,0.108434,2.600031,3.289687,0.000377,31.053822
1403638129195097088.000000,0.000000,0.000000,16.491471,2.521639,0.053987,2.363432,3.143048,0.000479,24.224942
1403638129245096960.000000,0.000000,0.000000,15.646609,7.224280,0.101541,2.136117,3.342818,0.223958,30.564603
1403638129295097088.000000,0.000000,0.000000,15.352179,8.206213,0.100824,3.752352,5.177800,0.000679,30.757771
1403638129345096960.000000,0.000000,0.000000,14.894634,6.095042,0.041334,3.291681,5.435391,0.000577,25.184156
1403638129395097088.000000,0.000000,0.000000,15.174272,7.313216,0.043814,3.331514,3.286486,0.000550,27.095142
1403638129445096960.000000,0.000000,0.000000,14.116681,4.376346,0.049346,2.027789,3.165586,0.000500,23.546320
1403638129495097088.000000,0.000000,0.000000,14.774993,4.352608,0.044383,2.400402,3.473795,0.246771,24.201418
1403638129545096960.000000,0.000000,0.000000,15.408283,3.639912,0.052232,3.468019,3.844513,0.000560,23.607857
1403638129595097088.000000,0.000000,0.000000,14.744348,3.971887,0.034384,0.037472,5.134325,0.072274,23.397064
1403638129645096960.000000,0.000000,0.000000,15.310806,3.561014,0.052853,0.027625,5.070967,0.040810,23.471857
1403638129695097088.000000,0.000000,0.000000,14.927942,3.385417,0.054851,0.028592,7.610332,0.378714,23.659696
1403638129745096960.000000,0.000000,0.000000,15.143192,6.121409,0.053862,0.032917,10.609005,0.077869,25.923483
1403638129795097088.000000,0.000000,0.000000,15.424726,3.928917,0.047758,0.039707,6.272214,0.048682,24.689362
1403638129845096960.000000,0.000000,0.000000,16.402158,3.600865,0.052502,0.032042,8.674935,0.065378,24.747667
1403638129895097088.000000,0.000000,0.000000,15.340280,3.984845,0.037975,0.043241,9.612383,0.469685,24.876791
1403638129945096960.000000,0.000000,0.000000,15.140150,3.576272,0.046189,0.049439,11.134005,0.081855,24.816894
1403638129995097088.000000,0.000000,0.000000,14.685161,4.560692,0.045480,0.054641,8.941962,0.391414,26.448587
1403638130045096960.000000,0.000000,0.000000,16.173054,8.312746,0.047296,0.045803,10.888868,0.077848,29.540106
1403638130095097088.000000,0.000000,0.000000,15.280964,10.710158,0.089964,0.062637,12.107055,0.399030,34.209281
