#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403715273262142976.000000,0.000000,0.000000,15.936582,4.189511,0.006079,6.468851,4.175565,0.001522,22.139664
1403715273312143104.000000,0.000000,0.000000,15.973846,4.137337,0.061526,4.385815,4.970930,0.000738,23.061101
1403715273362142976.000000,0.000000,0.000000,15.379264,3.764232,0.047569,2.432520,3.172481,0.000417,22.249359
1403715273412143104.000000,0.000000,0.000000,16.112176,3.881067,0.047602,3.543351,6.026774,0.000520,22.669124
1403715273462142976.000000,0.000000,0.000000,16.192332,4.982162,0.047594,2.013192,3.446919,0.577243,24.210917
1403715273512143104.000000,0.000000,0.000000,14.945597,4.311108,0.042995,4.526546,4.017898,0.000467,22.629363
1403715273562142976.000000,0.000000,0.000000,15.414680,4.417648,0.040790,2.731431,4.715716,0.000378,23.003411
1403715273612143104.000000,0.000000,0.000000,18.159611,4.546663,0.047402,3.235318,4.207181,0.000350,25.205401
1403715273662142976.000000,0.000000,0.000000,16.531779,10.881141,0.095729,3.278814,4.163458,0.000451,30.959343
1403715273712143104.000000,0.000000,0.000000,16.144256,4.937007,0.043142,3.041297,4.975135,0.566337,23.723527
1403715273762142976.000000,0.000000,0.000000,16.066461,11.222187,0.097931,4.856245,5.277453,0.000410,30.904463
1403715273812143104.000000,0.000000,0.000000,15.225528,4.267360,0.042404,4.262362,7.065162,0.000516,22.496295
1403715273862142976.000000,0.000000,0.000000,15.699375,8.126411,0.048437,4.621228,7.052895,0.000495,26.383337
1403715273912143104.000000,0.000000,0.000000,16.288201,8.603603,0.045046,4.327530,7.545353,0.000870,27.453749
1403715273962142976.000000,0.000000,0.000000,16.601666,4.346304,0.043471,2.601901,4.728999,0.379076,24.139724
1403715274012143104.000000,0.000000,0.000000,15.624077,4.006605,0.076233,3.645605,5.230132,0.000464,22.488924
1403715274062142976.000000,0.000000,0.000000,16.078322,3.967688,0.047584,3.259110,4.733347,0.000455,22.552497
1403715274112143104.000000,0.000000,0.000000,15.772964,9.842866,0.049224,4.611642,7.142898,0.000502,28.101113
1403715274162142976.000000,0.000000,0.000000,16.219831,6.340142,0.040813,3.374157,4.991602,0.000385,25.121557
1403715274212143104.000000,0.000000,0.000000,16.980987,4.506076,0.041695,2.913763,5.281713,0.505751,24.201259
1403715274262142976.000000,0.000000,0.000000,17.486270,4.029380,0.050137,6.916157,7.500164,0.000545,24.404144
1403715274312143104.000000,0.000000,0.000000,16.110117,4.421810,0.048678,4.079490,5.670573,0.000433,23.132288
1403715274362142976.000000,0.000000,0.000000,16.101604,7.389318,0.039736,4.913952,7.871445,0.000557,26.068139
1403715274412143104.000000,0.000000,0.000000,15.955567,7.717442,0.050109,3.810058,5.222796,0.000446,26.832595
1403715274462142976.000000,0.000000,0.000000,17.577251,4.057520,0.049761,3.654722,5.661798,0.394690,24.552022
1403715274512143104.000000,0.000000,0.000000,16.271798,8.470565,0.043410,4.737216,5.407947,0.000555,27.672055
1403715274562142976.000000,0.000000,0.000000,17.677747,4.036086,0.050805,3.732711,5.836266,0.000483,24.154500
1403715274612143104.000000,0.000000,0.000000,15.800197,10.858760,0.090838,6.009884,8.290004,0.000596,29.730400
1403715274662142976.000000,0.000000,0.000000,16.811030,11.144593,0.050567,4.145870,5.519810,0.000541,30.925621
1403715274712143104.000000,0.000000,0.000000,17.228302,11.152852,0.088996,4.815417,7.845315,0.528348,31.337919
1403715274762142976.000000,0.000000,0.000000,16.179709,8.823321,0.042318,5.053602,5.990476,0.000565,28.135996
1403715274812143104.000000,0.000000,0.000000,16.277579,4.145159,0.048840,4.493703,6.308097,0.000521,23.311486
1403715274862142976.000000,0.000000,0.000000,15.948842,4.589742,0.039916,3.400669,5.926391,0.000446,23.056529
1403715274912143104.000000,0.000000,0.000000,15.982013,8.133362,0.089576,5.019763,6.728305,0.000543,27.753137
1403715274962142976.000000,0.000000,0.000000,16.243174,7.989271,0.052260,4.031701,6.193005,0.483061,26.871229
1403715275012143104.000000,0.000000,0.000000,16.339333,8.612590,0.087974,7.194032,7.994665,0.000534,28.432121
1403715275062142976.000000,0.000000,0.000000,15.665459,5.409736,0.048727,3.948110,6.366698,0.000487,23.810486
1403715275112143104.000000,0.000000,0.000000,17.383307,4.107086,0.050737,4.245680,8.737832,0.000511,24.079728
1403715275162142976.000000,0.000000,0.000000,16.187394,4.369736,0.042043,3.468657,7.000885,0.000441,23.401172
1403715275212143104.000000,0.000000,0.000000,15.914200,4.500084,0.052536,3.177149,6.715545,0.474659,23.529609
1403715275262142976.000000,0.000000,0.000000,16.422629,4.492762,0.041541,4.758628,7.914688,0.000464,24.204693
1403715275312143104.000000,0.000000,0.000000,16.267838,4.605485,0.040235,4.343241,8.041144,0.000637,23.793587
1403715275362142976.000000,0.000000,0.000000,15.680727,4.576925,0.041881,3.742538,8.787161,0.000431,22.777773
1403715275412143104.000000,0.000000,0.000000,17.847342,4.436984,0.042196,2.740805,7.364439,0.000447,25.169890
1403715275462142976.000000,0.000000,0.000000,15.857635,4.457710,0.051827,2.145081,6.307509,0.637200,23.494028
1403715275512143104.000000,0.000000,0.000000,16.183346,4.398828,0.043417,5.583223,7.221541,0.000540,23.551216
1403715275562142976.000000,0.000000,0.000000,16.169448,4.557390,0.039835,0.046052,8.763800,0.060768,23.258586
1403715275612143104.000000,0.000000,0.000000,16.318278,4.045772,0.048115,0.025349,9.050629,0.065608,23.274680
1403715275662142976.000000,0.000000,0.000000,16.817710,3.915863,0.050783,0.030771,8.163049,0.624029,23.934136
1403715275712143104.000000,0.000000,0.000000,15.312951,4.074958,0.051604,0.075247,14.189280,0.092362,22.575420
