#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.005797,3,1,0,1329
0.002756,4,1,0,1811
0.233181,5,1,0,2510
0.498566,6,1,0,3000
0.687412,7,1,0,3454
0.752272,8,1,0,3980
1.291324,9,1,0,4499
1.621836,10,1,0,4804
1.653981,0,0,0,0
63.283562,0,0,0,0
1.470525,0,0,0,0
1.427543,0,0,0,0
1.823473,0,0,0,0
1.980617,0,0,0,0
1.915361,0,0,0,0
2.548059,0,0,0,0
2.546964,0,0,0,0
2.424346,0,0,0,0
4.811312,0,0,0,0
4.531700,0,0,0,0
3.736554,0,0,0,0
4.878494,0,0,0,0
4.869665,0,0,0,0
4.453900,0,0,0,0
4.326198,0,0,0,0
4.231774,0,0,0,0
4.707804,0,0,0,0
5.221401,0,0,0,0
4.530923,0,0,0,0
4.754751,0,0,0,0
4.290329,0,0,0,0
4.633865,0,0,0,0
5.871365,0,0,0,0
4.382246,0,0,0,0
3.508880,0,0,0,0
0.660437,0,0,0,0
0.747381,0,0,0,0
0.882433,0,0,0,0
1.262098,0,0,0,0
0.877090,0,0,0,0
1.073090,0,0,0,0
1.598495,0,0,0,0
1.944534,0,0,0,0
1.290235,0,0,0,0
2.513866,0,0,0,0
1.829000,0,0,0,0
2.257085,0,0,0,0
2.617331,0,0,0,0
2.559477,0,0,0,0
1.043598,0,0,0,0
2.180445,0,0,0,0
3.569533,0,0,0,0
1.740195,0,0,0,0
1.704803,0,0,0,0
2.505547,0,0,0,0
1.883536,0,0,0,0
2.722467,0,0,0,0
2.346924,0,0,0,0
2.109813,0,0,0,0
1.713283,0,0,0,0
7.923057,0,0,0,0
2.475308,0,0,0,0
6.174276,0,0,0,0
4.041289,0,0,0,0
2.738374,0,0,0,0
3.624897,0,0,0,0
3.398188,0,0,0,0
3.422929,0,0,0,0
1.684991,0,0,0,0
3.376801,0,0,0,0
3.404776,0,0,0,0
2.495376,0,0,0,0
1.303401,0,0,0,0
1.277988,0,0,0,0
1.910161,0,0,0,0
2.186859,0,0,0,0
3.246070,0,0,0,0
1.070990,0,0,0,0
1.711242,0,0,0,0
2.069789,0,0,0,0
2.601636,0,0,0,0
2.067440,0,0,0,0
1.725245,0,0,0,0
1.729946,0,0,0,0
2.715492,0,0,0,0
2.233126,0,0,0,0
1.821406,0,0,0,0
2.805484,0,0,0,0
1.991730,0,0,0,0
1.520161,0,0,0,0
1.570810,0,0,0,0
3.045408,0,0,0,0
1.166774,0,0,0,0
2.711516,0,0,0,0
1.481390,0,0,0,0
2.207270,0,0,0,0
1.017242,0,0,0,0
0.963071,0,0,0,0
1.879770,0,0,0,0
1.649980,0,0,0,0
2.588298,0,0,0,0
9.408997,0,0,0,0
3.928908,0,0,0,0
4.365182,0,0,0,0
3.940114,0,0,0,0
2.611867,0,0,0,0
3.964867,0,0,0,0
2.799667,0,0,0,0
3.357894,0,0,0,0
3.079317,0,0,0,0
5.035038,0,0,0,0
2.878987,0,0,0,0
3.461500,0,0,0,0
4.790113,0,0,0,0
5.902552,0,0,0,0
4.662184,0,0,0,0
3.531614,0,0,0,0
4.503742,0,0,0,0
4.280172,0,0,0,0
4.553263,0,0,0,0
3.917444,0,0,0,0
4.050151,0,0,0,0
3.673630,0,0,0,0
3.217506,0,0,0,0
4.136211,0,0,0,0
3.291079,0,0,0,0
2.181012,0,0,0,0
3.068330,0,0,0,0
2.417359,0,0,0,0
3.164293,0,0,0,0
3.359277,0,0,0,0
2.594724,0,0,0,0
5.307545,0,0,0,0
3.912346,0,0,0,0
3.991324,0,0,0,0
4.529091,0,0,0,0
5.216477,0,0,0,0
3.742557,0,0,0,0
6.073778,0,0,0,0
4.339475,0,0,0,0
6.241294,0,0,0,0
5.981233,0,0,0,0
3.694125,0,0,0,0
6.252722,0,0,0,0
5.034567,0,0,0,0
6.419679,0,0,0,0
6.481818,0,0,0,0
6.353181,0,0,0,0
6.204312,0,0,0,0
6.125694,0,0,0,0
5.998344,0,0,0,0
8.847392,0,0,0,0
6.911236,0,0,0,0
6.098571,0,0,0,0
6.365147,0,0,0,0
6.316752,0,0,0,0
6.433188,0,0,0,0
6.797735,0,0,0,0
8.006295,0,0,0,0
8.665766,0,0,0,0
6.235366,0,0,0,0
6.670885,0,0,0,0
7.242541,0,0,0,0
6.896328,0,0,0,0
7.425726,0,0,0,0
6.359665,0,0,0,0
6.883479,0,0,0,0
8.289952,0,0,0,0
8.133753,0,0,0,0
6.426723,0,0,0,0
8.668189,0,0,0,0
7.589559,0,0,0,0
6.231384,0,0,0,0
9.012655,0,0,0,0
7.231284,0,0,0,0
7.252033,0,0,0,0
6.290690,0,0,0,0
9.181524,0,0,0,0
6.591112,0,0,0,0
8.394400,0,0,0,0
6.499693,0,0,0,0
7.834664,0,0,0,0
7.370826,0,0,0,0
5.913362,0,0,0,0
7.920652,0,0,0,0
6.386995,0,0,0,0
6.494406,0,0,0,0
5.316160,0,0,0,0
6.737365,0,0,0,0
4.451898,0,0,0,0
5.629121,0,0,0,0
6.060486,0,0,0,0
7.623307,0,0,0,0
6.969270,0,0,0,0
8.857982,0,0,0,0
7.077385,0,0,0,0
8.497545,0,0,0,0
7.767468,0,0,0,0
6.279559,0,0,0,0
8.839093,0,0,0,0
8.663504,0,0,0,0
8.426209,0,0,0,0
7.616821,0,0,0,0
9.507218,0,0,0,0
8.653813,0,0,0,0
9.191211,0,0,0,0
7.896802,0,0,0,0
6.492748,0,0,0,0
8.058419,0,0,0,0
9.398801,0,0,0,0
7.759904,0,0,0,0
7.825148,0,0,0,0
5.734693,0,0,0,0
6.323147,0,0,0,0
6.957997,0,0,0,0
5.446722,0,0,0,0
6.501375,0,0,0,0
5.198780,0,0,0,0
5.923477,0,0,0,0
4.525051,0,0,0,0
4.959608,0,0,0,0
3.252037,0,0,0,0
3.633673,0,0,0,0
3.878515,0,0,0,0
4.459085,0,0,0,0
4.141934,0,0,0,0
5.884759,0,0,0,0
3.677805,0,0,0,0
5.309536,0,0,0,0
5.834516,0,0,0,0
6.268352,0,0,0,0
6.304496,0,0,0,0
5.515801,0,0,0,0
8.081441,0,0,0,0
5.585684,0,0,0,0
4.900887,0,0,0,0
4.853497,0,0,0,0
5.200385,0,0,0,0
3.664124,0,0,0,0
3.908072,0,0,0,0
8.155200,0,0,0,0
7.692971,0,0,0,0
4.612178,0,0,0,0
8.379466,0,0,0,0
9.460501,0,0,0,0
7.555364,0,0,0,0
7.994226,0,0,0,0
7.121384,0,0,0,0
6.543052,0,0,0,0
5.469906,0,0,0,0
8.351037,0,0,0,0
6.291147,0,0,0,0
8.596368,0,0,0,0
10.873532,0,0,0,0
12.296374,0,0,0,0
8.230543,0,0,0,0
8.069123,0,0,0,0
7.880175,0,0,0,0
8.664652,0,0,0,0
8.084639,0,0,0,0
11.424967,0,0,0,0
13.437569,0,0,0,0
9.387728,0,0,0,0
10.594012,0,0,0,0
12.813067,0,0,0,0
13.253865,0,0,0,0
8.260725,0,0,0,0
11.581142,0,0,0,0
8.150099,0,0,0,0
7.076339,0,0,0,0
8.043328,0,0,0,0
10.467819,0,0,0,0
8.012426,0,0,0,0
9.051933,0,0,0,0
9.652516,0,0,0,0
9.796692,0,0,0,0
13.802363,0,0,0,0
8.155434,0,0,0,0
9.914664,0,0,0,0
7.926982,0,0,0,0
6.868642,0,0,0,0
3.298806,0,0,0,0
6.803457,0,0,0,0
4.976978,0,0,0,0
10.136712,0,0,0,0
8.873715,0,0,0,0
11.346492,0,0,0,0
14.903479,0,0,0,0
8.481317,0,0,0,0
7.917503,0,0,0,0
10.813383,0,0,0,0
13.135754,0,0,0,0
9.623503,0,0,0,0
10.818952,0,0,0,0
11.001756,0,0,0,0
12.957311,0,0,0,0
9.455013,0,0,0,0
9.805279,0,0,0,0
8.846889,0,0,0,0
8.866843,0,0,0,0
9.975565,0,0,0,0
11.311839,0,0,0,0
10.366349,0,0,0,0
14.438564,0,0,0,0
11.647323,0,0,0,0
12.942971,0,0,0,0
12.372797,0,0,0,0
13.344462,0,0,0,0
12.084187,0,0,0,0
13.175594,0,0,0,0
13.648245,0,0,0,0
9.217792,0,0,0,0
8.970095,0,0,0,0
9.404148,0,0,0,0
10.537559,0,0,0,0
11.572206,0,0,0,0
12.256373,0,0,0,0
8.659362,0,0,0,0
11.207577,0,0,0,0
12.621023,0,0,0,0
11.187982,0,0,0,0
13.857533,0,0,0,0
8.803531,0,0,0,0
