#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
6.910642,0.128493,1.153102,0.007546,0.007546,8.205413
6.147841,0.138388,1.983888,0.001469,0.001469,8.272881
9.616593,0.497352,2.671349,0.362442,0.362442,41.851383
6.406842,0.210326,4.181175,0.465724,0.465724,29.439092
6.845732,0.106916,5.036907,1.198695,1.198695,33.893837
11.539120,0.265604,16.605764,1.152745,1.152745,62.880102
11.582421,0.174028,12.371365,1.054164,1.054164,66.607025
12.060982,0.276274,21.614816,1.502945,1.502945,69.351745
9.944092,0.145056,10.745617,1.685527,1.685527,61.619866
12.891188,0.165725,19.634096,141.507940,141.507940,232.820375
11.708682,0.192143,17.513438,2.214079,2.214079,74.833219
13.899304,0.256388,31.861228,3.262767,3.262767,115.135395
11.978229,0.172114,19.581766,4.401150,4.401150,91.749690
15.788831,0.330350,35.812583,3.720428,3.720428,124.129093
15.853659,0.298761,39.208829,4.529847,4.529847,132.561040
17.432998,0.212774,26.332475,4.925907,4.925907,118.123118
18.464826,0.322186,27.945111,4.997255,4.997255,122.614446
18.847464,0.317677,42.301248,8.265420,8.265420,155.001333
13.226827,0.182003,24.922229,6.426810,6.426810,334.621607
12.755135,0.191071,29.539710,9.897923,9.897923,141.946978
11.565479,0.175542,25.595841,8.581884,8.581884,134.868461
12.576289,0.143537,26.348019,10.262419,10.262419,146.572518
9.563598,0.145388,22.762784,8.277826,8.277826,133.610030
10.447815,0.098255,24.750837,8.805188,8.805188,135.898051
9.190836,0.123585,22.962874,8.422608,8.422608,141.570515
17.797623,0.280087,36.371377,8.330761,8.330761,179.819889
10.891609,0.150219,23.998950,9.821126,9.821126,151.877566
8.383103,0.102737,22.509593,10.274837,10.274837,140.639827
8.193176,0.128119,21.954170,7.167123,7.167123,130.023684
7.778226,0.133896,21.827213,10.087472,10.087472,141.953303
9.036852,0.180007,23.295560,8.966346,8.966346,133.406853
8.812052,0.149007,24.867070,8.087231,8.087231,131.560062
9.078781,0.151713,22.670581,11.451011,11.451011,145.986285
8.060698,0.122387,21.631749,9.742027,9.742027,133.061593
11.588205,0.164525,20.463512,7.190162,7.190162,129.941999
10.108956,0.161454,22.246619,9.934999,9.934999,140.074572
8.685652,0.135041,21.494436,6.126388,6.126388,127.618439
7.964715,0.171037,21.060083,9.659945,9.659945,133.052170
6.633489,0.187982,21.506221,6.481622,6.481622,135.406081
11.950926,0.265414,25.800758,11.230249,11.230249,151.204318
8.068365,0.186633,18.491702,6.554895,6.554895,128.515211
14.605615,0.352126,41.829577,7.912627,7.912627,169.199210
15.142901,0.360729,41.745370,7.290510,7.290510,181.376889
14.372503,0.368856,40.430606,6.724892,6.724892,173.202961
10.561454,0.269015,31.801224,7.446910,7.446910,158.525765
14.200925,0.429321,34.223200,7.128439,7.128439,156.315046
6.874119,0.211759,19.853491,7.315672,7.315672,135.265808
9.667351,0.209278,17.967658,6.392632,6.392632,126.802055
13.057136,0.214077,27.447617,9.074740,9.074740,144.794453
11.432646,0.267303,24.318909,6.146886,6.146886,147.219469
6.801233,0.107914,17.169838,7.182968,7.182968,132.642092
7.355927,0.184353,19.104148,4.734846,4.734846,130.565726
10.033072,0.217480,22.331183,5.951496,5.951496,129.695279
5.991008,0.151852,14.649777,5.922925,5.922925,117.994515
7.116860,0.201081,20.118091,4.865140,4.865140,121.615603
5.800152,0.154898,15.920572,6.945689,6.945689,128.008069
7.647257,0.204861,17.459691,6.261599,6.261599,128.455688
8.261953,0.214287,19.054149,5.949448,5.949448,123.429916
8.564940,0.261942,20.137346,6.459225,6.459225,127.121009
6.102386,0.187594,17.021514,5.685643,5.685643,118.257725
8.385957,0.244946,21.342717,5.027656,5.027656,131.017429
9.058923,0.250040,19.469817,7.157984,7.157984,130.464771
7.919684,0.187493,18.610570,5.175328,5.175328,120.583286
7.270391,0.226796,17.418325,3.991903,3.991903,340.923574
6.835436,0.267057,14.212315,5.203996,5.203996,120.755738
7.961757,0.256962,16.756451,5.169367,5.169367,125.165402
7.689494,0.309536,16.865125,4.978625,4.978625,124.996330
6.404164,0.256949,14.180780,5.017811,5.017811,130.856582
8.114266,0.294722,18.897813,5.492749,5.492749,127.398896
7.583137,0.265445,20.047757,4.669050,4.669050,129.371307
6.512869,0.285711,14.286662,6.184510,6.184510,129.730495
11.266815,0.537219,30.484949,6.075264,6.075264,149.575863
6.151545,0.184527,16.684226,4.601659,4.601659,124.923249
6.697410,0.278403,14.432908,4.859298,4.859298,129.192831
6.011499,0.289826,15.879371,4.545060,4.545060,127.268707
6.160754,0.321002,14.910167,5.219190,5.219190,126.752467
6.275110,0.364465,18.966686,4.403863,4.403863,129.502344
5.904592,0.317732,18.564008,5.992635,5.992635,126.944880
6.161702,0.346074,14.340085,4.317927,4.317927,127.919191
5.039516,0.326702,12.085349,3.395945,3.395945,129.004010
3.336924,0.323806,7.186437,4.819659,4.819659,114.726947
2.529737,0.225539,5.178739,3.551594,3.551594,99.695079
9.891027,0.439694,25.125670,4.908118,4.908118,137.312396
8.882961,0.382152,16.163343,6.322815,6.322815,143.714541
8.943068,0.452992,12.212154,2.922340,2.922340,125.695450
6.823335,0.332285,10.948092,3.329026,3.329026,129.621225
7.377955,0.281408,11.631896,4.225199,4.225199,131.385064
8.937104,0.268121,14.072932,2.867164,2.867164,131.988024
11.642054,0.339546,31.088209,2.942925,2.942925,162.362838
12.081388,0.416225,30.547339,3.643616,3.643616,163.214466
6.870692,0.187046,13.260165,3.719230,3.719230,128.795379
12.389649,0.411164,34.296440,4.391824,4.391824,171.007470
6.722480,0.227548,15.670370,3.179130,3.179130,134.752835
12.820013,0.443091,28.096430,3.642223,3.642223,156.921549
8.777506,0.209510,24.254593,3.761333,3.761333,155.070170
13.236245,0.467570,31.013081,4.963056,4.963056,162.405152
