#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.006142,3,1,0,1351
0.002750,4,1,0,1822
0.371183,5,1,0,2504
0.798044,6,1,0,3037
0.641465,7,1,0,3486
1.701947,8,1,0,4000
1.020398,9,1,0,4503
1.192986,10,1,0,4832
1.010427,0,0,0,0
98.834849,0,0,0,0
1.555033,0,0,0,0
1.595433,0,0,0,0
1.831012,0,0,0,0
1.744313,0,0,0,0
2.045066,0,0,0,0
1.935655,0,0,0,0
2.197965,0,0,0,0
2.552217,0,0,0,0
2.843218,0,0,0,0
3.527054,0,0,0,0
3.845893,0,0,0,0
4.620283,0,0,0,0
4.709577,0,0,0,0
4.535402,0,0,0,0
4.272039,0,0,0,0
4.505252,0,0,0,0
4.302243,0,0,0,0
4.368749,0,0,0,0
4.677784,0,0,0,0
4.748709,0,0,0,0
4.448738,0,0,0,0
4.440190,0,0,0,0
4.624066,0,0,0,0
4.714265,0,0,0,0
3.911361,0,0,0,0
5.065071,0,0,0,0
2.515757,0,0,0,0
1.807424,0,0,0,0
0.776975,0,0,0,0
0.991369,0,0,0,0
1.220855,0,0,0,0
1.805993,0,0,0,0
1.182867,0,0,0,0
2.379283,0,0,0,0
1.521410,0,0,0,0
2.093218,0,0,0,0
1.550903,0,0,0,0
1.121027,0,0,0,0
2.616961,0,0,0,0
3.364646,0,0,0,0
3.335830,0,0,0,0
3.252409,0,0,0,0
1.969467,0,0,0,0
2.119909,0,0,0,0
1.824393,0,0,0,0
2.186148,0,0,0,0
2.365716,0,0,0,0
1.442491,0,0,0,0
1.867021,0,0,0,0
3.646881,0,0,0,0
1.771415,0,0,0,0
2.105451,0,0,0,0
2.336707,0,0,0,0
2.067447,0,0,0,0
1.984753,0,0,0,0
3.625960,0,0,0,0
10.139582,0,0,0,0
4.059115,0,0,0,0
3.938494,0,0,0,0
6.321995,0,0,0,0
3.912478,0,0,0,0
4.278090,0,0,0,0
3.912367,0,0,0,0
3.961527,0,0,0,0
3.652843,0,0,0,0
2.810628,0,0,0,0
3.720082,0,0,0,0
3.172290,0,0,0,0
1.375654,0,0,0,0
1.570771,0,0,0,0
2.255318,0,0,0,0
2.714130,0,0,0,0
3.661497,0,0,0,0
1.968300,0,0,0,0
1.761940,0,0,0,0
2.880538,0,0,0,0
2.732839,0,0,0,0
2.621709,0,0,0,0
2.466926,0,0,0,0
3.334776,0,0,0,0
3.645239,0,0,0,0
1.305407,0,0,0,0
1.265133,0,0,0,0
0.987591,0,0,0,0
2.037199,0,0,0,0
1.980136,0,0,0,0
1.597240,0,0,0,0
2.248443,0,0,0,0
1.900493,0,0,0,0
2.423311,0,0,0,0
2.161346,0,0,0,0
2.148167,0,0,0,0
1.554945,0,0,0,0
0.708883,0,0,0,0
1.552712,0,0,0,0
9.942187,0,0,0,0
2.310524,0,0,0,0
3.761036,0,0,0,0
3.255092,0,0,0,0
2.236592,0,0,0,0
2.907586,0,0,0,0
3.467373,0,0,0,0
3.799814,0,0,0,0
3.953711,0,0,0,0
2.868000,0,0,0,0
3.108067,0,0,0,0
4.928541,0,0,0,0
2.946003,0,0,0,0
4.830685,0,0,0,0
3.551016,0,0,0,0
3.844464,0,0,0,0
3.776711,0,0,0,0
3.599425,0,0,0,0
2.791313,0,0,0,0
2.007685,0,0,0,0
2.666583,0,0,0,0
2.151015,0,0,0,0
4.042478,0,0,0,0
3.890603,0,0,0,0
4.294169,0,0,0,0
3.835941,0,0,0,0
3.571555,0,0,0,0
5.064604,0,0,0,0
3.860918,0,0,0,0
4.474975,0,0,0,0
6.739612,0,0,0,0
5.617478,0,0,0,0
4.476917,0,0,0,0
4.599382,0,0,0,0
8.377840,0,0,0,0
5.954095,0,0,0,0
3.257741,0,0,0,0
5.505260,0,0,0,0
7.744758,0,0,0,0
3.694022,0,0,0,0
7.924680,0,0,0,0
6.746068,0,0,0,0
8.853953,0,0,0,0
6.179292,0,0,0,0
8.492758,0,0,0,0
7.126485,0,0,0,0
8.625831,0,0,0,0
7.935827,0,0,0,0
6.904333,0,0,0,0
6.787004,0,0,0,0
8.593339,0,0,0,0
7.076990,0,0,0,0
7.052605,0,0,0,0
8.849006,0,0,0,0
7.815149,0,0,0,0
7.021298,0,0,0,0
7.290593,0,0,0,0
6.667379,0,0,0,0
8.191402,0,0,0,0
8.903662,0,0,0,0
8.245228,0,0,0,0
9.312274,0,0,0,0
5.482681,0,0,0,0
7.884865,0,0,0,0
6.806257,0,0,0,0
8.667059,0,0,0,0
5.886125,0,0,0,0
8.413734,0,0,0,0
7.088228,0,0,0,0
7.455229,0,0,0,0
8.035091,0,0,0,0
7.875578,0,0,0,0
6.439976,0,0,0,0
7.683682,0,0,0,0
8.556088,0,0,0,0
9.153926,0,0,0,0
7.080171,0,0,0,0
9.548290,0,0,0,0
8.771180,0,0,0,0
8.591794,0,0,0,0
9.073922,0,0,0,0
7.181434,0,0,0,0
5.955713,0,0,0,0
9.051368,0,0,0,0
5.546304,0,0,0,0
7.660273,0,0,0,0
5.339990,0,0,0,0
6.626648,0,0,0,0
7.004906,0,0,0,0
7.908376,0,0,0,0
6.629857,0,0,0,0
8.259657,0,0,0,0
7.382176,0,0,0,0
6.839288,0,0,0,0
9.274904,0,0,0,0
6.409907,0,0,0,0
7.942194,0,0,0,0
9.305003,0,0,0,0
9.011353,0,0,0,0
5.856031,0,0,0,0
5.570251,0,0,0,0
8.201268,0,0,0,0
9.070703,0,0,0,0
8.656098,0,0,0,0
8.618671,0,0,0,0
10.105914,0,0,0,0
7.400158,0,0,0,0
7.858805,0,0,0,0
4.732397,0,0,0,0
5.104585,0,0,0,0
5.269048,0,0,0,0
3.772836,0,0,0,0
5.765254,0,0,0,0
6.118987,0,0,0,0
5.729904,0,0,0,0
6.018482,0,0,0,0
5.147698,0,0,0,0
4.034000,0,0,0,0
3.630522,0,0,0,0
3.511686,0,0,0,0
