#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1413393212255760384.000000,0.000000,0.000000,14.009447,6.125874,0.002381,7.633901,6.512994,0.001314,22.089535
1413393212305760512.000000,0.000000,0.000000,14.319414,6.535413,0.058106,5.541643,5.272271,0.000357,24.172815
1413393212355760384.000000,0.000000,0.000000,14.119671,8.695315,0.039969,5.562654,5.353088,0.000383,26.061024
1413393212405760512.000000,0.000000,0.000000,13.703236,5.835251,0.045200,5.978487,4.419189,0.000365,22.692204
1413393212455760384.000000,0.000000,0.000000,14.728992,7.112749,0.040036,5.431347,5.911994,0.485812,24.977998
1413393212505760512.000000,0.000000,0.000000,16.681359,6.893514,0.035836,7.307484,5.357234,0.000441,26.684222
1413393212555760384.000000,0.000000,0.000000,13.711146,5.727015,0.046611,7.099208,7.352272,0.000487,22.552554
1413393212605760512.000000,0.000000,0.000000,14.653871,6.032479,0.049054,6.658417,5.303424,0.000387,23.603060
1413393212655760384.000000,0.000000,0.000000,13.130412,6.100377,0.069299,6.191575,5.051789,0.000458,22.340950
1413393212705760512.000000,0.000000,0.000000,13.448596,8.479585,0.067140,5.251858,5.520041,0.000421,25.232297
1413393212755760384.000000,0.000000,0.000000,13.747515,7.176233,0.047201,6.007813,7.130143,0.496232,24.044018
1413393212805760512.000000,0.000000,0.000000,14.072126,11.449910,0.036180,6.112840,5.617542,0.000397,28.631521
1413393212855760384.000000,0.000000,0.000000,13.930039,10.221978,0.049774,6.632554,5.278785,0.000465,27.241114
1413393212905760512.000000,0.000000,0.000000,14.341136,6.909075,0.036692,4.736064,5.852997,0.000358,24.254764
1413393212955760384.000000,0.000000,0.000000,13.455913,6.074447,0.049689,6.963105,6.499922,0.000482,22.694012
1413393213005760512.000000,0.000000,0.000000,13.513867,12.194994,0.043539,5.525533,6.183295,0.000430,28.914047
1413393213055760384.000000,0.000000,0.000000,13.009846,5.912135,0.048667,5.978717,6.539453,0.534334,21.786142
1413393213105760512.000000,0.000000,0.000000,14.396098,6.636570,0.035757,6.812766,6.972976,0.000552,24.292544
1413393213155760384.000000,0.000000,0.000000,14.583820,11.423618,0.063997,5.667050,6.010803,0.000428,29.025765
1413393213205760512.000000,0.000000,0.000000,16.189831,8.478030,0.047541,5.751812,6.296402,0.000463,28.045164
1413393213255760384.000000,0.000000,0.000000,13.504318,14.502477,0.070266,5.608370,5.789125,0.000400,30.576380
1413393213305760512.000000,0.000000,0.000000,14.947087,6.988394,0.039737,4.975468,5.214860,0.000422,24.921301
1413393213355760384.000000,0.000000,0.000000,14.703436,7.149858,0.037776,5.364712,5.448767,0.463427,25.231856
1413393213405760512.000000,0.000000,0.000000,14.064158,11.206139,0.042805,8.347094,7.674900,0.000544,28.665491
1413393213455760384.000000,0.000000,0.000000,14.767396,6.049654,0.045874,6.290276,7.108174,0.000455,24.046152
1413393213505760512.000000,0.000000,0.000000,13.786911,15.332871,0.063899,4.986555,5.952883,0.000421,31.983124
1413393213555760384.000000,0.000000,0.000000,14.344927,17.090746,0.089749,6.639440,6.511335,0.000434,34.504226
1413393213605760512.000000,0.000000,0.000000,15.483355,6.263228,0.049797,4.883819,7.209726,0.538738,24.615084
1413393213655760384.000000,0.000000,0.000000,13.836415,5.854674,0.047821,6.041617,6.994359,0.000523,22.774290
1413393213705760512.000000,0.000000,0.000000,12.991685,6.355273,0.044060,5.138654,6.159666,0.000490,22.396218
1413393213755760384.000000,0.000000,0.000000,12.971659,12.891621,0.064698,4.486204,6.279283,0.000471,28.739313
1413393213805760512.000000,0.000000,0.000000,14.939463,13.020004,0.057371,4.605736,5.843727,0.000463,31.440653
1413393213855760384.000000,0.000000,0.000000,14.559478,7.006654,0.042580,5.570050,7.358999,0.580143,23.989500
1413393213905760512.000000,0.000000,0.000000,11.704079,5.769337,0.046294,6.250617,6.599269,0.001039,19.349677
1413393213955760384.000000,0.000000,0.000000,13.864815,14.875706,0.180812,5.650111,6.463045,0.000504,32.144406
1413393214005760512.000000,0.000000,0.000000,14.932816,11.380048,0.040238,5.163102,7.057468,0.000476,29.295033
1413393214055760384.000000,0.000000,0.000000,14.496062,6.549671,0.048136,4.688731,6.758454,0.000473,23.952380
1413393214105760512.000000,0.000000,0.000000,13.075684,10.790898,0.045989,4.216446,6.072024,0.465336,26.547071
1413393214155760384.000000,0.000000,0.000000,14.193383,6.425377,0.049565,6.033965,7.133912,0.000591,23.183092
1413393214205760512.000000,0.000000,0.000000,13.904874,14.961715,0.073361,4.678365,7.411458,0.000537,32.306425
1413393214255760384.000000,0.000000,0.000000,15.259967,6.641418,0.036893,5.043617,7.613792,0.000458,25.033025
1413393214305760512.000000,0.000000,0.000000,14.182567,6.070053,0.045222,4.459930,6.544565,0.000418,23.689287
1413393214355760384.000000,0.000000,0.000000,13.986778,11.256838,0.046927,4.115518,5.776636,0.452392,27.836806
1413393214405760512.000000,0.000000,0.000000,15.205962,9.261750,0.049116,7.261791,7.775085,0.000489,27.040100
1413393214455760384.000000,0.000000,0.000000,14.119443,6.237404,0.046241,5.489894,6.918780,0.000458,23.219110
1413393214505760512.000000,0.000000,0.000000,14.086764,17.258943,0.089219,5.556236,7.343839,0.000495,34.704589
1413393214555760384.000000,0.000000,0.000000,13.625170,7.017281,0.035355,5.214794,7.783929,0.000499,23.638910
1413393214605760512.000000,0.000000,0.000000,13.697930,6.115046,0.054472,4.378354,5.923345,0.511290,22.777301
1413393214655760384.000000,0.000000,0.000000,17.526655,16.062176,0.069942,5.826481,6.279541,0.000509,36.836419
1413393214705760512.000000,0.000000,0.000000,13.444479,7.258643,0.045713,0.038460,8.838162,0.067772,24.107347
1413393214755760384.000000,0.000000,0.000000,13.548929,16.254244,0.073220,0.049183,8.990368,0.060367,32.622766
1413393214805760512.000000,0.000000,0.000000,14.206536,9.955338,0.038506,0.042505,9.287898,0.525266,27.130118
1413393214855760384.000000,0.000000,0.000000,14.745053,17.102566,0.084092,0.069428,10.419427,0.075840,34.761695
1413393214905760512.000000,0.000000,0.000000,14.712753,6.113380,0.047860,0.057441,11.496660,0.071815,24.139635
1413393214955760384.000000,0.000000,0.000000,14.869018,6.296150,0.105553,0.034461,9.122015,0.056280,23.843718
1413393215005760512.000000,0.000000,0.000000,14.733809,16.614360,0.079384,0.035445,8.891371,0.056029,34.817559
1413393215055760384.000000,0.000000,0.000000,17.832607,12.422318,0.068196,0.036546,9.917918,0.063833,33.652002
1413393215105760512.000000,0.000000,0.000000,15.114889,16.360383,0.067644,0.039277,9.753721,0.598146,34.949723
1413393215155760384.000000,0.000000,0.000000,13.646596,6.881461,0.044491,0.081082,13.590312,0.090881,23.554369
1413393215205760512.000000,0.000000,0.000000,14.686564,7.059230,0.043222,0.030398,8.667221,0.058724,24.709269
1413393215255760384.000000,0.000000,0.000000,14.085347,10.007445,0.043611,0.037294,9.136348,0.058334,27.254606
1413393215305760512.000000,0.000000,0.000000,15.136581,13.240350,0.066479,0.031241,8.890939,0.058951,31.457241
1413393215355760384.000000,0.000000,0.000000,13.717501,7.310653,0.040203,0.031534,9.022166,0.058638,23.752634
1413393215405760512.000000,0.000000,0.000000,13.685002,9.855078,0.043112,0.032360,9.377804,0.056630,26.157312
1413393215455760384.000000,0.000000,0.000000,12.506203,5.793307,0.042531,0.035018,8.954510,0.056221,20.765256
1413393215505760512.000000,0.000000,0.000000,14.406443,14.029996,0.064146,0.034581,9.102667,0.060190,31.912173
1413393215555760384.000000,0.000000,0.000000,14.210983,13.235002,0.067738,0.034073,9.335234,0.062365,31.016293
1413393215605760512.000000,0.000000,0.000000,14.207409,10.535311,0.041333,0.032578,8.978832,0.671942,27.973490
1413393215655760384.000000,0.000000,0.000000,13.612544,14.433552,0.075478,0.071207,12.650435,0.083775,31.178155
1413393215705760512.000000,0.000000,0.000000,14.957432,6.909836,0.041668,0.029277,8.698846,0.075763,25.242926
1413393215755760384.000000,0.000000,0.000000,13.996948,5.895258,0.047377,0.039713,9.091519,0.055784,22.785658
1413393215805760512.000000,0.000000,0.000000,14.783725,5.909749,0.049540,0.035255,10.907936,0.064884,23.496518
1413393215855760384.000000,0.000000,0.000000,14.222372,7.029557,0.041382,0.035623,10.477822,0.666550,24.181315
1413393215905760512.000000,0.000000,0.000000,14.190281,16.465866,0.073724,0.065129,12.314749,0.091562,33.946295
1413393215955760384.000000,0.000000,0.000000,14.338192,14.762839,0.066958,0.068470,12.542213,0.084274,32.519530
1413393216005760512.000000,0.000000,0.000000,14.432385,14.864030,0.070002,0.048927,9.921113,0.065156,32.133385
1413393216055760384.000000,0.000000,0.000000,13.444607,6.398017,0.047967,0.035281,10.579128,0.758010,22.193504
1413393216105760512.000000,0.000000,0.000000,14.323405,14.866718,0.063199,0.093275,10.268777,0.076323,32.058035
1413393216155760384.000000,0.000000,0.000000,13.781748,7.305503,0.086290,0.069871,12.594191,0.081951,24.080096
1413393216205760512.000000,0.000000,0.000000,13.857540,12.894358,0.059851,0.049838,9.901600,0.057159,29.670103
1413393216255760384.000000,0.000000,0.000000,14.046217,7.495393,0.039738,0.033834,9.037753,0.056587,24.360018
1413393216305760512.000000,0.000000,0.000000,12.989013,5.995367,0.046906,0.035094,10.970286,0.063311,22.083797
1413393216355760384.000000,0.000000,0.000000,14.733981,14.205576,0.074103,0.044391,10.491770,0.069222,32.214022
1413393216405760512.000000,0.000000,0.000000,14.794039,6.023134,0.047760,0.034815,10.471962,0.055617,23.510388
1413393216455760384.000000,0.000000,0.000000,15.701189,7.009222,0.038546,0.033340,9.302186,0.055360,25.471203
1413393216505760512.000000,0.000000,0.000000,14.670589,7.075386,0.039898,0.034707,9.558452,0.056436,24.520770
1413393216555760384.000000,0.000000,0.000000,14.175224,11.542591,0.046893,0.033856,9.219219,0.644436,30.478804
1413393216605760512.000000,0.000000,0.000000,18.770110,5.869358,0.051189,0.066824,12.755333,0.086417,42.355356
1413393216655760384.000000,0.000000,0.000000,14.401590,8.069285,0.076254,0.065577,12.398096,0.077268,36.906952
1413393216705760512.000000,0.000000,0.000000,13.562514,5.565389,0.043205,0.054202,9.019756,0.067736,32.886173
1413393216755760384.000000,0.000000,0.000000,13.519764,5.743425,0.051279,0.040819,11.076105,0.056457,32.793930
1413393216805760512.000000,0.000000,0.000000,14.255315,7.499186,0.046296,0.034401,9.246834,0.059159,36.679917
1413393216855760384.000000,0.000000,0.000000,14.462018,8.185342,0.056099,0.041522,13.020393,0.075030,38.338389
1413393216905760512.000000,0.000000,0.000000,13.230888,6.770856,0.038528,0.033293,10.100705,0.631141,37.816696
1413393216955760384.000000,0.000000,0.000000,13.280040,8.635337,0.044266,0.096857,13.268015,0.084209,36.717843
1413393217005760512.000000,0.000000,0.000000,13.562273,8.377878,0.060155,0.038691,11.818813,0.067626,35.701336
1413393217055760384.000000,0.000000,0.000000,15.060179,6.791081,0.047062,0.047827,9.860307,0.057739,35.228172
1413393217105760512.000000,0.000000,0.000000,12.781626,8.625282,0.060397,0.034403,9.656190,0.060133,37.456449
1413393217155760384.000000,0.000000,0.000000,15.090502,5.894616,0.068359,0.035608,11.061264,0.059709,35.599932
1413393217205760512.000000,0.000000,0.000000,12.969069,7.936668,0.063467,0.039379,9.421322,0.651138,35.475116
1413393217255760384.000000,0.000000,0.000000,13.012059,5.575502,0.068995,0.051739,14.889609,0.095854,31.702820
1413393217305760512.000000,0.000000,0.000000,13.282119,8.548968,0.133691,0.069728,13.145487,0.084674,38.739677
1413393217355760384.000000,0.000000,0.000000,13.372491,6.854298,0.056960,0.040589,11.882414,0.069672,35.175735
1413393217405760512.000000,0.000000,0.000000,13.284619,8.909796,0.060787,0.036126,10.064291,0.055322,38.001907
1413393217455760384.000000,0.000000,0.000000,15.833058,9.213327,0.078446,0.047730,10.140115,0.059052,42.444170
1413393217505760512.000000,0.000000,0.000000,13.021672,6.993983,0.104798,0.040954,11.549892,0.582866,34.309860
1413393217555760384.000000,0.000000,0.000000,14.192350,6.702844,0.053925,0.065559,13.609924,0.088509,35.792110
1413393217605760512.000000,0.000000,0.000000,13.368906,6.824709,0.055979,0.064477,12.624922,0.082502,34.817048
1413393217655760384.000000,0.000000,0.000000,12.850758,6.245100,0.075024,0.042056,11.677106,0.067888,32.467010
1413393217705760512.000000,0.000000,0.000000,16.069187,7.928605,0.054352,0.060180,13.556059,0.068209,37.768897
1413393217755760384.000000,0.000000,0.000000,13.251660,9.059047,0.073872,0.066635,13.112376,0.065295,41.106131
1413393217805760512.000000,0.000000,0.000000,13.509986,8.318530,0.049007,0.064307,13.557203,0.065737,37.931813
1413393217855760384.000000,0.000000,0.000000,13.359701,6.777196,0.058211,0.062437,13.267815,0.065073,34.400196
1413393217905760512.000000,0.000000,0.000000,14.048544,8.076812,0.070966,0.039573,9.929276,0.055572,38.003082
1413393217955760384.000000,0.000000,0.000000,12.922737,8.153047,0.067359,0.038492,10.251243,0.054010,36.515532
1413393218005760512.000000,0.000000,0.000000,13.543154,6.667363,0.044563,0.037051,9.955115,0.551970,36.638528
1413393218055760384.000000,0.000000,0.000000,14.132870,7.300721,0.064050,0.065467,12.345064,0.081026,35.812762
1413393218105760512.000000,0.000000,0.000000,12.996916,5.365380,0.059463,0.062391,11.161268,0.073563,32.072462
1413393218155760384.000000,0.000000,0.000000,13.809544,5.601662,0.062653,0.062811,12.020708,0.064825,32.483439
1413393218205760512.000000,0.000000,0.000000,13.138884,10.273322,0.069333,0.040038,13.028740,0.069349,40.115225
1413393218255760384.000000,0.000000,0.000000,13.997000,6.606185,0.044962,0.036590,10.574031,0.062201,36.142364
1413393218305760512.000000,0.000000,0.000000,13.352047,7.634265,0.063151,0.048544,14.671226,0.084038,36.280234
1413393218355760384.000000,0.000000,0.000000,13.013049,7.437462,0.067904,0.038775,10.282992,0.058881,36.036229
1413393218405760512.000000,0.000000,0.000000,12.619606,6.510986,0.060149,0.038701,10.633612,0.058869,33.511540
1413393218455760384.000000,0.000000,0.000000,13.455811,8.001777,0.070432,0.038528,10.367077,0.058929,34.865318
1413393218505760512.000000,0.000000,0.000000,12.695721,7.074511,0.073437,0.048867,13.173264,0.629285,35.821449
1413393218555760384.000000,0.000000,0.000000,12.604284,6.830470,0.061013,0.073806,14.281018,0.085345,34.198859
1413393218605760512.000000,0.000000,0.000000,13.260251,6.833929,0.063058,0.072398,12.465931,0.078209,35.466783
1413393218655760384.000000,0.000000,0.000000,14.184476,5.720110,0.041429,0.047254,13.420650,0.071466,33.987534
1413393218705760512.000000,0.000000,0.000000,13.686925,5.434037,0.064574,0.060487,13.823294,0.621928,31.852114
1413393218755760384.000000,0.000000,0.000000,13.163512,8.513941,0.052395,0.054771,13.381705,0.080754,39.560416
1413393218805760512.000000,0.000000,0.000000,14.606654,6.602002,0.062776,0.057859,10.403017,0.070438,36.670966
1413393218855760384.000000,0.000000,0.000000,12.888300,7.924716,0.067288,0.030861,9.099475,0.606345,36.663293
1413393218905760512.000000,0.000000,0.000000,12.762116,8.210661,0.072086,0.052320,11.609991,0.079369,36.941596
1413393218955760384.000000,0.000000,0.000000,13.781628,8.155444,0.053594,0.065463,13.812557,0.088877,35.272333
1413393219005760512.000000,0.000000,0.000000,13.565077,8.597324,0.071745,0.038420,12.540792,0.645994,36.984051
1413393219055760384.000000,0.000000,0.000000,12.640163,5.758211,0.045822,0.060467,14.426060,0.091572,30.128930
1413393219105760512.000000,0.000000,0.000000,12.874683,5.018830,0.082851,0.057626,11.890612,0.071502,30.257151
1413393219155760384.000000,0.000000,0.000000,13.003809,5.902814,0.077935,0.029961,9.235265,0.541940,31.644420
1413393219205760512.000000,0.000000,0.000000,12.727472,5.979595,0.081339,0.051903,10.299213,0.075913,32.543359
1413393219255760384.000000,0.000000,0.000000,13.080777,9.767415,0.124522,0.058504,12.552058,0.081423,38.208898
1413393219305760512.000000,0.000000,0.000000,13.334126,5.134649,0.089419,0.032324,11.865642,0.587446,30.482223
1413393219355760384.000000,0.000000,0.000000,15.312431,4.804465,0.085073,0.041617,10.266888,0.091182,31.681737
1413393219405760512.000000,0.000000,0.000000,13.505123,6.246783,0.082871,0.057386,13.092164,0.084953,32.732985
1413393219455760384.000000,0.000000,0.000000,14.225294,6.269635,0.083398,0.033459,11.718652,0.059307,33.618734
1413393219505760512.000000,0.000000,0.000000,14.365978,10.760123,0.120833,0.035946,11.019609,0.056476,42.016117
1413393219555760384.000000,0.000000,0.000000,13.146826,5.198450,0.094743,0.033869,10.901913,0.628895,30.214042
1413393219605760512.000000,0.000000,0.000000,14.761240,5.111290,0.085366,0.057915,11.997606,0.087398,32.416795
1413393219655760384.000000,0.000000,0.000000,13.098474,5.093487,0.094427,0.058842,10.786872,0.073756,30.682818
1413393219705760512.000000,0.000000,0.000000,13.824052,5.421040,0.085012,0.051751,11.026708,0.083646,31.015293
1413393219755760384.000000,0.000000,0.000000,12.839777,7.900204,0.090173,0.049939,11.175509,0.060169,33.013423
1413393219805760512.000000,0.000000,0.000000,13.172030,5.979002,0.091693,0.028538,8.506955,0.557313,31.333072
1413393219855760384.000000,0.000000,0.000000,13.254040,5.417604,0.088438,0.053783,13.813413,0.084394,31.086096
1413393219905760512.000000,0.000000,0.000000,12.934334,6.236711,0.090711,0.056828,13.359084,0.093660,31.949250
1413393219955760384.000000,0.000000,0.000000,13.742354,5.606496,0.090260,0.042235,12.092310,0.070544,32.436422
1413393220005760512.000000,0.000000,0.000000,13.141158,9.208219,0.112138,0.028868,8.910245,0.468153,38.600921
1413393220055760384.000000,0.000000,0.000000,15.633599,5.636004,0.096328,0.065335,13.497320,0.081645,33.340531
1413393220105760512.000000,0.000000,0.000000,13.282217,5.408822,0.087748,0.083055,13.400619,0.079517,30.867094
1413393220155760384.000000,0.000000,0.000000,12.619190,7.007711,0.080797,0.032996,11.391447,0.058783,34.088742
1413393220205760512.000000,0.000000,0.000000,13.043437,6.856391,0.093091,0.042615,13.036432,0.697220,33.645194
1413393220255760384.000000,0.000000,0.000000,13.645230,6.743148,0.092313,0.048240,11.607631,0.075851,35.737344
1413393220305760512.000000,0.000000,0.000000,13.303486,8.807884,0.119073,0.055791,11.429484,0.092769,38.230509
1413393220355760384.000000,0.000000,0.000000,13.311310,6.702074,0.104794,0.034451,8.304457,0.048122,33.610991
1413393220405760512.000000,0.000000,0.000000,13.805769,6.983389,0.108768,0.039699,11.873439,0.662726,34.772288
1413393220455760384.000000,0.000000,0.000000,13.442233,6.194543,0.100971,0.054478,13.865691,0.087231,33.525550
1413393220505760512.000000,0.000000,0.000000,13.755369,11.712041,0.116445,0.061244,13.982304,0.086628,41.690101
1413393220555760384.000000,0.000000,0.000000,12.730971,6.936864,0.098607,0.028174,13.011737,0.562656,32.854622
1413393220605760512.000000,0.000000,0.000000,12.848017,5.771825,0.073596,0.054934,13.880994,0.083110,30.332880
1413393220655760384.000000,0.000000,0.000000,14.606170,6.888495,0.095246,0.059739,13.734045,0.082418,35.675924
1413393220705760512.000000,0.000000,0.000000,13.106566,9.083093,0.120184,0.029707,9.488173,0.053752,35.736447
1413393220755760384.000000,0.000000,0.000000,13.660176,6.917849,0.098497,0.034799,9.355740,0.428759,34.532522
1413393220805760512.000000,0.000000,0.000000,13.898471,5.997695,0.096635,0.049604,13.728348,0.084113,32.785272
1413393220855760384.000000,0.000000,0.000000,14.671290,9.205293,0.115376,0.076309,13.412923,0.080849,36.677735
1413393220905760512.000000,0.000000,0.000000,14.097695,5.406606,0.115315,0.024956,8.747867,0.052736,32.977460
1413393220955760384.000000,0.000000,0.000000,13.964397,8.175816,0.114446,0.031956,9.155107,0.053320,38.718475
1413393221005760512.000000,0.000000,0.000000,14.345972,7.975466,0.070461,0.030663,9.381114,0.489692,38.226505
1413393221055760384.000000,0.000000,0.000000,15.084041,8.255021,0.101196,0.078386,10.781790,0.082564,35.674573
1413393221105760512.000000,0.000000,0.000000,13.958531,8.343970,0.069242,0.060785,10.707588,0.071625,36.123667
1413393221155760384.000000,0.000000,0.000000,12.477244,5.640200,0.089584,0.050214,10.061880,0.063200,30.109061
1413393221205760512.000000,0.000000,0.000000,13.947551,8.235067,0.070894,0.047646,9.689106,0.537702,38.584079
1413393221255760384.000000,0.000000,0.000000,13.212108,6.306274,0.088451,0.038191,9.799766,0.065964,32.853520
1413393221305760512.000000,0.000000,0.000000,14.376589,9.068482,0.117016,0.045631,9.564615,0.077422,40.606106
1413393221355760384.000000,0.000000,0.000000,12.858855,8.994537,0.126279,0.038149,7.688603,0.488065,37.355363
1413393221405760512.000000,0.000000,0.000000,13.046838,5.756445,0.099003,0.054805,9.845647,0.070929,31.793164
1413393221455760384.000000,0.000000,0.000000,13.558354,5.572673,0.094232,0.048597,9.449600,0.069475,32.052874
1413393221505760512.000000,0.000000,0.000000,13.688355,6.935490,0.096407,0.055635,7.920067,0.046573,34.976895
1413393221555760384.000000,0.000000,0.000000,12.809209,5.591330,0.098963,0.027094,8.420940,0.050634,31.534188
1413393221605760512.000000,0.000000,0.000000,13.667133,6.294991,0.103329,0.025250,8.044829,0.051532,38.250009
1413393221655760384.000000,0.000000,0.000000,13.481388,7.836750,0.133704,0.025096,7.973502,0.641143,38.120662
1413393221705760512.000000,0.000000,0.000000,13.750862,8.586848,0.119606,0.058300,14.351056,0.089301,37.592476
