#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
7.941114,0.085892,0.872832,0.009300,0.009300,8.916798
7.423368,0.161667,2.263307,0.002590,0.002590,9.853215
9.330512,0.267171,3.501105,0.481460,0.481460,35.456981
9.527362,0.276684,6.116395,0.523778,0.523778,43.940749
9.728848,0.217388,12.689151,0.992996,0.992996,67.917618
6.374382,0.155566,6.865985,0.753066,0.753066,43.630411
7.491620,0.181191,9.678458,1.073807,1.073807,47.872634
10.428467,0.288071,24.443586,1.555718,1.555718,77.945644
10.358662,0.272148,24.390867,1.393346,1.393346,75.246505
8.479084,0.312583,21.058810,55.940233,55.940233,132.989541
5.988336,0.135489,11.971532,1.123035,1.123035,47.496002
5.157062,0.098154,9.971671,1.120182,1.120182,46.657581
5.142453,0.087008,9.605318,1.339873,1.339873,47.966051
4.990883,0.072381,9.809632,1.362941,1.362941,48.687787
5.432293,0.056842,11.859258,1.252375,1.252375,65.413847
9.009682,0.128041,21.798673,1.586436,1.586436,71.966941
9.535464,0.149513,15.330449,1.672896,1.672896,70.277088
7.205081,0.099544,15.116517,1.693238,1.693238,70.241333
9.115422,0.108865,19.008229,2.277831,2.277831,76.789616
7.843401,0.127616,17.983266,2.161564,2.161564,75.329990
7.776745,0.109057,16.304343,2.504161,2.504161,76.789829
7.018903,0.096990,18.875234,3.644985,3.644985,87.840040
5.288631,0.116797,15.636233,3.330112,3.330112,81.639773
5.465339,0.127284,14.782341,3.123905,3.123905,76.676471
4.721000,0.107087,13.923244,3.424198,3.424198,86.247516
5.857880,0.100172,16.614508,3.094371,3.094371,81.706454
6.823595,0.115707,16.825825,3.000829,3.000829,79.809924
15.583648,0.346336,35.096650,3.250946,3.250946,115.721965
6.359609,0.096462,18.511144,3.285654,3.285654,83.153722
7.862106,0.116671,18.381183,3.730091,3.730091,83.920961
6.382656,0.136499,17.527550,2.987816,2.987816,79.133500
6.453489,0.142119,18.575462,5.111445,5.111445,83.456040
6.609055,0.118958,17.379345,3.037408,3.037408,77.654764
5.784524,0.103674,16.304999,2.835328,2.835328,75.011271
5.999441,0.178159,16.739746,5.422342,5.422342,98.292242
4.375857,0.120738,13.214171,2.941465,2.941465,69.544954
4.867302,0.140148,12.171424,2.692704,2.692704,69.287013
4.801755,0.143852,14.033839,2.808210,2.808210,76.383198
4.429578,0.101089,11.455410,2.754225,2.754225,195.101955
4.740200,0.136254,11.546723,2.660178,2.660178,55.892097
8.794350,0.145784,20.281613,3.042827,3.042827,95.981747
5.828240,0.171777,13.117075,2.435857,2.435857,74.030628
5.989902,0.225022,14.230477,3.102271,3.102271,75.676938
5.675299,0.260630,18.512593,2.194009,2.194009,89.103138
10.867952,0.289652,30.989532,3.557691,3.557691,120.627903
6.273283,0.175462,15.095575,3.818969,3.818969,85.160159
9.688692,0.341650,25.127393,3.253547,3.253547,106.073615
7.513869,0.291364,18.292495,3.128763,3.128763,94.117001
8.691425,0.299299,21.582246,3.995133,3.995133,104.402501
5.503635,0.216199,14.744780,3.817174,3.817174,80.901110
4.728199,0.154076,10.548141,2.019820,2.019820,69.067607
4.675315,0.146101,10.798124,3.385447,3.385447,73.452667
5.292885,0.165436,11.472456,2.714585,2.714585,73.405492
5.495383,0.201118,9.939329,2.293699,2.293699,76.730914
4.705864,0.176480,10.363358,1.026963,1.026963,70.670239
5.434702,0.260555,12.613433,1.177043,1.177043,77.098131
5.182535,0.239752,12.258254,2.122430,2.122430,77.834201
3.789463,0.175339,8.297566,0.959167,0.959167,71.645564
5.390356,0.220844,11.273841,3.217226,3.217226,85.447930
5.005085,0.204821,9.985417,1.461851,1.461851,76.438056
8.376337,0.250201,13.724871,1.127020,1.127020,97.411246
5.506745,0.172017,10.620185,2.521759,2.521759,82.071954
