#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.008346,3,1,0,930
0.002660,4,1,0,942
0.193438,5,1,0,1341
0.202530,6,1,0,1829
0.323285,7,1,0,2232
0.478876,8,1,0,2632
0.873969,9,1,0,2867
0.991881,10,1,0,2926
1.024311,0,0,0,0
57.558855,0,0,0,0
1.069856,0,0,0,0
0.995034,0,0,0,0
1.327489,0,0,0,0
1.262451,0,0,0,0
1.447206,0,0,0,0
1.650200,0,0,0,0
1.846331,0,0,0,0
2.020796,0,0,0,0
2.217089,0,0,0,0
2.294746,0,0,0,0
2.515637,0,0,0,0
3.464322,0,0,0,0
3.102028,0,0,0,0
3.433628,0,0,0,0
3.082711,0,0,0,0
3.092114,3,1,0,1010
2.848234,4,1,0,1303
0.003090,5,1,0,1675
0.001384,6,1,0,2063
0.108458,7,1,0,2485
0.327780,8,1,0,2779
1.883454,9,1,0,3083
1.151223,10,1,0,3414
0.856876,0,0,0,0
1.749172,0,0,0,0
1.626195,0,0,0,0
53.536730,0,0,0,0
1.289208,0,0,0,0
1.684222,0,0,0,0
1.569337,0,0,0,0
1.998737,0,0,0,0
1.836440,0,0,0,0
2.075492,0,0,0,0
2.706959,0,0,0,0
2.196418,0,0,0,0
2.456987,0,0,0,0
2.449285,0,0,0,0
3.580969,0,0,0,0
4.244331,0,0,0,0
4.113877,0,0,0,0
4.596360,0,0,0,0
4.239978,0,0,0,0
3.563425,0,0,0,0
3.740087,0,0,0,0
4.174095,0,0,0,0
3.706803,0,0,0,0
2.887691,0,0,0,0
2.847014,0,0,0,0
2.972350,0,0,0,0
2.223127,0,0,0,0
2.596877,0,0,0,0
3.799935,0,0,0,0
4.733481,0,0,0,0
2.448284,0,0,0,0
2.183985,0,0,0,0
4.221381,0,0,0,0
3.157127,0,0,0,0
2.216908,0,0,0,0
4.145339,0,0,0,0
4.356944,0,0,0,0
3.128303,0,0,0,0
3.693350,0,0,0,0
2.656755,0,0,0,0
2.703043,0,0,0,0
3.160523,0,0,0,0
3.633062,0,0,0,0
2.787340,0,0,0,0
2.008193,0,0,0,0
4.018595,0,0,0,0
2.925536,0,0,0,0
3.106356,0,0,0,0
2.054484,0,0,0,0
3.359241,0,0,0,0
3.142952,0,0,0,0
2.829704,0,0,0,0
2.186963,0,0,0,0
2.491224,0,0,0,0
2.278466,0,0,0,0
4.856421,0,0,0,0
3.166924,0,0,0,0
3.501930,0,0,0,0
3.284242,0,0,0,0
2.125736,0,0,0,0
3.915484,0,0,0,0
2.255862,0,0,0,0
3.670959,0,0,0,0
3.051251,0,0,0,0
1.981117,0,0,0,0
3.708692,0,0,0,0
2.640327,0,0,0,0
2.357840,0,0,0,0
2.394633,0,0,0,0
2.890537,0,0,0,0
2.968847,0,0,0,0
2.670219,0,0,0,0
2.811137,0,0,0,0
3.106936,0,0,0,0
1.851262,0,0,0,0
5.131552,0,0,0,0
2.711887,0,0,0,0
1.768052,0,0,0,0
2.927379,0,0,0,0
