#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
7.157304,0.103731,1.037971,0.008270,0.008270,8.314109
5.827128,0.097249,1.526457,0.001602,0.001602,7.453648
6.429868,0.163558,1.570876,0.196051,0.196051,14.475506
8.430063,0.245588,5.028208,0.438934,0.438934,29.381219
9.016970,0.228445,8.583417,0.374319,0.374319,30.229138
9.331744,0.278747,8.078367,0.384265,0.384265,34.952761
9.461461,0.307226,14.346086,0.577512,0.577512,51.218444
10.214661,0.392288,16.568639,0.792569,0.792569,50.932055
9.768617,0.296757,10.150933,1.098102,1.098102,42.047789
8.141559,0.229019,17.057045,61.136915,61.136915,124.167636
7.750399,0.076655,9.329404,0.913042,0.913042,44.729217
6.005756,0.136445,11.565842,1.150064,1.150064,50.553381
10.503528,0.218275,29.052066,1.446572,1.446572,88.540469
8.976712,0.211383,14.617311,1.531411,1.531411,69.000940
6.725046,0.161306,15.620390,1.581025,1.581025,71.883852
10.899759,0.191643,20.039875,1.664791,1.664791,78.342969
7.244878,0.107889,11.992582,2.266794,2.266794,66.663466
7.928305,0.127449,17.632264,1.889406,1.889406,70.877400
6.083671,0.071271,11.652347,2.341259,2.341259,71.798995
8.374362,0.095540,13.052297,2.202363,2.202363,76.981553
14.109135,0.180796,34.674822,2.762221,2.762221,109.890746
11.831411,0.234679,35.707394,3.599530,3.599530,115.104112
9.638713,0.124470,16.722941,3.798640,3.798640,232.137999
6.541269,0.121134,12.971052,2.839727,2.839727,75.469100
11.946999,0.114896,15.982915,3.403953,3.403953,97.477252
6.844769,0.097856,12.179745,3.260736,3.260736,79.138762
9.113317,0.130507,14.827693,3.191653,3.191653,85.264201
9.067398,0.160077,13.681811,4.855416,4.855416,90.177933
11.231804,0.249507,25.499976,4.215253,4.215253,101.269695
11.966258,0.284660,35.930867,2.721661,2.721661,113.776755
6.322341,0.120810,14.588305,3.835362,3.835362,90.474318
10.702773,0.354349,21.290098,3.623632,3.623632,105.814513
6.167307,0.181215,14.654876,4.100271,4.100271,90.034073
7.548748,0.223247,15.854731,4.137648,4.137648,96.123646
11.246749,0.145994,18.118466,4.599443,4.599443,97.367573
6.750631,0.089276,12.571629,4.049258,4.049258,87.980589
5.788273,0.090208,14.112035,4.535497,4.535497,85.417759
6.447836,0.116864,15.016876,4.213112,4.213112,86.669028
7.107589,0.142455,17.385692,3.432228,3.432228,84.444533
5.372031,0.111692,14.163336,3.122660,3.122660,80.058894
