#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403636579763555584.000000,0.000000,0.000000,18.588214,4.348243,0.002013,5.866202,3.440658,0.001275,25.606754
1403636579813555456.000000,0.000000,0.000000,17.779377,4.216034,0.063333,2.903835,4.672916,0.000470,25.650470
1403636579863555584.000000,0.000000,0.000000,17.215380,4.106206,0.045472,2.019562,2.877373,0.000393,24.648337
1403636579913555456.000000,0.000000,0.000000,17.870813,4.013037,0.039607,1.472605,3.123106,0.000474,24.445002
1403636579963555584.000000,0.000000,0.000000,15.921910,7.898481,0.073591,1.166045,3.246207,0.349334,28.399798
1403636580013555456.000000,0.000000,0.000000,18.762151,4.252295,0.038889,2.873263,3.151943,0.000522,35.243013
1403636580063555584.000000,0.000000,0.000000,16.712333,5.193365,0.107385,1.680478,3.428175,0.000778,33.345618
1403636580113555456.000000,0.000000,0.000000,18.626331,3.524622,0.047381,1.601546,3.396735,0.000446,30.322256
1403636580163555584.000000,0.000000,0.000000,17.213086,3.332895,0.046685,1.153880,3.417747,0.000407,28.447609
1403636580213555456.000000,0.000000,0.000000,17.230894,3.578634,0.046720,1.010843,3.111565,0.281629,28.344092
1403636580263555584.000000,0.000000,0.000000,18.474794,7.561264,0.108741,1.621457,1.729335,0.000365,35.448697
1403636580313555456.000000,0.000000,0.000000,16.264372,3.265741,0.051871,1.919805,3.560872,0.000468,27.614379
1403636580363555584.000000,0.000000,0.000000,16.455520,3.142671,0.063569,0.870518,1.970126,0.000380,27.455887
1403636580413555456.000000,0.000000,0.000000,15.350151,2.725816,0.063206,0.862234,2.144886,0.000443,25.730537
1403636580463555584.000000,0.000000,0.000000,17.442409,2.431742,0.061287,1.021936,2.168830,0.270419,27.384007
1403636580513555456.000000,0.000000,0.000000,18.192570,4.637945,0.074446,1.789216,2.046551,0.000473,29.368169
