#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
5.288108,0.016938,0.188934,0.005221,0.005221,5.503373
7.231357,0.072981,0.972865,0.002973,0.002973,8.282657
8.047877,0.097372,1.381642,0.324690,0.324690,19.064280
9.413505,0.112560,1.936757,0.516485,0.516485,25.232950
9.346353,0.040146,2.372344,0.723131,0.723131,28.754883
9.352213,0.032939,2.646898,0.663435,0.663435,24.254709
9.405125,0.031029,3.272745,0.598569,0.598569,27.353299
9.062604,0.036299,3.448156,2.033544,2.033544,36.483708
9.947326,0.033572,4.849476,1.383186,1.383186,28.042890
6.900898,0.016565,2.428687,48.134291,48.134291,69.992115
10.302219,0.023240,5.360070,1.882810,1.882810,44.307297
10.245346,0.012993,7.309752,1.501784,1.501784,54.866902
6.930773,0.007996,4.283885,1.729523,1.729523,33.568320
10.770011,0.014620,6.408368,2.187767,2.187767,57.311316
5.064839,0.021985,0.217687,0.001967,0.001967,5.307558
8.908802,0.139521,1.752747,0.002730,0.002730,10.806337
6.916983,0.165812,3.845238,0.076007,0.076007,20.939556
9.006850,0.358869,5.052890,0.253923,0.253923,24.246056
8.833491,0.163240,4.592896,0.928581,0.928581,27.142582
8.511568,0.341092,11.748850,1.107167,1.107167,47.499548
9.006350,0.195590,8.868665,1.586409,1.586409,42.290290
9.551645,0.190679,18.485600,0.630104,0.630104,57.450444
9.683702,0.268824,21.186343,0.873263,0.873263,62.774477
10.154338,0.294310,24.832578,41.416422,41.416422,112.461853
9.800976,0.237478,17.715086,0.866019,0.866019,59.932252
9.005460,0.240547,14.389494,1.071167,1.071167,62.362140
6.081602,0.119954,11.537268,1.172891,1.172891,53.038445
5.752881,0.081361,9.735866,1.310752,1.310752,52.148660
5.252196,0.099408,11.206842,1.356253,1.356253,56.151595
7.678462,0.107514,11.491239,1.773758,1.773758,69.697905
8.320151,0.106594,14.254135,1.711586,1.711586,72.000585
7.813664,0.136687,22.951371,1.662286,1.662286,79.274427
12.267092,0.232528,30.712864,2.073136,2.073136,96.110826
13.870429,0.312973,34.368596,2.520798,2.520798,104.328007
7.103842,0.107998,13.907103,2.278580,2.278580,72.576231
9.086869,0.120877,15.645367,3.741863,3.741863,79.750894
6.999823,0.075769,13.051053,3.078897,3.078897,78.571825
8.129399,0.088470,12.152400,2.907445,2.907445,73.582725
7.452033,0.060980,12.726290,2.937803,2.937803,80.033361
13.334254,0.174816,19.659445,3.168170,3.168170,85.620028
10.615811,0.193883,36.612262,3.365409,3.365409,109.496129
9.607810,0.163730,20.757400,3.104650,3.104650,212.600795
6.509545,0.092616,15.020887,3.135968,3.135968,89.430163
5.840587,0.062523,13.077725,2.891000,2.891000,73.323729
8.078737,0.063952,16.432936,2.832902,2.832902,76.498506
6.967984,0.056146,15.674556,2.786207,2.786207,71.473292
7.189294,0.037723,0.398524,0.002600,0.002600,7.629684
7.756964,0.126557,1.166156,0.001379,0.001379,9.052110
8.578153,0.166310,1.676836,0.394811,0.394811,21.203213
8.712184,0.150976,2.220948,0.579181,0.579181,25.189238
7.807307,0.066902,1.956263,0.522331,0.522331,17.459721
6.737524,0.034695,1.426402,0.524626,0.524626,15.185211
9.564005,0.040665,3.886851,0.935354,0.935354,25.367257
9.948452,0.035746,3.688801,1.251126,1.251126,27.196617
10.454122,0.032066,4.810196,2.786379,2.786379,39.047512
10.775894,0.031646,5.190055,37.850869,37.850869,91.350139
11.298843,0.024846,4.327725,2.092749,2.092749,42.339088
9.073013,0.007050,4.507363,2.166849,2.166849,35.442574
11.731220,0.010903,8.097998,1.984164,1.984164,92.395774
6.450750,0.023248,0.229104,0.001910,0.001910,6.706053
5.757045,0.066164,0.535672,0.001498,0.001498,6.361521
8.098304,0.195719,1.609044,0.499795,0.499795,21.861379
9.417278,0.155590,2.301749,0.623206,0.623206,29.870121
8.605867,0.050599,2.528357,0.892050,0.892050,30.227379
6.613481,0.016882,1.328876,0.513198,0.513198,16.350240
9.586788,0.031246,3.823262,1.339746,1.339746,43.722705
10.337364,0.028332,4.276996,1.621627,1.621627,41.022760
5.945676,0.014660,2.234602,1.108129,1.108129,18.745421
11.249250,0.030856,4.190565,37.260527,37.260527,69.056323
11.220251,0.037262,2.881826,1.969986,1.969986,37.603836
6.686836,0.004235,2.913060,1.714623,1.714623,62.229358
6.748113,0.043374,0.447105,0.003137,0.003137,7.243336
7.669683,0.118741,1.077036,0.002710,0.002710,8.869933
6.566379,0.133795,0.812079,0.164284,0.164284,12.232170
8.758906,0.219451,7.518644,0.483667,0.483667,32.438118
8.526374,0.270071,7.983934,0.593695,0.593695,33.041880
7.224697,0.231221,7.579239,0.602790,0.602790,28.776366
7.122784,0.211272,8.940467,0.720048,0.720048,33.929868
8.664571,0.186463,8.761639,1.045151,1.045151,40.159587
9.985935,0.317313,22.523287,0.769018,0.769018,65.028563
10.020528,0.285554,21.896946,53.239929,53.239929,116.653110
10.226214,0.235988,27.435688,0.823307,0.823307,69.542486
10.853296,0.283194,31.033445,1.123705,1.123705,77.772278
6.608365,0.160145,14.315339,1.338492,1.338492,60.872373
10.672423,0.328957,26.909946,1.259776,1.259776,100.439963
11.468599,0.308560,22.233513,1.265897,1.265897,84.240871
11.894116,0.310347,38.976049,1.292518,1.292518,118.009526
7.907797,0.205987,17.224293,1.252338,1.252338,200.256324
5.805841,0.154769,14.518158,1.510763,1.510763,82.514041
7.618467,0.152357,15.052584,1.507756,1.507756,78.128631
12.434381,0.362776,39.607784,2.018358,2.018358,117.562378
8.401780,0.186439,19.081572,2.383335,2.383335,91.281715
13.153012,0.289937,30.531876,2.839849,2.839849,127.827200
13.043571,0.352579,35.386837,2.900523,2.900523,121.075036
12.591034,0.321263,31.847046,2.194838,2.194838,130.008880
8.163022,0.182726,20.568155,2.233251,2.233251,119.955154
12.314657,0.339556,36.537368,2.381602,2.381602,132.689903
12.819120,0.358212,22.537045,3.251193,3.251193,127.336158
7.860860,0.180248,15.237447,3.375912,3.375912,101.096054
12.742994,0.293564,34.748476,4.030221,4.030221,158.652397
6.654903,0.122212,14.833766,3.079833,3.079833,131.683653
6.019911,0.152570,14.617847,3.125662,3.125662,110.631492
9.781389,0.246004,24.706889,2.414045,2.414045,128.896307
7.305851,0.152085,17.356001,3.271817,3.271817,128.170001
8.099736,0.167444,15.133684,2.426821,2.426821,123.915391
7.843764,0.184922,17.946512,5.157578,5.157578,143.371855
6.264098,0.168770,14.008054,2.463796,2.463796,120.578076
8.164066,0.231876,19.156454,4.094719,4.094719,128.603557
6.926532,0.175631,15.143081,2.306022,2.306022,114.352947
11.925369,0.373392,25.422189,3.397441,3.397441,129.588028
6.633598,0.201354,15.765187,2.214728,2.214728,117.712049
8.051290,0.215263,15.973768,4.552787,4.552787,124.362559
6.136498,0.180102,13.283596,5.221618,5.221618,137.738276
5.385684,0.179972,12.646082,3.027513,3.027513,127.918601
6.551846,0.165898,14.452758,2.552214,2.552214,128.606184
7.044369,0.237655,15.091443,3.763016,3.763016,123.849311
5.227814,0.204114,12.876025,2.288971,2.288971,122.145346
7.452829,0.437556,15.020527,2.939279,2.939279,127.334147
6.435134,0.288808,14.127894,2.529524,2.529524,149.605054
5.411897,0.221221,11.033867,2.992814,2.992814,134.464638
4.992808,0.169806,14.600169,2.899754,2.899754,123.909497
8.262718,0.229494,16.495696,2.467463,2.467463,141.440294
5.960130,0.167812,13.432078,2.784149,2.784149,126.972916
6.637473,0.221572,13.308906,3.539247,3.539247,130.492128
6.680474,0.199624,13.341596,2.886180,2.886180,121.450976
6.596832,0.210544,13.531623,1.534344,1.534344,121.665560
6.484406,0.233356,14.455012,2.568766,2.568766,126.374743
6.590931,0.217110,13.156560,2.265615,2.265615,129.742598
10.192551,0.439380,26.620741,4.266062,4.266062,151.248522
5.061715,0.145010,13.617506,1.948536,1.948536,126.867552
7.143594,0.215249,15.531102,3.506729,3.506729,124.267111
6.775229,0.255561,13.971753,3.060033,3.060033,126.741884
6.020579,0.174894,11.373628,2.092514,2.092514,122.957644
7.074900,0.232730,15.221307,2.875679,2.875679,133.176187
6.096790,0.222595,13.781959,3.882913,3.882913,123.489272
7.295626,0.275893,15.656507,1.908865,1.908865,125.649932
6.923352,0.274550,12.619198,3.422827,3.422827,115.497262
5.144866,0.256887,12.135490,3.286887,3.286887,111.149614
8.189007,0.353418,13.179040,3.145417,3.145417,123.651682
6.618786,0.299115,17.005222,3.869651,3.869651,118.550734
7.219401,0.271245,15.947497,3.766248,3.766248,124.166103
5.667903,0.193532,11.742855,2.282232,2.282232,110.930600
5.758423,0.207829,13.440341,2.980106,2.980106,120.988197
5.644381,0.217894,14.530436,3.843236,3.843236,123.312725
7.619981,0.314333,13.707521,3.503487,3.503487,112.822985
