#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.008660,3,1,0,713
0.001651,4,1,0,917
0.279943,5,1,0,1149
0.514581,6,1,0,1364
0.522166,7,1,0,1571
0.582673,8,1,0,1777
0.594882,9,1,0,1983
1.100698,10,1,0,2188
1.197295,0,0,0,0
44.394540,0,0,0,0
1.794118,0,0,0,0
2.030696,3,1,0,891
1.828017,4,1,0,1279
0.002880,5,1,0,1589
0.002770,6,1,0,1941
0.198017,7,1,0,1986
0.775077,8,1,0,2053
0.771636,9,1,0,2382
0.603254,10,1,0,2857
0.954731,0,0,0,0
1.209874,0,0,0,0
1.116558,0,0,0,0
48.453242,0,0,0,0
0.775934,0,0,0,0
1.002191,0,0,0,0
1.097748,0,0,0,0
1.331767,0,0,0,0
1.790601,0,0,0,0
2.025184,0,0,0,0
1.546683,0,0,0,0
1.528262,0,0,0,0
1.538938,0,0,0,0
2.012408,0,0,0,0
2.109546,0,0,0,0
2.879881,0,0,0,0
2.914296,0,0,0,0
2.806437,0,0,0,0
2.868898,0,0,0,0
3.062152,0,0,0,0
2.794745,0,0,0,0
2.516735,0,0,0,0
3.526803,0,0,0,0
2.921068,0,0,0,0
2.750018,3,1,0,633
3.029188,4,1,0,852
2.765661,5,1,0,1071
2.811024,6,1,0,1330
0.001738,7,1,0,1559
0.002547,8,1,0,1794
0.212274,9,1,0,2015
0.571119,10,1,0,2247
0.595659,0,0,0,0
1.053550,3,1,0,871
1.528202,4,1,0,1079
1.773570,5,1,0,1336
1.540470,6,1,0,1597
62.388538,7,1,0,1891
2.400459,8,1,0,2158
0.003367,9,1,0,2407
0.002734,10,1,0,2653
0.420920,0,0,0,0
0.763306,0,0,0,0
1.343422,0,0,0,0
1.312812,3,1,0,573
1.919762,4,1,0,838
1.131300,5,1,0,1150
1.083116,6,1,0,1467
66.146842,7,1,0,1885
1.928029,8,1,0,2297
2.484322,9,1,0,2667
1.855084,10,1,0,3041
0.002023,0,0,0,0
0.001592,0,0,0,0
0.342010,0,0,0,0
0.530533,0,0,0,0
0.776005,0,0,0,0
0.924162,0,0,0,0
0.650558,0,0,0,0
0.880182,0,0,0,0
2.232992,0,0,0,0
46.122203,0,0,0,0
0.931781,0,0,0,0
1.077525,0,0,0,0
1.113971,0,0,0,0
1.241750,0,0,0,0
1.380298,0,0,0,0
1.417802,0,0,0,0
