#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403637130538319104.000000,0.000000,0.000000,17.619202,2.552305,0.002338,5.169891,1.782868,0.001230,22.429713
1403637130588318976.000000,0.000000,0.000000,18.243542,2.455145,0.054991,1.556531,1.324298,0.000433,23.361777
1403637130638319104.000000,0.000000,0.000000,16.588932,2.391691,0.052584,3.856415,2.816726,0.000689,22.102649
1403637130688318976.000000,0.000000,0.000000,16.053399,2.441121,0.049279,1.552815,1.406987,0.000444,21.312339
1403637130738319104.000000,0.000000,0.000000,19.073546,5.750014,0.052216,3.742551,3.580654,0.000850,28.123343
1403637130788318976.000000,0.000000,0.000000,20.633529,2.354587,0.051424,1.881715,2.523843,0.300865,33.207425
1403637130838319104.000000,0.000000,0.000000,17.300758,2.366650,0.066866,1.856062,1.935473,0.000521,25.276790
1403637130888318976.000000,0.000000,0.000000,16.924137,5.661311,0.096949,1.656059,1.468941,0.000488,32.648840
1403637130938319104.000000,0.000000,0.000000,16.674319,2.359315,0.042646,1.589877,1.744647,0.000499,24.694926
1403637130988318976.000000,0.000000,0.000000,17.532592,6.202067,0.116928,1.485046,1.391497,0.000833,34.503142
1403637131038319104.000000,0.000000,0.000000,17.678967,2.599251,0.053995,1.863826,1.595664,0.000440,28.634041
1403637131088318976.000000,0.000000,0.000000,19.658747,4.620907,0.057717,2.455842,2.894797,0.288827,31.576823
1403637131138319104.000000,0.000000,0.000000,19.894316,2.409414,0.053378,3.338639,3.136331,0.000628,27.986657
1403637131188318976.000000,0.000000,0.000000,18.483341,2.272589,0.056448,3.494445,2.815021,0.000557,26.933612
1403637131238319104.000000,0.000000,0.000000,17.233728,2.425973,0.053955,1.691522,1.609685,0.000480,25.587276
1403637131288318976.000000,0.000000,0.000000,17.603853,2.409902,0.051128,1.714767,1.497036,0.000542,26.375397
1403637131338319104.000000,0.000000,0.000000,17.682260,5.482511,0.053248,3.681683,2.613576,0.290376,31.650660
1403637131388318976.000000,0.000000,0.000000,17.305233,5.140090,0.085169,4.596436,3.996385,0.000742,32.318293
1403637131438319104.000000,0.000000,0.000000,17.178061,5.419402,0.072884,1.819555,1.321989,0.000457,32.543290
1403637131488318976.000000,0.000000,0.000000,17.355624,3.007313,0.053980,1.612491,1.545233,0.000528,26.564574
1403637131538319104.000000,0.000000,0.000000,18.217801,4.015043,0.042714,1.982289,1.604571,0.000515,28.117688
1403637131588318976.000000,0.000000,0.000000,16.738693,6.145643,0.076844,1.860994,1.493268,0.153004,33.045190
1403637131638319104.000000,0.000000,0.000000,16.634357,6.270539,0.088389,3.663985,3.614242,0.001021,35.001965
1403637131688318976.000000,0.000000,0.000000,19.056552,6.005736,0.045353,1.708914,1.803798,0.000467,31.486061
1403637131738319104.000000,0.000000,0.000000,17.904866,2.515656,0.045008,1.921148,1.682469,0.000460,26.424196
1403637131788318976.000000,0.000000,0.000000,18.024250,2.521226,0.043047,1.734630,1.666559,0.000553,27.084340
1403637131838319104.000000,0.000000,0.000000,18.128548,2.293978,0.053184,1.735505,1.591527,0.168520,26.475514
1403637131888318976.000000,0.000000,0.000000,18.162423,5.084052,0.088316,1.582652,1.367411,0.000435,33.799317
1403637131938319104.000000,0.000000,0.000000,16.821036,2.575774,0.044495,1.859014,1.729119,0.000496,25.510120
1403637131988318976.000000,0.000000,0.000000,19.075019,2.425111,0.053952,1.853803,1.915495,0.000433,28.141232
1403637132038319104.000000,0.000000,0.000000,16.944811,2.381407,0.079715,2.180160,1.624138,0.000463,25.443413
1403637132088318976.000000,0.000000,0.000000,18.249157,2.470278,0.045087,1.704835,1.383638,0.159076,27.577338
1403637132138319104.000000,0.000000,0.000000,17.199306,2.470787,0.048683,1.800993,1.768047,0.000420,25.336323
1403637132188318976.000000,0.000000,0.000000,15.671260,2.348392,0.054317,1.976684,2.026680,0.000469,23.846563
1403637132238319104.000000,0.000000,0.000000,18.536871,2.080177,0.096315,2.141340,1.665618,0.000573,27.293243
1403637132288318976.000000,0.000000,0.000000,17.814253,2.409767,0.073028,1.751620,1.652122,0.000563,26.787409
1403637132338319104.000000,0.000000,0.000000,18.841087,2.281650,0.045173,1.794109,1.827661,0.171796,27.681823
1403637132388318976.000000,0.000000,0.000000,16.644369,2.457952,0.044572,3.588397,4.014281,0.000792,25.668427
1403637132438319104.000000,0.000000,0.000000,17.478991,4.556522,0.055781,2.299993,1.670610,0.000576,28.791765
1403637132488318976.000000,0.000000,0.000000,18.797895,3.181551,0.055874,1.833999,1.509214,0.000475,28.550593
1403637132538319104.000000,0.000000,0.000000,17.497193,2.468675,0.045976,1.604727,1.385167,0.000461,26.406659
1403637132588318976.000000,0.000000,0.000000,16.969869,4.497644,0.055900,1.523744,1.863092,0.167564,28.709689
1403637132638319104.000000,0.000000,0.000000,17.777333,5.386178,0.088909,3.858694,3.133147,0.000725,34.250249
1403637132688318976.000000,0.000000,0.000000,18.574819,6.069787,0.095659,1.582567,1.955673,0.000483,31.978689
1403637132738319104.000000,0.000000,0.000000,17.986767,2.519538,0.053611,2.204451,2.574195,0.000605,27.299711
1403637132788318976.000000,0.000000,0.000000,16.842297,2.405893,0.050997,1.543836,1.496637,0.000707,24.682855
1403637132838319104.000000,0.000000,0.000000,20.384635,2.530030,0.046314,3.715869,4.045116,0.368227,29.339070
1403637132888318976.000000,0.000000,0.000000,18.286914,5.798476,0.103673,0.051542,6.924854,0.111611,34.512942
1403637132938319104.000000,0.000000,0.000000,16.833930,3.528351,0.044642,0.018924,5.985249,0.053951,26.801337
1403637132988318976.000000,0.000000,0.000000,17.138340,2.780802,0.075510,0.043132,8.298923,0.055759,28.225881
1403637133038319104.000000,0.000000,0.000000,17.514013,2.304422,0.063562,0.021620,3.832910,0.250555,25.847810
1403637133088318976.000000,0.000000,0.000000,18.029902,6.324311,0.083022,5.403593,1.809090,0.000628,35.466975
1403637133138319104.000000,0.000000,0.000000,17.890773,6.004767,0.106421,1.415688,2.329841,0.000746,34.435685
1403637133188318976.000000,0.000000,0.000000,17.832404,5.494603,0.040752,1.893217,1.517587,0.000558,32.821466
1403637133238319104.000000,0.000000,0.000000,17.368682,6.269322,0.112101,3.028859,3.245415,0.001297,35.268544
1403637133288318976.000000,0.000000,0.000000,17.614270,4.149907,0.068430,1.078021,1.578293,0.000504,28.718898
1403637133338319104.000000,0.000000,0.000000,17.199008,6.624549,0.054173,2.491878,3.432328,0.488100,26.956499
1403637133388318976.000000,0.000000,0.000000,17.443652,2.522462,0.058391,1.514027,1.964410,0.000460,34.462318
1403637133438319104.000000,0.000000,0.000000,17.395430,4.614936,0.039148,3.006854,3.847236,0.000672,25.771064
1403637133488318976.000000,0.000000,0.000000,18.083285,2.494892,0.181862,3.288134,4.006613,0.000843,30.709475
1403637133538319104.000000,0.000000,0.000000,16.737211,5.482955,0.089358,3.236040,3.896051,0.000850,29.363688
1403637133588318976.000000,0.000000,0.000000,17.736004,5.593263,0.145940,1.149864,1.908666,0.000503,29.575529
1403637133638319104.000000,0.000000,0.000000,17.867485,3.691219,0.045986,1.114101,1.654219,0.381707,31.412144
1403637133688318976.000000,0.000000,0.000000,17.951300,4.976070,0.069685,2.234021,2.306924,0.000530,28.442603
1403637133738319104.000000,0.000000,0.000000,17.412093,6.882451,0.048706,1.675801,2.297248,0.000554,34.188293
1403637133788318976.000000,0.000000,0.000000,17.733522,3.041961,0.093795,1.500939,2.429707,0.000486,27.679345
1403637133838319104.000000,0.000000,0.000000,17.124292,7.583392,0.099420,1.460873,2.412586,0.000555,35.106341
1403637133888318976.000000,0.000000,0.000000,17.280325,8.542516,0.097515,1.237510,2.419077,0.000577,36.481245
1403637133938319104.000000,0.000000,0.000000,16.641264,7.829277,0.060094,1.318404,2.445190,0.516410,34.514136
1403637133988318976.000000,0.000000,0.000000,17.641422,4.559253,0.056590,4.526332,5.271563,0.000660,28.624228
1403637134038319104.000000,0.000000,0.000000,19.795917,3.845823,0.040105,2.155256,3.364777,0.000440,29.440026
1403637134088318976.000000,0.000000,0.000000,16.531197,3.781004,0.049354,2.197227,3.463089,0.000531,28.251943
