#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
5.111318,0.011188,0.108720,0.006051,0.006051,5.241704
8.084826,0.080525,0.663256,0.002697,0.002697,8.833747
7.019179,0.108108,1.465619,0.199229,0.199229,15.804204
8.429542,0.143893,2.314088,0.234133,0.234133,20.074924
8.927762,0.146057,3.141614,0.406314,0.406314,27.724322
8.969904,0.138953,14.346485,0.605145,0.605145,48.279572
6.752096,0.123669,9.102085,0.453294,0.453294,37.573573
9.715195,0.283717,9.281684,0.583679,0.583679,42.154536
10.203161,0.288667,21.316221,0.657477,0.657477,69.257597
10.306876,0.219432,24.308267,73.196871,73.196871,146.734314
10.174509,0.215872,26.081527,0.575005,0.575005,83.805223
6.567602,0.088291,10.521853,0.568663,0.568663,49.700083
9.321495,0.101674,11.503972,0.850497,0.850497,62.890473
11.485518,0.168006,20.387457,0.896850,0.896850,75.046249
8.092537,0.078445,11.894240,1.028682,1.028682,66.947551
9.147284,0.113659,13.245138,1.097177,1.097177,87.516898
7.001082,0.079220,13.118056,1.231730,1.231730,90.792092
11.427981,0.110071,23.821719,1.133594,1.133594,95.205201
8.804118,0.066292,21.394962,1.404305,1.404305,94.964243
8.100757,0.070369,14.939410,1.658612,1.658612,87.825167
8.595014,0.073577,18.000090,2.210188,2.210188,96.743396
8.513116,0.071731,15.983196,2.505808,2.505808,103.163575
8.035529,0.058346,20.708104,2.057989,2.057989,118.777750
11.959736,0.080663,22.658469,2.240673,2.240673,120.312837
10.182618,0.082579,21.899747,2.320633,2.320633,121.401592
10.892834,0.062462,19.591127,2.562563,2.562563,109.448579
7.561403,0.059092,21.159692,2.565117,2.565117,108.228846
12.738414,0.119976,24.009076,2.364896,2.364896,123.217150
7.791853,0.124280,19.159483,2.399030,2.399030,104.520841
7.615284,0.098428,19.580295,2.226851,2.226851,106.073279
6.748004,0.092664,20.329283,2.220967,2.220967,104.287656
9.560845,0.110119,18.248818,2.073083,2.073083,293.527895
10.224027,0.126794,22.066354,2.242314,2.242314,126.365448
8.701660,0.117294,20.784632,2.187820,2.187820,104.822269
17.886523,0.309723,31.725739,2.771085,2.771085,138.406518
11.890555,0.168076,25.594918,1.999617,1.999617,120.246514
17.117225,0.267648,44.221335,2.528428,2.528428,176.843178
11.778038,0.148002,24.054302,1.983950,1.983950,118.262820
11.730214,0.107978,26.617839,1.743161,1.743161,129.824615
10.379339,0.109507,20.106496,2.898089,2.898089,126.638739
8.656804,0.096118,20.694149,2.195732,2.195732,120.275276
17.678391,0.133076,27.205479,3.610441,3.610441,145.133500
9.482142,0.075184,22.541560,2.275997,2.275997,124.621055
8.434881,0.077601,22.715354,3.007187,3.007187,132.570104
8.418388,0.081275,22.508756,2.709664,2.709664,138.215045
9.719859,0.101155,20.131239,4.994284,4.994284,140.792350
8.717650,0.118779,18.000712,4.672605,4.672605,143.648727
7.526997,0.110876,15.474083,2.739703,2.739703,131.598594
7.787756,0.099388,15.846173,4.197590,4.197590,131.825079
6.745812,0.072062,12.664494,3.544091,3.544091,110.904964
10.036469,0.129742,20.092639,3.065881,3.065881,136.499512
8.150637,0.041393,14.052665,4.476824,4.476824,115.690385
5.278022,0.018643,0.197497,0.001700,0.001700,5.496752
7.642412,0.066692,0.702209,0.002623,0.002623,8.415923
8.281489,0.092038,1.030398,0.221000,0.221000,17.208095
8.407493,0.088291,1.359478,0.303660,0.303660,16.839365
6.624100,0.016415,0.713776,0.370817,0.370817,11.872732
8.879179,0.027176,2.171508,0.671236,0.671236,20.975727
7.811324,0.028117,1.821641,0.577036,0.577036,17.934585
8.953737,0.026123,3.010116,0.454726,0.454726,18.143227
9.665969,0.028313,3.169476,0.935713,0.935713,38.608280
9.507469,0.021153,3.569561,40.706506,40.706506,67.476519
5.711547,0.012473,1.850179,0.605799,0.605799,19.324549
10.376741,0.011346,4.601043,1.131565,1.131565,40.972666
6.389490,0.003814,2.110409,0.724068,0.724068,23.490235
10.701504,0.010630,4.836348,0.481195,0.481195,35.257723
11.694764,0.008399,5.501301,1.103321,1.103321,36.811254
11.090946,0.007937,6.969424,1.042385,1.042385,56.932609
7.977384,0.034873,0.376759,0.003500,0.003500,8.394166
8.011197,0.096125,1.271876,0.002676,0.002676,9.383642
8.780498,0.229985,7.433383,0.482327,0.482327,33.564881
9.433114,0.321647,5.805044,0.827295,0.827295,40.940578
7.393632,0.191056,5.401607,0.661533,0.661533,28.650065
10.896527,0.326406,10.200403,0.781552,0.781552,46.302697
11.469498,0.264135,12.477980,0.934947,0.934947,51.728318
11.730749,0.256010,10.991433,0.930233,0.930233,50.057497
11.847341,0.181436,14.662500,0.729050,0.729050,63.381595
8.943267,0.144244,11.412463,90.944719,90.944719,147.452639
7.346353,0.114884,11.709465,0.779939,0.779939,54.471155
12.798403,0.330013,30.385960,1.149433,1.149433,93.590650
