#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403638127295097088.000000,0.000000,0.000000,15.201376,2.409825,0.002380,5.522942,0.843729,0.001060,19.810129
1403638127345096960.000000,0.000000,0.000000,15.745771,2.417739,0.057669,2.055616,2.201375,0.000668,21.247068
1403638127395097088.000000,0.000000,0.000000,15.022610,2.118104,0.048856,1.776316,1.906020,0.000753,19.547590
1403638127445096960.000000,0.000000,0.000000,13.996979,2.357881,0.050707,1.816768,1.876917,0.000660,19.465857
1403638127495097088.000000,0.000000,0.000000,16.395607,2.182713,0.047844,0.808132,0.864093,0.172513,21.641092
1403638127545096960.000000,0.000000,0.000000,14.087170,2.341117,0.043049,2.405909,2.181954,0.000739,19.683900
1403638127595097088.000000,0.000000,0.000000,14.696041,2.155149,0.049754,0.965856,0.987190,0.000477,20.076383
1403638127645096960.000000,0.000000,0.000000,15.553446,2.285083,0.043552,0.855283,1.152644,0.000434,20.378856
1403638127695097088.000000,0.000000,0.000000,14.805821,5.731472,0.100548,0.722993,1.037497,0.000385,23.932118
1403638127745096960.000000,0.000000,0.000000,15.306447,5.696467,0.110975,0.793640,1.098751,0.297811,24.507773
1403638127795097088.000000,0.000000,0.000000,15.458407,5.424075,0.099045,3.498838,3.595726,0.000632,24.292145
1403638127845096960.000000,0.000000,0.000000,16.033279,5.660024,0.102551,1.173162,1.509477,0.000585,25.396331
1403638127895097088.000000,0.000000,0.000000,14.963375,5.681900,0.094835,1.295587,1.568743,0.000583,23.760729
1403638127945096960.000000,0.000000,0.000000,15.899978,5.584872,0.102398,1.124811,1.397460,0.000462,25.011323
1403638127995097088.000000,0.000000,0.000000,15.229629,5.834263,0.097871,1.161531,1.548056,0.255771,24.852172
1403638128045096960.000000,0.000000,0.000000,15.753697,2.743607,0.043768,3.637300,2.548833,0.000760,21.155261
1403638128095097088.000000,0.000000,0.000000,14.847996,5.624072,0.042148,1.282866,1.635787,0.000357,23.514300
1403638128145096960.000000,0.000000,0.000000,14.716377,6.334906,0.113831,1.293794,1.546448,0.000388,24.677773
