#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.008852,3,1,0,559
0.001892,4,1,0,1043
0.074688,5,1,0,1381
0.192184,6,1,0,1789
0.557020,7,1,0,2343
0.557472,8,1,0,2530
0.768801,9,1,0,2749
0.600879,10,1,0,3278
0.641419,0,0,0,0
71.784957,0,0,0,0
0.537623,0,0,0,0
0.604511,0,0,0,0
0.805420,0,0,0,0
0.850279,0,0,0,0
0.849284,0,0,0,0
1.046992,0,0,0,0
0.899372,0,0,0,0
1.084793,0,0,0,0
1.090629,0,0,0,0
1.699066,0,0,0,0
1.589609,0,0,0,0
2.189209,0,0,0,0
2.923502,0,0,0,0
2.137898,0,0,0,0
2.476259,0,0,0,0
2.165566,0,0,0,0
2.139951,0,0,0,0
2.038261,0,0,0,0
2.292117,0,0,0,0
2.224648,0,0,0,0
1.982812,0,0,0,0
2.690771,0,0,0,0
2.119231,0,0,0,0
1.919188,0,0,0,0
2.177722,0,0,0,0
2.382996,0,0,0,0
2.137474,0,0,0,0
2.081477,0,0,0,0
2.837265,0,0,0,0
1.446513,0,0,0,0
1.605018,0,0,0,0
1.915782,0,0,0,0
3.386894,0,0,0,0
2.370570,0,0,0,0
2.494192,0,0,0,0
2.637027,0,0,0,0
1.783694,0,0,0,0
2.595302,0,0,0,0
2.307872,0,0,0,0
2.949425,3,1,0,467
1.177584,4,1,0,646
0.001623,5,1,0,806
0.003146,6,1,0,947
0.371542,7,1,0,1118
0.470307,8,1,0,1263
0.434261,9,1,0,1426
0.422508,10,1,0,1594
0.780768,0,0,0,0
1.071881,0,0,0,0
0.659761,0,0,0,0
38.547176,0,0,0,0
1.329821,0,0,0,0
0.806818,3,1,0,644
1.027062,4,1,0,917
1.322287,5,1,0,1392
0.965024,6,1,0,2081
0.002407,7,1,0,2613
0.002613,8,1,0,3080
0.488181,9,1,0,3603
0.844773,10,1,0,4152
0.494599,0,0,0,0
0.744301,0,0,0,0
0.809135,0,0,0,0
0.943789,0,0,0,0
0.648739,0,0,0,0
66.553228,0,0,0,0
0.810587,0,0,0,0
1.027298,0,0,0,0
1.067692,0,0,0,0
1.235409,0,0,0,0
1.268524,0,0,0,0
1.610939,0,0,0,0
2.111004,0,0,0,0
1.604838,0,0,0,0
1.943941,0,0,0,0
1.383756,0,0,0,0
1.398438,0,0,0,0
2.262876,0,0,0,0
2.702700,0,0,0,0
2.483748,0,0,0,0
2.437865,0,0,0,0
1.937999,0,0,0,0
1.800918,0,0,0,0
1.948543,0,0,0,0
2.027669,0,0,0,0
1.954403,0,0,0,0
1.889532,0,0,0,0
2.098672,0,0,0,0
2.165683,0,0,0,0
3.433373,0,0,0,0
2.122365,0,0,0,0
2.700807,0,0,0,0
2.403273,0,0,0,0
2.104432,0,0,0,0
2.043229,0,0,0,0
2.104859,0,0,0,0
2.138719,0,0,0,0
3.499777,0,0,0,0
2.831882,0,0,0,0
4.412786,0,0,0,0
3.023211,0,0,0,0
2.699483,0,0,0,0
2.428809,0,0,0,0
2.445158,0,0,0,0
2.696212,0,0,0,0
2.558527,0,0,0,0
3.650762,0,0,0,0
2.682953,0,0,0,0
3.079558,0,0,0,0
4.308270,0,0,0,0
3.037689,0,0,0,0
4.214880,0,0,0,0
4.303754,0,0,0,0
3.660556,0,0,0,0
3.775515,0,0,0,0
3.861482,0,0,0,0
5.339413,0,0,0,0
4.114364,0,0,0,0
4.543167,0,0,0,0
5.021149,0,0,0,0
5.738060,0,0,0,0
5.175575,0,0,0,0
6.321903,0,0,0,0
4.956106,0,0,0,0
5.552807,0,0,0,0
5.643586,0,0,0,0
6.605421,0,0,0,0
7.133108,0,0,0,0
8.073817,0,0,0,0
6.227544,0,0,0,0
6.459696,0,0,0,0
9.067028,0,0,0,0
8.184543,0,0,0,0
6.989181,0,0,0,0
7.581642,0,0,0,0
8.344026,0,0,0,0
7.318362,0,0,0,0
6.366641,0,0,0,0
5.419780,0,0,0,0
5.773062,0,0,0,0
5.409478,0,0,0,0
5.772865,0,0,0,0
6.757527,0,0,0,0
5.262263,0,0,0,0
5.332416,0,0,0,0
4.589571,0,0,0,0
3.165365,0,0,0,0
3.954091,0,0,0,0
3.844922,0,0,0,0
2.982102,0,0,0,0
3.938375,0,0,0,0
3.957465,0,0,0,0
3.125998,0,0,0,0
4.069684,0,0,0,0
3.663927,0,0,0,0
3.169207,0,0,0,0
4.343920,0,0,0,0
4.451290,0,0,0,0
2.979483,0,0,0,0
3.010469,0,0,0,0
2.858879,0,0,0,0
2.152061,0,0,0,0
3.350308,0,0,0,0
2.402086,0,0,0,0
4.751983,0,0,0,0
3.379357,0,0,0,0
3.179848,0,0,0,0
3.224578,0,0,0,0
3.992899,0,0,0,0
4.471234,0,0,0,0
3.890081,0,0,0,0
4.550373,0,0,0,0
3.882562,0,0,0,0
4.209995,0,0,0,0
5.183376,0,0,0,0
4.000128,0,0,0,0
3.904030,0,0,0,0
3.917616,0,0,0,0
3.462057,0,0,0,0
2.421574,0,0,0,0
3.697685,0,0,0,0
3.320577,0,0,0,0
2.719819,0,0,0,0
4.546709,0,0,0,0
3.455203,0,0,0,0
2.966249,0,0,0,0
5.693023,0,0,0,0
3.001842,0,0,0,0
3.206179,0,0,0,0
3.802644,0,0,0,0
3.712257,0,0,0,0
3.184686,0,0,0,0
3.599417,0,0,0,0
1.883179,0,0,0,0
2.547494,0,0,0,0
2.352716,0,0,0,0
5.179528,0,0,0,0
3.345821,0,0,0,0
2.952040,0,0,0,0
2.830856,0,0,0,0
5.084024,0,0,0,0
4.895183,0,0,0,0
3.419525,0,0,0,0
3.374474,0,0,0,0
4.206844,0,0,0,0
4.250925,0,0,0,0
6.288515,0,0,0,0
5.058085,0,0,0,0
4.243795,0,0,0,0
5.502176,0,0,0,0
4.029921,0,0,0,0
5.666124,0,0,0,0
6.008286,0,0,0,0
5.299986,0,0,0,0
6.098797,0,0,0,0
4.408264,0,0,0,0
6.194052,0,0,0,0
6.001247,0,0,0,0
4.024362,0,0,0,0
5.525010,0,0,0,0
4.365034,0,0,0,0
5.237338,0,0,0,0
4.910858,0,0,0,0
4.206813,0,0,0,0
5.850895,0,0,0,0
7.484930,0,0,0,0
5.324079,0,0,0,0
6.558845,0,0,0,0
4.204729,0,0,0,0
6.786457,0,0,0,0
5.877757,0,0,0,0
5.882665,0,0,0,0
5.380949,0,0,0,0
7.307078,0,0,0,0
7.952721,0,0,0,0
4.864956,0,0,0,0
6.068277,0,0,0,0
5.256564,0,0,0,0
6.619844,0,0,0,0
5.285485,0,0,0,0
