#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.006590,3,1,0,1958
0.002817,4,1,0,2359
0.380994,5,1,0,2963
0.542032,6,1,0,3397
1.059836,7,1,0,4107
1.163632,8,1,0,4447
1.187623,9,1,0,5061
1.183956,10,1,0,5674
1.469882,0,0,0,0
93.256847,0,0,0,0
1.919681,0,0,0,0
1.945328,0,0,0,0
2.387149,0,0,0,0
2.680484,0,0,0,0
2.294244,0,0,0,0
2.655024,0,0,0,0
2.956444,0,0,0,0
2.817121,0,0,0,0
3.027019,0,0,0,0
3.230571,0,0,0,0
3.735023,0,0,0,0
5.262598,0,0,0,0
4.516744,0,0,0,0
4.500011,0,0,0,0
4.360525,0,0,0,0
3.868141,0,0,0,0
3.842799,0,0,0,0
5.040635,0,0,0,0
3.275833,0,0,0,0
3.335369,0,0,0,0
3.389097,0,0,0,0
3.058447,0,0,0,0
5.523045,0,0,0,0
3.988209,0,0,0,0
4.810354,0,0,0,0
3.595298,0,0,0,0
5.969910,0,0,0,0
7.192359,0,0,0,0
4.711252,0,0,0,0
5.229353,0,0,0,0
7.977878,0,0,0,0
5.800456,0,0,0,0
7.899512,0,0,0,0
6.107734,0,0,0,0
7.186179,0,0,0,0
6.859777,0,0,0,0
6.479853,0,0,0,0
7.343514,0,0,0,0
6.972866,0,0,0,0
8.256018,0,0,0,0
7.191906,0,0,0,0
9.294016,0,0,0,0
13.134522,0,0,0,0
8.614185,0,0,0,0
11.668871,0,0,0,0
8.395920,0,0,0,0
10.963738,0,0,0,0
7.848657,0,0,0,0
4.833853,0,0,0,0
2.974273,0,0,0,0
2.763932,0,0,0,0
2.479709,0,0,0,0
2.466474,0,0,0,0
1.902028,0,0,0,0
2.295849,0,0,0,0
1.601909,0,0,0,0
0.672239,0,0,0,0
0.664704,0,0,0,0
0.540719,0,0,0,0
0.331357,0,0,0,0
0.359719,0,0,0,0
0.499066,3,1,0,2004
0.423071,4,1,0,2222
0.002794,5,1,0,2304
0.001511,6,1,0,2345
0.385736,3,1,0,2244
0.685756,4,1,0,2117
0.962089,5,1,0,2728
0.501314,6,1,0,3459
0.002970,7,1,0,3987
0.003480,8,1,0,4624
0.430263,9,1,0,4957
0.680807,3,1,0,2455
1.255307,4,1,0,2773
1.152868,5,1,0,3137
1.719650,6,1,0,3512
1.324179,7,1,0,3908
1.343321,8,1,0,4386
0.002949,9,1,0,4774
0.001831,10,1,0,5128
0.365516,0,0,0,0
1.095966,0,0,0,0
1.273373,0,0,0,0
1.447898,0,0,0,0
1.485721,0,0,0,0
1.151580,0,0,0,0
