#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
5.955727,0.042535,0.347687,0.006231,0.006231,6.356358
9.176690,0.180080,3.458748,0.002880,0.002880,12.821275
9.690769,0.427908,6.826115,0.330553,0.330553,39.906992
9.546876,0.452554,9.964540,0.617675,0.617675,52.280975
10.695312,0.356916,9.956974,1.304089,1.304089,58.389947
12.008562,0.368915,13.679704,1.393789,1.393789,57.692192
7.444742,0.178342,8.835575,1.312497,1.312497,45.245967
9.610433,0.321723,21.044356,1.184682,1.184682,75.447474
10.892800,0.278246,16.027194,1.381002,1.381002,70.083641
8.733121,0.261598,14.577391,92.776908,92.776908,168.409790
9.784953,0.629719,20.405620,1.676593,1.676593,74.900164
8.574461,0.159404,13.101898,1.967708,1.967708,64.758595
12.851884,0.364139,31.667001,2.566237,2.566237,104.909454
12.957976,0.425584,26.534492,2.332847,2.332847,100.532989
12.603199,0.439485,28.555499,2.888063,2.888063,115.997599
13.311865,0.491856,27.543161,2.943706,2.943706,125.680159
9.770958,0.249431,12.494068,3.243654,3.243654,84.439570
8.634754,0.295843,15.339861,2.914898,2.914898,96.666435
9.583643,0.294295,16.333937,3.219489,3.219489,185.392477
6.065089,0.148292,12.219132,3.469955,3.469955,83.334499
8.337898,0.204882,16.407918,3.861189,3.861189,104.679897
14.025246,0.351443,38.085517,5.317737,5.317737,147.238217
9.666390,0.310328,25.369360,4.414994,4.414994,121.878785
9.114123,0.167995,19.570836,4.540626,4.540626,123.081041
7.933807,0.229640,14.709481,3.973358,3.973358,106.153791
14.108675,0.384608,26.270921,4.204769,4.204769,128.947413
13.696493,0.322653,21.786125,4.676945,4.676945,121.505492
10.193310,0.263945,18.595823,2.815754,2.815754,121.875040
12.521366,0.337104,21.175479,3.048559,3.048559,128.466485
7.531691,0.247940,15.595100,3.173010,3.173010,117.417233
8.426572,0.291806,16.600195,3.224176,3.224176,130.480425
7.939831,0.191503,14.447601,3.797291,3.797291,137.670928
8.145164,0.379781,14.472683,3.388790,3.388790,131.387639
13.154511,0.397168,33.294325,3.922868,3.922868,163.933585
11.453581,0.249897,17.696414,5.437308,5.437308,139.307422
