#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403715273262142976.000000,0.000000,0.000000,16.059684,4.237854,0.002531,6.861559,4.311863,0.001322,22.462326
1403715273312143104.000000,0.000000,0.000000,16.319712,4.035817,0.065087,2.514023,3.236471,0.000567,22.981873
1403715273362142976.000000,0.000000,0.000000,15.616752,4.423028,0.050199,2.457339,3.426191,0.565708,22.939562
1403715273412143104.000000,0.000000,0.000000,15.404416,4.351887,0.042102,5.051346,4.440502,0.000569,22.863796
1403715273462142976.000000,0.000000,0.000000,15.492327,6.577840,0.051278,2.628118,5.059304,0.582973,24.655958
1403715273512143104.000000,0.000000,0.000000,16.592699,4.448732,0.039790,8.357493,11.795120,0.913751,24.375025
1403715273562142976.000000,0.000000,0.000000,15.316313,4.069022,0.049612,5.321303,5.978030,0.000920,21.813066
1403715273612143104.000000,0.000000,0.000000,16.615498,3.916932,0.047259,4.449630,6.430892,0.450020,23.629168
1403715273662142976.000000,0.000000,0.000000,15.197880,3.863347,0.050051,5.045457,5.781646,0.000533,21.729590
1403715273712143104.000000,0.000000,0.000000,15.117096,5.164056,0.049994,4.251178,6.355740,0.469268,24.184117
1403715273762142976.000000,0.000000,0.000000,15.187716,4.349502,0.040230,5.424956,6.264677,0.000600,22.107534
1403715273812143104.000000,0.000000,0.000000,16.416616,10.714495,0.102232,5.055467,13.534778,0.844969,30.481453
1403715273862142976.000000,0.000000,0.000000,15.770953,11.203077,0.089334,4.591247,6.579326,0.000529,30.472222
1403715273912143104.000000,0.000000,0.000000,16.728643,9.684783,0.046181,3.353459,7.235210,0.000595,28.937732
1403715273962142976.000000,0.000000,0.000000,16.710127,10.417255,0.090795,2.568791,6.156392,0.000484,30.350900
1403715274012143104.000000,0.000000,0.000000,15.751380,3.980966,0.048509,2.403576,6.081263,0.567231,22.241960
1403715274062142976.000000,0.000000,0.000000,14.863583,4.225702,0.052131,6.707163,11.506433,0.000602,21.476402
