#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403715523912143104.000000,0.000000,0.000000,15.807728,1.560771,0.002031,5.073993,0.419059,0.001180,19.650049
1403715523962142976.000000,0.000000,0.000000,17.169787,1.474976,0.065371,0.327732,0.374243,0.000446,22.200502
1403715524012143104.000000,0.000000,0.000000,15.311923,1.252093,0.050670,0.321325,0.308864,0.000340,19.072556
1403715524062142976.000000,0.000000,0.000000,14.966920,1.125753,0.060569,0.345513,0.375199,0.000465,18.510716
1403715524112143104.000000,0.000000,0.000000,15.060006,1.223282,0.043404,0.339915,0.355020,0.252879,19.295794
1403715524162142976.000000,0.000000,0.000000,16.685189,1.223536,0.036428,0.609405,0.885671,0.000567,20.622717
1403715524212143104.000000,0.000000,0.000000,16.158129,1.292504,0.043972,0.334794,0.620568,0.000436,20.896578
1403715524262142976.000000,0.000000,0.000000,15.328541,1.301542,0.044784,0.380924,0.603580,0.000363,19.616834
1403715524312143104.000000,0.000000,0.000000,16.451058,1.214933,0.044256,0.450115,0.617022,0.000413,21.134521
1403715524362142976.000000,0.000000,0.000000,15.510625,1.493999,0.059337,0.425867,0.547267,0.229382,20.246228
1403715524412143104.000000,0.000000,0.000000,15.841710,1.209578,0.052758,0.857372,0.806744,0.000412,20.137226
1403715524462142976.000000,0.000000,0.000000,16.260372,3.297919,0.098895,0.660815,1.347658,0.000553,22.607388
1403715524512143104.000000,0.000000,0.000000,16.899150,2.285003,0.044776,0.657027,0.962205,0.000435,22.450758
1403715524562142976.000000,0.000000,0.000000,16.432146,1.119130,0.041537,0.521164,0.998864,0.000437,20.477339
1403715524612143104.000000,0.000000,0.000000,15.759503,3.081360,0.099098,0.450327,0.864089,0.346685,22.752083
1403715524662142976.000000,0.000000,0.000000,16.430969,3.259297,0.099385,1.512620,1.750253,0.000611,23.098522
1403715524712143104.000000,0.000000,0.000000,16.518921,1.262852,0.045406,2.637320,3.673578,0.000725,21.200772
1403715524762142976.000000,0.000000,0.000000,16.042451,1.272132,0.053402,0.732919,1.366518,0.000423,20.215600
1403715524812143104.000000,0.000000,0.000000,16.558736,1.309917,0.044106,0.580335,1.290940,0.000429,20.669147
1403715524862142976.000000,0.000000,0.000000,14.425007,3.368938,0.102121,0.551350,1.312525,0.684642,20.760704
1403715524912143104.000000,0.000000,0.000000,16.279965,1.186822,0.041881,2.901972,2.689539,0.000590,20.616256
1403715524962142976.000000,0.000000,0.000000,16.751165,1.186487,0.043628,3.635097,5.575181,0.000840,20.641044
1403715525012143104.000000,0.000000,0.000000,15.713224,3.194528,0.098905,3.198755,3.276410,0.000482,22.766216
1403715525062142976.000000,0.000000,0.000000,16.028352,1.397272,0.035550,2.310430,4.762325,0.000610,20.776570
1403715525112143104.000000,0.000000,0.000000,16.323385,1.182517,0.046382,2.941188,5.875301,0.913753,20.630626
1403715525162142976.000000,0.000000,0.000000,17.016273,1.180796,0.034777,6.438120,6.879558,0.000990,21.228247
1403715525212143104.000000,0.000000,0.000000,16.318641,1.260288,0.037982,2.758960,6.601343,0.000518,20.600008
1403715525262142976.000000,0.000000,0.000000,15.515115,2.326404,0.045078,2.230660,4.411319,0.000492,20.801264
1403715525312143104.000000,0.000000,0.000000,16.489143,1.284421,0.044831,2.736179,4.562541,0.000572,20.861621
1403715525362142976.000000,0.000000,0.000000,15.718307,1.206499,0.044445,2.145960,4.921745,0.611992,19.812059
1403715525412143104.000000,0.000000,0.000000,16.905224,1.195003,0.035621,6.367180,7.435185,0.000516,21.218565
1403715525462142976.000000,0.000000,0.000000,15.350418,1.352775,0.051584,4.288663,7.635948,0.000572,20.026577
1403715525512143104.000000,0.000000,0.000000,15.754857,1.187625,0.031599,3.590553,6.217853,0.001019,20.171854
1403715525562142976.000000,0.000000,0.000000,16.260466,1.252575,0.051861,3.229745,6.371270,0.000994,20.038695
1403715525612143104.000000,0.000000,0.000000,15.977222,1.470230,0.052058,2.649762,4.922949,0.601145,20.701305
1403715525662142976.000000,0.000000,0.000000,16.302206,3.462672,0.103091,5.229699,6.662781,0.000577,23.571704
1403715525712143104.000000,0.000000,0.000000,15.439958,1.176543,0.047235,3.999084,6.615400,0.000421,19.228438
1403715525762142976.000000,0.000000,0.000000,15.908571,2.982859,0.084488,4.353591,7.024208,0.000509,22.490775
