#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
5.286013,0.013020,0.061242,0.006654,0.006654,5.371562
8.106210,0.047835,0.455408,0.002876,0.002876,8.615213
5.252413,0.039405,0.471292,0.058175,0.058175,7.704069
5.613157,0.068018,2.815076,0.117958,0.117958,12.107997
8.851618,0.234619,8.655000,0.508725,0.508725,32.533506
9.475852,0.401515,13.315437,0.416671,0.416671,58.750719
6.972010,0.192784,6.978774,0.254432,0.254432,33.875795
5.114875,0.212731,10.890952,0.789768,0.789768,39.918370
10.300371,0.497657,21.017785,0.762805,0.762805,68.297408
6.924073,0.244095,10.497208,38.649981,38.649981,83.031327
6.628759,0.197732,13.365361,0.921774,0.921774,55.197145
10.479418,0.472421,27.364112,1.638006,1.638006,81.230867
6.877211,0.207172,12.742405,1.470587,1.470587,67.060722
6.526037,0.200360,19.838738,2.015191,2.015191,76.846171
8.420553,0.244627,21.122321,1.995295,1.995295,82.479208
6.318236,0.191338,14.834072,2.194864,2.194864,73.196818
7.185497,0.264572,21.369867,2.811900,2.811900,86.695549
6.127997,0.173633,20.317110,3.922702,3.922702,92.219564
6.505969,0.162111,16.064359,3.517273,3.517273,85.839197
6.854093,0.174018,17.671117,4.140212,4.140212,97.292470
6.339280,0.138971,17.931355,3.715762,3.715762,100.673720
6.423211,0.131722,15.945021,4.488003,4.488003,102.061909
6.042101,0.104074,15.942176,4.592225,4.592225,100.042500
6.129378,0.123579,15.299528,4.497765,4.497765,107.665541
6.711616,0.136992,15.607919,4.203449,4.203449,102.962934
5.873099,0.119239,14.090609,4.455252,4.455252,95.496875
5.319281,0.125009,14.232540,5.610788,5.610788,96.719042
6.295550,0.125193,14.945632,4.495191,4.495191,95.367400
5.605644,0.129059,13.684458,4.378391,4.378391,90.781605
5.336639,0.149987,13.217486,4.032388,4.032388,87.735590
6.843716,0.126244,1.287244,0.003027,0.003027,8.261881
5.338823,0.313882,2.135556,0.001965,0.001965,7.791344
9.147645,0.637750,7.997596,0.569496,0.569496,43.253136
9.095500,0.674273,11.285055,0.819863,0.819863,69.494274
7.083637,0.337429,6.303868,0.884459,0.884459,35.350961
9.713301,0.621290,16.186263,1.166675,1.166675,68.077402
9.977209,0.652716,14.462210,1.010494,1.010494,68.438192
8.261628,0.385521,7.023047,1.141646,1.141646,71.036246
7.892035,0.374762,7.249561,1.193929,1.193929,54.068739
9.233420,0.683169,16.246953,50.168293,50.168293,125.136642
7.474084,0.284188,7.334651,1.174134,1.174134,89.232394
7.075085,0.410440,9.701637,1.265449,1.265449,68.579705
6.999793,0.317315,10.848616,1.410587,1.410587,75.432225
5.947452,0.243667,10.162314,1.498481,1.498481,74.267700
10.734246,0.501290,19.783964,1.773557,1.773557,87.184449
6.641449,0.240090,10.776029,1.961768,1.961768,72.573325
6.185372,0.184550,11.193386,3.338313,3.338313,80.293499
5.053320,0.206178,10.688051,2.183350,2.183350,77.253117
7.330254,0.302156,16.340361,2.652285,2.652285,100.877058
9.099181,0.319523,16.619180,3.683014,3.683014,105.224287
9.354491,0.359739,22.036118,2.704309,2.704309,119.692238
7.618721,0.370995,18.507672,3.683604,3.683604,120.372949
7.237038,0.311927,15.779194,3.856769,3.856769,119.433065
7.493188,0.322340,17.162998,3.606436,3.606436,104.616752
5.127628,0.223709,13.149357,3.780094,3.780094,98.281084
8.692718,0.393214,23.294701,3.211572,3.211572,122.851324
7.289646,0.334484,19.356247,3.662805,3.662805,107.441485
5.213674,0.194272,12.208231,4.053859,4.053859,97.533072
5.953498,0.201613,12.477387,4.534742,4.534742,185.518457
5.773224,0.237173,16.507933,3.729090,3.729090,96.127049
9.548187,0.278010,26.111640,4.226745,4.226745,122.432314
10.164723,0.236147,15.013130,2.941683,2.941683,99.981884
12.114518,0.462297,31.310223,2.947010,2.947010,127.038693
7.673057,0.227820,16.006278,3.238296,3.238296,110.452658
12.186276,0.596521,30.401540,5.412720,5.412720,137.227977
12.606238,0.554545,13.140420,3.555827,3.555827,99.703001
11.418822,0.543679,32.973852,4.857260,4.857260,142.921241
9.288457,0.413139,22.053916,4.544751,4.544751,128.472791
9.977611,0.276800,21.757517,3.451183,3.451183,108.276465
5.725036,0.214147,11.295857,3.468810,3.468810,104.659233
11.785055,0.518999,29.938303,3.147596,3.147596,131.843487
6.528125,0.180095,13.600982,4.492364,4.492364,126.445763
5.941143,0.194358,11.001304,2.708336,2.708336,109.918642
5.833156,0.194887,11.628212,3.530065,3.530065,111.323401
5.931133,0.206373,11.248166,2.516180,2.516180,121.943232
6.650150,0.260220,14.252415,3.012511,3.012511,109.245843
9.905513,0.556775,28.892227,2.811782,2.811782,139.682940
6.148544,0.242718,13.380384,2.016050,2.016050,118.373927
7.547724,0.289362,18.884514,4.185857,4.185857,119.133778
12.161530,0.645880,20.256311,3.082815,3.082815,115.345204
7.864233,0.285029,15.937608,4.313223,4.313223,122.594881
11.883499,0.479514,26.773545,3.517341,3.517341,124.447288
6.040374,0.257842,11.855228,2.928753,2.928753,102.569859
5.653239,0.283296,16.362835,3.469652,3.469652,111.955750
8.051948,0.250299,12.957502,3.403494,3.403494,120.231285
10.447385,0.619484,24.790869,2.689961,2.689961,125.376630
6.944896,0.307432,14.720014,4.035081,4.035081,129.277225
6.637388,0.294834,14.567685,3.732002,3.732002,115.450423
5.960592,0.219896,14.455325,4.416418,4.416418,118.491890
6.512287,0.182210,12.497609,3.037544,3.037544,107.734349
5.341212,0.139760,14.424122,4.135152,4.135152,112.853713
6.039351,0.169748,14.310952,4.285352,4.285352,123.864837
6.661245,0.195354,14.514504,3.822714,3.822714,129.232678
6.790090,0.233846,16.946543,3.203785,3.203785,121.519262
8.194204,0.221467,16.925309,3.990012,3.990012,125.554056
8.330759,0.237230,16.306759,5.441137,5.441137,127.337109
6.922163,0.199085,12.922241,4.652489,4.652489,129.669136
6.364665,0.179092,15.374977,6.253231,6.253231,126.473019
6.251783,0.178245,13.716252,5.527520,5.527520,111.970646
11.067144,0.234839,19.263494,6.123556,6.123556,120.528921
10.518947,0.301965,21.162415,6.074378,6.074378,127.731439
8.771888,0.355835,18.685907,6.856273,6.856273,131.388126
6.324533,0.205316,17.290236,6.803387,6.803387,132.702695
6.101108,0.240749,18.166885,5.904677,5.904677,125.542629
6.591923,0.241376,18.225919,4.970498,4.970498,128.550612
5.113334,0.237098,19.671341,4.549589,4.549589,125.890473
5.918944,0.279692,16.657797,3.795344,3.795344,127.419780
5.353383,0.315727,17.536668,5.089195,5.089195,122.951371
6.425196,0.283501,18.175978,3.865414,3.865414,485.987091
5.612732,0.293278,13.433258,2.435443,2.435443,116.139776
10.196320,0.462287,18.452195,4.381687,4.381687,136.337643
10.779075,0.586705,33.377392,4.035607,4.035607,165.493229
8.593572,0.601723,23.810676,2.653572,2.653572,144.670230
5.403700,0.231078,13.679861,4.361634,4.361634,132.758290
6.470282,0.380181,13.720561,4.133543,4.133543,130.056544
11.330698,0.560671,39.512885,3.379978,3.379978,173.547320
7.665008,0.337046,16.881934,3.639439,3.639439,130.821202
10.933685,0.470065,30.876311,7.267834,7.267834,155.088587
8.686914,0.312094,18.928532,7.276856,7.276856,149.783770
10.362381,0.576998,40.068675,7.745402,7.745402,160.176559
9.638913,0.614182,29.950670,10.697129,10.697129,152.367286
9.201918,0.522505,35.139867,8.177788,8.177788,161.436125
7.024324,0.325980,22.444884,8.331936,8.331936,150.269373
6.789509,0.289043,21.990728,7.821056,7.821056,142.194649
6.595808,0.368390,20.576533,6.551467,6.551467,141.617978
6.310299,0.285565,19.764311,6.007836,6.007836,136.528943
6.595129,0.241216,16.134604,5.123299,5.123299,147.821997
7.856834,0.640018,17.603227,4.245877,4.245877,134.603142
9.912310,0.680189,28.706464,5.129822,5.129822,187.289608
9.038631,0.746238,21.525601,1.453187,1.453187,180.471596
8.662849,0.565870,10.859371,2.860170,2.860170,153.880772
6.930816,0.530372,11.404371,1.540808,1.540808,152.177484
5.477362,0.306495,9.681591,3.358896,3.358896,141.265093
5.801901,0.261402,10.369983,1.553403,1.553403,138.372963
5.772290,0.267177,11.225006,1.323721,1.323721,136.988389
4.875526,0.175206,10.230051,4.869446,4.869446,144.561245
8.048183,0.305927,20.514470,3.700974,3.700974,165.026276
10.285889,0.450007,28.703482,3.055962,3.055962,165.773327
5.822215,0.245675,15.393329,5.113114,5.113114,145.350441
5.512586,0.187272,13.178830,3.858032,3.858032,127.837731
7.110256,0.259633,17.606358,4.726114,4.726114,139.195205
10.825999,0.346453,23.669482,4.265469,4.265469,165.727401
7.272810,0.293840,15.333046,2.448273,2.448273,129.932935
10.843342,0.310475,26.529389,2.119563,2.119563,167.900205
6.987878,0.281316,14.906796,5.856652,5.856652,148.798915
12.719629,0.512803,27.025759,4.686868,4.686868,183.445894
7.372311,0.312168,16.552872,7.342553,7.342553,150.954804
6.437469,0.216076,17.483287,3.967021,3.967021,154.761306
10.446537,0.471995,23.715766,5.293583,5.293583,178.369884
11.917822,0.478682,28.459736,5.748277,5.748277,176.539429
6.542317,0.272104,18.185960,6.462222,6.462222,157.536496
13.233095,0.459061,26.815950,4.846569,4.846569,174.597176
13.899821,0.493643,39.453877,8.769674,8.769674,202.706446
13.517083,0.457647,37.097636,8.049965,8.049965,189.204779
9.777803,0.218599,21.800084,9.454617,9.454617,168.053269
7.116287,0.193803,27.457790,11.859146,11.859146,186.373927
7.761072,0.210512,21.860718,13.573398,13.573398,174.982427
7.266643,0.202725,23.057809,7.477933,7.477933,160.687311
8.017070,0.208239,24.236938,13.097808,13.097808,164.361819
6.820916,0.204433,19.787301,11.759035,11.759035,145.430782
7.387451,0.200203,18.621375,8.850973,8.850973,150.094491
6.163461,0.173672,19.534518,9.022364,9.022364,157.023755
6.381234,0.175553,18.212062,10.144317,10.144317,151.266614
12.688316,0.425375,38.920507,9.503325,9.503325,190.343845
10.122949,0.388968,29.931290,8.232495,8.232495,188.647397
7.583556,0.242779,20.334480,7.797375,7.797375,159.502880
6.992418,0.179311,18.120795,8.014530,8.014530,157.789323
6.820100,0.184363,20.028406,9.205581,9.205581,160.453636
6.047261,0.170629,18.989736,8.263986,8.263986,165.699600
8.415892,0.336082,22.102840,9.134256,9.134256,178.237105
6.981896,0.242578,18.954966,8.661630,8.661630,167.206852
7.696879,0.259249,24.553124,7.268385,7.268385,172.080844
7.722940,0.272708,21.532549,11.160884,11.160884,175.181546
6.058628,0.308732,17.426960,5.561673,5.561673,167.466514
4.821896,0.295796,15.137946,11.085108,11.085108,164.313245
5.125717,0.359868,15.251723,9.348968,9.348968,169.690974
5.328881,0.310586,20.006052,7.777491,7.777491,171.080198
5.668411,0.311021,20.682674,7.234733,7.234733,192.060235
6.090253,0.439200,18.877999,7.623573,7.623573,188.507272
7.067006,0.355921,20.656681,6.889265,6.889265,168.405466
10.486520,0.337410,30.947680,8.340354,8.340354,208.892681
6.537635,0.364503,20.876670,5.380228,5.380228,189.782580
5.151921,0.288850,13.303987,4.119280,4.119280,180.200430
4.825362,0.308399,12.375510,3.477836,3.477836,172.675410
4.395861,0.356835,8.726680,4.045049,4.045049,170.003120
9.041605,0.853962,13.537597,1.562540,1.562540,193.116973
8.480161,0.865935,12.913188,2.642279,2.642279,169.817386
9.060220,0.953341,13.115070,3.315428,3.315428,158.587990
8.729354,0.752333,12.395809,4.083997,4.083997,190.888058
7.062238,0.512007,23.511127,15.648719,15.648719,178.141265
5.445818,0.361933,21.030085,4.751455,4.751455,163.314454
6.372602,0.221665,19.946471,7.711182,7.711182,175.494218
7.431686,0.309930,21.825309,7.024265,7.024265,168.910823
7.962300,0.306718,20.356295,9.504115,9.504115,165.582559
8.307443,0.382800,27.314683,9.552817,9.552817,180.611717
7.935443,0.325174,26.828037,9.292707,9.292707,175.035229
7.024341,0.285522,21.275697,10.188839,10.188839,169.470085
6.865303,0.279120,21.059653,10.960014,10.960014,161.380366
9.087057,0.351182,25.366080,9.893518,9.893518,167.394980
7.085007,0.226605,21.614325,8.927834,8.927834,174.391491
6.756601,0.344600,23.424952,9.062472,9.062472,169.554915
6.091947,0.466496,19.679198,7.979745,7.979745,158.526402
3.160977,0.252508,10.412676,5.268614,5.268614,141.180930
4.490012,0.237195,16.331512,7.452553,7.452553,82.768670
5.447785,0.199439,18.875201,13.037845,13.037845,156.925625
12.381698,0.722436,36.671963,7.987618,7.987618,177.364760
8.672452,0.391690,24.214958,9.478503,9.478503,162.220020
6.564236,0.233544,19.855076,7.657549,7.657549,138.312038
9.885820,0.397871,33.323310,7.489852,7.489852,166.699834
11.993570,0.439298,40.276961,6.420680,6.420680,195.140607
11.834930,0.685189,30.934174,7.093141,7.093141,123.419157
9.995651,0.304217,21.494407,7.696421,7.696421,156.181755
5.463141,0.294407,17.907630,7.476597,7.476597,148.818642
6.101665,0.249255,19.077008,8.106845,8.106845,157.628751
5.815809,0.359085,18.266489,5.453193,5.453193,152.746870
5.831532,0.326687,18.107297,9.738487,9.738487,155.366793
9.200588,0.297825,22.431824,4.952553,4.952553,167.480654
7.618270,0.383892,21.751447,7.602626,7.602626,159.089398
6.144852,0.273670,16.348186,8.480065,8.480065,151.960053
5.898010,0.231679,15.223368,7.539086,7.539086,147.466978
5.505841,0.201960,13.588095,7.962273,7.962273,151.156609
5.925773,0.256946,13.691254,9.112065,9.112065,149.741728
5.116253,0.231665,12.526131,6.739255,6.739255,142.309819
6.637123,0.352874,13.910810,5.852327,5.852327,143.755217
10.106989,0.510040,21.960262,5.570237,5.570237,155.270700
7.047006,0.229392,17.206700,5.648415,5.648415,140.780845
5.742073,0.215704,16.644297,6.000999,6.000999,136.837191
10.856311,0.488176,27.647888,5.235170,5.235170,164.188766
8.119463,0.317280,20.749218,6.330398,6.330398,151.658892
5.380656,0.149811,13.783188,5.323302,5.323302,130.938357
