#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.008430,3,1,0,253
0.001505,4,1,0,460
0.126151,5,1,0,952
0.251475,6,1,0,1452
0.166922,7,1,0,2038
0.519213,8,1,0,2617
0.768194,9,1,0,3081
0.498830,10,1,0,3523
0.843642,0,0,0,0
78.615658,0,0,0,0
0.980432,0,0,0,0
1.161536,0,0,0,0
1.411338,0,0,0,0
1.665479,0,0,0,0
1.744696,0,0,0,0
3.605843,0,0,0,0
2.561081,0,0,0,0
2.302692,0,0,0,0
3.138212,0,0,0,0
5.107086,0,0,0,0
3.889774,0,0,0,0
4.479234,0,0,0,0
4.602111,0,0,0,0
4.499156,0,0,0,0
5.236131,0,0,0,0
3.983473,0,0,0,0
5.265733,3,1,0,1707
3.908935,4,1,0,2101
0.003053,5,1,0,2614
0.002190,6,1,0,3051
0.304906,7,1,0,3538
0.661975,8,1,0,3896
1.003542,5,4,0,3955
0.850488,5,5,0,4094
0.915523,3,1,0,2111
1.105958,4,1,0,2451
1.482788,5,1,0,2878
113.405156,6,1,0,3211
0.001848,7,1,0,3487
0.001522,8,1,0,3721
0.392970,9,1,0,4147
0.827315,10,1,0,4559
1.049354,0,0,0,0
1.316176,0,0,0,0
1.004373,0,0,0,0
1.594056,0,0,0,0
0.969461,0,0,0,0
85.886519,0,0,0,0
1.203984,0,0,0,0
1.569971,0,0,0,0
1.494473,0,0,0,0
1.727181,0,0,0,0
3.832733,0,0,0,0
2.281119,0,0,0,0
2.488101,0,0,0,0
3.571393,0,0,0,0
3.196597,0,0,0,0
4.070775,0,0,0,0
3.639132,0,0,0,0
4.157512,0,0,0,0
4.362859,0,0,0,0
2.128970,0,0,0,0
2.295067,0,0,0,0
3.462501,0,0,0,0
2.848372,0,0,0,0
1.706192,0,0,0,0
2.548397,0,0,0,0
5.155819,0,0,0,0
6.074108,0,0,0,0
2.317933,0,0,0,0
4.734235,0,0,0,0
2.111747,0,0,0,0
2.274757,0,0,0,0
3.865056,0,0,0,0
2.587949,0,0,0,0
3.622491,0,0,0,0
3.223774,0,0,0,0
2.707459,0,0,0,0
3.051777,0,0,0,0
3.487149,0,0,0,0
4.653733,0,0,0,0
5.684460,0,0,0,0
5.002827,0,0,0,0
4.189699,0,0,0,0
5.640655,0,0,0,0
3.689288,0,0,0,0
3.502948,0,0,0,0
3.205166,0,0,0,0
2.017655,0,0,0,0
1.860769,0,0,0,0
1.741181,0,0,0,0
2.207723,0,0,0,0
1.834334,0,0,0,0
2.830741,0,0,0,0
2.832375,0,0,0,0
2.756507,0,0,0,0
3.056775,0,0,0,0
3.047893,0,0,0,0
4.231631,0,0,0,0
3.444321,0,0,0,0
2.360940,0,0,0,0
3.790516,0,0,0,0
3.617666,0,0,0,0
6.870999,0,0,0,0
7.278519,0,0,0,0
8.740083,0,0,0,0
8.242313,0,0,0,0
4.880910,0,0,0,0
4.656287,0,0,0,0
4.894416,0,0,0,0
4.269697,0,0,0,0
2.807675,0,0,0,0
1.166969,0,0,0,0
2.769718,0,0,0,0
1.650675,0,0,0,0
2.477613,0,0,0,0
2.274772,0,0,0,0
3.186577,0,0,0,0
2.222491,0,0,0,0
2.820957,0,0,0,0
1.363232,0,0,0,0
1.720804,0,0,0,0
4.341371,0,0,0,0
2.730426,0,0,0,0
5.696417,0,0,0,0
3.705440,0,0,0,0
3.011531,0,0,0,0
4.989264,0,0,0,0
5.314832,0,0,0,0
5.064404,0,0,0,0
6.956874,0,0,0,0
6.318348,0,0,0,0
5.419118,0,0,0,0
7.377884,0,0,0,0
6.992532,0,0,0,0
8.324563,0,0,0,0
7.953764,0,0,0,0
9.484064,0,0,0,0
9.555973,0,0,0,0
11.219796,0,0,0,0
12.394543,0,0,0,0
11.038122,0,0,0,0
8.728084,0,0,0,0
7.673719,0,0,0,0
7.246904,0,0,0,0
7.569047,0,0,0,0
7.275244,0,0,0,0
9.489973,0,0,0,0
7.196351,0,0,0,0
8.233330,0,0,0,0
7.600124,0,0,0,0
8.676143,0,0,0,0
6.603031,0,0,0,0
8.629267,0,0,0,0
6.312020,0,0,0,0
6.474685,0,0,0,0
6.526465,0,0,0,0
5.937192,0,0,0,0
6.689004,0,0,0,0
7.722247,0,0,0,0
7.262157,0,0,0,0
7.453390,0,0,0,0
4.442097,0,0,0,0
4.943939,0,0,0,0
7.925265,0,0,0,0
