#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.006468,3,1,0,1307
0.002953,4,1,0,1845
0.402412,5,1,0,2564
0.586052,6,1,0,3082
0.758864,7,1,0,3558
0.876473,8,1,0,4042
1.326480,9,1,0,4543
1.130082,10,1,0,4840
1.727361,0,0,0,0
102.195744,0,0,0,0
1.454568,0,0,0,0
1.651479,0,0,0,0
2.051045,0,0,0,0
3.467290,0,0,0,0
2.210710,0,0,0,0
2.422919,0,0,0,0
2.782152,0,0,0,0
2.897254,0,0,0,0
3.033413,0,0,0,0
3.124443,0,0,0,0
3.273693,0,0,0,0
4.787108,0,0,0,0
3.995016,0,0,0,0
4.272632,0,0,0,0
4.559520,0,0,0,0
4.311354,0,0,0,0
4.860620,0,0,0,0
4.747151,0,0,0,0
4.577548,0,0,0,0
4.553012,0,0,0,0
4.639378,0,0,0,0
6.092749,0,0,0,0
5.134486,0,0,0,0
4.929925,0,0,0,0
3.218906,0,0,0,0
0.978173,0,0,0,0
1.526368,0,0,0,0
1.092553,0,0,0,0
0.994360,0,0,0,0
1.125702,0,0,0,0
1.362137,0,0,0,0
1.322756,0,0,0,0
0.998981,0,0,0,0
1.668713,0,0,0,0
1.437807,0,0,0,0
2.097608,0,0,0,0
2.029151,0,0,0,0
1.515442,0,0,0,0
2.774030,0,0,0,0
1.767325,0,0,0,0
1.391180,0,0,0,0
1.738271,0,0,0,0
2.182709,0,0,0,0
10.131692,0,0,0,0
2.087673,0,0,0,0
3.631359,0,0,0,0
3.255432,0,0,0,0
1.245055,0,0,0,0
1.982937,0,0,0,0
2.548614,0,0,0,0
3.079993,0,0,0,0
2.218829,0,0,0,0
1.680108,0,0,0,0
1.532992,0,0,0,0
2.575424,0,0,0,0
2.411065,0,0,0,0
1.844295,0,0,0,0
2.179197,0,0,0,0
1.796237,0,0,0,0
1.229002,0,0,0,0
3.190005,0,0,0,0
2.321248,0,0,0,0
1.059247,0,0,0,0
2.015473,0,0,0,0
2.023987,0,0,0,0
2.169813,0,0,0,0
2.660481,0,0,0,0
2.020569,0,0,0,0
1.838479,0,0,0,0
2.133866,0,0,0,0
1.805105,0,0,0,0
0.947791,0,0,0,0
2.767168,0,0,0,0
0.852012,0,0,0,0
0.867710,0,0,0,0
1.801685,0,0,0,0
1.451391,0,0,0,0
6.949539,0,0,0,0
2.933871,0,0,0,0
3.244988,0,0,0,0
3.831462,0,0,0,0
2.568561,0,0,0,0
3.556208,0,0,0,0
4.321113,0,0,0,0
4.703206,0,0,0,0
2.790666,0,0,0,0
3.938737,0,0,0,0
3.453475,0,0,0,0
4.827106,0,0,0,0
5.567242,0,0,0,0
5.332851,0,0,0,0
5.337573,0,0,0,0
2.049587,0,0,0,0
4.177777,0,0,0,0
2.483597,0,0,0,0
2.797973,0,0,0,0
4.266093,0,0,0,0
3.086149,0,0,0,0
4.403197,0,0,0,0
3.489630,0,0,0,0
4.613007,0,0,0,0
3.789921,0,0,0,0
3.277308,0,0,0,0
2.832193,0,0,0,0
4.045346,0,0,0,0
2.501799,0,0,0,0
2.966081,0,0,0,0
4.570069,0,0,0,0
4.807134,0,0,0,0
4.822583,0,0,0,0
5.631645,0,0,0,0
6.088695,0,0,0,0
6.060173,0,0,0,0
4.592742,0,0,0,0
5.166812,0,0,0,0
4.151472,0,0,0,0
4.821351,0,0,0,0
4.148478,0,0,0,0
5.629423,0,0,0,0
4.132231,0,0,0,0
5.091218,0,0,0,0
6.151274,0,0,0,0
4.838987,0,0,0,0
5.018927,0,0,0,0
6.030924,0,0,0,0
5.772345,0,0,0,0
6.164351,0,0,0,0
6.540629,0,0,0,0
6.167958,0,0,0,0
9.624488,0,0,0,0
7.607798,0,0,0,0
6.573205,0,0,0,0
6.156188,0,0,0,0
6.558139,0,0,0,0
5.757600,0,0,0,0
6.404708,0,0,0,0
6.240034,0,0,0,0
6.518507,0,0,0,0
5.494641,0,0,0,0
5.434482,0,0,0,0
6.521116,0,0,0,0
7.369728,0,0,0,0
7.002098,0,0,0,0
5.113641,0,0,0,0
6.513129,0,0,0,0
7.576366,0,0,0,0
5.866130,0,0,0,0
5.652294,0,0,0,0
4.393673,0,0,0,0
4.681804,0,0,0,0
5.911644,0,0,0,0
6.368666,0,0,0,0
4.730256,0,0,0,0
4.432891,0,0,0,0
5.713549,0,0,0,0
4.846049,0,0,0,0
6.070764,0,0,0,0
6.352620,0,0,0,0
4.921102,0,0,0,0
6.533310,0,0,0,0
5.160897,0,0,0,0
5.273568,0,0,0,0
4.690441,0,0,0,0
6.500259,0,0,0,0
5.899465,0,0,0,0
4.910325,0,0,0,0
4.978271,0,0,0,0
5.352059,0,0,0,0
5.714047,0,0,0,0
6.506071,0,0,0,0
5.811024,0,0,0,0
4.470256,0,0,0,0
3.408977,0,0,0,0
4.430802,0,0,0,0
4.321595,0,0,0,0
1.521084,0,0,0,0
4.737576,0,0,0,0
6.011166,0,0,0,0
5.495877,0,0,0,0
4.558630,0,0,0,0
4.359796,0,0,0,0
5.239155,0,0,0,0
3.820161,0,0,0,0
3.483739,0,0,0,0
7.360191,0,0,0,0
4.391034,0,0,0,0
4.743419,0,0,0,0
3.542008,0,0,0,0
3.056937,0,0,0,0
3.723737,0,0,0,0
2.930659,0,0,0,0
2.982001,0,0,0,0
3.225399,0,0,0,0
5.072376,0,0,0,0
3.196395,0,0,0,0
4.048907,0,0,0,0
5.747211,0,0,0,0
3.818523,0,0,0,0
3.147660,0,0,0,0
3.484574,0,0,0,0
4.162108,0,0,0,0
3.514694,0,0,0,0
2.937934,0,0,0,0
3.211418,0,0,0,0
3.674543,0,0,0,0
5.861809,0,0,0,0
6.091585,0,0,0,0
6.344171,0,0,0,0
5.363678,0,0,0,0
4.580616,0,0,0,0
4.560121,0,0,0,0
3.988676,0,0,0,0
3.817665,0,0,0,0
3.554662,0,0,0,0
3.223270,0,0,0,0
3.867347,0,0,0,0
4.547155,0,0,0,0
3.578143,0,0,0,0
4.371415,0,0,0,0
4.690733,0,0,0,0
4.504167,0,0,0,0
4.332258,0,0,0,0
3.710297,0,0,0,0
3.950065,0,0,0,0
3.974781,0,0,0,0
4.391854,0,0,0,0
5.268565,0,0,0,0
3.715130,0,0,0,0
4.149374,0,0,0,0
3.478301,0,0,0,0
4.796220,0,0,0,0
3.847187,0,0,0,0
3.274693,0,0,0,0
4.233071,0,0,0,0
3.536126,0,0,0,0
2.778985,0,0,0,0
2.039108,0,0,0,0
3.212636,0,0,0,0
1.479170,0,0,0,0
3.072164,0,0,0,0
5.376853,0,0,0,0
4.660932,0,0,0,0
5.005971,0,0,0,0
3.220038,0,0,0,0
5.013024,0,0,0,0
4.323848,0,0,0,0
5.720682,0,0,0,0
5.822305,0,0,0,0
5.082782,0,0,0,0
5.988985,0,0,0,0
6.676436,0,0,0,0
5.760075,0,0,0,0
5.387764,0,0,0,0
4.772614,0,0,0,0
3.951363,0,0,0,0
3.978734,0,0,0,0
5.354229,0,0,0,0
4.283671,0,0,0,0
5.561779,0,0,0,0
4.716959,0,0,0,0
4.461934,0,0,0,0
5.459561,0,0,0,0
6.752740,0,0,0,0
5.981915,0,0,0,0
7.390300,0,0,0,0
4.673125,0,0,0,0
4.835308,0,0,0,0
3.943483,0,0,0,0
4.972306,0,0,0,0
5.792627,0,0,0,0
8.245081,0,0,0,0
8.536701,0,0,0,0
8.118800,0,0,0,0
7.656711,0,0,0,0
6.471548,0,0,0,0
7.572080,0,0,0,0
6.360579,0,0,0,0
6.195274,0,0,0,0
8.126634,0,0,0,0
8.456498,0,0,0,0
7.244155,0,0,0,0
8.402469,0,0,0,0
7.215986,0,0,0,0
7.129785,0,0,0,0
4.777114,0,0,0,0
6.395514,0,0,0,0
5.795379,0,0,0,0
3.570675,0,0,0,0
4.046686,0,0,0,0
2.539297,0,0,0,0
2.938844,0,0,0,0
2.506303,0,0,0,0
4.756110,0,0,0,0
4.781221,0,0,0,0
5.762884,0,0,0,0
4.997932,0,0,0,0
5.755894,0,0,0,0
5.288203,0,0,0,0
5.939903,0,0,0,0
7.043447,0,0,0,0
5.270056,0,0,0,0
4.614931,0,0,0,0
5.354397,0,0,0,0
4.754141,0,0,0,0
3.695983,0,0,0,0
5.746473,0,0,0,0
5.385801,0,0,0,0
3.759100,0,0,0,0
3.280680,0,0,0,0
4.162464,0,0,0,0
4.353045,0,0,0,0
4.323005,0,0,0,0
3.246137,0,0,0,0
4.049514,0,0,0,0
3.084945,0,0,0,0
3.876652,0,0,0,0
4.845649,0,0,0,0
4.092693,0,0,0,0
4.457071,0,0,0,0
4.117608,0,0,0,0
3.713039,0,0,0,0
3.151473,0,0,0,0
3.879605,0,0,0,0
2.518565,0,0,0,0
3.723026,0,0,0,0
3.667649,0,0,0,0
4.955516,0,0,0,0
4.941911,0,0,0,0
3.049589,0,0,0,0
1.488146,0,0,0,0
4.656325,0,0,0,0
2.925869,0,0,0,0
6.533869,0,0,0,0
4.866642,0,0,0,0
3.947506,0,0,0,0
6.761307,0,0,0,0
4.994826,0,0,0,0
8.106422,0,0,0,0
4.510604,0,0,0,0
4.764988,0,0,0,0
4.582506,0,0,0,0
4.710502,0,0,0,0
4.916525,0,0,0,0
3.800159,0,0,0,0
3.061682,0,0,0,0
4.723243,0,0,0,0
4.691936,0,0,0,0
4.790219,0,0,0,0
3.771984,0,0,0,0
4.280092,0,0,0,0
3.698154,0,0,0,0
3.460557,0,0,0,0
4.423113,0,0,0,0
3.164834,0,0,0,0
2.726861,0,0,0,0
3.605753,0,0,0,0
3.071845,0,0,0,0
3.765544,0,0,0,0
4.485105,0,0,0,0
3.134644,0,0,0,0
5.036556,0,0,0,0
4.651371,0,0,0,0
3.326913,0,0,0,0
3.282345,0,0,0,0
5.411542,0,0,0,0
4.056101,0,0,0,0
5.281247,0,0,0,0
0.000000,0,0,0,0
11.112672,0,0,0,0
6.792693,0,0,0,0
7.947896,0,0,0,0
6.818324,0,0,0,0
10.534059,0,0,0,0
7.662216,0,0,0,0
6.467526,0,0,0,0
5.846517,0,0,0,0
4.963999,0,0,0,0
6.734677,0,0,0,0
6.439634,0,0,0,0
8.376139,0,0,0,0
5.569112,0,0,0,0
7.925736,0,0,0,0
7.226608,0,0,0,0
9.214758,0,0,0,0
10.158611,0,0,0,0
6.931664,0,0,0,0
9.787135,0,0,0,0
10.285076,0,0,0,0
9.152724,0,0,0,0
9.625580,0,0,0,0
6.939408,0,0,0,0
4.013730,0,0,0,0
6.700262,0,0,0,0
3.991115,0,0,0,0
7.125337,0,0,0,0
5.203654,0,0,0,0
6.026463,0,0,0,0
4.609298,0,0,0,0
6.852161,0,0,0,0
8.771185,0,0,0,0
13.135787,0,0,0,0
8.223824,0,0,0,0
10.190789,0,0,0,0
14.661654,0,0,0,0
12.173167,0,0,0,0
14.274659,0,0,0,0
8.367571,0,0,0,0
10.492304,0,0,0,0
13.759517,0,0,0,0
11.132346,0,0,0,0
12.208824,0,0,0,0
13.067468,0,0,0,0
11.806482,0,0,0,0
13.660521,0,0,0,0
13.174366,0,0,0,0
8.944560,0,0,0,0
11.187132,0,0,0,0
9.680476,0,0,0,0
8.855367,0,0,0,0
10.962434,0,0,0,0
7.965265,0,0,0,0
11.001987,0,0,0,0
11.873247,0,0,0,0
12.788536,0,0,0,0
