#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
5.778918,0.034010,0.308942,0.006501,0.006501,6.132718
7.227803,0.071812,1.567127,0.002994,0.002994,8.872182
9.149906,0.271088,2.770903,0.258942,0.258942,22.560117
5.959359,0.125481,4.771851,0.498919,0.498919,26.507037
10.473778,0.242172,13.535530,0.463640,0.463640,58.906915
5.921010,0.194693,7.649817,0.712211,0.712211,50.543914
10.326215,0.344306,11.582531,1.164077,1.164077,61.190781
5.530481,0.142254,8.520076,1.740768,1.740768,41.326031
8.742391,0.319594,15.274607,1.142184,1.142184,64.714356
7.050900,0.056916,0.605010,0.003480,0.003480,7.717970
5.241684,0.142287,0.892056,0.001443,0.001443,6.278578
5.395269,0.150360,1.224445,0.120655,0.120655,13.772863
7.701583,0.331543,8.230653,0.799611,0.799611,38.185734
4.350526,0.175389,4.250489,0.442877,0.442877,19.708366
5.208492,0.150405,5.213534,1.234691,1.234691,24.251309
8.679040,0.332213,7.259571,0.514653,0.514653,30.367986
9.669182,0.210819,21.788849,1.024382,1.024382,64.228259
10.232114,0.346052,19.208666,1.094597,1.094597,63.543488
4.729353,0.199457,9.536293,57.474695,57.474695,90.080406
4.191415,0.102815,8.311526,0.788480,0.788480,30.277465
4.158456,0.132124,8.637790,0.900204,0.900204,32.318153
4.143745,0.104314,9.608083,1.013503,1.013503,43.624171
3.480165,0.073185,8.074704,1.122358,1.122358,39.909211
3.623881,0.059734,8.460186,1.295274,1.295274,38.150464
4.198447,0.063577,9.092854,1.051879,1.051879,43.440032
4.061271,0.062342,9.068340,1.314145,1.314145,49.310739
3.790402,0.066989,8.641899,1.439308,1.439308,48.977346
4.038971,0.093042,9.152261,1.302328,1.302328,62.044052
4.466738,0.084229,9.969480,1.608650,1.608650,61.660608
11.499913,0.244832,26.035880,1.958426,1.958426,83.092242
10.362431,0.333347,26.267438,2.977971,2.977971,96.763512
10.019352,0.388072,21.451808,3.045999,3.045999,84.100075
6.201570,0.184484,11.702456,2.366815,2.366815,74.195064
5.747294,0.191635,14.752055,2.491582,2.491582,72.919637
4.704941,0.164949,11.481669,2.311129,2.311129,68.388046
6.944175,0.219065,16.906191,2.620909,2.620909,77.017214
6.235621,0.202811,13.569127,2.432499,2.432499,72.713343
6.035015,0.182911,13.242528,2.447020,2.447020,70.623838
5.318315,0.140253,11.025165,2.613371,2.613371,68.092029
6.252450,0.180134,13.330731,2.364260,2.364260,73.011451
5.504829,0.170959,11.970510,2.498134,2.498134,71.306429
5.538193,0.150560,10.123580,2.625948,2.625948,64.636887
5.148756,0.159195,9.994499,2.378719,2.378719,69.024119
5.036408,0.178036,12.312726,2.025194,2.025194,69.824641
6.551447,0.223153,13.671755,1.704768,1.704768,70.360720
5.575466,0.209700,11.315275,0.929003,0.929003,69.914968
3.811866,0.161458,8.252458,0.847310,0.847310,62.623286
3.867866,0.174561,12.215223,1.552908,1.552908,67.902614
5.009417,0.238790,8.953642,1.331937,1.331937,69.096358
