#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1413394881605760512.000000,0.000000,0.000000,13.311926,4.756632,0.006861,5.967865,3.155103,0.001479,20.170210
1413394881655760384.000000,0.000000,0.000000,15.230961,4.639348,0.062501,2.261101,2.409293,0.000455,23.489722
1413394881705760512.000000,0.000000,0.000000,13.968748,4.670076,0.040972,2.456184,2.656370,0.000508,21.845928
1413394881755760384.000000,0.000000,0.000000,14.448419,5.605375,0.047693,2.423016,2.495184,0.000506,22.891584
1413394881805760512.000000,0.000000,0.000000,13.630670,8.163249,0.077516,2.407871,2.516656,0.330020,24.822612
1413394881855760384.000000,0.000000,0.000000,13.478476,7.754012,0.040180,3.177230,2.979301,0.000468,24.328836
1413394881905760512.000000,0.000000,0.000000,14.338900,8.957860,0.039546,2.826144,3.479656,0.000415,26.582556
1413394881955760384.000000,0.000000,0.000000,13.607283,4.381914,0.041604,2.709212,3.453079,0.000483,21.228728
1413394882005760512.000000,0.000000,0.000000,14.086378,11.218745,0.117584,2.389370,3.314492,0.000569,28.963594
1413394882055760384.000000,0.000000,0.000000,13.930489,8.552476,0.051991,2.536631,3.189321,0.000499,25.983051
1413394882105760512.000000,0.000000,0.000000,15.203573,10.680294,0.090297,2.222336,3.194019,0.347525,29.470446
1413394882155760384.000000,0.000000,0.000000,14.357156,9.301849,0.049928,3.236873,3.302831,0.000552,26.770029
1413394882205760512.000000,0.000000,0.000000,14.486900,11.254794,0.095731,2.758719,3.378003,0.000565,28.775175
1413394882255760384.000000,0.000000,0.000000,14.551474,4.904793,0.044076,2.632548,3.468190,0.000555,22.733920
1413394882305760512.000000,0.000000,0.000000,15.109048,4.618961,0.044131,1.997305,3.590009,0.404160,22.898340
1413394882355760384.000000,0.000000,0.000000,15.658295,11.426211,0.087912,2.752341,5.033883,0.000539,30.404354
1413394882405760512.000000,0.000000,0.000000,14.280150,4.887886,0.050503,2.538814,5.216342,0.385795,22.171445
1413394882455760384.000000,0.000000,0.000000,14.324070,11.137273,0.110877,3.551676,5.648555,0.000573,28.947799
1413394882505760512.000000,0.000000,0.000000,15.052718,4.598704,0.041305,2.863450,5.936712,0.000564,22.522530
1413394882555760384.000000,0.000000,0.000000,15.784602,4.807874,0.042189,2.547280,5.710647,0.000416,23.085139
1413394882605760512.000000,0.000000,0.000000,13.946934,10.234193,0.073253,2.295599,5.066484,0.000461,27.740187
1413394882655760384.000000,0.000000,0.000000,13.504061,3.846116,0.047875,3.550482,8.516838,0.000718,19.899850
1413394882705760512.000000,0.000000,0.000000,15.122066,11.096554,0.092255,2.152686,7.807052,0.458705,29.730470
1413394882755760384.000000,0.000000,0.000000,18.709211,11.268110,0.095964,4.909222,8.793221,0.000700,33.385817
1413394882805760512.000000,0.000000,0.000000,16.921386,7.807805,0.090983,2.634238,5.597485,0.000512,28.039096
1413394882855760384.000000,0.000000,0.000000,13.863230,10.045173,0.096065,2.783395,5.627274,0.000585,27.454042
1413394882905760512.000000,0.000000,0.000000,13.567920,4.069250,0.053034,2.521551,5.586956,0.000463,20.834648
1413394882955760384.000000,0.000000,0.000000,14.218152,10.244748,0.051911,2.360308,5.664109,0.000461,27.192722
1413394883005760512.000000,0.000000,0.000000,14.382028,4.649425,0.042069,2.162212,4.814575,0.308467,22.313255
1413394883055760384.000000,0.000000,0.000000,14.742915,4.247695,0.047335,4.757981,7.822085,0.000540,21.532865
1413394883105760512.000000,0.000000,0.000000,14.571785,4.787142,0.069484,2.908523,5.453245,0.000592,22.204454
1413394883155760384.000000,0.000000,0.000000,14.894005,8.442718,0.052597,2.306284,4.987666,0.000537,25.875516
1413394883205760512.000000,0.000000,0.000000,14.084012,3.884906,0.049799,2.397644,5.211971,0.000471,20.860778
1413394883255760384.000000,0.000000,0.000000,14.185467,11.012721,0.084401,2.155985,4.834110,0.000452,28.290658
1413394883305760512.000000,0.000000,0.000000,14.125741,11.184368,0.088952,2.121724,4.815246,0.329392,28.803419
1413394883355760384.000000,0.000000,0.000000,15.091193,11.539268,0.094558,3.337789,4.990802,0.000510,29.525265
1413394883405760512.000000,0.000000,0.000000,13.997191,7.623446,0.052948,1.969954,3.528486,0.000439,25.023785
1413394883455760384.000000,0.000000,0.000000,15.747561,9.759921,0.050057,0.904186,3.282929,0.490473,28.727898
1413394883505760512.000000,0.000000,0.000000,14.647577,4.600309,0.041834,0.884597,1.983255,0.000906,22.066068
1413394883555760384.000000,0.000000,0.000000,14.122671,4.236946,0.049249,4.725511,1.809374,0.000618,20.978157
1413394883605760512.000000,0.000000,0.000000,14.669542,4.033761,0.055299,1.082753,1.499263,0.000647,21.880970
1413394883655760384.000000,0.000000,0.000000,14.680184,4.306135,0.053220,1.040952,1.629021,0.000438,22.254352
1413394883705760512.000000,0.000000,0.000000,14.699269,4.864430,0.044354,1.000702,1.688202,0.000478,22.582028
1413394883755760384.000000,0.000000,0.000000,14.429225,11.149045,0.055633,1.850115,3.472222,0.863526,28.791340
1413394883805760512.000000,0.000000,0.000000,14.312036,8.836801,0.051269,2.484943,2.401933,0.000622,25.676254
1413394883855760384.000000,0.000000,0.000000,15.056361,7.158351,0.043003,3.245241,4.549114,0.000788,24.776539
1413394883905760512.000000,0.000000,0.000000,15.839395,12.277150,0.101651,3.338305,4.701999,0.000699,31.149547
1413394883955760384.000000,0.000000,0.000000,14.700079,11.200412,0.095304,1.496303,2.944109,0.000519,29.422740
1413394884005760512.000000,0.000000,0.000000,14.723271,5.138409,0.044050,3.250932,4.369369,0.508127,23.028235
1413394884055760384.000000,0.000000,0.000000,15.495853,11.464387,0.105595,2.504421,2.362640,0.000563,30.441466
1413394884105760512.000000,0.000000,0.000000,14.370489,11.180936,0.095814,2.059536,2.377933,0.000581,29.357806
1413394884155760384.000000,0.000000,0.000000,14.085962,10.117342,0.047496,1.586927,2.219018,0.000390,26.824075
1413394884205760512.000000,0.000000,0.000000,17.222409,11.708251,0.099825,3.433071,3.591836,0.000802,32.617630
1413394884255760384.000000,0.000000,0.000000,15.553162,4.583874,0.040637,1.404743,1.922967,0.386603,23.345020
1413394884305760512.000000,0.000000,0.000000,13.881622,9.057473,0.038879,2.605719,2.348864,0.000549,25.954956
1413394884355760384.000000,0.000000,0.000000,14.091375,4.721386,0.040076,1.601600,2.291350,0.000420,21.986486
1413394884405760512.000000,0.000000,0.000000,16.042538,11.138194,0.088933,1.276989,2.026557,0.000442,30.432147
1413394884455760384.000000,0.000000,0.000000,13.908039,4.640458,0.051271,1.053035,1.999932,0.000336,21.513427
1413394884505760512.000000,0.000000,0.000000,14.383023,4.470368,0.052108,0.958877,1.935746,0.380970,22.023331
1413394884555760384.000000,0.000000,0.000000,14.762566,4.247879,0.051398,2.929380,3.006649,0.000637,21.513436
1413394884605760512.000000,0.000000,0.000000,14.504507,3.895221,0.050782,1.802472,2.927061,0.000596,21.333825
1413394884655760384.000000,0.000000,0.000000,14.094565,4.039800,0.050225,2.818375,4.776432,0.000792,21.175806
1413394884705760512.000000,0.000000,0.000000,15.232829,4.675189,0.041106,1.200966,2.866992,0.000379,23.016663
1413394884755760384.000000,0.000000,0.000000,14.430816,4.801594,0.067285,1.364117,2.893581,0.312638,22.012236
1413394884805760512.000000,0.000000,0.000000,13.960780,4.113038,0.042959,2.356392,3.003089,0.000401,20.718680
1413394884855760384.000000,0.000000,0.000000,14.660720,11.343522,0.098198,1.824667,3.498797,0.000532,29.515071
1413394884905760512.000000,0.000000,0.000000,14.124319,4.340404,0.048873,1.741326,3.519866,0.000519,21.104106
1413394884955760384.000000,0.000000,0.000000,13.939711,11.027096,0.104687,1.460441,2.849466,0.000518,28.434345
1413394885005760512.000000,0.000000,0.000000,15.105160,4.340391,0.050529,1.173220,2.835828,0.392752,22.465321
1413394885055760384.000000,0.000000,0.000000,16.027359,4.377319,0.050783,2.415249,3.295476,0.000520,23.272605
1413394885105760512.000000,0.000000,0.000000,14.049871,4.143049,0.050342,1.931906,3.844087,0.000486,21.372274
1413394885155760384.000000,0.000000,0.000000,14.910787,3.951640,0.049600,1.704730,3.788555,0.000374,21.968187
1413394885205760512.000000,0.000000,0.000000,13.689410,4.705443,0.044015,1.663235,3.448460,0.000430,20.984024
1413394885255760384.000000,0.000000,0.000000,14.695108,8.894812,0.088484,1.382328,3.015092,0.316393,27.421042
1413394885305760512.000000,0.000000,0.000000,15.031755,8.867861,0.100081,4.219068,5.957011,0.000704,27.299688
1413394885355760384.000000,0.000000,0.000000,14.151477,5.110204,0.055704,1.898217,3.494689,0.000434,22.057216
1413394885405760512.000000,0.000000,0.000000,13.997850,4.941982,0.042375,1.835988,3.320529,0.000459,21.898240
1413394885455760384.000000,0.000000,0.000000,15.457289,4.254527,0.050762,1.811602,3.127673,0.000742,23.253233
1413394885505760512.000000,0.000000,0.000000,14.475466,4.572249,0.040259,2.963302,4.959542,0.558406,22.119732
1413394885555760384.000000,0.000000,0.000000,15.524217,4.134739,0.045635,2.606281,3.665135,0.000759,23.010197
1413394885605760512.000000,0.000000,0.000000,15.359122,4.689756,0.042942,2.383314,3.922672,0.000424,23.269320
1413394885655760384.000000,0.000000,0.000000,14.179273,4.783061,0.043578,2.838580,4.984824,0.000580,22.009042
1413394885705760512.000000,0.000000,0.000000,15.004606,11.501370,0.100362,1.302064,3.140839,0.000462,30.138399
1413394885755760384.000000,0.000000,0.000000,14.143298,4.455374,0.057332,1.132022,2.609927,0.325207,21.869369
1413394885805760512.000000,0.000000,0.000000,15.001551,4.549624,0.042684,1.993575,3.576284,0.000705,22.498966
1413394885855760384.000000,0.000000,0.000000,14.942412,4.653403,0.051377,0.025453,3.614390,0.039772,22.317657
