#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.008386,3,1,0,929
0.003220,4,1,0,942
0.182939,5,1,0,1375
0.273315,6,1,0,1898
0.456754,7,1,0,2179
0.636132,8,1,0,2518
0.634907,9,1,0,2887
1.084955,10,1,0,2926
0.742408,0,0,0,0
69.730526,0,0,0,0
1.358336,0,0,0,0
0.951881,0,0,0,0
1.270654,0,0,0,0
1.053477,0,0,0,0
1.450639,0,0,0,0
1.620855,0,0,0,0
1.778163,0,0,0,0
2.149386,0,0,0,0
2.287236,0,0,0,0
2.231232,0,0,0,0
2.755154,0,0,0,0
3.143422,0,0,0,0
3.237367,0,0,0,0
3.535366,0,0,0,0
3.285359,0,0,0,0
2.693839,0,0,0,0
3.255651,0,0,0,0
2.379748,0,0,0,0
3.422528,0,0,0,0
2.661176,0,0,0,0
4.025984,0,0,0,0
3.351656,0,0,0,0
4.232284,0,0,0,0
3.571601,0,0,0,0
3.748764,0,0,0,0
4.929894,0,0,0,0
3.141473,0,0,0,0
3.647287,0,0,0,0
4.359324,0,0,0,0
2.354999,0,0,0,0
3.970337,0,0,0,0
2.880334,0,0,0,0
2.265212,0,0,0,0
3.031970,0,0,0,0
3.725635,0,0,0,0
2.333519,0,0,0,0
3.918238,0,0,0,0
3.977820,0,0,0,0
3.651218,0,0,0,0
14.055877,0,0,0,0
14.162790,0,0,0,0
3.714094,0,0,0,0
4.253579,0,0,0,0
4.223696,0,0,0,0
5.092620,0,0,0,0
3.407593,0,0,0,0
3.372454,0,0,0,0
4.959146,0,0,0,0
4.256764,0,0,0,0
3.228916,0,0,0,0
3.434895,0,0,0,0
4.956177,0,0,0,0
4.209874,0,0,0,0
3.767216,0,0,0,0
3.307240,0,0,0,0
5.310191,0,0,0,0
3.817702,0,0,0,0
3.918769,0,0,0,0
3.156885,0,0,0,0
4.651483,0,0,0,0
4.372918,0,0,0,0
3.018145,0,0,0,0
4.782905,0,0,0,0
3.339490,0,0,0,0
4.170531,0,0,0,0
3.648253,0,0,0,0
4.003303,0,0,0,0
2.857206,0,0,0,0
4.892263,0,0,0,0
3.393060,0,0,0,0
4.379701,0,0,0,0
2.766063,0,0,0,0
4.033413,0,0,0,0
4.627545,0,0,0,0
3.697542,0,0,0,0
4.107036,0,0,0,0
2.962304,0,0,0,0
3.993562,0,0,0,0
4.212501,0,0,0,0
5.077668,0,0,0,0
4.240514,0,0,0,0
4.560556,0,0,0,0
4.120036,0,0,0,0
4.596191,0,0,0,0
3.694207,0,0,0,0
3.258149,0,0,0,0
4.809595,0,0,0,0
3.775279,0,0,0,0
2.685957,0,0,0,0
5.172756,0,0,0,0
3.179505,0,0,0,0
2.712576,0,0,0,0
4.617846,0,0,0,0
2.315021,0,0,0,0
4.062629,0,0,0,0
4.225867,0,0,0,0
4.373226,0,0,0,0
2.703231,0,0,0,0
5.006003,0,0,0,0
6.779013,0,0,0,0
2.541886,0,0,0,0
3.473037,0,0,0,0
3.726716,0,0,0,0
3.453556,0,0,0,0
3.734813,0,0,0,0
3.313217,0,0,0,0
3.826006,0,0,0,0
3.855563,0,0,0,0
4.523368,0,0,0,0
3.786869,0,0,0,0
3.784386,0,0,0,0
5.154172,0,0,0,0
6.391053,0,0,0,0
7.704615,0,0,0,0
6.406273,0,0,0,0
5.384440,0,0,0,0
6.050012,0,0,0,0
17.798376,0,0,0,0
7.611297,0,0,0,0
9.065407,0,0,0,0
7.014450,0,0,0,0
8.087372,0,0,0,0
5.696956,0,0,0,0
7.460749,0,0,0,0
9.226911,0,0,0,0
8.977511,0,0,0,0
8.791830,0,0,0,0
6.136714,0,0,0,0
