#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
6.137723,0.076648,0.768741,0.007193,0.007193,6.995453
8.326129,0.259539,2.681298,0.001526,0.001526,11.270528
8.779414,0.376153,3.582801,0.196082,0.196082,19.804637
8.126220,0.379376,3.606834,0.344816,0.344816,21.754160
9.563779,0.168658,21.440201,0.410360,0.410360,61.186413
9.744376,0.199010,20.459804,0.612826,0.612826,68.929493
9.258568,0.328029,8.434882,0.585831,0.585831,37.943890
11.438295,0.413338,16.820016,0.964833,0.964833,63.291439
9.311697,0.304388,16.830018,0.947042,0.947042,65.682157
6.326924,0.138663,7.308057,43.438528,43.438528,79.883599
10.400051,0.167920,20.530849,0.880949,0.880949,67.939516
7.917245,0.205343,14.090525,1.123416,1.123416,53.135929
5.745845,0.098707,11.123440,1.052309,1.052309,51.019412
12.027963,0.372870,30.871780,1.430039,1.430039,89.767023
9.250279,0.175209,18.355411,1.436875,1.436875,71.356922
7.938708,0.124612,14.664398,1.792894,1.792894,66.946173
9.218599,0.154072,16.371984,2.014275,2.014275,72.545377
7.556793,0.110160,13.940207,1.915633,1.915633,69.182681
9.041228,0.118809,16.501349,2.318408,2.318408,77.630873
7.992716,0.085531,13.676027,2.240842,2.240842,74.019903
6.635725,0.079299,12.351631,2.531330,2.531330,84.153137
14.761002,0.165141,37.447785,3.352990,3.352990,126.051205
7.119348,0.124707,16.681508,3.533928,3.533928,85.550296
14.882264,0.239409,36.819196,3.239973,3.239973,310.047674
6.487594,0.122554,14.062608,2.901408,2.901408,76.362110
8.236784,0.089454,13.730943,2.334042,2.334042,78.975695
11.737705,0.130251,18.718100,3.757469,3.757469,98.256437
10.016132,0.166573,24.197961,3.061134,3.061134,110.553130
11.123284,0.223689,19.740942,6.135673,6.135673,105.403053
11.919292,0.268732,27.079008,2.877202,2.877202,123.657025
11.816328,0.284515,24.824483,3.567428,3.567428,116.481387
12.194283,0.328621,34.270021,3.463898,3.463898,119.246887
7.044829,0.179583,15.420476,3.773298,3.773298,88.196408
12.006651,0.381449,31.841333,4.727532,4.727532,127.870658
10.314152,0.193143,18.914108,4.334265,4.334265,95.191608
12.720207,0.346150,25.087252,4.000497,4.000497,101.879863
11.107859,0.155667,26.871691,3.482950,3.482950,106.870101
6.358688,0.093115,14.855958,3.886247,3.886247,84.845305
6.374726,0.108187,15.040946,4.184222,4.184222,85.449244
6.488289,0.121803,14.367163,2.974243,2.974243,83.972784
6.556834,0.130528,17.714828,3.697048,3.697048,88.386300
15.161208,0.224761,46.761737,3.902895,3.902895,186.298298
14.212048,0.197951,21.949073,6.364664,6.364664,170.062999
6.293914,0.143872,14.419299,2.656125,2.656125,91.323156
8.905690,0.175965,16.871123,4.946892,4.946892,91.405326
10.907553,0.209698,31.111028,2.621696,2.621696,108.939910
9.829363,0.146056,14.751358,3.705475,3.705475,96.948540
12.674732,0.293374,38.218652,3.539115,3.539115,127.570097
9.947414,0.125840,15.753182,3.804903,3.804903,97.660692
6.649925,0.207817,17.431762,6.723381,6.723381,93.576290
7.241106,0.164359,16.179394,3.010919,3.010919,83.635067
6.497370,0.133218,16.272325,3.524188,3.524188,87.616646
6.612305,0.126396,18.211934,4.538778,4.538778,88.972960
6.373990,0.144086,16.494921,3.114542,3.114542,81.007077
6.658482,0.125966,16.255196,3.284498,3.284498,84.151649
6.436505,0.133023,15.171785,3.956449,3.956449,96.349436
6.298177,0.113907,15.462917,3.522493,3.522493,84.002271
11.407631,0.245282,30.808789,3.411838,3.411838,107.288040
6.026207,0.106566,15.220216,3.643317,3.643317,81.787992
6.032275,0.105162,13.360029,3.551894,3.551894,80.890954
6.145415,0.104634,14.819956,3.329367,3.329367,83.970694
5.998059,0.105036,14.800033,2.601049,2.601049,82.003858
6.790474,0.137309,20.037430,2.985546,2.985546,92.759505
12.078544,0.171667,28.274086,3.575829,3.575829,122.971393
6.462587,0.153691,16.157455,3.878095,3.878095,90.770557
6.806878,0.157163,16.072857,4.433693,4.433693,92.802666
9.861914,0.191155,19.868522,4.417944,4.417944,98.524777
6.621797,0.138123,13.898194,3.799997,3.799997,82.504070
7.015257,0.145580,14.842305,3.306993,3.306993,83.423960
7.234197,0.145608,18.194319,3.931907,3.931907,89.604916
6.472532,0.130558,17.221943,3.191917,3.191917,87.489642
6.854383,0.144153,21.356656,4.856878,4.856878,94.676583
6.150325,0.116651,19.651647,3.641608,3.641608,84.656188
5.717284,0.123136,18.595309,4.106824,4.106824,85.958546
6.070302,0.122592,14.772223,3.675269,3.675269,88.309998
5.980354,0.111906,16.915183,4.239839,4.239839,178.876236
6.418174,0.130245,17.585052,3.441290,3.441290,82.343774
8.501672,0.108543,17.232361,4.238128,4.238128,86.881445
6.504007,0.151530,15.854753,3.872954,3.872954,84.696017
6.777208,0.166636,15.309755,4.056403,4.056403,83.760307
