#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403638127295097088.000000,0.000000,0.000000,14.517636,2.410509,0.007268,8.342139,2.072788,0.001933,19.323552
1403638127345096960.000000,0.000000,0.000000,15.373682,3.106723,0.055443,2.080958,2.339362,0.000673,21.800652
1403638127395097088.000000,0.000000,0.000000,15.598736,2.692171,0.050266,1.725472,1.872146,0.000636,21.150545
1403638127445096960.000000,0.000000,0.000000,15.659993,4.116989,0.055652,1.598135,1.605450,0.000706,23.178802
1403638127495097088.000000,0.000000,0.000000,16.352507,2.522384,0.043174,0.779886,0.897834,0.185051,21.800654
1403638127545096960.000000,0.000000,0.000000,15.497255,2.362429,0.042804,0.954813,2.372442,0.000730,20.630322
1403638127595097088.000000,0.000000,0.000000,14.472842,5.603718,0.099475,2.193512,1.902262,0.000779,23.090991
1403638127645096960.000000,0.000000,0.000000,16.437690,5.740189,0.060868,0.791671,1.047469,0.000332,25.486915
1403638127695097088.000000,0.000000,0.000000,14.832460,2.419940,0.055682,0.669276,0.999037,0.000466,19.855451
1403638127745096960.000000,0.000000,0.000000,14.989021,5.705303,0.103034,0.676780,1.036043,0.196753,24.567086
1403638127795097088.000000,0.000000,0.000000,15.686654,2.306964,0.044236,2.735991,1.271079,0.000448,20.696106
1403638127845096960.000000,0.000000,0.000000,14.555727,5.739566,0.105965,0.934780,1.114310,0.000470,23.268433
1403638127895097088.000000,0.000000,0.000000,16.647878,5.757311,0.106712,0.800561,0.968157,0.000329,25.542645
1403638127945096960.000000,0.000000,0.000000,17.067056,5.572475,0.103111,1.605029,1.903018,0.000565,26.442128
1403638127995097088.000000,0.000000,0.000000,15.169927,2.565930,0.051971,1.881339,2.154378,0.383726,21.160200
1403638128045096960.000000,0.000000,0.000000,16.130175,2.321234,0.050183,1.230683,1.044793,0.000339,21.311353
1403638128095097088.000000,0.000000,0.000000,14.691465,5.800627,0.097418,2.159488,2.635216,0.000602,24.239462
