#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.007442,3,1,0,2443
0.001287,4,1,0,3078
0.726886,5,1,0,3760
0.759203,6,1,0,4380
0.792353,7,1,0,4922
1.264048,8,1,0,5398
1.819468,9,1,0,5832
1.774622,10,1,0,6326
2.063846,0,0,0,0
143.309862,0,0,0,0
2.402555,0,0,0,0
2.430324,0,0,0,0
3.224940,0,0,0,0
3.907048,0,0,0,0
3.440246,0,0,0,0
7.033240,0,0,0,0
5.413707,0,0,0,0
4.929643,0,0,0,0
5.585656,0,0,0,0
7.589661,0,0,0,0
24.925938,0,0,0,0
8.298759,0,0,0,0
8.648150,0,0,0,0
9.999987,0,0,0,0
6.689186,0,0,0,0
10.323584,0,0,0,0
8.287067,0,0,0,0
9.977076,0,0,0,0
7.275445,0,0,0,0
8.204293,0,0,0,0
9.874945,0,0,0,0
10.220530,0,0,0,0
10.610678,0,0,0,0
6.849332,0,0,0,0
8.925829,0,0,0,0
6.647631,0,0,0,0
7.897076,0,0,0,0
5.816336,0,0,0,0
10.283743,0,0,0,0
7.113973,0,0,0,0
6.584702,0,0,0,0
6.622868,0,0,0,0
6.655532,0,0,0,0
9.349387,0,0,0,0
7.120663,0,0,0,0
12.253941,0,0,0,0
7.663741,0,0,0,0
6.584871,0,0,0,0
7.041595,0,0,0,0
4.635627,0,0,0,0
5.956105,0,0,0,0
5.782498,0,0,0,0
4.952978,0,0,0,0
8.080502,0,0,0,0
5.678358,0,0,0,0
4.842993,0,0,0,0
7.892799,0,0,0,0
5.525326,0,0,0,0
5.259722,0,0,0,0
5.441814,0,0,0,0
5.271113,0,0,0,0
5.037911,0,0,0,0
9.155179,0,0,0,0
4.411285,0,0,0,0
4.748722,0,0,0,0
4.506433,0,0,0,0
4.924639,0,0,0,0
6.205719,0,0,0,0
4.962964,0,0,0,0
6.190207,0,0,0,0
6.318005,0,0,0,0
4.518096,0,0,0,0
7.137954,0,0,0,0
4.545029,0,0,0,0
6.637844,0,0,0,0
5.354871,0,0,0,0
3.983934,0,0,0,0
4.899960,0,0,0,0
4.171395,0,0,0,0
5.027061,0,0,0,0
3.973049,0,0,0,0
4.312292,0,0,0,0
3.353263,0,0,0,0
3.410367,0,0,0,0
5.072148,0,0,0,0
2.663649,0,0,0,0
2.842767,0,0,0,0
4.282910,0,0,0,0
3.265024,0,0,0,0
4.240838,0,0,0,0
3.366382,0,0,0,0
3.519991,0,0,0,0
4.841268,0,0,0,0
4.838411,0,0,0,0
4.847738,0,0,0,0
5.797198,0,0,0,0
8.204981,0,0,0,0
6.080111,0,0,0,0
6.237668,0,0,0,0
6.978889,0,0,0,0
6.880396,0,0,0,0
7.405022,0,0,0,0
9.921007,0,0,0,0
9.583558,0,0,0,0
9.332662,0,0,0,0
8.421156,0,0,0,0
7.996932,0,0,0,0
8.894409,0,0,0,0
7.613440,0,0,0,0
7.985877,0,0,0,0
8.350769,0,0,0,0
9.704436,0,0,0,0
7.677587,0,0,0,0
9.577329,0,0,0,0
9.292734,0,0,0,0
9.605989,0,0,0,0
10.072688,0,0,0,0
12.153168,0,0,0,0
8.833934,0,0,0,0
15.284480,0,0,0,0
9.925236,0,0,0,0
8.989610,0,0,0,0
8.592985,0,0,0,0
8.267921,0,0,0,0
11.057627,0,0,0,0
6.997672,0,0,0,0
8.682676,0,0,0,0
10.692389,0,0,0,0
8.523464,0,0,0,0
8.185729,0,0,0,0
10.702111,0,0,0,0
8.116031,0,0,0,0
10.373861,0,0,0,0
6.320500,0,0,0,0
5.541349,0,0,0,0
6.074628,0,0,0,0
7.891331,0,0,0,0
12.527812,0,0,0,0
10.241447,0,0,0,0
9.294598,0,0,0,0
13.141192,0,0,0,0
7.124187,0,0,0,0
8.705724,0,0,0,0
9.640284,0,0,0,0
9.076778,0,0,0,0
9.829457,0,0,0,0
4.029020,0,0,0,0
6.099838,0,0,0,0
7.870523,0,0,0,0
3.793691,0,0,0,0
7.584908,0,0,0,0
5.117835,0,0,0,0
6.589263,0,0,0,0
6.637435,0,0,0,0
5.947068,0,0,0,0
5.889999,0,0,0,0
7.446875,0,0,0,0
6.115453,0,0,0,0
8.173858,0,0,0,0
6.267132,0,0,0,0
10.207003,0,0,0,0
6.978448,0,0,0,0
6.300571,0,0,0,0
8.343648,0,0,0,0
8.445087,0,0,0,0
9.678207,0,0,0,0
9.976550,0,0,0,0
12.346287,0,0,0,0
7.277747,0,0,0,0
10.486587,0,0,0,0
12.545385,0,0,0,0
12.356593,0,0,0,0
11.437975,0,0,0,0
27.334561,0,0,0,0
27.500370,0,0,0,0
10.927612,0,0,0,0
10.936151,0,0,0,0
8.953638,0,0,0,0
10.042393,0,0,0,0
12.048040,0,0,0,0
12.158102,0,0,0,0
9.614884,0,0,0,0
11.985414,0,0,0,0
9.598160,0,0,0,0
9.111455,0,0,0,0
12.235373,0,0,0,0
10.120480,0,0,0,0
10.128004,0,0,0,0
9.542258,0,0,0,0
9.135791,0,0,0,0
9.940884,0,0,0,0
9.450223,0,0,0,0
12.749639,0,0,0,0
11.298373,0,0,0,0
9.545713,0,0,0,0
10.752561,0,0,0,0
10.955261,0,0,0,0
5.299121,0,0,0,0
4.548292,0,0,0,0
6.081196,0,0,0,0
6.416170,0,0,0,0
7.749928,0,0,0,0
7.447928,0,0,0,0
6.019429,0,0,0,0
6.741220,0,0,0,0
6.225543,0,0,0,0
5.860676,0,0,0,0
9.177651,0,0,0,0
6.749411,0,0,0,0
5.542142,0,0,0,0
5.715714,0,0,0,0
6.794534,0,0,0,0
6.940404,0,0,0,0
7.473762,0,0,0,0
8.469668,0,0,0,0
10.738645,0,0,0,0
14.764102,0,0,0,0
10.303201,0,0,0,0
20.116502,0,0,0,0
10.985751,0,0,0,0
13.389229,0,0,0,0
12.183384,0,0,0,0
9.399792,0,0,0,0
10.354304,0,0,0,0
10.517726,0,0,0,0
7.214581,0,0,0,0
8.499877,0,0,0,0
4.490875,0,0,0,0
7.964464,0,0,0,0
6.115450,0,0,0,0
7.323102,0,0,0,0
4.203597,0,0,0,0
5.863157,0,0,0,0
7.849170,0,0,0,0
5.112176,0,0,0,0
4.821102,0,0,0,0
6.154038,0,0,0,0
7.766570,0,0,0,0
6.872674,0,0,0,0
6.680930,0,0,0,0
6.453756,0,0,0,0
8.067941,0,0,0,0
9.268513,0,0,0,0
10.116397,0,0,0,0
8.791626,0,0,0,0
10.422873,0,0,0,0
7.284752,0,0,0,0
8.729324,0,0,0,0
6.993071,0,0,0,0
8.404313,0,0,0,0
10.760180,0,0,0,0
13.687281,0,0,0,0
9.184265,0,0,0,0
9.272739,0,0,0,0
6.844146,0,0,0,0
9.885319,0,0,0,0
8.424259,0,0,0,0
10.037988,0,0,0,0
9.806088,0,0,0,0
10.394133,0,0,0,0
7.405495,0,0,0,0
4.911470,0,0,0,0
9.233308,0,0,0,0
8.040237,0,0,0,0
6.822518,0,0,0,0
7.646957,0,0,0,0
6.882112,0,0,0,0
6.467869,0,0,0,0
5.622960,0,0,0,0
8.600465,0,0,0,0
10.505069,0,0,0,0
4.888860,0,0,0,0
8.226497,0,0,0,0
8.613905,0,0,0,0
6.411713,0,0,0,0
8.428385,0,0,0,0
6.539398,0,0,0,0
8.615394,0,0,0,0
5.432028,0,0,0,0
7.121243,0,0,0,0
5.186500,0,0,0,0
4.919629,0,0,0,0
6.718992,0,0,0,0
9.991957,0,0,0,0
6.082511,0,0,0,0
6.007726,0,0,0,0
8.470586,0,0,0,0
11.194265,0,0,0,0
16.515976,0,0,0,0
9.067359,0,0,0,0
7.127160,0,0,0,0
13.643336,0,0,0,0
25.143106,0,0,0,0
18.481138,0,0,0,0
11.571734,0,0,0,0
16.227529,0,0,0,0
11.645958,0,0,0,0
14.547608,0,0,0,0
14.120334,0,0,0,0
16.330119,0,0,0,0
14.990201,0,0,0,0
13.237047,0,0,0,0
13.861981,0,0,0,0
16.040890,0,0,0,0
14.940260,0,0,0,0
11.636486,0,0,0,0
13.753380,0,0,0,0
16.999457,0,0,0,0
18.416820,0,0,0,0
13.899594,0,0,0,0
15.241364,0,0,0,0
13.495133,0,0,0,0
12.409880,0,0,0,0
15.673076,0,0,0,0
18.599780,0,0,0,0
27.792442,0,0,0,0
48.975995,0,0,0,0
12.530658,0,0,0,0
14.343705,0,0,0,0
14.455602,0,0,0,0
17.586099,0,0,0,0
14.216888,0,0,0,0
13.388090,0,0,0,0
13.433164,0,0,0,0
14.949406,0,0,0,0
14.564598,0,0,0,0
16.553577,0,0,0,0
19.493141,0,0,0,0
13.310241,0,0,0,0
15.455479,0,0,0,0
13.328475,0,0,0,0
12.505919,0,0,0,0
10.847156,0,0,0,0
13.817373,0,0,0,0
11.849053,0,0,0,0
9.707052,0,0,0,0
10.954016,0,0,0,0
13.004036,0,0,0,0
11.316447,0,0,0,0
11.322530,0,0,0,0
14.326492,0,0,0,0
13.407230,0,0,0,0
14.424464,0,0,0,0
14.732342,0,0,0,0
9.671481,0,0,0,0
13.534721,0,0,0,0
16.245197,-2031373824,-2071378464,-2035817424,1794952732
13.670661,28783,28783,28783,1079821838
