#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1413393212255760384.000000,0.000000,0.000000,13.392056,6.159000,0.002524,8.459835,6.322394,0.001377,22.275132
1413393212305760512.000000,0.000000,0.000000,12.518449,6.082536,0.057250,7.118123,5.595599,0.000544,21.446559
1413393212355760384.000000,0.000000,0.000000,13.559484,7.044472,0.040102,6.499520,5.477516,0.000433,23.424314
1413393212405760512.000000,0.000000,0.000000,13.499106,10.144031,0.039963,5.446343,5.961401,0.000432,26.774733
1413393212455760384.000000,0.000000,0.000000,14.623152,6.677973,0.038947,5.124115,4.617338,0.502272,24.385291
1413393212505760512.000000,0.000000,0.000000,13.652325,5.881473,0.047525,8.274961,6.576732,0.000520,22.092013
1413393212555760384.000000,0.000000,0.000000,13.834963,7.109842,0.041226,7.174173,6.643124,0.000475,24.101663
1413393212605760512.000000,0.000000,0.000000,13.495447,6.938807,0.042968,6.297933,6.866307,0.000527,23.088071
1413393212655760384.000000,0.000000,0.000000,13.936948,16.262585,0.081923,5.974638,6.135945,0.000395,33.562623
1413393212705760512.000000,0.000000,0.000000,29.076030,21.769811,0.072691,5.285958,4.675837,0.000434,54.135663
1413393212755760384.000000,0.000000,0.000000,34.456776,18.849967,0.071966,7.387664,6.904691,0.522797,63.075990
1413393212805760512.000000,0.000000,0.000000,34.336220,21.842520,0.071800,6.848707,5.152773,0.000560,59.222602
1413393212855760384.000000,0.000000,0.000000,37.636101,19.322178,0.057799,7.262056,6.291775,0.000467,58.770620
1413393212905760512.000000,0.000000,0.000000,33.917530,20.823057,0.066240,7.026026,5.484171,0.000429,57.116653
1413393212955760384.000000,0.000000,0.000000,37.722327,22.260054,0.072932,5.958829,6.033023,0.000460,65.106088
1413393213005760512.000000,0.000000,0.000000,30.857094,20.183608,0.072119,5.616343,6.182010,0.000506,52.722106
1413393213055760384.000000,0.000000,0.000000,33.848812,19.042393,0.066327,4.764363,5.144307,0.432957,58.228817
1413393213105760512.000000,0.000000,0.000000,32.490329,11.518921,0.067950,8.355693,6.374925,0.000419,49.030715
1413393213155760384.000000,0.000000,0.000000,34.483542,19.584186,0.072765,6.392083,6.205781,0.000461,59.233564
1413393213205760512.000000,0.000000,0.000000,35.379231,23.553083,0.069892,7.158067,7.069793,0.000432,64.362116
1413393213255760384.000000,0.000000,0.000000,34.148059,21.672505,0.068103,5.262509,6.180001,0.000431,58.065451
1413393213305760512.000000,0.000000,0.000000,33.985840,21.511104,0.061817,6.950382,6.783847,0.000540,61.597809
1413393213355760384.000000,0.000000,0.000000,33.082902,20.380167,0.067770,5.340131,6.224851,0.458713,55.834085
1413393213405760512.000000,0.000000,0.000000,16.580824,5.939173,0.052882,7.021262,7.014196,0.000505,24.942335
1413393213455760384.000000,0.000000,0.000000,14.634952,6.742094,0.037616,5.394329,6.200768,0.000452,23.829948
1413393213505760512.000000,0.000000,0.000000,12.958412,6.418960,0.035953,6.379863,6.987538,0.000497,21.894136
1413393213555760384.000000,0.000000,0.000000,13.059996,6.070171,0.045114,6.399242,7.024093,0.000430,22.139636
1413393213605760512.000000,0.000000,0.000000,12.658225,6.071850,0.045767,4.955689,6.304794,0.469940,21.153687
1413393213655760384.000000,0.000000,0.000000,13.682809,11.427453,0.048539,8.015121,7.729694,0.000508,28.279361
1413393213705760512.000000,0.000000,0.000000,13.679015,6.115608,0.045666,6.767932,7.448962,0.000711,22.612195
1413393213755760384.000000,0.000000,0.000000,13.917221,7.117737,0.041800,5.123396,6.814160,0.000501,24.208435
1413393213805760512.000000,0.000000,0.000000,13.124680,7.185986,0.049908,4.964244,6.501219,0.000574,22.917048
1413393213855760384.000000,0.000000,0.000000,13.629115,6.060332,0.046957,4.240747,6.007195,0.446072,22.958879
1413393213905760512.000000,0.000000,0.000000,14.779742,5.898863,0.047619,6.981533,5.292216,0.000491,23.904870
1413393213955760384.000000,0.000000,0.000000,14.553565,11.954675,0.049426,4.313509,5.695091,0.000348,29.462512
1413393214005760512.000000,0.000000,0.000000,13.327895,5.936551,0.048230,4.895605,6.231719,0.000493,22.530150
1413393214055760384.000000,0.000000,0.000000,15.110200,11.301792,0.039843,5.925960,6.599612,0.000445,29.178868
1413393214105760512.000000,0.000000,0.000000,14.456020,15.050141,0.079153,4.598488,7.184095,0.533494,33.024181
1413393214155760384.000000,0.000000,0.000000,15.523304,7.245988,0.042682,6.129963,6.858538,0.000546,26.058451
1413393214205760512.000000,0.000000,0.000000,14.311090,8.885235,0.049004,4.371146,6.431953,0.000443,26.521730
1413393214255760384.000000,0.000000,0.000000,13.253226,5.990385,0.046935,5.222091,7.514699,0.000528,21.903357
1413393214305760512.000000,0.000000,0.000000,13.887260,7.004629,0.049529,5.853298,8.000888,0.000518,24.225294
1413393214355760384.000000,0.000000,0.000000,13.589648,7.214841,0.040328,4.711690,7.162712,0.461080,24.061402
1413393214405760512.000000,0.000000,0.000000,13.448944,6.077362,0.048402,6.833269,7.642956,0.000549,22.590976
1413393214455760384.000000,0.000000,0.000000,15.080106,6.178566,0.046752,7.979843,8.241176,0.000630,23.864301
1413393214505760512.000000,0.000000,0.000000,14.309115,7.197723,0.041932,4.531696,5.870792,0.000485,24.523620
1413393214555760384.000000,0.000000,0.000000,14.201986,7.012499,0.041485,4.201252,6.850453,0.000505,24.464936
1413393214605760512.000000,0.000000,0.000000,13.923257,6.093040,0.094587,5.572454,5.527775,0.489638,23.140054
1413393214655760384.000000,0.000000,0.000000,12.614651,6.187941,0.047353,7.640951,7.979392,0.000533,21.586740
1413393214705760512.000000,0.000000,0.000000,13.077667,14.763914,0.083094,0.067874,10.389172,0.078348,30.867000
1413393214755760384.000000,0.000000,0.000000,14.542966,6.369365,0.050638,0.054700,11.629293,0.092112,23.609978
1413393214805760512.000000,0.000000,0.000000,14.448025,6.969441,0.041853,0.062387,10.622156,0.587243,24.666922
1413393214855760384.000000,0.000000,0.000000,14.500653,13.986587,0.077787,0.068138,10.598962,0.075382,32.013190
1413393214905760512.000000,0.000000,0.000000,14.208168,11.031141,0.040905,0.055108,11.736149,0.081154,27.801261
1413393214955760384.000000,0.000000,0.000000,14.414816,6.006118,0.048238,0.035060,8.986682,0.067145,23.187318
1413393215005760512.000000,0.000000,0.000000,15.404252,14.808081,0.074889,0.033396,8.563089,0.059645,33.113931
1413393215055760384.000000,0.000000,0.000000,13.548811,10.388904,0.048283,0.042574,12.424084,0.081322,26.653709
1413393215105760512.000000,0.000000,0.000000,13.848945,10.048246,0.048217,0.044671,12.140341,0.071546,26.695586
1413393215155760384.000000,0.000000,0.000000,14.199306,15.797513,0.085646,0.046675,10.079148,0.589519,33.100427
1413393215205760512.000000,0.000000,0.000000,14.699599,15.878687,0.091896,0.068789,12.509899,0.082697,33.465777
1413393215255760384.000000,0.000000,0.000000,14.211689,15.448211,0.069801,0.040747,13.114743,0.074707,33.029283
1413393215305760512.000000,0.000000,0.000000,13.473060,16.626036,0.075159,0.039679,10.730501,0.063040,33.571511
1413393215355760384.000000,0.000000,0.000000,14.506757,6.920094,0.041019,0.036286,9.126918,0.056104,24.703679
1413393215405760512.000000,0.000000,0.000000,13.911957,6.885366,0.040828,0.043410,13.375452,0.073780,23.428400
1413393215455760384.000000,0.000000,0.000000,16.150289,7.063858,0.033553,0.043222,12.539546,0.071362,26.114732
1413393215505760512.000000,0.000000,0.000000,14.220896,11.031302,0.069428,0.044528,12.122272,0.730791,28.423198
1413393215555760384.000000,0.000000,0.000000,13.097041,5.856233,0.049273,0.063991,12.300304,0.082594,21.470014
1413393215605760512.000000,0.000000,0.000000,13.570582,10.588135,0.050166,0.030679,8.698096,0.056419,27.164865
1413393215655760384.000000,0.000000,0.000000,13.983506,15.264927,0.074457,0.049882,10.018071,0.064059,32.783288
1413393215705760512.000000,0.000000,0.000000,13.290848,5.904750,0.051113,0.037471,10.124016,0.666013,22.387640
1413393215755760384.000000,0.000000,0.000000,14.085332,5.879177,0.047554,0.065310,13.049018,0.084101,22.522643
1413393215805760512.000000,0.000000,0.000000,15.380884,15.736981,0.073684,0.090253,13.211180,0.084637,34.609422
1413393215855760384.000000,0.000000,0.000000,14.050688,6.177138,0.048490,0.096872,10.505116,0.065294,23.215267
1413393215905760512.000000,0.000000,0.000000,14.298146,16.144351,0.048522,0.034689,9.122956,0.055738,33.511126
1413393215955760384.000000,0.000000,0.000000,13.188342,13.140342,0.049052,0.037251,9.309373,0.060829,29.757552
1413393216005760512.000000,0.000000,0.000000,15.257953,13.080742,0.075643,0.056622,9.035652,0.593900,31.433364
1413393216055760384.000000,0.000000,0.000000,14.677216,6.476771,0.048139,0.078130,12.889910,0.086310,24.166208
1413393216105760512.000000,0.000000,0.000000,16.986057,6.998541,0.050633,0.064450,12.668268,0.083674,26.915293
1413393216155760384.000000,0.000000,0.000000,14.054003,13.858893,0.071606,0.060296,11.855804,0.060736,30.808914
1413393216205760512.000000,0.000000,0.000000,13.946619,11.188185,0.050125,0.042173,9.716225,0.057271,28.045625
1413393216255760384.000000,0.000000,0.000000,14.085907,5.660848,0.048720,0.037524,9.627996,0.056672,22.318332
1413393216305760512.000000,0.000000,0.000000,13.891438,15.288661,0.070698,0.037155,9.126889,0.060402,32.052730
1413393216355760384.000000,0.000000,0.000000,14.029886,13.902257,0.043432,0.036125,9.517594,0.059845,30.794917
1413393216405760512.000000,0.000000,0.000000,13.172955,6.872461,0.041695,0.046037,12.345552,0.070899,23.311278
1413393216455760384.000000,0.000000,0.000000,14.132861,14.303290,0.048405,0.036005,8.958613,0.056589,30.901259
1413393216505760512.000000,0.000000,0.000000,15.685733,5.758708,0.048223,0.044187,11.854694,0.742515,24.390150
1413393216555760384.000000,0.000000,0.000000,13.520975,7.561425,0.040466,0.067249,11.439352,0.081902,24.998282
1413393216605760512.000000,0.000000,0.000000,15.400559,6.820135,0.042853,0.065390,12.302833,0.083566,39.976292
1413393216655760384.000000,0.000000,0.000000,13.632575,9.615754,0.091837,0.049324,8.766890,0.055313,38.781474
1413393216705760512.000000,0.000000,0.000000,13.759614,8.585888,0.054303,0.042257,9.558774,0.060474,37.535674
1413393216755760384.000000,0.000000,0.000000,14.283742,5.762952,0.050217,0.037474,10.699688,0.062307,33.937585
1413393216805760512.000000,0.000000,0.000000,13.402902,5.916992,0.053014,0.036958,8.933943,0.582246,32.677422
1413393216855760384.000000,0.000000,0.000000,14.901926,7.017031,0.049804,0.070792,11.251057,0.072088,39.965490
1413393216905760512.000000,0.000000,0.000000,14.496334,8.459466,0.062224,0.058629,10.003240,0.073780,40.052227
1413393216955760384.000000,0.000000,0.000000,12.952453,7.864589,0.055900,0.055864,9.677574,0.061423,36.494102
1413393217005760512.000000,0.000000,0.000000,13.272418,8.529500,0.055666,0.044139,12.434094,0.068651,36.453107
1413393217055760384.000000,0.000000,0.000000,14.238441,5.446891,0.053629,0.035523,12.098629,0.799497,32.253593
1413393217105760512.000000,0.000000,0.000000,13.041526,8.124584,0.057863,0.061488,10.863399,0.106640,38.872914
1413393217155760384.000000,0.000000,0.000000,13.534913,7.233727,0.060278,0.068729,10.299213,0.077806,35.936484
1413393217205760512.000000,0.000000,0.000000,13.204334,7.987378,0.064256,0.034206,11.271485,0.078518,37.735352
1413393217255760384.000000,0.000000,0.000000,13.504558,9.655952,0.125471,0.048335,11.009580,0.611005,39.303630
1413393217305760512.000000,0.000000,0.000000,14.341118,7.758325,0.059290,0.053998,11.774419,0.079165,37.027261
1413393217355760384.000000,0.000000,0.000000,13.274987,7.006327,0.058674,0.059645,10.484658,0.074803,34.724748
1413393217405760512.000000,0.000000,0.000000,13.613945,5.494193,0.059377,0.027394,8.825883,0.058705,31.842451
1413393217455760384.000000,0.000000,0.000000,13.728636,8.900308,0.080398,0.060169,12.414037,0.065731,40.431681
1413393217505760512.000000,0.000000,0.000000,14.632793,7.079033,0.056657,0.060907,12.431398,0.065594,36.944256
1413393217555760384.000000,0.000000,0.000000,13.435872,8.243263,0.119518,0.050891,10.574966,0.060574,39.483628
1413393217605760512.000000,0.000000,0.000000,13.814330,6.131467,0.060480,0.064034,12.892684,0.068331,34.544577
1413393217655760384.000000,0.000000,0.000000,14.307563,7.954586,0.062623,0.057907,11.869972,0.072828,39.275017
1413393217705760512.000000,0.000000,0.000000,13.462119,8.881705,0.121691,0.053453,11.925762,0.713709,37.747347
1413393217755760384.000000,0.000000,0.000000,13.355372,8.323834,0.073450,0.064295,13.745349,0.091109,38.417171
1413393217805760512.000000,0.000000,0.000000,14.043327,6.991301,0.068242,0.058320,11.489684,0.081374,36.172577
1413393217855760384.000000,0.000000,0.000000,14.155083,7.374231,0.060547,0.044870,11.333079,0.074537,38.223226
