#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
6.182934,0.034524,0.314294,0.005912,0.005912,6.542533
8.498326,0.174657,2.253133,0.002793,0.002793,10.931329
9.118372,0.258469,3.397908,0.491018,0.491018,33.980313
7.117728,0.117404,4.023591,0.699505,0.699505,26.270849
9.923634,0.242142,13.721119,0.900682,0.900682,61.555883
6.391311,0.169322,6.497057,0.538066,0.538066,32.206492
10.223019,0.292621,12.030114,0.882020,0.882020,46.710422
7.437647,0.175266,10.676568,1.258138,1.258138,46.040032
6.353164,0.160972,10.224289,1.499800,1.499800,45.210180
8.193885,0.328978,21.802392,68.169094,68.169094,146.240001
4.819282,0.101311,8.503789,1.159299,1.159299,40.870606
4.032590,0.086042,8.333898,1.530621,1.530621,41.767004
5.096100,0.078132,9.502886,1.422919,1.422919,47.257188
5.058741,0.070518,9.552054,1.554512,1.554512,49.987261
5.951828,0.072982,11.633595,1.489179,1.489179,55.487251
6.688503,0.107953,14.370123,1.935407,1.935407,66.197570
7.833987,0.098868,14.929066,1.825021,1.825021,69.145483
8.249882,0.119253,17.518025,2.007645,2.007645,71.864464
8.005140,0.136857,15.942681,2.317546,2.317546,71.273151
7.811282,0.107526,16.685202,2.608411,2.608411,75.446417
7.782369,0.118603,20.352181,2.703615,2.703615,83.235271
6.352647,0.125708,17.353930,3.504502,3.504502,102.788926
5.098833,0.130650,12.840430,3.139270,3.139270,78.665969
6.007757,0.119088,15.081356,3.250904,3.250904,81.051405
7.099658,0.109493,17.502831,3.360163,3.360163,89.997825
6.139383,0.092176,17.537246,3.150187,3.150187,83.181592
8.206669,0.114649,20.281164,3.602616,3.602616,87.797978
7.746089,0.108302,20.597450,4.030446,4.030446,92.560676
7.211870,0.071323,17.065923,3.664269,3.664269,81.150999
6.871246,0.095362,17.881420,3.200694,3.200694,79.811576
6.562337,0.112624,16.572975,3.012061,3.012061,79.954277
7.413276,0.142503,18.801758,3.068066,3.068066,80.362807
6.210778,0.113888,17.405767,3.085459,3.085459,78.202494
6.700628,0.128393,21.754285,3.687852,3.687852,87.830022
5.064154,0.118849,14.634584,2.613841,2.613841,72.247470
4.700682,0.125097,12.902100,2.756123,2.756123,70.116979
4.007142,0.104803,11.822971,2.893306,2.893306,66.582328
4.939015,0.131732,14.527552,2.723721,2.723721,200.644698
3.918786,0.116628,12.719920,2.625220,2.625220,74.727987
6.103976,0.123076,15.703159,3.409680,3.409680,77.713401
10.038968,0.297611,25.540086,3.299322,3.299322,94.208184
6.754168,0.156286,14.213891,4.095065,4.095065,74.797303
5.729243,0.198617,12.994426,3.178573,3.178573,76.100527
5.010860,0.194702,11.621331,1.951316,1.951316,73.991361
6.355131,0.225784,15.596577,3.776021,3.776021,85.893663
6.654728,0.197168,14.874828,3.442148,3.442148,84.654505
5.225737,0.167704,15.607207,3.312237,3.312237,80.664374
6.867634,0.184291,12.969963,2.544048,2.544048,86.098912
5.280010,0.181579,12.195269,3.733988,3.733988,79.225541
5.584077,0.190262,11.735895,2.963542,2.963542,75.213986
9.519317,0.352664,13.628026,3.376629,3.376629,83.037054
4.861393,0.139993,10.642772,2.413520,2.413520,71.233191
5.458181,0.134765,11.917909,4.427359,4.427359,79.056742
4.529298,0.137000,10.148334,3.359222,3.359222,70.903456
5.272209,0.141305,12.105287,2.777017,2.777017,78.082304
4.788430,0.145907,10.200492,2.301579,2.301579,71.023840
4.681314,0.164777,9.871169,1.653909,1.653909,72.262875
4.838854,0.244119,11.640659,1.058322,1.058322,75.389239
4.856906,0.199097,10.728977,1.542127,1.542127,74.423036
4.759806,0.194920,9.798444,2.538206,2.538206,83.977076
9.120063,0.319729,35.458521,2.937135,2.937135,229.116818
14.120188,0.351756,35.303918,1.827236,1.827236,259.487386
10.477157,4.377098,38.827231,11.400287,11.400287,234.069660
5.363328,0.243964,12.434760,2.155825,2.155825,87.688228
6.383560,0.226568,11.622283,2.522185,2.522185,102.953455
5.537257,0.158130,10.202587,1.793570,1.793570,113.061492
6.290892,0.204916,11.494290,1.808489,1.808489,83.806715
9.659525,0.350524,21.096033,2.034934,2.034934,119.578317
8.167094,0.229257,11.339088,2.184972,2.184972,95.028170
6.881324,0.254859,11.620069,2.933382,2.933382,97.608668
9.714035,0.258158,19.626874,1.364054,1.364054,108.003096
10.990081,0.493704,28.573170,1.367481,1.367481,121.269154
10.633186,0.331711,24.267970,2.079458,2.079458,122.422739
6.407559,0.282343,16.216665,2.267219,2.267219,117.038472
12.204106,0.494057,31.749354,2.971945,2.971945,128.045568
6.886279,0.177707,17.469203,2.493507,2.493507,101.630216
6.232644,0.186052,16.664227,2.934514,2.934514,114.022216
7.320566,0.263277,16.278377,4.064986,4.064986,102.680213
5.901617,0.191277,14.667936,3.062302,3.062302,98.214897
5.645774,0.201071,15.872840,3.879505,3.879505,106.249967
5.622532,0.249888,15.284714,3.114532,3.114532,119.765040
4.477914,0.179023,13.757280,4.237452,4.237452,98.217604
4.639916,0.185143,14.396051,3.365460,3.365460,102.373909
3.655043,0.173670,10.558122,3.870379,3.870379,97.177192
3.983416,0.147895,11.381577,3.916156,3.916156,97.826537
4.525046,0.131736,13.392612,3.742303,3.742303,102.901731
3.685477,0.156081,12.636691,3.745395,3.745395,99.954347
4.557070,0.159670,14.616974,3.568613,3.568613,102.562891
4.583163,0.124465,14.221988,4.384469,4.384469,99.713010
4.499498,0.135506,14.720365,3.259283,3.259283,101.754608
4.228634,0.122114,13.538277,4.670027,4.670027,98.932643
4.366722,0.100540,13.962349,3.434153,3.434153,98.683773
4.637901,0.095453,13.082477,2.731746,2.731746,134.754613
5.737193,0.126012,20.571155,3.474000,3.474000,109.218321
5.652705,0.115891,16.881486,3.285001,3.285001,115.524360
13.391950,0.414276,31.645781,4.474460,4.474460,131.690249
13.362908,0.452851,28.576939,2.843019,2.843019,130.622619
10.652545,0.453239,36.430026,4.534319,4.534319,144.433759
11.220923,0.501231,29.278284,3.817622,3.817622,131.723232
6.155671,0.267522,12.689675,2.899012,2.899012,106.869539
4.956872,0.229805,9.991012,2.560861,2.560861,120.442305
5.159759,0.300750,8.970227,1.923687,1.923687,118.213051
5.543104,0.371170,10.967315,1.280258,1.280258,115.588872
4.034501,0.225621,7.720381,1.858349,1.858349,104.484962
4.115332,0.188345,7.231713,2.071236,2.071236,96.277478
7.251878,0.265616,13.597443,1.936721,1.936721,112.029955
8.443276,0.337929,15.859188,1.223030,1.223030,122.421247
6.621306,0.311458,11.611010,1.239283,1.239283,123.142028
6.508133,0.331966,12.102746,1.238861,1.238861,410.624053
5.213492,0.335988,9.061850,1.896768,1.896768,101.807743
4.538900,0.156798,8.796389,1.525621,1.525621,100.559555
5.456308,0.207017,9.325645,1.621472,1.621472,98.256265
5.741474,0.191115,10.172091,1.551404,1.551404,98.892524
5.516400,0.176782,10.750325,1.166060,1.166060,98.223303
5.492912,0.181044,10.122634,1.713842,1.713842,97.510332
5.235979,0.137277,10.858403,2.309454,2.309454,94.649166
5.326915,0.132266,10.855726,2.938060,2.938060,95.504772
5.624933,0.137552,13.617735,1.602131,1.602131,105.183623
6.296669,0.206343,11.142098,1.879957,1.879957,103.412335
10.405507,0.420396,29.722900,2.664282,2.664282,147.693856
5.874414,0.198968,10.981803,1.484506,1.484506,106.979535
7.365469,0.256203,16.593014,2.117817,2.117817,125.904246
11.142016,0.367670,46.364721,8.293060,8.293060,371.968679
14.421200,0.403119,50.556839,4.738916,4.738916,356.203727
10.342367,4.452642,18.112511,3.026663,3.026663,118.195229
4.759242,0.216248,11.599583,6.211663,6.211663,110.352623
5.810810,0.186579,12.908686,2.471040,2.471040,106.331900
5.729536,0.196339,12.204923,5.447877,5.447877,112.153122
6.711210,0.225609,14.880737,3.745730,3.745730,123.361641
5.947736,0.199983,14.244999,4.520187,4.520187,112.865022
5.305610,0.250014,14.631046,3.918063,3.918063,111.157640
5.533941,0.257690,14.420552,3.146324,3.146324,113.013673
6.381049,0.251397,18.094050,5.084552,5.084552,124.981151
4.670101,0.163858,11.094560,3.649433,3.649433,101.461149
5.431289,0.171014,13.513196,4.735669,4.735669,110.461188
6.438283,0.151639,13.420078,6.872961,6.872961,116.685076
6.189346,0.142612,14.391493,3.455100,3.455100,119.339675
6.058462,0.219248,17.465396,6.932831,6.932831,115.326805
6.639821,0.342397,17.883222,3.526962,3.526962,117.729834
6.358098,0.350408,14.386751,4.837085,4.837085,111.454723
6.726874,0.263317,12.596470,3.952168,3.952168,101.740248
5.528691,0.254648,12.357898,6.445583,6.445583,106.217449
5.685720,0.159290,13.085341,3.922147,3.922147,101.202519
5.708272,0.186106,12.811607,5.015141,5.015141,104.024623
5.748382,0.290506,11.859467,4.583831,4.583831,101.890861
6.007258,0.300404,13.192737,3.254428,3.254428,105.924740
5.539801,0.235654,15.745931,4.166240,4.166240,114.454158
5.178967,0.199454,14.594490,4.301279,4.301279,108.397314
8.676016,0.311409,20.729245,3.403974,3.403974,120.765260
6.574514,0.208587,16.824625,3.168722,3.168722,119.618889
7.066841,0.281623,17.631209,4.187684,4.187684,115.046790
8.842948,0.325156,22.611582,5.185902,5.185902,124.220538
6.420640,0.256832,16.859161,5.019918,5.019918,120.684819
5.941589,0.234549,15.264738,4.663092,4.663092,114.432965
12.557471,0.575227,38.795536,5.140108,5.140108,161.673190
6.559834,0.173482,20.376988,4.295276,4.295276,117.476241
11.907221,0.454105,38.264213,6.248335,6.248335,146.951610
5.573705,0.196178,13.996007,3.555040,3.555040,112.526054
11.012740,0.681261,37.693706,5.271994,5.271994,163.847771
7.196288,0.213873,18.639039,4.291619,4.291619,126.345480
8.211795,0.237794,21.938845,5.374035,5.374035,132.514287
8.835931,0.214232,20.359804,6.794865,6.794865,126.080704
5.784686,0.277244,14.319626,6.265807,6.265807,121.217400
11.598733,0.460368,24.659656,8.208657,8.208657,152.470850
6.067376,0.137501,15.312763,4.300415,4.300415,128.556725
7.438619,0.217092,17.693871,4.620290,4.620290,127.048859
6.320579,0.222283,19.316234,8.246273,8.246273,129.585344
7.149237,0.276324,18.725727,6.279189,6.279189,123.869512
6.538740,0.249248,15.533141,6.393087,6.393087,129.480359
12.494406,0.371370,25.735832,8.802872,8.802872,136.285354
5.850571,0.133733,14.528243,9.583505,9.583505,128.114509
6.731001,0.211822,17.272700,9.053329,9.053329,131.097171
12.090800,0.556487,39.340460,7.058046,7.058046,167.916961
6.560001,0.304235,20.937965,6.828171,6.828171,127.305084
6.997093,0.279776,16.215271,7.140111,7.140111,124.212563
11.508480,0.375744,35.265827,7.728820,7.728820,154.288000
5.191659,0.161393,14.768058,6.845114,6.845114,125.429146
5.940234,0.187514,17.964262,5.889880,5.889880,126.388797
9.145390,0.263893,31.146241,13.415104,13.415104,208.462421
22.427496,0.344572,62.375141,11.138545,11.138545,324.175050
22.021099,0.353956,58.119203,10.977772,10.977772,329.628739
7.593104,0.214974,18.505866,9.189363,9.189363,132.766389
6.955582,0.198853,22.927248,7.016920,7.016920,134.662080
7.247778,0.217210,25.920097,10.661375,10.661375,140.730824
6.642203,0.178603,22.560581,9.430333,9.430333,138.012577
6.157929,0.219318,20.791736,7.428480,7.428480,133.930628
6.356408,0.263216,21.462112,9.311214,9.311214,136.137261
6.138957,0.241725,17.631019,6.544086,6.544086,132.357771
6.611643,0.247543,18.698799,7.184448,7.184448,133.269124
6.485671,0.240843,16.029853,4.241246,4.241246,128.040296
6.079373,0.208912,13.917825,3.543831,3.543831,131.490140
6.441063,0.232886,16.441903,5.093703,5.093703,132.739962
5.928452,0.207012,14.226897,3.676579,3.676579,129.017051
5.609916,0.225191,13.363058,2.086206,2.086206,115.527835
6.020911,0.278211,15.733663,2.788767,2.788767,118.293206
8.699569,0.387969,28.445749,3.394688,3.394688,152.316648
5.005550,0.168634,14.045642,2.323059,2.323059,63.121586
6.791425,0.251839,13.782788,3.415365,3.415365,125.159076
5.733030,0.213754,11.680230,1.031859,1.031859,118.655977
