#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
7.428416,0.049433,0.481886,0.009227,0.009227,7.975405
8.504527,0.076298,0.985756,0.002934,0.002934,9.572051
8.801401,0.098858,1.325206,0.295863,0.295863,18.774603
8.545466,0.093362,1.753276,0.550978,0.550978,24.129554
9.308754,0.032533,2.085202,0.645359,0.645359,25.154007
9.328920,0.026079,2.607625,1.000502,1.000502,31.889297
8.736969,0.023890,2.691916,0.623107,0.623107,23.744730
8.959867,0.022843,3.828809,2.266302,2.266302,37.791239
5.936975,0.016316,2.007293,0.994456,0.994456,17.183314
10.315455,0.028066,5.590506,73.750566,73.750566,119.054293
10.490185,0.033763,6.464467,2.180530,2.180530,47.520160
9.227386,0.012054,5.340042,2.324136,2.324136,52.142279
5.749778,0.022860,3.473726,2.384645,2.384645,33.332038
7.125788,0.006167,4.858602,1.766392,1.766392,41.490573
10.269920,0.036016,13.045341,2.858141,2.858141,77.785011
14.966027,0.076092,51.186141,2.357389,2.357389,146.419530
9.620503,0.195491,49.301835,2.404237,2.404237,179.556264
14.621063,0.299977,50.845719,2.532305,2.532305,128.949084
7.882232,0.227454,17.380370,2.096168,2.096168,70.257819
8.481729,0.201854,17.889588,1.845425,1.845425,73.603859
7.814168,0.158344,14.889726,2.015533,2.015533,67.832977
7.887567,0.096332,10.575220,2.773223,2.773223,63.414772
7.921245,0.104552,13.545839,2.597456,2.597456,70.394312
10.463039,0.118488,10.394495,2.876526,2.876526,70.648165
6.895160,0.070654,14.717668,2.684331,2.684331,69.811316
8.409391,0.131899,21.866109,2.570970,2.570970,77.473866
6.833930,0.129386,19.260420,3.527020,3.527020,76.862247
9.215481,0.144476,20.191168,2.705030,2.705030,81.072913
7.244877,0.126387,14.349189,2.638803,2.638803,70.299795
5.149420,0.101604,10.762208,2.860887,2.860887,65.274991
7.562080,0.142019,13.725838,2.800269,2.800269,70.578953
8.288161,0.140362,14.679064,2.667190,2.667190,73.801763
8.042648,0.098750,15.067717,2.713861,2.713861,71.486285
11.423216,0.146517,31.427678,3.693286,3.693286,99.968763
7.214098,0.121549,21.299668,4.185801,4.185801,82.279621
10.115835,0.230424,30.087910,3.791305,3.791305,94.640282
11.019769,0.227144,30.331294,3.043883,3.043883,102.071518
5.964450,0.124102,14.432913,3.034016,3.034016,71.228351
6.262327,0.100193,12.641577,3.404191,3.404191,70.973765
7.069719,0.119964,15.160487,2.508761,2.508761,71.501334
4.940770,0.078805,10.460565,2.557560,2.557560,60.693316
5.157135,0.074955,13.072921,2.647339,2.647339,71.594371
11.461778,0.151093,29.375621,2.617738,2.617738,97.245666
12.949307,0.427177,40.587795,2.898125,2.898125,119.590314
7.552305,0.194572,15.922487,3.108174,3.108174,196.356637
6.841925,0.121830,14.639428,2.669093,2.669093,72.045644
7.736716,0.057380,15.640307,2.717620,2.717620,72.839982
6.348729,0.057797,12.701315,2.697552,2.697552,67.526714
6.803689,0.040921,13.352961,2.593353,2.593353,72.077623
5.666887,0.033487,12.589695,3.209483,3.209483,71.608530
9.525215,0.046319,19.445789,2.520248,2.520248,83.512751
7.513915,0.043922,0.459164,0.002637,0.002637,8.021364
8.291725,0.132640,1.092051,0.002743,0.002743,9.521119
8.750405,0.160964,1.713314,0.461787,0.461787,22.130963
8.826457,0.131721,2.186213,0.520137,0.520137,22.987209
7.756982,0.051836,1.853553,0.600219,0.600219,20.671768
9.456081,0.040156,3.005059,0.897145,0.897145,23.013129
5.852754,0.018004,1.479326,0.721698,0.721698,15.838276
9.424838,0.028610,3.894711,1.874547,1.874547,36.271121
9.490700,0.021240,4.462150,2.240463,2.240463,46.751722
10.863377,0.021030,4.031828,67.106923,67.106923,101.447476
10.885397,0.030850,5.969214,1.671128,1.671128,62.281796
5.519445,0.030326,0.252153,0.002286,0.002286,5.805512
8.398883,0.114171,1.256197,0.002673,0.002673,9.773754
8.829014,0.156057,1.639645,0.515415,0.515415,22.318628
6.782285,0.075844,1.016767,0.390731,0.390731,15.894587
9.336393,0.038353,2.717196,0.961723,0.961723,31.918600
9.674535,0.036389,3.101495,1.657022,1.657022,33.764577
10.098946,0.031776,3.859582,1.417045,1.417045,39.874627
10.230297,0.025080,3.258629,2.016943,2.016943,34.563169
6.034190,0.016180,2.249643,1.151321,1.151321,18.854484
11.056863,0.036269,4.746078,35.804280,35.804280,76.855620
11.441602,0.025369,6.532352,1.843811,1.843811,85.349917
8.316705,0.047186,0.487919,0.002987,0.002987,8.856487
6.289683,0.073878,0.449669,0.001507,0.001507,6.815895
5.196684,0.132686,0.808114,0.190172,0.190172,10.840703
8.800641,0.215266,5.895086,0.504139,0.504139,27.965939
9.175310,0.257028,10.435730,0.783192,0.783192,42.030581
9.181007,0.291240,9.430945,0.584523,0.584523,36.760374
9.497866,0.302384,15.726341,0.988871,0.988871,56.640719
9.395525,0.302720,16.948661,0.702149,0.702149,45.139453
9.838495,0.295524,17.937041,1.159217,1.159217,61.795239
7.564556,0.183546,12.316651,44.590453,44.590453,90.802179
13.209125,0.262385,40.297501,1.319736,1.319736,121.972987
5.530383,0.184367,12.321337,0.823855,0.823855,49.629695
5.793264,0.219935,12.806200,1.071496,1.071496,50.623805
11.053847,0.293474,24.014211,1.572756,1.572756,80.950878
10.424681,0.175585,24.787891,1.320491,1.320491,86.146308
11.726883,0.342306,24.719006,1.465129,1.465129,84.853699
10.232762,0.216280,24.763563,1.635058,1.635058,215.213354
8.291536,0.214734,30.660251,2.039369,2.039369,96.238354
