#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403638127295097088.000000,0.000000,0.000000,16.148314,2.426867,0.002946,11.828421,1.233568,0.001351,20.662707
1403638127345096960.000000,0.000000,0.000000,14.216596,2.334679,0.056989,4.179166,1.294836,0.000423,19.371595
1403638127395097088.000000,0.000000,0.000000,15.206806,3.275015,0.059988,3.997925,1.241139,0.000548,21.832294
1403638127445096960.000000,0.000000,0.000000,15.070848,2.148617,0.047122,4.897938,4.929395,0.001064,20.161624
1403638127495097088.000000,0.000000,0.000000,15.200151,2.387382,0.042850,0.865947,1.102511,0.218839,20.152190
1403638127545096960.000000,0.000000,0.000000,14.518941,2.197297,0.051763,1.160637,1.129498,0.000396,19.512513
1403638127595097088.000000,0.000000,0.000000,15.212953,2.360608,0.043839,1.199698,5.331989,0.000603,20.067035
1403638127645096960.000000,0.000000,0.000000,15.009444,2.441887,0.043275,5.229429,1.391184,0.000803,20.643066
1403638127695097088.000000,0.000000,0.000000,15.900979,2.419787,0.057897,1.067388,5.259202,0.000431,21.545366
1403638127745096960.000000,0.000000,0.000000,14.346149,2.215559,0.050131,0.998524,1.525410,4.305098,19.132738
1403638127795097088.000000,0.000000,0.000000,15.613577,2.337804,0.052298,1.712751,5.568229,0.000530,21.072014
1403638127845096960.000000,0.000000,0.000000,16.620365,2.377567,0.036129,5.275049,1.613563,0.000391,22.180711
1403638127895097088.000000,0.000000,0.000000,14.934233,2.206163,0.050372,1.208478,5.847681,0.000573,20.261257
1403638127945096960.000000,0.000000,0.000000,15.301230,2.354602,0.043178,0.792393,1.087292,0.000451,20.429935
1403638127995097088.000000,0.000000,0.000000,14.871825,2.445218,0.034920,0.841622,0.984467,0.179637,20.827445
1403638128045096960.000000,0.000000,0.000000,15.584067,2.406276,0.033877,1.158022,0.937643,0.000360,21.340520
1403638128095097088.000000,0.000000,0.000000,16.127626,2.454007,0.044654,1.670851,1.153927,0.000588,21.533615
1403638128145096960.000000,0.000000,0.000000,15.116659,5.959913,0.118248,1.865262,2.303583,0.000581,24.854961
1403638128195097088.000000,0.000000,0.000000,14.722661,2.393989,0.042497,2.149517,2.445768,0.000683,19.945915
1403638128245096960.000000,0.000000,0.000000,14.894708,5.551201,0.098492,0.848951,1.361512,0.219614,24.238470
1403638128295097088.000000,0.000000,0.000000,15.857216,2.304287,0.053503,1.429128,1.176477,0.000469,20.882602
1403638128345096960.000000,0.000000,0.000000,16.126201,2.380384,0.041922,2.621994,2.452836,0.000455,21.833290
1403638128395097088.000000,0.000000,0.000000,15.599800,5.551700,0.105501,1.916962,2.376979,0.000614,25.127113
1403638128445096960.000000,0.000000,0.000000,14.821410,5.959693,0.097109,1.048194,1.339532,0.000434,24.153665
1403638128495097088.000000,0.000000,0.000000,15.087037,2.238956,0.049023,0.966986,1.268569,0.324567,19.829421
1403638128545096960.000000,0.000000,0.000000,14.906149,5.444038,0.098105,2.150881,2.620844,0.000513,23.319909
1403638128595097088.000000,0.000000,0.000000,15.234753,5.611643,0.100491,1.947856,2.548028,0.000449,24.249071
1403638128645096960.000000,0.000000,0.000000,14.139867,5.807415,0.107545,1.664743,2.426494,0.000487,23.242614
1403638128695097088.000000,0.000000,0.000000,14.473665,2.337881,0.042692,1.689720,2.403320,0.000396,19.525862
1403638128745096960.000000,0.000000,0.000000,15.352159,2.300791,0.050242,1.494797,2.182072,0.355180,20.611047
1403638128795097088.000000,0.000000,0.000000,16.423534,2.442699,0.046279,2.583356,3.474298,0.000428,21.805947
1403638128845096960.000000,0.000000,0.000000,14.983217,6.363868,0.067180,2.774110,3.141500,0.000508,24.112999
