#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.009009,3,1,0,429
0.003124,4,1,0,967
0.191179,5,1,0,1367
0.209859,6,1,0,1754
0.411048,7,1,0,2264
0.294979,8,1,0,2449
0.389564,9,1,0,2616
0.408124,10,1,0,3104
0.699164,0,0,0,0
45.058208,0,0,0,0
0.751414,0,0,0,0
0.588940,0,0,0,0
0.691340,0,0,0,0
0.753290,0,0,0,0
0.878349,0,0,0,0
1.027262,0,0,0,0
1.158738,0,0,0,0
1.336092,0,0,0,0
2.452548,0,0,0,0
2.125686,0,0,0,0
1.709670,0,0,0,0
3.132055,0,0,0,0
2.522768,0,0,0,0
3.047470,0,0,0,0
2.299767,0,0,0,0
2.418635,0,0,0,0
2.242469,0,0,0,0
2.297818,0,0,0,0
2.147931,0,0,0,0
2.160044,0,0,0,0
2.234676,0,0,0,0
2.408485,0,0,0,0
2.095503,0,0,0,0
2.109930,0,0,0,0
2.098776,0,0,0,0
2.185255,0,0,0,0
2.043258,0,0,0,0
2.236306,0,0,0,0
2.035366,0,0,0,0
2.111819,0,0,0,0
2.237827,0,0,0,0
2.225054,0,0,0,0
1.681472,0,0,0,0
3.480587,0,0,0,0
2.719533,0,0,0,0
7.835413,0,0,0,0
1.709566,0,0,0,0
3.886030,0,0,0,0
1.624731,0,0,0,0
2.181195,0,0,0,0
2.874494,0,0,0,0
3.723774,3,1,0,430
2.369968,4,1,0,536
0.003193,5,1,0,657
0.002656,6,1,0,768
0.327836,7,1,0,915
0.411231,8,1,0,1044
0.546042,9,1,0,1210
0.625773,10,1,0,1361
0.388144,0,0,0,0
0.447619,0,0,0,0
0.659062,0,0,0,0
36.783200,0,0,0,0
0.713636,3,1,0,442
1.416879,4,1,0,614
1.150906,5,1,0,1084
1.093600,6,1,0,1435
0.002049,7,1,0,2118
0.001389,8,1,0,2780
0.179777,9,1,0,3227
0.492253,10,1,0,3765
0.755502,0,0,0,0
1.161825,0,0,0,0
1.074384,0,0,0,0
1.123357,0,0,0,0
1.186254,0,0,0,0
77.353328,0,0,0,0
1.026499,0,0,0,0
0.890558,0,0,0,0
1.049655,0,0,0,0
1.126945,0,0,0,0
1.037293,0,0,0,0
1.183291,0,0,0,0
1.356529,0,0,0,0
2.522746,0,0,0,0
1.329586,0,0,0,0
1.976836,0,0,0,0
1.959763,0,0,0,0
3.033241,0,0,0,0
2.584587,0,0,0,0
3.337005,0,0,0,0
2.684095,0,0,0,0
3.235447,0,0,0,0
2.589467,0,0,0,0
3.328377,0,0,0,0
2.623632,0,0,0,0
2.577540,0,0,0,0
3.452329,0,0,0,0
2.729094,0,0,0,0
2.693787,0,0,0,0
2.556750,0,0,0,0
3.267117,0,0,0,0
2.517207,0,0,0,0
1.469433,0,0,0,0
2.041199,0,0,0,0
1.509316,0,0,0,0
1.930270,0,0,0,0
2.876406,0,0,0,0
2.416702,0,0,0,0
1.733141,0,0,0,0
2.539781,0,0,0,0
1.891509,0,0,0,0
2.184448,0,0,0,0
3.646844,3,1,0,1268
1.501378,4,1,0,1720
3.060002,5,1,0,2183
3.967975,6,1,0,2582
4.953795,7,1,0,3075
11.553459,8,1,0,3448
0.002678,9,1,0,3789
0.001654,10,1,0,4103
0.320423,0,0,0,0
0.975967,0,0,0,0
0.735397,0,0,0,0
0.868520,0,0,0,0
1.300026,0,0,0,0
1.224534,0,0,0,0
0.622735,0,0,0,0
63.483786,0,0,0,0
0.791175,0,0,0,0
1.054237,0,0,0,0
1.169616,0,0,0,0
1.564801,0,0,0,0
1.410150,0,0,0,0
1.854254,0,0,0,0
1.809963,0,0,0,0
1.956067,0,0,0,0
1.965387,0,0,0,0
1.638895,0,0,0,0
2.422586,0,0,0,0
3.330838,0,0,0,0
3.313371,0,0,0,0
3.169798,0,0,0,0
3.185930,0,0,0,0
2.983227,0,0,0,0
3.279056,0,0,0,0
2.936332,0,0,0,0
3.259056,0,0,0,0
3.181292,0,0,0,0
2.961097,0,0,0,0
2.871398,0,0,0,0
3.120560,0,0,0,0
2.407212,0,0,0,0
3.188643,0,0,0,0
2.360727,0,0,0,0
3.299069,0,0,0,0
3.287567,0,0,0,0
2.718802,0,0,0,0
2.784623,3,1,0,1749
3.150063,4,1,0,2032
2.451872,5,1,0,2353
2.735725,6,1,0,2592
3.610642,7,1,0,2879
3.944460,8,1,0,3207
4.739864,9,1,0,3569
18.547768,10,1,0,3839
0.003203,0,0,0,0
0.002567,0,0,0,0
0.414770,0,0,0,0
0.927182,0,0,0,0
0.919727,0,0,0,0
0.996073,0,0,0,0
1.434090,0,0,0,0
1.048670,0,0,0,0
1.025351,0,0,0,0
45.488456,0,0,0,0
1.101104,0,0,0,0
1.218301,0,0,0,0
1.454652,0,0,0,0
1.524949,0,0,0,0
1.653428,0,0,0,0
1.630595,0,0,0,0
1.856969,0,0,0,0
2.083763,0,0,0,0
2.314484,0,0,0,0
3.983734,0,0,0,0
4.232134,0,0,0,0
5.217964,0,0,0,0
3.965103,0,0,0,0
3.514526,0,0,0,0
3.466554,0,0,0,0
4.215717,0,0,0,0
3.210441,0,0,0,0
3.319350,0,0,0,0
2.956084,0,0,0,0
3.307127,0,0,0,0
3.357371,0,0,0,0
3.245250,0,0,0,0
2.689976,0,0,0,0
2.014401,0,0,0,0
2.222340,0,0,0,0
1.608757,0,0,0,0
1.492014,0,0,0,0
2.540342,0,0,0,0
3.147182,0,0,0,0
2.415853,0,0,0,0
3.440629,0,0,0,0
2.729537,0,0,0,0
1.917421,0,0,0,0
2.191501,0,0,0,0
3.412288,0,0,0,0
2.655623,0,0,0,0
2.442439,0,0,0,0
2.645350,0,0,0,0
2.014047,0,0,0,0
1.935874,0,0,0,0
2.513294,0,0,0,0
3.111415,0,0,0,0
2.889793,0,0,0,0
2.478539,0,0,0,0
3.143552,0,0,0,0
2.999211,0,0,0,0
5.842477,0,0,0,0
7.835492,0,0,0,0
7.995525,0,0,0,0
4.138931,0,0,0,0
3.194206,0,0,0,0
2.870222,0,0,0,0
3.944913,0,0,0,0
2.156440,0,0,0,0
3.317664,0,0,0,0
2.282301,0,0,0,0
3.216348,0,0,0,0
2.623597,0,0,0,0
3.376358,0,0,0,0
3.370381,0,0,0,0
3.698530,0,0,0,0
2.969148,0,0,0,0
3.405768,0,0,0,0
2.336636,0,0,0,0
2.605775,0,0,0,0
2.691806,0,0,0,0
3.497430,0,0,0,0
2.060071,0,0,0,0
3.436259,0,0,0,0
2.896088,0,0,0,0
3.466644,0,0,0,0
2.900882,0,0,0,0
4.338335,0,0,0,0
2.604581,0,0,0,0
2.076883,0,0,0,0
3.092801,0,0,0,0
2.559074,0,0,0,0
2.863982,0,0,0,0
2.672740,0,0,0,0
2.807588,0,0,0,0
3.783611,0,0,0,0
3.919619,0,0,0,0
2.982755,0,0,0,0
3.236537,0,0,0,0
5.888968,0,0,0,0
7.160169,0,0,0,0
15.636074,0,0,0,0
8.369926,0,0,0,0
3.826486,0,0,0,0
5.557888,0,0,0,0
4.271496,0,0,0,0
6.948899,0,0,0,0
5.204812,0,0,0,0
5.557351,0,0,0,0
4.479255,0,0,0,0
5.178049,0,0,0,0
5.855148,0,0,0,0
6.308645,0,0,0,0
5.391001,0,0,0,0
5.306929,0,0,0,0
5.027246,0,0,0,0
3.923667,0,0,0,0
4.135413,0,0,0,0
7.758262,0,0,0,0
4.344051,0,0,0,0
6.091695,0,0,0,0
5.856714,0,0,0,0
6.498703,0,0,0,0
6.562178,0,0,0,0
5.070304,0,0,0,0
5.209603,0,0,0,0
6.039278,0,0,0,0
5.026861,0,0,0,0
4.664753,0,0,0,0
5.349208,0,0,0,0
6.039120,0,0,0,0
5.322768,0,0,0,0
7.790093,0,0,0,0
4.015607,0,0,0,0
6.070852,0,0,0,0
5.261512,0,0,0,0
4.141793,0,0,0,0
5.386097,0,0,0,0
5.812278,0,0,0,0
4.514382,0,0,0,0
6.272358,0,0,0,0
5.089110,0,0,0,0
7.910349,0,0,0,0
4.136191,0,0,0,0
3.841124,0,0,0,0
4.520606,0,0,0,0
6.172833,0,0,0,0
5.974547,0,0,0,0
6.170471,0,0,0,0
4.756049,0,0,0,0
4.290939,0,0,0,0
8.228095,0,0,0,0
11.852081,0,0,0,0
21.148508,0,0,0,0
8.590622,0,0,0,0
7.414287,0,0,0,0
4.606641,0,0,0,0
5.678179,0,0,0,0
5.339191,0,0,0,0
6.140681,0,0,0,0
7.151659,0,0,0,0
4.545685,0,0,0,0
7.052462,0,0,0,0
5.414045,0,0,0,0
6.746018,0,0,0,0
5.311695,0,0,0,0
8.009145,0,0,0,0
5.298697,0,0,0,0
5.984470,0,0,0,0
5.397395,0,0,0,0
9.992602,0,0,0,0
6.751715,0,0,0,0
6.958901,0,0,0,0
6.649753,0,0,0,0
5.799629,0,0,0,0
8.074722,0,0,0,0
4.698022,0,0,0,0
8.044118,0,0,0,0
4.622727,0,0,0,0
8.257262,0,0,0,0
5.627563,0,0,0,0
8.733093,0,0,0,0
9.026717,0,0,0,0
5.993735,0,0,0,0
7.589576,0,0,0,0
6.935387,0,0,0,0
9.051664,0,0,0,0
7.516992,0,0,0,0
8.951335,0,0,0,0
11.244920,0,0,0,0
6.121661,0,0,0,0
8.220194,0,0,0,0
6.797661,0,0,0,0
6.333431,0,0,0,0
6.419597,0,0,0,0
5.743390,0,0,0,0
7.720557,0,0,0,0
5.361727,0,0,0,0
7.555225,0,0,0,0
9.649039,0,0,0,0
8.916198,0,0,0,0
15.247288,0,0,0,0
6.773144,0,0,0,0
10.013747,0,0,0,0
10.319462,0,0,0,0
7.972144,0,0,0,0
6.388982,0,0,0,0
7.664053,0,0,0,0
8.295469,0,0,0,0
7.062769,0,0,0,0
5.298824,0,0,0,0
7.710350,0,0,0,0
9.228219,0,0,0,0
9.028904,0,0,0,0
8.710774,0,0,0,0
9.633617,0,0,0,0
9.801262,0,0,0,0
10.176434,0,0,0,0
9.939275,0,0,0,0
9.807201,0,0,0,0
5.606721,0,0,0,0
8.020251,0,0,0,0
10.112181,0,0,0,0
6.894853,0,0,0,0
8.227559,0,0,0,0
7.865364,0,0,0,0
7.358875,0,0,0,0
7.084746,0,0,0,0
6.245143,0,0,0,0
6.644128,0,0,0,0
6.715919,0,0,0,0
7.070307,0,0,0,0
7.214676,0,0,0,0
7.394961,0,0,0,0
6.716974,0,0,0,0
8.685068,0,0,0,0
8.221291,0,0,0,0
6.932177,0,0,0,0
10.511152,0,0,0,0
6.914853,0,0,0,0
5.523750,0,0,0,0
5.290960,0,0,0,0
6.876150,0,0,0,0
6.636149,0,0,0,0
6.346776,0,0,0,0
5.264027,0,0,0,0
5.287110,0,0,0,0
4.669569,0,0,0,0
6.119053,0,0,0,0
4.608150,0,0,0,0
5.764219,0,0,0,0
6.916053,0,0,0,0
6.109922,0,0,0,0
7.657134,0,0,0,0
7.560557,0,0,0,0
7.580000,0,0,0,0
8.154259,0,0,0,0
5.253801,0,0,0,0
7.434813,0,0,0,0
5.521980,0,0,0,0
6.630887,0,0,0,0
4.823877,0,0,0,0
4.916364,0,0,0,0
4.321836,0,0,0,0
4.939995,0,0,0,0
6.739025,0,0,0,0
4.764154,0,0,0,0
5.769157,0,0,0,0
4.836106,0,0,0,0
4.652706,0,0,0,0
6.062182,0,0,0,0
3.559516,0,0,0,0
3.535739,0,0,0,0
4.758231,0,0,0,0
3.951070,0,0,0,0
4.885314,0,0,0,0
6.086681,0,0,0,0
5.682518,0,0,0,0
5.523335,0,0,0,0
5.081129,0,0,0,0
5.898836,0,0,0,0
7.131686,0,0,0,0
7.143842,0,0,0,0
3.688714,0,0,0,0
5.433220,0,0,0,0
6.330760,0,0,0,0
4.957270,0,0,0,0
4.651059,0,0,0,0
4.529735,0,0,0,0
5.093213,0,0,0,0
7.327940,0,0,0,0
7.099928,0,0,0,0
5.324540,0,0,0,0
6.880742,0,0,0,0
8.888318,0,0,0,0
7.497022,0,0,0,0
8.967072,0,0,0,0
9.874517,0,0,0,0
7.907431,0,0,0,0
11.786554,0,0,0,0
25.945973,0,0,0,0
23.970397,0,0,0,0
4.279511,0,0,0,0
5.472511,0,0,0,0
7.283305,0,0,0,0
9.892780,0,0,0,0
11.296777,0,0,0,0
9.426069,0,0,0,0
6.649372,0,0,0,0
6.128842,0,0,0,0
6.811359,0,0,0,0
9.744828,0,0,0,0
7.323439,0,0,0,0
6.774314,0,0,0,0
7.516216,0,0,0,0
8.513338,0,0,0,0
8.367148,0,0,0,0
8.319970,0,0,0,0
8.963294,0,0,0,0
8.867515,0,0,0,0
9.625043,0,0,0,0
8.385060,0,0,0,0
9.553512,0,0,0,0
9.220408,0,0,0,0
9.461359,0,0,0,0
13.497506,0,0,0,0
10.458474,0,0,0,0
11.042098,0,0,0,0
11.388255,0,0,0,0
