#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.006489,3,1,0,1600
0.002081,4,1,0,2017
0.209103,5,1,0,2569
0.564316,6,1,0,3139
0.892928,7,1,0,3734
0.819378,8,1,0,4288
1.104305,9,1,0,4967
1.131908,10,1,0,5394
1.619400,0,0,0,0
83.689998,0,0,0,0
1.597063,0,0,0,0
1.837706,0,0,0,0
1.857100,0,0,0,0
2.523200,0,0,0,0
2.707743,0,0,0,0
2.593310,0,0,0,0
3.274547,0,0,0,0
2.881649,0,0,0,0
2.854609,0,0,0,0
2.948217,0,0,0,0
3.066953,0,0,0,0
4.369375,0,0,0,0
4.431537,0,0,0,0
4.011126,0,0,0,0
3.841419,0,0,0,0
4.169452,0,0,0,0
3.283253,0,0,0,0
3.984256,0,0,0,0
4.307404,0,0,0,0
2.706822,0,0,0,0
2.797215,0,0,0,0
2.934489,3,1,0,2055
5.838210,4,1,0,2454
0.002147,5,1,0,3035
0.002441,6,1,0,3620
0.352175,7,1,0,4157
0.814527,8,1,0,4644
1.173161,9,1,0,5229
1.524072,10,1,0,5798
1.171799,0,0,0,0
1.241534,0,0,0,0
1.558836,0,0,0,0
89.537598,0,0,0,0
2.021560,0,0,0,0
3.557919,0,0,0,0
3.216819,0,0,0,0
3.194794,0,0,0,0
4.665501,0,0,0,0
3.562919,0,0,0,0
4.244675,0,0,0,0
4.411095,0,0,0,0
4.473189,0,0,0,0
5.197906,0,0,0,0
5.793444,0,0,0,0
6.387278,0,0,0,0
6.434729,0,0,0,0
8.611661,0,0,0,0
6.884356,0,0,0,0
5.726477,0,0,0,0
6.693838,0,0,0,0
7.329507,0,0,0,0
8.639214,0,0,0,0
4.831804,0,0,0,0
7.167941,0,0,0,0
5.990459,0,0,0,0
8.054321,3,1,0,2044
5.236559,4,1,0,2439
7.964921,5,1,0,2947
12.155771,6,1,0,3535
0.002423,7,1,0,4015
0.002524,8,1,0,4514
0.801783,9,1,0,5025
1.047313,10,1,0,5465
1.419037,0,0,0,0
1.592731,0,0,0,0
1.235321,0,0,0,0
1.558019,0,0,0,0
1.742268,0,0,0,0
61.875128,0,0,0,0
1.761876,0,0,0,0
2.196681,0,0,0,0
2.589974,0,0,0,0
3.982745,0,0,0,0
2.745985,0,0,0,0
3.631952,0,0,0,0
3.714077,0,0,0,0
3.944366,0,0,0,0
7.807560,0,0,0,0
4.422038,0,0,0,0
5.162663,0,0,0,0
5.202494,0,0,0,0
7.267778,0,0,0,0
6.156183,0,0,0,0
5.145673,0,0,0,0
5.472007,0,0,0,0
6.983945,0,0,0,0
6.008251,3,1,0,2028
4.495587,4,1,0,2348
5.730322,5,1,0,2865
5.293098,6,1,0,3366
11.042428,7,1,0,3965
8.098121,8,1,0,4510
0.003044,9,1,0,5091
0.001430,10,1,0,5568
0.719842,0,0,0,0
0.971716,0,0,0,0
1.353494,0,0,0,0
1.102073,0,0,0,0
0.857690,0,0,0,0
1.278852,0,0,0,0
2.146085,0,0,0,0
108.293541,0,0,0,0
2.141144,0,0,0,0
2.990274,0,0,0,0
2.875548,0,0,0,0
2.972560,0,0,0,0
6.118809,0,0,0,0
3.672356,0,0,0,0
4.096295,0,0,0,0
