#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
8.041381,0.112841,1.054918,0.009330,0.009330,9.225540
5.946877,0.096102,1.375705,0.001518,0.001518,7.421465
5.948129,0.176584,2.100253,0.251900,0.251900,20.719352
8.768285,0.207577,5.412519,0.667694,0.667694,35.526207
10.565606,0.353559,11.878322,0.970824,0.970824,42.616257
7.437242,0.173232,6.294336,1.330502,1.330502,34.694446
11.348299,0.173682,9.990326,1.620468,1.620468,62.641678
8.416852,0.177380,10.012584,1.971907,1.971907,61.579981
7.672414,0.158610,9.981975,1.658522,1.658522,64.724589
6.210023,0.187450,9.761302,94.585046,94.585046,144.432731
11.201184,0.292322,20.510266,2.106269,2.106269,80.119825
7.140522,0.264989,20.964610,2.398990,2.398990,83.339816
8.659369,0.235269,25.804419,2.540360,2.540360,97.684285
6.497512,0.208729,11.884877,2.259210,2.259210,73.278452
12.134783,0.446928,33.171496,2.766041,2.766041,116.532795
10.414839,0.278443,14.485603,2.877874,2.877874,85.232313
7.634979,0.285712,13.986028,4.710832,4.710832,97.461500
11.124719,0.249491,19.954675,2.969159,2.969159,125.981115
7.615483,0.268662,14.021567,3.692678,3.692678,282.788144
11.743091,0.458443,27.592260,3.144167,3.144167,128.834600
11.420232,0.220885,24.899128,3.518648,3.518648,124.419390
6.438142,0.191867,14.243021,4.654737,4.654737,111.554575
8.930254,0.192724,25.099553,7.595326,7.595326,177.790643
8.186849,0.091238,0.970011,0.002394,0.002394,9.251975
7.210056,0.310270,2.005600,0.001805,0.001805,9.528926
9.975316,0.580317,7.627732,0.295560,0.295560,46.442101
9.017388,0.300240,3.821420,0.675074,0.675074,34.878045
10.370027,0.420931,12.147582,1.113875,1.113875,65.553075
7.916808,0.250762,7.439760,0.895042,0.895042,59.043457
10.911065,0.382412,17.292635,1.484451,1.484451,77.076289
11.791597,0.401325,19.744193,1.231745,1.231745,67.965902
11.811810,0.387642,14.941311,1.836670,1.836670,78.436480
8.103431,0.214864,10.140035,67.665124,67.665124,131.981478
6.532778,0.142893,10.257450,2.264585,2.264585,67.177090
12.986115,0.356215,27.679061,2.678360,2.678360,94.166906
7.963900,0.273835,12.524092,2.315475,2.315475,72.467135
10.386246,0.300891,27.164248,3.325207,3.325207,102.950283
13.880033,0.389466,27.660986,3.210981,3.210981,116.945915
13.249836,0.351816,25.414730,3.240185,3.240185,125.366530
12.773491,0.218605,18.874735,4.146528,4.146528,110.956452
9.232747,0.279856,16.040588,4.197949,4.197949,101.031112
10.580613,0.241420,24.595866,4.020999,4.020999,334.093041
11.848512,0.246963,25.183442,7.798967,7.798967,153.044231
14.951881,0.371089,31.163607,5.656228,5.656228,137.158957
11.332745,0.259466,20.095877,6.402834,6.402834,133.620858
10.424868,0.257446,21.745059,7.189874,7.189874,135.078266
7.719994,0.245040,16.818602,4.757469,4.757469,126.218701
14.471361,0.298286,29.371418,8.134085,8.134085,150.330435
7.560254,0.229334,20.892557,8.124968,8.124968,137.995448
14.618750,0.425611,31.618677,8.196606,8.196606,160.178150
8.157496,0.187251,20.760731,5.765687,5.765687,137.353155
15.441338,0.428221,41.292439,8.076528,8.076528,168.538612
10.447823,0.323215,25.428286,6.085849,6.085849,138.457689
14.766634,0.421328,34.395666,8.458999,8.458999,160.463056
2.008815,0.363625,21.895610,9.863612,9.863612,173.114182
9.464929,0.317248,50.461334,12.042395,12.042395,402.735977
7.562814,0.301563,17.608503,6.464443,6.464443,127.624377
7.527523,0.357208,16.775767,6.817121,6.817121,131.949798
8.892897,0.325996,18.660762,6.353600,6.353600,136.099655
11.641400,0.522015,32.708073,7.033017,7.033017,158.843570
6.410461,0.227860,13.908487,5.435951,5.435951,131.162813
5.548089,0.282737,15.045198,9.733057,9.733057,141.491554
12.146555,0.461857,35.604569,5.979924,5.979924,162.460506
6.139511,0.148919,14.701891,10.855437,10.855437,132.064530
