#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403715273262142976.000000,0.000000,0.000000,17.605855,4.284767,0.002370,10.173209,7.310675,0.001610,24.741680
1403715273312143104.000000,0.000000,0.000000,15.689270,4.565587,0.052218,3.935734,5.391986,0.000697,22.839735
1403715273362142976.000000,0.000000,0.000000,15.298929,5.585795,0.041902,3.960503,5.182207,0.000526,23.481591
1403715273412143104.000000,0.000000,0.000000,15.138860,4.282568,0.049188,3.388924,4.988657,0.000498,22.327513
1403715273462142976.000000,0.000000,0.000000,15.445417,4.289189,0.043582,3.031467,4.985399,0.892026,22.119779
1403715273512143104.000000,0.000000,0.000000,15.473270,7.840954,0.045926,13.149419,12.689690,0.000607,25.771399
1403715273562142976.000000,0.000000,0.000000,15.341083,8.002092,0.042610,11.317503,9.413070,0.000540,25.892679
1403715273612143104.000000,0.000000,0.000000,15.665490,4.159255,0.049904,3.734605,10.668759,0.000504,22.674159
1403715273662142976.000000,0.000000,0.000000,15.252097,8.697219,0.047838,7.151630,10.974057,0.000599,26.436757
1403715273712143104.000000,0.000000,0.000000,17.002576,4.583695,0.042433,4.959401,9.052601,4.308270,24.338317
1403715273762142976.000000,0.000000,0.000000,15.140989,8.491746,0.049286,9.275691,14.571148,0.000661,26.191248
1403715273812143104.000000,0.000000,0.000000,15.394821,7.325627,0.041398,7.168316,15.437311,0.000727,25.362224
1403715273862142976.000000,0.000000,0.000000,16.982457,4.608472,0.041335,8.412407,14.274038,0.000779,24.165293
1403715273912143104.000000,0.000000,0.000000,16.446994,9.002582,0.101761,8.231744,15.125968,0.000691,28.697001
1403715273962142976.000000,0.000000,0.000000,15.528044,4.050202,0.051535,3.389837,15.455980,0.614836,22.374302
1403715274012143104.000000,0.000000,0.000000,15.262189,4.026380,0.048941,3.872881,4.919678,0.000452,22.312626
1403715274062142976.000000,0.000000,0.000000,15.213836,4.046890,0.048163,2.838915,4.099208,0.000377,22.428307
1403715274112143104.000000,0.000000,0.000000,16.366126,11.042201,0.097008,2.627857,5.094430,0.000500,31.074404
1403715274162142976.000000,0.000000,0.000000,16.550671,4.813981,0.051831,2.374152,4.589246,0.000385,24.114640
1403715274212143104.000000,0.000000,0.000000,15.529764,4.098146,0.051579,2.463082,6.259150,0.844012,22.315658
1403715274262142976.000000,0.000000,0.000000,15.763833,4.508989,0.046015,4.643174,5.903626,0.000432,23.201157
1403715274312143104.000000,0.000000,0.000000,15.689610,8.976701,0.050693,3.876206,5.465334,0.000408,28.186692
1403715274362142976.000000,0.000000,0.000000,14.685562,4.017944,0.049775,4.289130,5.914516,0.000424,21.247193
1403715274412143104.000000,0.000000,0.000000,15.932725,10.161824,0.096974,4.583786,6.445497,0.000461,29.355726
1403715274462142976.000000,0.000000,0.000000,16.016583,10.704831,0.050148,3.697761,5.912680,0.446385,29.892692
1403715274512143104.000000,0.000000,0.000000,16.669057,4.049416,0.050508,7.515053,7.029891,0.000496,23.715252
1403715274562142976.000000,0.000000,0.000000,16.361279,3.825599,0.051071,4.214630,6.122486,0.000412,22.883496
1403715274612143104.000000,0.000000,0.000000,15.667757,8.228484,0.050749,6.686636,7.020785,0.000511,26.551619
1403715274662142976.000000,0.000000,0.000000,14.688847,4.123441,0.049997,4.359003,5.135507,0.000447,21.650060
