#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403636858651666432.000000,0.000000,0.000000,17.936253,2.108986,0.002232,5.574218,1.312455,0.001306,22.554665
1403636858701666560.000000,0.000000,0.000000,16.741494,1.940569,0.057056,1.615201,2.854189,0.691875,21.462088
1403636858751666432.000000,0.000000,0.000000,17.531108,2.775822,0.054409,1.925644,1.973058,0.000502,23.580554
1403636858801666560.000000,0.000000,0.000000,17.974543,1.766002,0.049450,1.513994,2.079184,0.000437,22.680756
1403636858851666432.000000,0.000000,0.000000,17.135187,3.626139,0.048669,1.153534,2.050793,0.387669,23.630600
1403636858901666560.000000,0.000000,0.000000,18.015168,2.079389,0.044997,5.373339,5.818455,0.000815,23.080351
1403636858951666432.000000,0.000000,0.000000,19.214255,2.177220,0.041010,1.922571,2.818564,0.000460,24.470725
1403636859001666560.000000,0.000000,0.000000,18.786354,2.073649,0.053344,2.671732,4.553129,0.000650,24.038417
1403636859051666432.000000,0.000000,0.000000,19.637022,2.067974,0.048587,2.216630,4.747920,0.000707,25.373467
1403636859101666560.000000,0.000000,0.000000,18.395739,5.546209,0.102381,1.184083,2.468292,0.381181,34.720133
1403636859301666560.000000,0.000000,0.000000,18.000074,5.650732,0.170293,4.398942,4.110255,0.000429,3.034997
1403636859351666432.000000,0.000000,0.000000,19.898117,3.236059,0.044545,2.153643,2.852193,0.357520,2.584710
1403636859401666560.000000,0.000000,0.000000,18.358998,3.142987,0.055123,3.406147,3.757356,0.000446,2.085827
1403636859601666560.000000,0.000000,0.000000,17.354723,5.066056,0.126182,1.169278,3.977374,0.394937,31.906447
1403636859651666432.000000,0.000000,0.000000,18.441221,9.248412,0.168911,1.417030,3.602486,0.000536,29.940691
1403636859701666560.000000,0.000000,0.000000,17.659963,5.438433,0.060802,1.371343,3.364236,0.000558,28.143867
1403636859751666432.000000,0.000000,0.000000,17.227629,6.800574,0.093247,1.064943,3.377948,0.000463,2.474869
1403636859801666560.000000,0.000000,0.000000,17.906034,7.744413,0.089001,0.951785,3.136475,0.000473,2.222681
1403636859851666432.000000,0.000000,0.000000,16.410035,6.080688,0.053105,1.791368,5.822930,0.617007,1.961289
1403636859901666560.000000,0.000000,0.000000,18.842418,10.230935,0.093436,2.845250,2.852186,0.000534,28.836574
1403636860101666560.000000,0.000000,0.000000,18.713715,3.855026,0.142821,1.809260,4.574062,0.000568,42.470065
1403636860151666432.000000,0.000000,0.000000,17.048286,4.799678,0.050793,1.042022,3.055884,0.287132,30.653892
1403636860351666432.000000,0.000000,0.000000,18.662338,3.589450,0.188668,1.977148,3.155295,0.000511,34.410884
1403636860401666560.000000,0.000000,0.000000,16.204360,3.555156,0.081186,0.579618,2.535014,0.000695,35.813318
1403636860451666432.000000,0.000000,0.000000,16.742512,3.198033,0.117668,0.443934,3.722921,0.413940,29.328515
1403636860501666560.000000,0.000000,0.000000,16.308648,3.212994,0.060456,2.018438,3.287631,0.000470,41.295887
1403636860551666432.000000,0.000000,0.000000,16.270841,2.976268,0.076824,1.770345,5.825510,0.000749,2.115607
1403636860601666560.000000,0.000000,0.000000,17.775603,7.185432,0.105249,1.705656,3.315527,0.000575,2.058487
1403636860651666432.000000,0.000000,0.000000,17.037864,4.774541,0.104096,1.718628,2.972402,0.000508,2.447516
1403636860701666560.000000,0.000000,0.000000,16.919040,3.931324,0.086855,1.512859,2.937396,0.000519,31.330332
1403636860901666560.000000,0.000000,0.000000,16.162621,2.607805,0.144307,1.447149,3.267173,0.443668,31.788771
1403636860951666432.000000,0.000000,0.000000,17.968705,2.903789,0.071694,3.574404,4.119501,0.000473,2.188845
1403636861151666432.000000,0.000000,0.000000,16.727826,5.374140,0.137756,0.026521,5.063466,0.047113,2.474292
1403636861201666560.000000,0.000000,0.000000,16.737636,3.521900,0.074682,0.052061,10.013063,0.042459,2.619465
1403636861251666432.000000,0.000000,0.000000,16.567280,3.762904,0.077152,0.067095,9.687018,0.068114,30.799171
1403636861301666560.000000,0.000000,0.000000,18.264604,4.061980,0.068834,0.040677,5.940389,0.047167,27.928049
1403636861351666432.000000,0.000000,0.000000,16.368362,4.284969,0.067585,0.041644,5.795120,0.045913,27.588209
1403636861401666560.000000,0.000000,0.000000,17.761347,6.099970,0.064530,0.039118,5.913900,0.041888,27.308435
1403636861451666432.000000,0.000000,0.000000,16.180968,4.152968,0.063497,0.040924,5.967867,0.045144,26.084015
