#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.004145,3,1,0,744
0.001041,4,1,0,973
0.137636,5,1,0,1194
0.232084,6,1,0,1416
0.292493,7,1,0,1638
0.483774,8,1,0,1958
1.242899,9,1,0,2217
1.874559,10,1,0,2671
0.768360,0,0,0,0
62.767786,0,0,0,0
1.398059,0,0,0,0
1.295045,0,0,0,0
0.870793,0,0,0,0
1.302266,0,0,0,0
1.457263,0,0,0,0
1.461548,0,0,0,0
1.315638,0,0,0,0
1.664637,0,0,0,0
1.534228,0,0,0,0
1.694931,0,0,0,0
1.823505,0,0,0,0
3.465277,0,0,0,0
2.480976,0,0,0,0
2.756543,0,0,0,0
2.827076,0,0,0,0
2.670112,0,0,0,0
2.814014,0,0,0,0
2.803650,0,0,0,0
2.537927,0,0,0,0
5.752552,0,0,0,0
2.703474,0,0,0,0
2.869459,0,0,0,0
2.572849,0,0,0,0
4.996294,0,0,0,0
2.708559,0,0,0,0
2.619682,0,0,0,0
3.858964,3,1,0,808
2.524783,4,1,0,1055
0.001432,5,1,0,1331
0.001526,6,1,0,1606
0.537585,7,1,0,1886
0.333035,8,1,0,2131
0.507022,9,1,0,2385
1.476421,10,1,0,2636
0.720480,0,0,0,0
1.913113,0,0,0,0
1.247436,0,0,0,0
80.689808,0,0,0,0
2.651774,0,0,0,0
2.898311,0,0,0,0
1.923329,0,0,0,0
2.234273,0,0,0,0
2.949625,0,0,0,0
2.579973,0,0,0,0
2.782930,0,0,0,0
3.204758,3,1,0,633
3.344669,4,1,0,916
4.179408,5,1,0,1339
6.229919,6,1,0,1711
0.003027,7,1,0,1974
0.004057,8,1,0,2373
0.298650,9,1,0,2601
0.436639,10,1,0,2991
0.664578,0,0,0,0
0.946270,0,0,0,0
1.073233,0,0,0,0
0.788888,0,0,0,0
0.947508,0,0,0,0
42.346093,0,0,0,0
0.771909,0,0,0,0
0.997333,0,0,0,0
1.087011,0,0,0,0
1.107260,0,0,0,0
1.434535,0,0,0,0
1.374640,0,0,0,0
1.531865,0,0,0,0
1.817553,0,0,0,0
1.689770,0,0,0,0
1.921266,0,0,0,0
1.770362,0,0,0,0
1.918220,0,0,0,0
3.235569,0,0,0,0
2.271141,0,0,0,0
2.125443,0,0,0,0
2.985752,0,0,0,0
2.276411,0,0,0,0
2.403713,0,0,0,0
3.692656,0,0,0,0
3.999810,0,0,0,0
3.566638,0,0,0,0
4.300232,0,0,0,0
3.784201,0,0,0,0
1.865560,0,0,0,0
2.489359,0,0,0,0
5.359110,0,0,0,0
1.868313,0,0,0,0
1.991471,0,0,0,0
3.339247,0,0,0,0
2.064274,0,0,0,0
2.959793,0,0,0,0
2.889619,0,0,0,0
2.746809,0,0,0,0
3.046309,0,0,0,0
2.170852,0,0,0,0
3.754348,0,0,0,0
2.860936,0,0,0,0
3.017170,0,0,0,0
3.029667,0,0,0,0
2.345073,0,0,0,0
3.886796,0,0,0,0
3.148270,0,0,0,0
2.104717,0,0,0,0
2.802284,0,0,0,0
2.218384,0,0,0,0
2.805318,0,0,0,0
2.030886,0,0,0,0
3.490762,0,0,0,0
4.973643,0,0,0,0
3.946924,0,0,0,0
1.505856,0,0,0,0
1.381128,0,0,0,0
2.033510,0,0,0,0
3.092674,0,0,0,0
2.873270,0,0,0,0
1.907088,0,0,0,0
2.512181,0,0,0,0
3.490204,0,0,0,0
2.306450,0,0,0,0
4.097007,0,0,0,0
5.483001,0,0,0,0
3.582796,0,0,0,0
5.952690,0,0,0,0
3.126466,0,0,0,0
3.943539,0,0,0,0
4.573167,0,0,0,0
3.373423,0,0,0,0
4.622413,0,0,0,0
4.443633,0,0,0,0
5.880565,0,0,0,0
3.937004,0,0,0,0
4.698476,0,0,0,0
4.705338,0,0,0,0
4.978444,0,0,0,0
3.738420,0,0,0,0
6.301408,0,0,0,0
9.506888,0,0,0,0
4.912671,0,0,0,0
4.859846,0,0,0,0
7.558067,0,0,0,0
6.229071,0,0,0,0
7.190120,0,0,0,0
4.318766,0,0,0,0
2.887435,0,0,0,0
6.575585,0,0,0,0
6.301848,0,0,0,0
5.381089,0,0,0,0
3.323403,0,0,0,0
5.225989,0,0,0,0
7.405379,0,0,0,0
8.174384,0,0,0,0
7.225126,0,0,0,0
4.130843,0,0,0,0
8.919299,0,0,0,0
6.763755,0,0,0,0
8.751173,0,0,0,0
5.486087,0,0,0,0
5.267985,0,0,0,0
6.399471,0,0,0,0
9.148403,0,0,0,0
7.881818,0,0,0,0
11.105254,0,0,0,0
8.593619,0,0,0,0
7.525409,0,0,0,0
10.146091,0,0,0,0
9.332381,0,0,0,0
10.975165,0,0,0,0
6.981861,0,0,0,0
5.911888,0,0,0,0
7.630738,0,0,0,0
10.694059,0,0,0,0
9.899050,0,0,0,0
13.540768,0,0,0,0
8.212750,0,0,0,0
7.850114,0,0,0,0
9.530869,0,0,0,0
7.738366,0,0,0,0
5.573758,0,0,0,0
10.025743,0,0,0,0
5.553969,0,0,0,0
9.770651,0,0,0,0
8.250158,0,0,0,0
6.295799,0,0,0,0
8.830850,0,0,0,0
7.628332,0,0,0,0
7.982394,0,0,0,0
9.151659,0,0,0,0
9.219690,0,0,0,0
10.731174,0,0,0,0
10.700601,0,0,0,0
11.027356,0,0,0,0
10.503662,0,0,0,0
10.488541,0,0,0,0
9.572694,0,0,0,0
11.368579,0,0,0,0
13.238128,0,0,0,0
13.568768,0,0,0,0
11.382054,0,0,0,0
12.685677,0,0,0,0
10.863509,0,0,0,0
12.823368,0,0,0,0
10.460678,0,0,0,0
12.387507,0,0,0,0
11.830283,0,0,0,0
